UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,BELLY,JAW,WNWT,F,N,T,C,L,CRIMP,SIDE,THIGH,THSCO,DENSITY,HAIR,WOOL,C53,SIRE,LBRD,ADG,TBRE,CTBR,LNDAM,TM,PENIS,BAND,IDX,BRWT,ABN,DISP,CULLFOR,C79,CADAM_25
54WN00022,54,2,1731,0,69,469,1650,0,10,,1,2,72,132,1,3,06,1,63,10,03,09,09,035,12,2,2,1,30,,,1,,10,397,1,1,,4,,1,132,106,,1,,0,2
54WN00023,54,2,1733,0,69,519,1640,0,10,,3,5,74,134,1,3,06,1,76,10,05,05,07,038,15,2,2,1,33,,,1,,10,496,3,3,,4,,5,131,96,,1,,0,4
54WN00024,54,1,1735,0,69,269,1628,0,10,,3,8,72,132,1,7,05,1,60,13,04,09,11,037,11,2,2,1,30,,,,,10,370,3,3,,4,1,1,114,112,,3,10,0,5
54WN00025,54,2,1736,0,69,508,1682,0,10,,1,2,72,132,1,4,06,1,75,10,03,06,07,041,12,2,2,1,31,,,1,,10,503,1,1,,4,,1,143,86,,1,,0,2
54WN00026,54,1,1737,0,69,359,1624,0,10,,1,8,72,132,1,7,07,1,81,13,04,07,09,027,12,2,3,2,28,,,,,10,520,1,1,,4,1,1,117,124,,3,10,0,5
54WN00027,54,1,1738,0,69,268,1696,0,10,,1,2,72,132,1,7,06,1,82,12,04,06,08,033,10,1,2,2,30,,,,,10,541,1,1,,4,1,1,131,106,,1,,0,2
54WN00028,54,1,1740,0,69,509,1659,0,10,,1,2,71,131,1,7,07,1,87,12,04,06,07,035,12,1,2,2,30,,,,,10,568,1,1,,4,1,1,135,126,,3,10,0,2
54WN00029,54,1,1742,0,69,499,1666,0,10,,1,2,71,131,1,7,07,1,86,10,03,06,08,037,12,2,2,1,34,,,,,10,577,1,1,,4,3,1,152,104,,1,,0,2
54WN00030,54,2,1743,0,69,358,1645,0,10,,1,3,71,131,1,3,08,1,90,09,05,05,07,028,11,2,2,1,31,,,2,,10,589,1,1,,4,,1,140,128,,1,,0,3
54WN00031,54,1,1744,0,69,268,1653,0,10,,1,2,70,130,1,7,07,1,88,09,03,06,06,035,11,2,2,1,31,,,,,10,592,1,1,,4,1,1,153,110,,6,,0,2
54WN00032,54,2,1745,0,69,298,1692,0,10,,1,2,69,129,1,3,08,6,71,09,03,07,08,034,13,2,2,1,33,,,,,10,468,1,1,,4,,1,143,106,,3,34,0,2
54WN00033,54,2,1746,0,69,468,1663,0,10,,1,2,68,128,1,4,07,1,65,13,06,07,06,031,14,2,3,2,30,,,,,10,434,1,1,,4,,1,99,94,,2,10,0,2
54WN00034,54,1,1748,0,69,509,1699,0,10,,1,2,68,128,1,7,09,3,77,10,03,07,09,037,12,1,1,1,31,,,,,10,516,1,1,,4,1,1,147,110,,3,10,0,2
54WN00035,54,1,1749,0,69,398,1639,0,10,,1,5,67,127,1,7,06,1,89,10,06,05,07,036,10,2,2,1,34,,,,,10,600,1,1,,4,2,1,136,128,,3,10,0,4
54WN00036,54,2,1751,0,69,368,1627,0,10,,3,8,67,127,1,4,06,1,70,09,03,06,09,040,12,2,2,1,35,,,1,,10,487,3,3,,4,,1,148,82,,1,,0,5
54WN00037,54,1,1752,0,69,498,1642,0,10,,1,4,66,126,1,7,08,2,96,08,03,05,07,040,11,2,3,2,30,,,,,10,659,1,1,,4,3,1,167,130,,1,,0,4
54WN00038,54,2,1753,0,69,369,1697,0,10,,1,2,66,126,1,4,07,1,55,13,03,11,11,032,14,1,2,2,31,,,,,10,354,1,1,,4,,1,115,104,,2,12,0,2
54WN00039,54,1,1755,0,69,399,1675,0,10,,1,2,66,126,1,7,08,1,73,09,03,08,09,030,12,2,2,1,30,,,,,10,490,1,1,,4,2,1,144,112,,3,10,0,2
54WN00040,54,2,1756,0,69,498,1644,0,10,,1,3,65,125,1,3,07,1,85,08,03,05,06,035,12,2,3,2,30,,,1,,10,579,1,1,,4,,1,153,126,,1,,0,3
54WN00041,54,2,1757,0,69,368,1684,0,10,,0,2,67,127,1,4,07,1,80,07,07,06,05,031,16,2,2,1,29,,,1,,10,554,3,3,,4,,5,137,96,,1,,0,2
54WN00042,54,2,1758,0,69,469,1680,0,10,,1,2,66,126,1,4,12,1,79,10,06,07,06,034,14,1,2,2,27,,,1,,10,562,1,1,,4,,5,130,82,,1,,0,2
54WN00043,54,2,1759,0,69,499,1689,0,10,,1,2,66,126,1,3,07,1,76,08,05,07,07,038,12,2,3,2,26,,,1,,10,532,1,1,,4,,5,147,90,,1,,0,2
54WN00044,54,2,1760,0,69,458,1688,0,10,,1,2,65,125,1,3,06,3,74,09,05,08,08,040,11,2,2,1,31,,,1,,10,509,1,1,,4,,5,144,104,,1,,0,2
54WN00045,54,1,1761,0,69,499,1694,0,10,,1,2,65,125,1,7,08,1,78,12,07,09,09,029,14,2,2,1,29,,,,,10,542,1,1,,4,1,5,119,102,,3,10,0,2
54WN00046,54,2,1762,0,69,508,1661,0,10,,1,2,65,125,1,3,12,1,73,08,05,07,07,034,13,2,2,1,26,,,1,,10,502,1,1,,4,,5,141,102,,1,,0,2
54WN00047,54,1,1765,0,69,298,1646,0,10,,1,3,63,123,1,4,08,1,90,09,03,05,07,041,13,2,3,2,33,,,,,10,626,1,1,,4,5,1,158,130,,1,,0,3
54WN00048,54,2,1766,0,69,369,1679,0,10,,1,2,63,123,1,4,08,1,66,10,03,07,08,034,14,2,3,2,29,,,1,,10,455,1,1,,4,,1,136,100,,1,,0,2
54WN00049,54,1,1767,0,69,509,1706,0,10,,1,2,65,125,1,7,07,1,78,10,05,09,08,032,13,1,2,2,26,,,,,10,533,1,1,,4,1,5,136,114,,7,,0,2
54WN00050,54,1,1768,0,69,468,1702,0,10,,5,2,63,123,1,4,07,1,64,15,03,10,12,024,15,1,2,2,31,,,,,10,449,5,2,,4,1,5,120,88,,3,10,0,2
54WN00051,54,2,1769,0,69,468,1702,0,10,,5,2,63,123,1,1,11,1,65,14,04,09,09,027,15,2,2,1,34,,,1,,10,446,5,2,,4,,5,118,102,,1,,0,2
54WN00052,54,1,1770,0,69,458,1691,0,10,,1,2,63,123,1,7,08,1,89,15,03,07,08,035,11,1,2,2,37,,,,,10,647,1,1,,4,3,5,132,94,,3,10,0,2
54WN00053,54,2,1771,0,69,458,1638,0,10,,1,6,62,122,1,3,05,1,77,15,04,06,06,038,14,2,2,1,27,,,,,10,538,1,1,,4,,5,109,114,,3,12,0,4
54WN00054,54,1,1772,0,69,399,1633,0,10,,5,6,61,121,1,7,09,1,84,13,03,06,09,037,12,2,3,2,26,,,,,10,593,5,2,,4,2,5,145,122,,3,10,0,4
54WN00055,54,1,1773,0,69,399,1633,0,10,,5,6,61,121,1,7,07,1,56,16,03,11,11,037,12,2,2,1,31,,,,,10,379,5,2,,4,1,5,108,102,,3,10,0,4
54WN00056,54,1,1774,0,69,398,1643,0,10,,5,4,60,120,1,7,05,1,80,08,04,09,08,032,12,2,2,1,31,,,,,10,575,5,2,,4,1,5,157,110,,1,,0,4
54WN00057,54,1,1775,0,69,398,1643,0,10,,5,4,60,120,1,7,05,1,60,09,06,10,13,038,5,2,4,3,29,,,,,10,417,5,2,,4,1,5,143,100,2,3,02,0,4
54WN00058,54,2,1776,0,69,268,1686,0,10,,1,2,60,120,1,3,04,1,65,11,05,07,07,032,14,1,2,2,30,,,1,,10,472,1,1,,4,,5,119,84,,1,,0,2
54WN00059,54,2,1778,0,69,408,1631,0,10,,1,7,59,119,1,4,08,1,85,11,03,06,07,039,14,1,2,2,37,,,1,,10,602,1,1,,4,,5,146,134,,1,,0,5
54WN00060,54,2,1779,0,69,268,1637,0,10,,5,6,59,119,1,3,07,1,55,15,03,10,10,033,14,2,2,1,37,,,,,10,383,5,2,,4,,5,110,94,,2,10,0,4
54WN00061,54,2,1780,0,69,268,1637,0,10,,5,6,59,119,1,3,07,1,57,14,03,09,12,033,12,1,2,2,32,,,,,10,395,5,2,,4,,5,122,100,,2,10,0,4
54WN00062,54,2,1781,0,69,328,1701,0,10,,1,2,59,119,1,1,06,1,66,10,05,09,08,028,12,1,2,2,27,,,1,,10,486,1,1,,4,,5,126,82,,1,,0,2
54WN00063,54,2,1782,0,69,518,1693,0,10,,1,2,66,126,1,3,05,1,76,14,03,08,08,043,11,2,2,1,25,,,1,,10,516,1,1,,4,,9,121,110,,1,,0,2
54WN00064,54,1,1783,0,69,518,1648,0,10,,1,3,57,117,1,7,09,1,89,08,05,08,09,033,12,2,2,1,30,,,,,10,636,1,1,,4,3,5,157,146,,3,10,0,3
54WN00065,54,2,1784,0,69,359,1670,0,10,,1,2,62,122,1,4,05,3,86,11,03,09,09,043,9,2,2,1,26,,,,,10,598,1,1,,4,,9,151,130,,6,,0,2
54WN00066,54,1,1785,0,69,269,1655,0,10,,1,2,62,122,1,7,07,1,101,11,03,11,08,030,14,1,2,2,24,,,,,10,730,1,1,,4,4,9,152,120,,3,10,0,2
54WN00067,54,1,1786,0,69,518,1673,0,10,,1,2,61,121,1,7,06,1,91,10,03,05,08,039,12,1,2,2,29,,,,,10,666,1,1,,4,5,9,153,104,,1,,0,2
54WN00068,54,1,1787,0,00,000,1660,2,13,,5,3,64,124,1,5,09,1,97,14,03,06,08,035,12,2,3,2,32,,,,,10,690,5,2,,0,2,7,148,114,,3,12,0,3
54WN00069,54,1,1788,0,00,000,1660,2,13,,5,3,64,124,1,5,10,1,90,09,03,07,09,036,12,3,3,1,32,,,,,10,632,5,2,,0,2,7,170,116,,3,12,0,3
54WN00070,54,2,1789,0,69,398,1678,0,10,,1,2,60,120,1,3,05,1,87,09,03,06,06,039,12,1,2,2,28,,,1,,10,617,1,1,,4,,9,152,130,,1,,0,2
54WN00071,54,1,1790,0,69,409,1677,0,10,,1,2,54,114,1,7,12,1,95,10,03,08,08,032,10,2,2,1,28,,,,,10,714,1,1,,4,5,9,156,136,,3,10,0,2
54WN00072,54,1,1791,0,00,000,6017,3,17,,1,5,89,149,1,5,07,1,83,12,06,07,10,030,14,2,2,1,30,,,,,10,490,1,1,,0,1,1,113,100,,3,17,0,4
54WN00073,54,2,4075,1,34,340,2709,1,11,40,5,6,76,136,1,3,06,1,52,09,03,09,10,035,11,2,2,1,29,,,2,,11,325,5,2,34,1,,1,138,78,,1,,0,4
54WN00074,54,2,4076,1,34,340,2709,1,11,40,5,6,76,136,3,3,06,3,44,11,03,11,13,032,12,1,2,2,30,,,,,11,272,5,2,,1,,1,126,70,,2,40,0,4
54WN00075,54,2,4077,1,27,270,2913,1,11,25,5,5,76,136,3,3,05,1,71,11,03,07,08,040,11,2,2,1,27,,,,,11,451,5,2,,1,,1,142,96,,2,40,0,4
54WN00076,54,1,4078,1,27,270,2913,1,11,25,5,5,76,136,1,7,07,1,74,11,03,06,09,033,12,2,2,1,30,2,3,,,11,474,5,2,27,1,2,1,140,96,,1,,0,4
54WN00077,54,1,4079,1,34,340,2021,1,11,47,3,8,76,136,1,7,07,2,86,09,05,08,08,031,14,2,4,3,32,,,,,11,557,3,3,34,1,5,1,151,102,2,1,,0,5
54WN00078,54,2,4080,1,27,270,3690,1,11,26,1,2,76,136,1,3,06,1,67,11,04,08,09,043,10,2,3,2,30,3,2,1,,11,422,1,1,27,1,,1,136,96,,1,,0,2
54WN00079,54,2,4081,1,23,230,3067,1,11,23,3,4,75,135,1,3,06,1,66,14,03,08,08,034,12,2,2,1,34,,,,,11,430,3,3,,1,,1,113,80,,2,12,0,4
54WN00080,54,1,4082,1,23,230,3067,1,11,23,4,4,75,135,1,7,08,1,68,14,03,09,09,035,12,2,3,2,37,,,,,11,443,3,3,,1,1,1,117,82,,3,10,0,4
54WN00081,54,1,4083,1,20,200,3458,1,11,40,1,3,75,135,1,7,07,1,67,11,03,09,10,040,13,2,2,1,29,2,4,,,11,442,1,1,20,1,2,1,135,73,,1,,0,3
54WN00082,54,2,4084,1,34,340,3314,1,11,46,1,3,75,135,1,3,05,1,80,13,06,07,07,035,12,1,2,2,30,3,6,1,,11,513,1,1,34,1,,1,118,108,,1,,0,3
54WN00083,54,2,4085,1,32,320,3783,1,11,38,1,2,75,135,1,1,07,2,50,11,03,11,13,035,12,2,2,1,34,,,1,,11,307,1,1,32,1,,1,131,86,,1,,0,2
54WN00084,54,2,4086,1,23,230,3586,1,11,30,1,3,75,135,1,4,07,1,69,09,03,07,08,036,14,2,2,1,35,1,7,1,,11,447,1,1,23,1,,1,139,86,,1,,0,3
54WN00085,54,1,4087,1,19,190,2494,1,11,23,3,6,74,134,1,7,12,1,80,15,07,08,07,026,14,1,2,2,27,,,,,11,527,3,3,,1,3,1,98,94,,3,10,0,4
54WN00086,54,1,4089,1,19,190,2229,1,11,16,1,7,74,134,1,7,09,1,82,15,04,07,06,030,12,2,3,2,33,,,,,11,536,1,1,19,1,3,1,104,102,,1,,0,5
54WN00087,54,2,4090,1,32,320,2758,1,11,25,5,5,74,134,3,1,08,2,60,09,03,08,09,036,11,2,2,1,30,,,,,11,379,5,2,,1,,1,142,92,,2,40,0,4
54WN00088,54,1,4091,1,32,320,2758,1,11,25,5,5,74,134,1,4,09,1,84,08,03,08,09,035,11,2,3,2,30,,,,,11,551,5,2,32,1,5,1,168,102,,1,,0,4
54WN00089,54,1,4093,1,63,590,3541,1,11,,5,3,74,134,1,7,07,1,64,12,03,10,09,039,12,2,2,1,26,,,,,11,403,5,2,,6,1,1,122,100,,3,10,0,3
54WN00090,54,2,4094,1,63,590,3541,1,11,,5,3,84,144,1,4,05,1,67,12,03,09,11,037,14,1,2,2,23,,,,,11,404,5,2,,6,,9,116,88,2,2,10,0,3
54WN00091,54,1,4095,1,32,320,3700,1,11,25,1,2,74,134,1,5,09,2,87,11,03,09,09,029,12,2,2,1,28,0,0,,,11,564,1,1,32,1,5,1,148,114,,1,,0,2
54WN00092,54,1,4096,1,63,570,3519,1,11,,1,3,74,134,1,7,07,1,79,09,03,07,09,034,12,2,2,1,32,2,4,,,11,516,1,1,20,6,4,1,143,98,,1,,0,3
54WN00093,54,1,4097,1,32,320,2959,1,11,25,1,5,74,134,1,4,05,1,63,13,03,09,11,035,12,1,2,2,36,0,0,,,11,376,1,1,32,1,1,1,118,126,,1,,0,4
54WN00094,54,1,4098,1,63,620,2407,1,11,,3,7,73,133,1,7,05,1,86,08,03,07,07,037,10,2,3,2,34,,,,,11,579,3,3,27,6,4,1,157,90,,1,,0,5
