UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,STM,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,THSCO,C4950,DB2,LBRD,SIRE,SBRD,ADG,ADG6061,DINBR,LNDAM,TM,ADG67,DISP,IDX,BRWT,ABN,CJAW,CADAM,TBRE,CTBR,TRT,BAND
63WN01021,63,2,7935,4,06,062,4516,4,41,40,5,4,80,140,1,1,,2,58,08,03,09,10,056,4,4,4,1,,1,41,4985,41,356,35,37,06,1,6,,150,82,,5,4,5,2,,1
63WN01022,63,2,7936,4,06,062,4516,4,41,40,5,4,80,140,1,1,,1,70,09,03,08,08,053,33,3,4,2,,1,41,4985,41,440,44,37,06,1,0,3,151,84,,4,4,5,2,,1
63WN01023,63,2,7937,4,13,132,5237,4,41,29,5,3,80,140,1,1,,1,83,09,03,07,08,059,17,3,4,2,,1,41,6671,41,526,52,14,13,1,6,,168,94,,4,3,5,2,,1
63WN01024,63,1,7938,4,13,132,5237,4,41,29,5,3,80,140,1,1,,3,48,10,03,09,11,052,28,3,4,2,,1,41,6671,41,290,29,14,13,1,0,3,127,74,,3,3,5,2,,1
63WN01025,63,1,7939,4,09,092,7421,4,40,11,5,0,80,140,1,1,,2,78,09,04,06,06,049,13,3,3,1,,0,41,3076,41,490,49,02,09,1,0,,141,94,,5,5,5,2,,1
63WN01026,63,1,7940,4,09,092,7421,4,40,11,5,0,80,140,1,2,,1,67,08,03,09,12,054,4,3,4,2,,0,41,3076,41,404,40,02,09,1,4,3,158,104,,4,5,5,2,,1
63WN01027,63,2,7942,4,16,162,6248,4,41,22,1,2,80,140,1,1,,1,73,09,03,08,07,054,40,4,4,1,,1,41,4827,41,457,45,21,16,1,7,,145,90,,4,2,1,1,,1
63WN01028,63,2,7944,4,70,732,5018,4,41,,5,3,80,140,1,1,,2,75,09,03,07,07,051,15,3,4,2,,1,41,6100,41,466,46,,70,2,6,2,147,98,,5,3,5,2,,1
63WN01029,63,2,7945,4,70,732,5018,4,41,,5,3,80,140,1,1,,2,82,08,03,07,07,048,11,3,4,2,,1,41,6100,41,517,51,,70,2,7,,157,96,,5,3,5,2,,1
63WN01030,63,2,7946,4,70,712,4165,4,41,,4,4,82,142,2,1,,2,93,09,03,07,05,052,2,2,3,2,,1,41,6164,41,586,58,,70,2,6,,150,98,,5,4,3,3,,4
63WN01031,63,2,7947,4,70,712,4165,4,41,,3,4,80,140,1,1,,1,102,09,03,05,05,070,9,5,6,2,,1,41,6164,41,646,64,,70,2,6,,169,116,,4,4,3,3,,1
63WN01032,63,2,7948,4,11,112,5481,4,41,19,1,3,80,140,1,1,,1,75,09,03,07,08,054,27,2,3,2,,1,41,6599,41,461,46,14,11,1,1,,143,104,,4,3,1,1,,1
63WN01033,63,2,7949,4,12,122,1837,4,41,13,1,6,80,140,1,1,,2,93,07,03,07,06,061,30,4,4,1,,1,41,5435,41,587,58,09,12,1,7,,168,108,,5,4,1,1,,1
63WN01034,63,1,7950,4,70,732,6562,4,41,,1,2,80,140,1,1,,1,94,09,03,07,06,057,15,3,3,1,,1,41,6100,41,606,60,,70,2,6,,156,92,,4,2,1,1,,1
63WN01035,63,1,7951,4,12,122,2238,4,41,13,5,6,80,140,1,2,,2,77,10,03,10,10,045,30,2,3,2,,1,41,5435,41,473,47,08,12,1,3,3,144,108,,5,4,5,2,,1
63WN01036,63,1,7952,4,12,122,2238,4,41,13,5,6,80,140,1,4,,1,79,10,03,09,08,051,16,3,4,2,,1,41,5435,41,487,48,08,12,1,7,,144,108,,4,4,5,2,,1
63WN01037,63,1,7953,4,18,182,3741,4,41,16,5,4,80,140,1,6,,2,60,08,03,08,09,052,27,3,3,1,,1,41,5274,41,386,38,14,18,1,6,3,139,60,,5,4,5,2,,1
63WN01038,63,1,7954,4,18,182,3741,4,41,16,5,4,80,140,1,1,,2,73,09,03,06,09,059,14,4,5,2,,1,41,5274,41,457,45,14,18,1,7,,151,90,,5,4,5,2,,1
63WN01039,63,2,7955,4,18,182,9509,4,40,18,1,8,80,140,1,1,,1,86,09,03,05,04,065,7,3,4,2,,0,41,5274,41,543,54,04,18,1,3,,152,100,,4,5,1,1,,1
63WN01040,63,1,7956,4,17,172,9622,4,40,17,5,8,80,140,1,2,,1,71,13,03,08,08,037,11,2,3,2,,0,41,5306,41,437,43,03,17,1,7,,116,98,,4,5,5,2,,1
63WN01041,63,1,7957,4,17,172,9622,4,40,17,5,8,80,140,1,1,,1,45,11,03,09,12,043,36,2,2,1,,0,41,5306,41,244,24,03,17,1,4,3,116,108,,4,5,5,2,,1
63WN01042,63,2,7958,4,70,722,1763,4,41,,5,6,82,142,1,1,,1,91,09,03,06,06,062,4,5,5,1,,1,41,4975,41,562,56,,70,2,2,,168,112,,4,4,5,2,,4
63WN01043,63,2,7959,4,70,722,1763,4,41,,5,6,82,142,1,1,,1,80,09,03,06,08,067,1,4,5,2,,1,41,4975,41,487,48,,70,2,7,,166,108,,4,4,5,2,,4
63WN01044,63,2,7960,4,14,142,0092,4,41,19,1,8,80,140,1,1,,2,89,09,03,07,06,059,36,4,5,2,,1,41,3160,41,560,56,15,14,1,0,,157,106,,5,5,1,1,,1
63WN01045,63,2,7961,4,70,712,6070,4,41,,1,2,80,140,1,1,,1,81,09,03,07,07,049,17,2,3,2,,1,41,6164,41,514,51,,70,2,4,2,145,90,,4,2,1,1,,1
63WN01046,63,1,7963,4,03,032,3196,4,41,24,5,5,80,140,1,1,,1,79,09,03,08,10,061,18,4,5,2,,1,41,6603,41,476,47,18,03,1,6,,163,124,,4,4,5,2,,1
63WN01047,63,2,7964,4,03,032,3196,4,41,24,5,5,80,140,1,1,,1,82,09,03,07,05,053,14,4,4,1,,1,41,6603,41,509,50,18,03,1,9,,152,107,,4,4,5,2,,1
63WN01048,63,2,7965,4,70,732,4381,4,41,,1,4,80,140,1,1,,5,100,08,03,06,05,062,26,3,3,1,,1,41,6100,41,630,63,,70,2,0,3,166,118,,2,4,1,1,,1
63WN01049,63,1,7966,4,70,712,4128,4,41,,1,4,80,140,1,1,,2,124,09,03,05,05,057,40,4,5,2,,1,41,6164,41,789,78,,70,2,9,,176,135,,5,4,1,1,,1
63WN01050,63,1,7969,4,17,172,0402,4,41,11,5,7,80,140,4,2,,1,67,10,03,09,10,046,7,3,4,2,,1,41,5306,41,409,40,06,17,1,9,6,138,98,,4,5,5,2,,1
