UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,STM,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,THSCO,C4950,DB2,LBRD,SIRE,SBRD,ADG,ADG6061,DINBR,LNDAM,TM,ADG67,BAND,IDX,BRWT,ABN,C76,CADAM,TBRE,CTBR,CJAW,DISP
66WN03113,66,3,3360,9,20,180,0538,8,84,,3,2,59,119,5,1,71,2,72,04,03,10,08,039,7,3,4,2,,4,90,,70,518,51,,,9,8,6,171,104,,3,2,3,3,5,3
66WN03114,66,3,3361,9,09,160,8945,4,41,,5,2,55,115,1,1,05,1,65,08,04,07,07,036,25,2,2,1,,1,90,6979,61,490,49,,82,9,0,7,143,86,,4,2,5,2,4,3
66WN03115,66,3,3362,9,09,160,8945,4,41,,5,2,59,119,1,1,05,1,43,08,03,12,12,035,5,3,4,2,,1,90,6979,61,271,27,,82,9,1,3,132,108,,4,2,5,2,4,3
66WN03116,66,3,3364,9,10,160,9193,4,41,,1,2,55,115,1,1,05,2,85,11,03,07,06,041,32,4,4,1,,1,90,6979,61,617,61,,82,9,7,7,138,140,,3,2,1,1,5,3
66WN03117,66,3,3365,9,20,070,3430,8,81,,5,3,55,115,1,1,61,1,68,10,03,10,10,042,9,5,6,2,,1,90,6394,61,494,49,,81,9,4,7,149,112,,1,3,5,2,4,3
66WN03118,66,3,3366,9,20,070,3430,8,81,,5,3,55,115,1,1,61,1,83,10,03,10,09,033,9,3,3,1,,1,90,6394,61,621,62,,81,9,1,7,155,116,,1,3,5,2,4,3
66WN03119,66,2,3367,9,35,060,3068,8,81,,9,3,55,115,1,1,67,1,73,11,03,10,09,031,6,3,4,2,,1,90,6929,61,541,54,,81,9,1,7,136,108,,4,3,8,2,4,2
66WN03120,66,3,3368,9,35,060,3068,8,81,,9,3,55,115,1,1,67,4,68,10,03,11,09,036,7,3,3,1,,1,90,6929,61,523,52,,81,9,3,7,139,78,,4,3,8,2,6,3
66WN03121,66,3,3369,9,35,060,3068,8,81,,8,3,57,117,1,1,67,2,87,11,03,07,07,035,17,3,3,1,,1,90,6929,61,675,67,,81,9,5,3,142,80,,4,3,7,3,5,3
66WN03122,66,3,3370,9,70,070,3014,8,81,,5,3,55,115,1,1,61,2,57,09,03,11,10,035,26,2,2,1,,1,90,6394,61,412,41,,81,9,2,7,141,96,,4,3,5,2,5,3
66WN03123,66,2,3371,9,70,070,3014,8,81,,5,3,55,115,1,1,61,2,64,09,03,09,07,046,24,4,4,1,,1,90,6394,61,475,47,,81,9,5,7,148,94,,4,3,5,2,5,2
66WN03124,66,3,3372,9,19,050,6549,1,14,,5,3,55,115,1,1,04,1,68,11,03,10,09,036,7,4,4,1,,4,90,5577,61,483,48,,82,9,3,7,143,124,,4,3,5,2,4,3
66WN03125,66,2,3373,9,19,050,6549,1,14,,5,3,55,115,1,1,04,1,70,09,03,09,08,039,12,4,4,1,,4,90,5577,61,525,52,,82,9,5,7,156,96,,4,3,5,2,4,2
66WN03126,66,3,3374,9,41,060,3480,8,81,,1,3,55,115,1,1,61,1,90,08,03,07,07,036,37,3,3,1,,1,90,6929,61,685,68,,81,9,5,7,155,112,,4,3,1,1,4,3
66WN03127,66,2,3375,9,24,060,5966,1,11,,1,3,59,119,1,1,04,2,80,09,03,07,07,041,11,2,3,2,,1,90,6929,61,585,58,39,24,9,5,6,150,104,,2,3,1,1,5,2
66WN03128,66,2,3377,9,74,160,0652,8,84,,1,2,55,115,1,1,61,1,84,08,03,09,07,039,3,4,4,1,,4,90,6979,61,635,63,,,9,5,7,153,110,,4,2,1,1,4,2
66WN03129,66,2,3379,9,14,160,9253,4,41,,1,2,59,119,1,1,05,2,67,09,03,10,08,043,17,2,3,2,,1,90,6979,61,474,47,,82,9,4,6,138,106,,4,2,1,1,5,2
66WN03130,66,2,3382,9,70,060,3021,8,81,,5,3,55,115,1,1,67,2,75,08,03,08,08,031,22,2,3,2,,1,90,6929,61,570,57,,81,9,0,7,157,94,,3,3,5,2,5,2
66WN03131,66,2,3383,9,70,060,3021,8,81,,5,3,55,115,1,1,67,1,65,10,03,09,09,039,29,4,4,1,,1,90,6929,61,477,47,,81,9,7,7,146,102,1,3,3,5,2,4,3
66WN03132,66,2,3384,9,70,080,3264,8,81,,9,3,59,119,1,1,61,1,58,08,03,09,08,042,12,4,4,1,,1,90,6523,61,410,41,,81,9,0,6,144,92,,2,3,8,2,4,2
66WN03133,66,2,3385,9,70,080,3264,8,81,,9,3,59,119,1,1,61,2,70,08,03,09,09,045,10,4,4,1,,1,90,6523,61,492,49,,81,9,2,6,161,114,,2,3,8,2,5,2
66WN03134,66,3,3386,9,36,050,3605,8,81,,5,3,55,115,1,1,67,1,68,10,03,10,09,036,7,4,4,1,,1,90,5577,61,501,50,,81,9,1,7,143,104,,4,3,5,2,4,3
66WN03135,66,2,3387,9,36,050,3605,8,81,,5,3,55,115,1,1,67,1,72,12,03,08,08,051,6,6,6,1,,1,90,5577,61,537,53,,81,9,7,7,146,102,,4,3,5,2,4,2
66WN03136,66,3,3388,9,12,160,0918,8,84,,1,2,59,119,1,2,61,2,102,10,03,09,06,034,10,2,2,1,,4,90,6979,61,755,75,,,9,5,6,151,122,,1,2,1,1,5,3
66WN03137,66,3,3389,9,21,160,1038,8,84,,5,2,55,115,1,1,61,4,66,09,03,08,09,044,12,5,5,1,,4,90,6979,61,478,47,,,9,8,7,155,110,,4,2,5,2,6,3
66WN03138,66,2,3390,9,21,160,1038,8,84,,5,2,55,115,1,1,61,2,46,09,03,10,11,043,13,5,5,1,,4,90,6979,61,339,33,,,9,9,7,141,70,,4,2,5,2,5,2
66WN03139,66,3,3391,9,03,150,9128,4,41,,1,2,55,115,1,1,05,2,78,10,04,09,08,040,24,3,3,1,,1,90,4658,61,583,58,,82,9,3,7,136,110,,2,2,1,1,5,3
66WN03140,66,2,3393,9,12,150,9657,4,41,,3,2,59,119,1,1,05,1,44,08,03,11,12,038,10,3,3,1,,1,90,4658,61,297,29,,82,9,7,3,119,86,1,4,2,3,3,4,2
66WN03141,66,2,3394,9,01,160,9324,4,41,,1,2,55,115,1,1,05,2,88,08,03,09,07,045,2,4,5,2,,1,90,6979,61,649,64,,82,9,9,7,157,134,,3,2,1,1,5,2
66WN03142,66,3,3395,9,21,150,0674,8,84,,5,2,58,118,1,1,62,2,78,08,03,09,08,046,10,3,4,2,,4,90,4658,61,554,55,,,9,4,6,167,126,3,1,2,5,2,5,3
66WN03143,66,2,3396,9,21,150,0674,8,84,,5,2,58,118,1,1,62,4,72,09,03,09,07,037,18,3,3,1,,4,90,4658,61,524,52,,,9,4,6,148,102,,1,2,5,2,6,2
66WN03144,66,3,3399,9,37,070,6976,1,14,,1,3,58,118,2,1,04,3,90,09,05,08,06,035,16,2,2,1,,4,90,6394,61,649,64,,82,9,9,6,142,134,,4,3,1,1,3,3
66WN03145,66,3,3400,9,35,020,7033,1,14,,5,3,58,118,1,1,04,1,65,09,03,11,09,035,12,2,2,1,,4,90,6030,61,453,45,,82,9,3,6,145,116,,3,3,5,2,4,3
66WN03146,66,3,3401,9,35,020,7033,1,14,,5,3,58,118,1,1,04,1,69,09,03,10,07,039,1,2,3,2,,4,90,6030,61,476,47,,82,9,6,6,145,128,,3,3,5,2,4,3
66WN03147,66,2,3404,9,51,060,6618,1,14,,8,3,56,116,1,3,04,2,68,09,03,09,08,032,9,2,2,1,,4,90,6929,61,533,53,,82,9,3,3,129,62,,2,3,7,3,5,7
66WN03148,66,3,3405,9,90,140,0771,8,84,,1,2,58,118,3,3,43,2,83,08,03,08,08,047,10,4,4,1,,4,90,7865,41,585,58,,,9,5,6,154,140,,2,2,1,1,5,3
66WN03149,66,3,3406,9,14,140,8922,4,41,,5,2,54,114,1,1,02,1,58,07,03,11,10,044,7,5,5,1,,1,90,7865,41,425,42,,82,9,5,7,156,96,,4,2,5,2,4,3
66WN03150,66,3,3407,9,14,140,8922,4,41,,5,2,54,114,1,1,02,1,64,08,03,11,09,039,15,2,3,2,,1,90,7865,41,474,47,,82,9,4,7,152,100,,4,2,5,2,4,3
66WN03151,66,3,3408,9,18,180,8902,4,41,,3,2,58,118,5,1,20,1,67,03,03,10,07,032,11,2,2,1,,1,90,,70,492,49,,82,9,2,6,164,90,,4,2,3,3,4,3
66WN03152,66,3,3410,9,32,050,7102,1,14,,1,3,54,114,1,1,04,2,88,15,04,07,07,041,7,4,4,1,,4,90,5577,61,651,65,,82,9,1,7,119,138,,2,3,1,1,5,3
66WN03153,66,2,3411,9,07, 40,2404,8,86,,1,2,54,114,5,1,73,2,84,06,03,06,07,058,1,5,7,3,,6,90,,70,625,62,,,9,5,7,175,128,,2,2,1,1,5,3
66WN03154,66,2,3412,9,34,010,3280,8,81,,5,3,58,118,1,1,67,1,69,13,03,09,08,042,8,3,4,2,,1,90,6796,61,480,48,,81,9,0,6,132,124,,4,3,5,2,4,2
66WN03155,66,2,3413,9,34,010,3280,8,81,,5,3,58,118,1,1,67,2,66,08,03,09,08,032,18,2,2,1,,1,90,6796,61,475,47,,81,9,5,6,148,100,,4,3,5,2,5,2
66WN03156,66,2,3414,9,01,150,9412,4,41,,5,2,58,118,1,1,05,1,62,08,03,10,09,034,15,3,3,1,,1,90,4658,61,442,44,,82,9,2,6,146,98,,1,2,5,2,4,2
66WN03157,66,3,3415,9,01,150,9412,4,41,,5,2,58,118,1,1,05,1,68,09,03,09,08,042,10,5,5,1,,1,90,4658,61,483,48,,82,9,3,6,149,110,,1,2,5,2,4,3
66WN03158,66,3,3416,9,12,160,9489,4,41,,3,2,58,118,1,1,05,1,75,07,03,10,08,038,12,2,2,1,,1,90,6979,61,536,53,,82,9,6,6,157,118,,1,2,3,3,4,3
66WN03159,66,2,3417,9,12,160,9489,4,41,,4,2,58,118,1,1,05,1,50,07,03,12,09,045,2,3,4,2,,1,90,6979,61,346,34,,82,9,6,6,139,92,,1,2,3,3,4,2
66WN03160,66,2,3418,9,32,060,6902,1,14,,5,3,54,114,1,1,04,1,74,07,03,09,09,039,29,2,2,1,,4,90,6929,61,553,55,,82,9,3,7,167,110,,4,3,5,2,4,2
66WN03161,66,2,3419,9,32,060,6902,1,14,,5,3,54,114,1,1,04,2,67,08,03,10,09,040,12,5,5,1,,4,90,6929,61,491,49,,82,9,1,7,153,110,,4,3,5,2,5,2
66WN03162,66,3,3420,9,19,060,5925,1,11,,1,3,58,118,1,3,04,2,79,09,03,09,08,037,17,4,4,1,,1,90,6929,61,581,58,,82,9,1,6,147,104,,4,3,1,1,5,3
66WN03163,66,2,3422,9,03,170,1034,8,84,,1,2,54,114,5,1,72,2,73,07,03,07,06,041,5,4,5,2,,4,90,4861,70,526,52,,,9,6,7,141,130,,4,2,1,1,5,3
66WN03164,66,2,3423,9,19,060,3361,8,81,,5,3,54,114,1,1,67,1,53,09,03,09,10,033,35,2,3,2,,1,90,6929,61,386,38,,81,9,6,7,142,90,1,2,3,5,2,4,3
66WN03165,66,3,3424,9,19,060,3361,8,81,,5,3,54,114,1,1,67,1,62,11,03,11,09,040,38,2,2,1,,1,90,6929,61,449,44,,81,9,9,7,143,108,,2,3,5,2,4,3
66WN03166,66,2,3425,9,36,030,3080,8,81,,1,3,54,114,1,1,61,1,84,12,03,09,08,036,13,3,3,1,,1,90,5004,61,619,61,,81,9,9,7,122,134,,2,3,1,1,4,2
66WN03167,66,2,3426,9,26,040,3554,8,81,,1,3,58,118,1,1,67,1,73,09,03,09,07,042,7,4,4,1,,1,90,5258,61,505,50,,81,9,5,6,147,134,,2,3,1,1,4,2
66WN03168,66,2,3427,9,37,060,3017,8,81,,3,3,54,114,2,1,67,1,75,09,03,09,07,041,28,2,3,2,,1,90,6929,61,554,55,,81,9,4,7,127,118,,2,3,3,3,4,2
66WN03169,66,3,3428,9,37,060,3017,8,81,,4,3,58,118,1,1,67,1,75,09,03,07,07,046,1,3,4,2,,1,90,6929,61,542,54,,81,9,2,9,151,110,,2,3,4,3,4,3
66WN03170,66,3,3429,9,37,050,3232,8,81,,5,3,58,118,1,1,61,1,53,09,03,11,11,034,6,2,3,2,,1,90,5577,61,344,34,,81,9,4,3,138,124,,4,3,5,2,4,3
66WN03171,66,2,3430,9,37,050,3232,8,81,,5,3,58,118,1,1,61,2,77,08,03,08,07,045,1,3,3,1,,1,90,5577,61,556,55,,81,9,6,6,162,114,,4,3,5,2,5,2
66WN03172,66,3,3431,9,54,060,6846,1,14,,9,3,54,114,1,1,04,2,63,09,03,10,08,038,16,2,2,1,,4,90,6929,61,472,47,,82,9,2,7,141,92,,4,3,8,2,5,3
66WN03173,66,2,3432,9,54,060,6846,1,14,,9,3,54,114,1,1,04,2,77,09,03,10,07,029,33,2,3,2,,4,90,6929,61,593,59,,82,9,3,7,149,94,,4,3,8,2,5,2
66WN03174,66,2,3433,9,54,060,6846,1,14,,9,3,56,116,1,1,04,2,75,08,03,08,08,037,12,3,3,1,,4,90,6929,61,552,55,,82,9,2,3,144,110,,4,3,8,2,5,7
66WN03175,66,2,3435,9,26,050,7113,1,14,,5,3,58,118,1,1,04,1,64,08,03,09,09,039,9,4,5,2,,4,90,5577,61,456,45,,82,9,6,6,150,102,,4,3,5,2,4,2
66WN03176,66,3,3436,9,26,050,7113,1,14,,5,3,58,118,1,1,04,2,68,09,03,10,09,041,13,3,4,2,,4,90,5577,61,488,48,,82,9,8,6,150,104,,4,3,5,2,5,3
66WN03177,66,2,3437,9,51,050,6756,1,14,,5,3,58,118,1,1,04,2,64,09,03,10,08,039,10,3,3,1,,4,90,5577,61,454,45,,82,9,4,6,144,104,,3,3,5,2,5,2
66WN03178,66,2,3438,9,51,050,6756,1,14,,5,3,58,118,1,1,04,2,49,11,03,12,09,029,8,2,2,1,,4,90,5577,61,334,33,,82,9,4,6,114,96,,3,3,5,2,5,2
66WN03179,66,3,3439,9,11,160,1025,8,84,,1,2,58,118,1,1,62,2,96,08,03,07,07,046,4,4,4,1,,4,90,6979,61,695,69,,,9,5,6,169,140,,4,2,1,1,5,3
66WN03180,66,2,3440,9,14,150,8921,4,41,,1,2,54,114,1,1,05,1,63,08,03,10,08,041,32,2,3,2,,1,90,4658,61,489,48,,82,9,9,7,138,72,,2,2,1,1,4,2
66WN03181,66,3,3441,9,14,180,1111,8,84,,3,2,58,118,4,1,71,1,84,02,03,08,06,026,17,2,2,1,,4,90,,70,619,61,,,9,9,6,180,110,,1,2,3,3,4,3
66WN03182,66,2,3442,9,14,180,1111,8,84,,4,2,58,118,5,1,71,2,63,06,03,09,07,030,1,2,2,1,,4,90,,70,461,46,,,9,1,9,134,86,,1,2,4,3,5,3
66WN03183,66,2,3443,9,13,160,0621,8,84,,3,2,58,118,1,1,62,1,77,08,03,07,07,047,6,5,5,1,,4,90,6979,61,564,56,,,9,4,6,157,104,,4,2,3,3,4,2
66WN03184,66,3,3445,9,02, 20,6943,6,61,,5,2,58,118,1,1,03,1,69,09,03,08,07,046,9,5,5,1,,1,90,8397,41,508,50,,82,9,8,6,147,90,,1,2,5,2,4,3
66WN03185,66,2,3446,9,02, 20,6943,6,61,,5,2,58,118,1,1,03,1,46,09,03,11,11,051,1,6,7,2,,1,90,8397,41,305,30,,82,9,5,3,134,100,,1,2,5,2,4,2
66WN03186,66,2,3447,9,41,140,0688,8,84,,1,2,58,118,1,1,43,1,74,08,03,10,06,038,18,2,3,2,,4,90,7865,41,536,53,,,9,6,6,136,108,1,1,2,1,1,4,2
66WN03187,66,2,3448,9,08,120,9004,4,41,,5,2,53,113,1,1,08,1,63,08,03,09,08,039,10,3,3,1,,1,90,1309,18,467,46,,82,9,7,7,149,102,,1,2,5,2,4,2
66WN03188,66,3,3449,9,08,120,9004,4,41,,5,2,53,113,1,4,08,1,69,08,03,11,10,029,21,3,3,1,,1,90,1309,18,513,51,,82,9,3,7,155,110,1,1,2,5,2,4,3
66WN03189,66,2,3450,9,10,110,8856,4,41,,1,2,57,117,1,1,08,1,77,08,03,09,07,042,7,2,3,2,,1,90,1777,18,552,55,22,10,9,2,6,150,124,,4,2,1,1,4,2
66WN03190,66,3,3451,9,01,120,9618,4,41,,1,2,53,113,1,3,08,3,78,08,03,07,07,039,9,3,4,2,,1,90,1309,18,588,58,,82,9,8,7,145,116,,4,2,1,1,3,3
66WN03191,66,3,3452,9,21,060,3612,8,81,,1,3,57,117,2,1,67,1,68,13,03,10,08,031,19,2,2,1,,1,90,6929,61,526,52,,81,9,6,6,118,64,,4,3,1,1,4,3
66WN03192,66,2,3453,9,46,060,6609,1,14,,1,3,57,117,1,1,04,1,72,08,03,09,08,044,12,3,4,2,,4,90,6929,61,509,50,28,46,9,9,6,153,124,,4,3,1,1,4,2
66WN03193,66,2,3454,9,41,030,6707,1,14,,5,3,53,113,1,1,04,2,66,13,03,09,09,039,36,2,3,2,,4,90,5004,61,474,47,01,41,9,4,7,139,124,,4,3,5,2,5,2
66WN03194,66,2,3455,9,41,030,6707,1,14,,5,3,57,117,1,1,04,2,60,11,03,11,10,032,18,3,3,1,,4,90,5004,61,422,42,01,41,9,2,3,128,106,,4,3,5,2,5,2
66WN03195,66,3,3456,9,37,050,6666,1,14,,1,3,57,117,1,1,04,4,81,09,03,09,08,039,19,2,3,2,,4,90,5577,61,564,56,,82,9,4,6,149,150,,2,3,1,1,6,3
66WN03196,66,2,3457,9,53,050,6840,1,14,,3,3,53,113,1,1,04,1,78,09,03,08,08,050,34,5,6,2,,4,90,5577,61,604,60,,82,9,4,7,146,98,,2,3,3,3,4,2
66WN03197,66,3,3459,9,07,160,8926,4,41,,1,2,57,117,1,1,05,2,79,09,03,09,07,037,13,2,2,1,,1,90,6979,61,581,58,,82,9,1,6,143,110,,3,2,1,1,5,3
66WN03198,66,3,3460,9,36,050,3536,8,81,,5,3,57,117,1,1,67,2,67,09,03,11,07,035,17,2,2,1,,1,90,5577,61,487,48,,81,9,7,6,143,100,,1,3,5,2,5,3
66WN03199,66,2,3461,9,36,050,3536,8,81,,5,3,57,117,1,1,67,1,66,09,03,10,07,041,19,3,4,2,,1,90,5577,61,468,46,,81,9,8,6,147,112,,1,3,5,2,4,2
66WN03200,66,2,3463,9,32,030,5970,1,11,,3,3,57,117,1,1,04,1,64,10,03,10,10,042,11,2,3,2,,1,90,5004,61,458,45,35,32,9,8,6,138,104,,1,3,3,3,4,2
66WN03201,66,2,3464,9,41,060,6586,1,14,,7,3,57,117,1,1,04,2,71,08,03,09,08,037,18,2,3,2,,4,90,6929,61,516,51,,82,9,6,6,152,106,,4,3,7,3,5,2
66WN03202,66,3,3467,9,47,060,3353,8,81,,1,3,53,113,1,3,67,1,84,10,03,08,07,040,25,4,4,1,,1,90,6929,61,632,63,,81,9,2,7,143,126,,4,3,1,1,4,
66WN03203,66,3,3468,9,15,120,9597,4,41,,3,2,53,113,1,1,08,3,49,09,03,11,11,039,10,4,5,2,,1,90,1309,18,343,34,,82,9,3,7,132,102,,2,2,3,3,3,
66WN03204,66,2,3469,9,15,120,9597,4,41,,5,2,57,117,1,1,08,1,49,08,03,11,11,034,4,4,4,1,,1,90,1309,18,350,35,,82,9,0,3,130,80,,2,2,5,2,4,2
66WN03205,66,3,3470,9,01, 20,2436,8,86,,1,2,53,113,1,1,44,5,80,09,03,09,08,045,16,2,3,2,,6,90,8397,41,584,58,,,9,4,7,150,140,,4,2,1,1,2,3
66WN03206,66,2,3471,9,09, 20,6986,6,61,,1,2,53,113,1,1,03,1,56,09,03,09,11,044,4,5,5,1,,1,90,8397,41,398,39,,82,9,8,7,135,110,,2,2,1,1,4,2
66WN03207,66,2,3472,9,01,160,9174,4,41,,1,2,53,113,3,1,05,2,84,08,03,08,07,040,7,3,4,2,,1,90,6979,61,642,64,,82,9,2,7,152,114,,2,2,1,1,5,3
66WN03208,66,3,3473,9,13,160,9292,4,41,,1,2,53,113,1,1,05,2,77,08,03,08,08,040,38,3,3,1,,1,90,6979,61,582,58,,82,9,2,7,152,112,,3,2,1,1,5,3
66WN03209,66,2,3474,9,03,160,9514,4,41,,1,2,53,113,1,1,05,2,83,06,03,07,05,043,1,5,5,1,,1,90,6979,61,641,64,,82,9,1,7,157,106,,4,2,1,1,5,2
66WN03210,66,2,3475,9,51,060,3209,8,81,,5,3,57,117,1,1,61,1,62,08,03,08,08,044,11,4,5,2,,1,90,6929,61,439,43,,81,9,9,6,150,106,,4,3,5,2,4,2
66WN03211,66,2,3476,9,51,060,3209,8,81,,5,3,57,117,1,1,61,1,64,08,03,09,09,038,7,4,4,1,,1,90,6929,61,450,45,,81,9,0,6,151,114,,4,3,5,2,4,2
