UID,IDLAMB,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DBRD,DB1,LINBR,TBRE,ADAM,WNAGE_60,WNAGE,CLR,HORN,STM,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,THSCO,CAUSE,DB2,LBRD,SIRE,SBRD,ADG,ADG6061,DINBR,LNDAM,TM,ADG67,BAND,IDX,BRWT,C75,DISP,CADAM,CTBR,ABN
73WN02720,73909147,73,1,9147,9,99,30,1824,62,6,,1,3,55,115,1,1,56,2,97,05,03,06,06,036,14,3,5,3,,2,90,0085,95,739,73,,74,8,9,2,172,120,,3,3,1,
73WN02721,73909148,73,2,9148,9,99,05,1209,62,6,,1,3,56,116,2,1,53,2,58,03,03,10,11,046,21,5,7,3,,2,90,0012,95,428,42,,73,8,8,3,174,84,,,3,1,
73WN02722,73909149,73,2,9149,9,98,05,2555,42,4,,5,5,55,115,2,1,52,3,64,04,03,11,10,037,11,4,5,2,,2,90,0012,95,483,48,,78,8,3,2,168,84,,,4,2,
73WN02723,73909150,73,1,9150,9,98,05,2555,42,4,,5,5,55,115,1,1,52,2,68,04,03,09,11,031,24,4,5,2,,2,90,0012,95,510,51,,78,8,0,2,165,94,,3,4,2,
73WN02724,73909151,73,1,9151,9,98,19,3690,42,4,,1,4,55,115,1,2,55,2,80,08,03,07,07,037,26,3,3,1,,2,90,0062,95,595,59,,78,8,5,2,142,116,,3,4,1,
73WN02725,73909152,73,2,9152,9,99,24,9755,61,6,,5,5,55,115,1,1,56,2,65,07,03,09,09,042,30,4,5,2,,1,90,0080,95,475,47,,73,8,5,2,155,104,,,4,2,
73WN02726,73909153,73,2,9153,9,99,24,9755,61,6,,5,5,55,115,1,1,56,3,68,06,03,07,09,052,28,7,8,2,,1,90,0080,95,496,49,,73,8,6,2,170,110,,,4,2,
73WN02727,73909154,73,1,9154,9,98,23,6654,42,4,,1,2,55,115,1,1,55,2,87,07,03,08,08,047,4,4,5,2,,2,90,0066,95,666,66,,77,8,6,2,167,104,,3,2,1,
73WN02728,73909155,73,2,9155,9,97,12,9692,14,1,,5,5,56,116,1,1,54,1,54,08,03,12,09,032,14,3,4,2,,4,90,0042,95,397,39,,78,8,7,3,137,80,,,4,2,
73WN02729,73909156,73,1,9156,9,97,12,9692,14,1,,5,5,56,116,1,4,54,1,68,08,03,09,10,036,3,3,4,2,,4,90,0042,95,500,50,,78,8,0,3,150,100,,3,4,2,
