UID,IDLAMB,YR,SEX,ETAG,LBRD,LB1,LINE,BPEN,DAM,TESTE,TBRE,ADAM,WNAGE_60,WNAGE,CLR,HORN,STM,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,MENB,LB2,DBRD,SIRE,SBRD,ADG,MELW,TM,BAND,IDX,BRWT,CAUSE,CADAM,CTBR,ABN
76WN00001,76190235,76,1,0235,19,1,75,750,8221,121,5,2,72,132,1,4,,2,56,08,09,13,11,032,6,2,3,,9,18,9202,18,354,,6,3,116,93,,2,2,
76WN00002,76190236,76,1,0236,19,1,75,750,8221,203,5,2,72,132,1,4,,2,83,08,04,10,07,039,11,4,5,,9,18,9202,18,552,,6,3,156,101,,2,2,
76WN00003,76190237,76,1,0237,19,1,75,750,5083,157,5,6,72,132,1,4,,1,69,11,03,11,09,031,3,2,4,137,9,18,9202,18,445,789,6,3,125,103,93,4,2,
76WN00004,76190238,76,1,0238,19,1,75,750,5083,157,5,6,72,132,1,7,,1,65,09,03,12,11,031,8,2,4,137,9,18,9202,18,409,789,6,3,137,110,93,4,2,
76WN00005,76190239,76,2,0239,19,1,74,740,8114,,1,2,72,132,1,3,,2,70,10,03,10,09,037,9,2,4,,9,18,9257,18,442,,6,3,130,116,,2,1,
76WN00006,76190240,76,2,0240,19,1,75,751,8105,,5,2,71,131,1,1,,1,57,07,03,11,11,039,21,2,4,,9,18,9362,18,357,,6,2,150,102,,2,2,
76WN00007,76190241,76,1,0241,19,1,75,751,8105,238,5,2,72,132,1,6,,1,77,09,03,09,08,044,15,4,5,,9,18,9362,18,517,,6,3,155,87,,2,2,
76WN00008,76190242,76,2,0242,19,1,74,740,4584,,1,6,72,132,1,1,,1,76,11,03,09,08,038,5,2,4,162,9,18,9257,18,502,832,6,3,124,98,,4,1,
76WN00009,76190244,76,2,0244,19,1,73,731,7528,,3,3,72,132,1,1,,2,65,10,03,10,08,038,12,3,5,139,9,18,8959,18,427,810,6,3,128,86,,3,3,
76WN00010,76190245,76,2,0245,19,1,70,701,4732,,1,6,71,131,1,1,,2,85,09,03,06,06,047,3,4,5,149,9,18,8084,18,553,1031,2,2,140,126,,4,1,
76WN00011,76190246,76,2,0246,19,1,72,850,3445,,5,7,72,132,1,1,,1,66,12,03,11,09,037,15,4,5,163,9,18,8171,18,435,836,3,3,127,86,,5,2,
76WN00012,76190247,76,1,0247,19,1,72,850,3445,191,5,7,72,132,1,6,,2,81,08,03,10,10,039,16,3,5,163,9,18,8171,18,532,836,3,3,164,108,,5,2,
76WN00013,76190248,76,2,0248,19,1,72,830,7454,,1,3,72,132,1,1,,2,72,12,03,09,07,049,13,2,4,139,9,18,8480,18,472,820,3,3,124,97,,3,1,
76WN00014,76190249,76,1,0249,19,1,75,751,5266,260,3,5,72,132,1,6,,1,87,08,03,09,08,037,11,2,4,141,9,18,9362,18,575,704,6,3,153,111,,4,3,
76WN00015,76190250,76,1,0250,19,1,75,751,4960,231,3,6,72,132,1,6,,2,93,09,03,09,07,040,6,3,5,137,9,18,9362,18,622,657,6,3,152,109,,4,3,
