UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,EBVLWW,CLPG1,CLPG2,CLPG3,DNA,INBRL,ADGBV,ADGACC,MADGBV,MADGACC,FLBVB,FLBVR,SAGE,STUDY
01WN01836,101448478,01,T8478,44,1,42,02,912,5,1,1,2.0,2,2,2,103,220,117,13,13.6,71,95,0.696,97,1,1,,,2,C,.,,,T7330,44,T7372,44,42,1,,0,1,1,102,1.5,94.0,1,107,0,,0,0,,,0.07,0.0,,,,,,0.0,Ctrl
01WN01837,101448479,01,T8479,44,1,41,02,412,8,2,2,2.0,2,2,2,103,220,117,13,9.2,59,80,0.605,82,1,1,,,2,M,.,,,T7206,44,T7115,44,41,3,93,243,5,5,103,1.83,126.5,3,86,0,,0,0,,,0.084,0.0,,,,,,0.0,X
01WN01838,101448480,01,T8480,44,1,41,02,412,8,2,2,2.0,2,2,2,103,220,117,14,9.3,62,82,0.621,84,1,1,,,2,M,.,,,T7206,44,T7115,44,41,3,93,243,5,5,104,1.83,126.5,3,92,0,,0,0,,,0.084,0.0,,,,,,0.0,X
01WN01839,101448481,01,T8481,44,2,41,02,412,8,2,2,6.0,6,4,2,103,220,117,9,10.9,56,80,0.591,82,1,1,,,2,M,.,e.6,,T7206,44,T4802,44,41,1,,0,5,5,111,1.86,135.4,1,90,0,,0,0,,,0.061,0.0,,,,,,0.0,Lww
01WN01840,101448482,01,T8482,44,1,41,02,412,8,2,2,6.0,6,4,2,103,220,117,9,11.7,56,82,0.601,84,1,1,,,2,M,.,,,T7206,44,T4802,44,41,1,,0,5,5,108,1.86,135.4,1,92,0,,0,0,,,0.061,0.0,,,,,,0.0,Lww
01WN01841,101448483,01,T8483,44,2,ID,02,43T,8,2,2,2.0,2,2,2,103,220,117,4,9.1,57,80,0.606,82,1,1,,,I,I,.,e.7,,T5505,44,T7102,44,ID,1,,0,5,4,108,1.83,126.3,1,93,0,,0,0,,,0.082,0.0,,,,,,0.0,Ida
01WN01842,101448484,01,T8484,44,2,ID,02,43T,8,2,2,2.0,2,2,2,103,220,117,1,7.2,53,71,0.545,73,1,1,,,I,I,12,,,T5505,44,T7102,44,ID,2,92,263,5,6,101,1.83,126.3,2,90,87,,0,0,,,0.082,0.0,,,,,,0.0,Sale
01WN01843,101448487,01,T8487,44,2,41,02,411,9,3,1,7.0,7,5,1,104,218,114,15,12.5,70,96,0.732,100,1,1,,,2,M,.,e.5,,T7470,44,T4637,44,41,1,,0,7,2,113,1.72,102.3,1,104,0,,0,0,,,0.118,0.0,,,,,,0.0,Lww
01WN01844,101448488,01,T8488,44,1,41,02,411,8,2,2,4.0,4,4,1,104,218,114,12,10.6,47,63,0.46,66,1,1,,,2,M,.,,,T7470,44,T5981,44,41,3,93,243,5,5,93,1.95,131.0,3,64,0,,0,0,,,0.089,0.0,,,,,,0.0,X
01WN01845,101448489,01,T8489,44,1,41,02,411,8,2,2,4.0,4,4,1,104,218,114,14,10.7,56,75,0.564,78,1,1,,,2,M,.,,ENTR,T7470,44,T5981,44,41,1,,0,5,5,102,1.95,131.0,1,85,0,,0,0,,,0.089,0.0,,,,,,0.0,Lww
01WN01846,101448490,01,T8490,44,2,41,02,411,8,2,2,3.0,3,3,1,104,218,114,15,11.5,53,71,0.522,74,1,1,,,2,M,14,,,T7470,44,T6885,44,41,2,92,263,5,5,98,1.65,114.8,2,82,85,,0,0,,,0.064,0.0,,,,,,0.0,Sale
