UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,STM,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,THSCO,C4950,DB2,LBRD,SIRE,SBRD,ADG,ADG6061,DINBR,LNDAM,TM,ADG67,BAND,IDX,BRWT,ABN,DISP,CADAM,TBRE,CTBR,TRT,MATRIX
67WN00001,67,3,2638,0,00,000,4901,1,14,,1,8,129,189,1,3,,2,102,07,03,06,05,060,0,2,2,1,,4,10,,,479,57,,26,0,0,1,,114,,3,5,1,1,,
67WN00002,67,1,6304,1,32,320,6152,1,11,29,3,3,63,123,1,5,,1,70,07,04,12,10,032,0,2,2,1,,1,11,6208,11,491,49,35,32,1,1,1,152,96,,,3,3,3,,
67WN00003,67,2,6305,1,32,321,5497,1,11,29,3,7,62,122,3,1,,2,42,09,03,12,12,033,0,2,2,1,,1,11,6231,11,274,27,22,32,1,4,1,122,86,,,5,3,3,,
67WN00004,67,1,6307,1,23,230,5263,1,11,37,5,8,61,121,1,5,,3,72,15,04,10,09,034,0,2,2,1,,1,11,6161,11,501,50,00,23,1,1,1,104,114,,3,5,5,2,,
67WN00005,67,1,6308,1,23,230,5263,1,11,37,5,8,61,121,1,4,,1,58,15,04,11,11,029,0,2,2,1,,1,11,6161,11,393,39,00,23,1,3,1,90,104,,3,5,5,2,,
67WN00006,67,2,6309,1,23,230,6132,1,11,16,3,3,61,121,1,3,,1,53,13,04,11,09,038,0,2,3,2,,1,11,6161,11,354,35,29,23,1,4,1,102,102,,3,3,3,3,,
67WN00007,67,2,6314,1,24,240,5814,1,11,41,1,5,59,119,1,1,,1,78,14,10,09,07,033,0,2,2,1,,1,11,6212,11,566,56,40,24,1,6,1,86,106,,,4,1,1,,
67WN00008,67,2,6316,1,82,205,5348,1,11,,4,8,61,121,1,1,07,1,82,08,03,10,07,039,0,2,3,2,,1,11,6176,11,582,58,25,32,7,2,2,163,116,,,5,3,3,,
67WN00009,67,1,6317,1,82,244,6044,1,11,,1,3,59,119,1,4,07,1,82,09,12,09,09,036,0,2,2,1,,1,11,6212,11,556,55,45,19,7,6,1,117,158,,3,3,1,1,,
67WN00010,67,1,6318,1,82,325,5709,1,11,,5,6,58,118,1,4,07,1,58,09,03,10,08,034,0,2,3,2,,1,11,6231,11,397,39,32,20,7,7,1,127,112,,3,4,5,2,,
67WN00011,67,2,6319,1,82,325,5709,1,11,,5,6,58,118,1,1,07,1,50,09,03,10,11,034,0,2,2,1,,1,11,6231,11,349,34,32,20,7,9,1,133,88,,,4,5,2,,
67WN00012,67,2,6320,1,20,201,4752,1,11,42,1,-,58,118,1,3,,1,73,10,03,07,06,042,0,2,2,1,,1,11,6176,11,515,51,23,20,1,5,1,133,122,,,5,1,1,,
67WN00013,67,2,6321,1,82,205,5786,1,11,,5,5,58,118,1,4,07,1,64,07,03,09,08,037,0,2,2,1,,1,11,6176,11,461,46,27,32,7,1,1,148,96,,,4,5,2,,
67WN00014,67,1,6322,1,82,205,5786,1,11,,5,5,58,118,1,7,07,1,73,09,04,10,08,027,0,2,2,1,,1,11,6176,11,544,54,27,32,7,4,1,139,88,,3,4,5,2,,
67WN00015,67,2,6324,1,21,210,5758,1,11,41,3,5,58,118,1,3,,1,78,06,03,07,06,045,0,2,3,2,,1,11,5747,11,566,56,40,21,1,6,1,164,112,,,4,3,3,,
67WN00016,67,2,6325,1,34,340,6149,1,11,46,7,3,58,118,1,1,,1,78,06,03,05,06,055,0,5,6,2,,1,11,6195,11,576,57,53,34,1,6,1,174,100,,2,3,7,3,,
67WN00017,67,1,6328,1,27,270,5762,1,11,34,1,5,57,117,1,7,,1,73,09,03,08,08,043,0,2,2,1,,1,11,6227,11,528,52,32,27,1,8,1,145,112,,,4,1,1,,
67WN00018,67,2,6329,1,19,191,6154,1,11,43,2,3,57,117,1,3,,1,64,14,03,11,09,040,0,2,2,1,,1,11,6210,11,462,46,43,19,1,2,1,116,100,,,3,1,1,,
67WN00019,67,1,6330,1,82,195,6150,1,11,,1,3,55,115,1,5,07,1,73,14,03,09,08,038,0,2,2,1,,1,11,6210,11,567,56,31,24,7,7,1,119,78,,3,3,1,1,,
67WN00020,67,1,6331,1,23,231,5683,1,11,21,3,6,55,115,1,4,,1,66,14,04,12,10,031,0,2,2,1,,1,11,6162,11,468,46,19,23,1,8,1,108,122,,3,4,3,3,,
67WN00021,67,2,6333,1,27,271,6148,1,11,41,1,3,55,115,1,3,,1,72,11,04,09,08,042,0,2,2,1,,1,11,6163,11,534,53,36,27,1,4,1,129,106,,,3,1,1,,
67WN00022,67,2,6334,1,24,240,6100,1,11,34,3,3,55,115,1,1,,1,72,09,03,09,08,034,0,2,2,1,,1,11,6212,11,551,55,30,24,1,1,1,147,86,,,3,3,3,,
