UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,STM,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,THSCO,C4950,DB2,LBRD,SIRE,SBRD,ADG,ADG6061,DINBR,LNDAM,TM,ADG67,DISP,IDX,BRWT,ABN,CJAW,CADAM,TBRE,CTBR,TM2,BAND
64WN00029,64,2,6017,1,23,230,5405,1,11,18,5,5,60,120,1,1,,1,69,10,04,09,07,028,3,2,2,1,5,1,11,5819,11,489,48,00,23,1,9,,124,103,,4,4,5,2,1,2
64WN00030,64,1,6018,1,23,230,5405,1,11,18,5,5,60,120,1,4,,1,60,15,05,10,10,027,6,2,2,1,5,1,11,5819,11,422,42,00,23,1,2,6,94,94,,4,4,5,2,1,2
64WN00031,64,2,6019,1,24,240,5825,1,11,37,1,2,60,120,1,1,,2,77,09,05,07,07,043,13,2,3,2,1,1,11,5771,11,542,54,29,24,1,2,,149,120,,5,2,1,1,1,2
64WN00032,64,1,6021,1,23,230,5300,1,11,16,3,5,58,118,1,5,,1,80,13,05,10,08,030,5,2,2,1,3,1,11,5819,11,592,59,00,23,1,2,,116,102,,4,4,3,3,1,2
64WN00033,64,1,6023,1,24,240,5634,1,11,32,5,3,59,119,1,4,,2,77,15,06,07,08,036,15,2,2,1,5,1,11,5771,11,551,55,32,24,1,1,6,117,114,,5,3,5,2,1,2
64WN00034,64,2,6024,1,24,240,5634,1,11,32,5,3,59,119,1,1,,2,73,11,04,08,08,030,12,2,2,1,5,1,11,5771,11,534,53,32,24,1,4,,136,95,,5,3,5,2,1,2
64WN00035,64,1,6025,1,20,200,4514,1,11,37,1,9,58,118,1,7,,3,56,14,04,11,11,034,1,2,2,1,1,1,11,5699,11,398,39,37,20,1,8,,108,90,,3,5,1,1,1,2
64WN00036,64,2,6026,1,27,270,5330,1,11,35,5,5,59,119,1,3,,3,65,08,03,08,09,038,1,2,2,1,5,1,11,5477,11,454,45,29,27,1,4,,154,110,,3,4,5,2,1,2
64WN00037,64,1,6027,1,27,270,5330,1,11,35,5,5,59,119,1,7,,1,63,08,04,09,10,032,22,2,2,1,5,1,11,5477,11,444,44,29,27,1,4,,148,102,1,4,4,5,2,1,2
64WN00038,64,2,6028,1,20,200,4928,1,11,32,5,7,59,119,1,1,,1,46,13,04,11,13,029,2,2,2,1,5,1,11,5699,11,324,32,27,20,1,4,,114,74,,4,5,5,2,1,2
64WN00039,64,2,6029,1,20,200,4928,1,11,32,5,7,59,119,1,3,,3,54,15,03,10,09,033,11,1,2,2,5,1,11,5699,11,370,37,27,20,1,0,,108,100,,3,5,5,2,1,2
64WN00040,64,2,6030,1,19,190,5524,1,11,46,1,4,59,119,1,3,,2,56,12,04,09,08,040,20,2,3,2,1,1,11,5806,11,383,38,43,19,1,3,,113,104,,5,4,1,1,1,2
64WN00041,64,1,6031,1,24,240,5500,1,11,33,1,4,58,118,1,4,,4,97,12,04,08,08,035,6,2,2,1,1,1,11,5771,11,715,71,25,24,1,5,,145,126,,6,4,1,1,1,2
64WN00042,64,1,6032,1,20,200,5434,1,11,38,3,4,58,118,1,7,,1,63,09,04,10,09,030,11,2,2,1,3,1,11,5699,11,453,45,27,20,1,3,6,133,95,,4,4,3,3,1,2
64WN00043,64,2,6033,1,20,200,5434,1,11,38,4,4,58,118,1,3,,2,56,10,04,10,10,033,12,2,2,1,4,1,11,5699,11,416,41,27,20,1,6,,126,69,,5,4,3,3,1,2
64WN00044,64,2,6034,1,23,230,5388,1,11,18,1,5,58,118,1,3,,1,81,08,06,08,07,029,5,2,2,1,1,1,11,5819,11,586,58,00,23,1,6,,129,119,,4,4,1,1,1,2
64WN00045,64,2,6035,1,24,240,5337,1,11,28,5,5,58,118,1,1,,1,45,09,03,09,11,036,1,2,3,2,5,1,11,5771,11,322,32,29,24,1,2,,131,70,,4,4,5,2,1,2
64WN00046,64,1,6036,1,24,240,5337,1,11,28,5,5,58,118,1,5,,2,47,14,04,09,08,039,12,2,2,1,5,1,11,5771,11,336,33,29,24,1,6,,99,73,,5,4,5,2,1,2
64WN00047,64,1,6038,1,32,320,5291,1,11,27,1,5,58,118,1,5,,2,73,08,04,10,10,029,12,2,2,1,1,1,11,5785,11,517,51,22,32,1,7,3,141,120,,5,4,1,1,1,2
64WN00048,64,2,6041,1,20,200,5397,1,11,33,1,5,57,117,1,3,,1,61,10,04,10,11,034,3,2,2,1,1,1,11,5699,11,431,43,31,20,1,1,,127,106,,4,4,1,1,1,2
64WN00049,64,1,6042,1,32,320,5235,1,11,25,1,5,56,116,1,5,,2,82,10,05,11,12,030,5,1,2,2,1,1,11,5785,11,600,60,20,32,1,0,,142,124,,5,4,1,1,1,2
64WN00050,64,2,6043,1,19,190,5417,1,11,45,4,4,57,117,1,1,,1,57,08,04,10,11,040,3,5,6,2,4,1,11,5806,11,400,40,42,19,1,0,2,148,102,,4,4,3,3,1,2
