UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,STM,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,THSCO,C4950,DB2,LBRD,SIRE,SBRD,ADG,ADG6061,DINBR,LNDAM,TM,ADG67,DISP,IDX,BRWT,ABN,CJAW,CADAM,TBRE,CTBR,TM2,BAND
64WN00335,64,2,7390,2,35,350,6011,1,14,35,1,3,54,114,1,1,,2,70,09,04,08,08,041,12,2,2,1,1,4,14,6441,14,539,53,36,35,1,9,,142,86,,5,3,1,1,1,2
64WN00336,64,1,7391,2,53,530,2528,1,14,14,1,9,54,114,1,1,,1,60,12,04,08,09,035,22,1,2,2,1,4,14,5904,14,430,43,08,53,1,0,6,111,110,,4,5,1,1,1,2
64WN00337,64,1,7392,2,45,450,6432,1,14,30,1,2,54,114,1,7,,3,67,08,04,11,10,035,13,2,2,1,1,4,14,6433,14,475,47,09,45,1,5,,150,128,,3,2,1,1,1,2
64WN00338,64,2,7393,2,35,350,4818,1,14,33,5,5,54,114,1,1,,2,63,07,03,09,10,033,15,2,2,1,5,4,14,6441,14,472,47,31,35,1,2,,158,92,,5,4,5,2,1,2
64WN00339,64,2,7394,2,35,350,4818,1,14,33,5,5,54,114,1,1,,1,58,10,06,10,09,038,14,2,2,1,5,4,14,6441,14,435,43,31,35,1,5,,128,84,,4,4,5,2,1,2
64WN00340,64,1,7396,2,25,250,4586,1,14,10,3,6,54,114,1,7,,1,89,09,05,08,08,036,1,2,2,1,3,4,14,6430,14,674,67,17,25,1,4,6,150,122,,4,4,3,3,1,2
64WN00341,64,2,7397,2,46,460,2989,1,14,28,5,8,53,113,1,3,,3,63,13,04,10,09,032,1,2,2,1,5,4,14,6250,14,458,45,22,46,1,8,,123,112,,3,5,5,2,1,2
64WN00342,64,2,7398,2,46,460,2989,1,14,28,5,8,54,114,1,3,,3,64,15,04,09,09,031,14,2,2,1,5,4,14,6250,14,484,48,22,46,1,4,,114,88,,3,5,5,2,1,2
64WN00343,64,1,7399,2,25,250,6117,1,14,13,1,3,53,113,1,7,,2,87,12,04,09,06,032,2,2,2,1,1,4,14,6430,14,658,65,00,25,1,8,3,124,126,,5,3,1,1,1,2
64WN00344,64,2,7400,2,53,530,6225,1,14,22,1,2,52,112,1,1,,2,41,11,04,09,14,039,5,2,3,2,1,4,14,5904,14,295,29,34,53,1,5,,122,80,,5,2,1,1,1,2
64WN00345,64,1,7401,2,54,540,3064,1,14,25,5,8,52,112,1,1,,3,46,12,04,11,13,032,1,2,2,1,5,4,14,5773,14,329,32,15,54,1,9,3,122,92,,3,5,5,2,1,2
64WN00346,64,2,7402,2,54,540,3064,1,14,25,5,8,53,113,1,1,,3,58,09,03,10,10,035,11,1,2,2,5,4,14,5773,14,432,43,15,54,1,2,,146,92,,3,5,5,2,1,2
64WN00347,64,2,7403,2,45,450,5617,1,14,17,3,4,53,113,1,5,,1,68,09,04,10,09,037,15,2,2,1,3,4,14,6433,14,517,51,02,45,1,7,2,138,96,,4,4,3,3,1,2
64WN00348,64,2,7406,2,46,460,4903,1,14,31,3,5,53,113,1,3,,1,70,09,06,08,07,034,3,2,2,1,3,4,14,6250,14,547,54,40,46,1,7,,131,82,,4,4,3,3,1,2
64WN00349,64,1,7407,2,41,410,4881,1,11,00,5,7,53,113,1,4,,2,60,09,04,09,09,031,2,2,2,1,5,1,14,6197,14,425,42,19,41,1,5,3,132,120,,5,5,5,2,1,2
64WN00350,64,2,7408,2,41,410,4881,1,11,00,5,7,53,113,1,1,,2,66,10,03,08,08,040,12,2,2,1,5,1,14,6197,14,487,48,19,41,1,7,,140,110,,5,5,5,2,1,2
64WN00351,64,2,7409,2,39,390,6196,1,14,34,1,2,52,112,1,3,,2,75,10,05,09,08,031,3,2,2,1,1,4,14,6322,14,575,57,27,39,1,5,,139,106,,5,2,1,1,1,2
64WN00352,64,2,7410,2,35,350,6474,1,14,37,1,2,53,113,1,1,,1,60,08,03,09,10,033,11,2,2,1,1,4,14,6441,14,451,45,32,35,1,1,,149,90,,4,2,1,1,1,2
64WN00353,64,1,7411,2,29,290,6444,1,14,27,1,2,53,113,1,4,,2,66,08,03,08,08,035,7,2,2,1,1,4,14,5953,14,485,48,19,29,1,5,3,147,112,,5,2,1,1,1,2
64WN00354,64,1,7413,2,46,460,4507,1,14,30,3,6,53,113,2,7,,2,87,09,08,07,07,037,10,2,2,1,3,4,14,6250,14,671,67,23,46,1,1,6,142,112,,5,4,3,3,1,2
64WN00355,64,1,7414,2,44,441,4252,1,14,24,1,6,53,113,1,7,,1,81,10,09,08,06,030,2,2,2,1,1,4,14,6306,14,619,61,20,44,1,9,,111,110,,4,4,1,1,1,2
64WN00356,64,2,7415,2,49,490,3166,1,14,38,1,8,53,113,1,3,,2,73,08,07,07,07,031,13,2,2,1,1,4,14,6235,14,561,56,18,49,1,1,,132,96,,5,5,1,1,1,2
64WN00357,64,1,7416,2,46,460,5409,1,14,26,5,4,52,112,1,7,,1,60,09,04,09,09,030,7,2,2,1,5,4,14,6250,14,441,44,18,46,1,1,3,135,106,,4,4,5,2,1,2
64WN00358,64,1,7417,2,46,460,5409,1,14,26,5,4,52,112,1,7,,1,65,13,04,09,09,029,3,1,2,2,5,4,14,6250,14,480,48,18,46,1,0,3,119,112,,4,4,5,2,1,2
64WN00359,64,2,7418,2,45,450,6134,1,14,13,1,3,51,111,1,3,,1,77,09,04,10,08,037,4,2,2,1,1,4,14,6433,14,586,58,05,45,1,6,,139,120,,4,3,1,1,1,2
64WN00360,64,2,7419,2,41,410,5343,1,14,07,3,4,52,112,1,3,,1,73,09,04,10,08,030,14,2,2,1,3,4,14,6197,14,563,56,01,41,1,3,2,133,100,,4,4,3,3,1,2
64WN00361,64,1,7421,2,22,220,2718,1,14,35,3,9,52,112,1,7,,2,60,13,07,10,09,030,2,2,2,1,3,4,14,6061,14,464,46,26,22,1,4,,105,80,,5,5,3,3,1,2
64WN00362,64,2,7422,2,29,290,2726,1,14,16,5,9,52,112,1,1,,1,70,08,03,07,07,043,8,2,2,1,5,4,14,5953,14,532,53,00,29,1,2,,157,104,,4,5,5,2,1,2
64WN00363,64,2,7423,2,29,290,2726,1,14,16,5,9,51,111,1,1,,1,64,08,05,09,09,041,4,2,2,1,5,4,14,5953,14,486,48,00,29,1,6,,148,100,,4,5,5,2,1,2
64WN00364,64,2,7425,2,53,530,5586,1,14,22,3,4,52,112,1,1,,2,53,09,03,08,09,039,7,2,2,1,3,4,14,5904,14,411,41,30,53,1,1,,131,70,1,5,4,3,3,1,2
64WN00365,64,2,7426,2,51,510,6218,1,14,36,1,2,52,112,1,3,,2,64,13,03,07,09,044,12,2,3,2,1,4,14,6366,14,493,49,28,51,1,3,,133,88,2,5,2,1,1,1,2
64WN00366,64,2,7428,2,35,350,5968,1,14,32,3,3,52,112,1,3,,1,57,08,04,10,10,032,10,2,2,1,3,4,14,6441,14,439,43,24,35,1,9,2,139,78,,4,3,3,3,1,2
64WN00367,64,1,7429,2,51,510,3279,1,14,23,5,8,52,112,1,7,,2,60,11,04,10,10,032,14,2,2,1,5,4,14,6366,14,464,46,29,51,1,4,6,134,80,,5,5,5,2,1,2
64WN00368,64,2,7430,2,51,510,3279,1,14,23,5,8,52,112,1,3,,2,54,10,03,09,10,028,11,2,2,1,5,4,14,6366,14,421,42,29,51,1,1,2,133,68,,5,5,5,2,1,2
64WN00369,64,1,7431,2,22,220,4970,1,14,38,1,5,52,112,1,4,,2,95,09,07,07,07,032,12,2,2,1,1,4,14,6061,14,734,73,34,22,1,4,,148,128,,5,4,1,1,1,2
64WN00370,64,2,7432,2,40,400,5711,1,14,34,3,4,52,112,1,3,,2,59,08,05,10,09,025,3,1,2,2,3,4,14,5871,14,455,45,29,40,1,5,,129,80,,5,4,3,3,1,2
64WN00371,64,2,7434,2,46,460,6282,1,14,38,3,2,52,112,1,3,,1,55,14,04,09,09,031,12,2,2,1,3,4,14,6250,14,434,43,34,46,1,4,,113,64,,4,2,3,3,1,2
64WN00372,64,2,7436,2,39,390,3853,1,14,24,3,7,52,112,1,1,,1,71,09,04,09,08,038,6,2,2,1,3,4,14,6322,14,555,55,11,39,1,5,,146,88,,4,5,3,3,1,2
64WN00373,64,1,7437,2,39,390,3853,1,14,24,4,7,51,111,1,7,,1,69,14,05,10,09,036,4,2,2,1,4,4,14,6322,14,526,52,11,39,1,6,3,117,106,,4,5,3,3,1,2
64WN00374,64,2,7438,2,29,290,6328,1,14,33,1,2,51,111,1,1,,2,65,07,04,08,07,037,4,2,3,2,1,4,14,5953,14,494,49,34,29,1,4,,150,102,,5,2,1,1,1,2
64WN00375,64,1,7441,2,29,290,4221,1,14,16,3,6,52,112,1,4,,1,57,09,04,09,09,033,12,2,2,1,3,4,14,5953,14,423,42,20,29,1,3,3,126,96,,4,4,3,3,1,2
64WN00376,64,2,7442,2,37,370,4732,1,14,17,1,5,52,112,1,1,,1,76,08,04,07,08,043,10,2,2,1,1,4,14,6237,14,554,55,10,37,1,4,3,147,140,1,4,4,1,1,1,2
64WN00377,64,2,7443,2,45,450,6333,1,14,20,1,2,51,111,1,4,,2,65,08,04,09,10,035,5,2,2,1,1,4,14,6433,14,483,48,15,45,1,3,,146,114,,5,2,1,1,1,2
64WN00378,64,1,7444,2,25,250,6345,1,14,22,5,2,51,111,1,7,,1,66,13,05,10,09,024,4,2,2,1,5,4,14,6430,14,492,49,11,25,1,2,3,115,114,,4,2,5,2,1,2
64WN00379,64,2,7446,2,37,370,3992,1,14,23,5,7,51,111,1,1,,2,59,08,04,09,10,029,1,2,2,1,5,4,14,6237,14,420,42,22,37,1,0,,144,124,,5,5,5,2,1,2
64WN00380,64,2,7447,2,37,370,3992,1,14,23,5,7,51,111,1,1,,2,52,10,04,09,10,040,7,2,3,2,5,4,14,6237,14,364,36,22,37,1,4,,135,116,,5,5,5,2,1,2
64WN00381,64,1,7449,2,54,540,5755,1,14,32,5,3,51,111,1,4,,1,49,08,04,10,10,028,1,2,2,1,5,4,14,5773,14,360,36,20,54,1,0,6,134,90,,4,3,5,2,1,2
64WN00382,64,1,7450,2,54,540,5755,1,14,32,5,3,51,111,1,4,,1,56,08,04,09,11,032,22,2,2,1,5,4,14,5773,14,414,41,20,54,1,4,3,147,100,,4,3,5,2,1,2
64WN00383,64,2,7451,2,46,460,6028,1,14,40,1,3,51,111,1,3,,1,74,08,05,08,07,039,14,2,2,1,1,4,14,6250,14,548,54,32,46,1,8,,146,132,1,4,3,1,1,1,2
64WN00384,64,2,7452,2,25,250,3643,1,14,12,5,7,51,111,1,3,,1,63,10,05,09,08,031,22,2,2,1,5,4,14,6430,14,485,48,12,25,1,5,,128,92,,4,5,5,2,1,2
64WN00385,64,2,7453,2,25,250,3643,1,14,12,5,7,50,110,1,3,,1,64,09,03,08,07,037,3,2,2,1,5,4,14,6430,14,500,50,12,25,1,0,,142,90,,4,5,5,2,1,2
64WN00386,64,2,7456,2,40,400,5713,1,14,35,3,4,51,111,1,3,,1,56,09,03,10,09,029,11,2,2,1,3,4,14,5871,14,434,43,27,40,1,4,,132,78,,4,4,3,3,1,2
64WN00387,64,1,7457,2,44,441,2888,1,14,20,1,8,50,110,1,7,,1,88,09,06,07,06,039,5,2,2,1,1,4,14,6306,14,693,69,17,44,1,3,3,145,118,,4,5,1,1,1,2
64WN00388,64,2,7458,2,44,441,2490,1,14,33,5,9,51,111,1,3,,1,45,08,04,10,10,026,2,2,2,1,5,4,14,6306,14,342,34,17,44,1,2,,131,70,,4,5,5,2,1,2
64WN00389,64,1,7459,2,44,441,2490,1,14,33,5,9,51,111,1,7,,2,65,10,04,09,08,031,15,2,2,1,5,4,14,6306,14,510,51,17,44,1,0,,140,84,,5,5,5,2,1,2
64WN00390,64,2,7460,2,35,350,5637,1,14,38,1,4,51,111,1,1,,1,74,10,03,09,08,035,8,2,2,1,1,4,14,6441,14,586,58,24,35,1,6,,141,90,,4,4,1,1,1,2
64WN00391,64,1,7461,2,29,290,6213,1,14,28,3,2,50,110,1,1,,1,89,08,05,07,07,043,4,2,2,1,3,4,14,5953,14,707,70,20,29,1,7,,173,112,,4,2,3,3,1,2
64WN00392,64,1,7462,2,49,490,3780,1,14,18,1,7,51,111,1,7,,1,93,10,08,08,06,031,2,2,2,1,1,4,14,6235,14,730,73,15,49,1,0,,131,120,,4,5,1,1,1,2
64WN00393,64,1,7463,2,44,441,5002,1,14,33,1,5,51,111,1,7,,6,84,08,04,07,09,028,22,2,2,1,1,4,14,6306,14,654,65,21,44,1,4,3,154,114,,7,4,1,1,1,2
64WN00394,64,1,7466,2,51,510,5705,1,14,36,1,4,50,110,1,7,,2,72,09,03,06,08,043,12,2,2,1,1,4,14,6366,14,545,54,28,51,1,5,,150,120,,5,4,1,1,1,2
64WN00395,64,2,7468,2,26,260,4623,1,14,29,5,5,49,109,1,3,,1,55,10,06,09,09,029,1,2,2,1,5,4,14,5477,14,426,42,20,26,1,6,,119,86,,4,4,5,2,1,2
64WN00396,64,1,7469,2,26,260,4623,1,14,29,5,5,50,110,4,7,,1,56,11,05,10,09,030,12,1,2,2,5,4,14,5477,14,427,42,20,26,1,7,,120,90,,4,4,5,2,1,2
64WN00397,64,2,7473,2,53,530,5602,1,14,19,5,4,50,110,1,1,,1,44,11,04,10,12,029,15,2,2,1,5,4,14,5904,14,322,32,12,53,1,2,,115,86,,4,4,5,2,1,2
64WN00398,64,2,7474,2,53,530,5602,1,14,19,5,4,49,109,1,1,,1,51,08,03,10,11,034,6,2,2,1,5,4,14,5904,14,382,38,12,53,1,2,,142,94,,4,4,5,2,1,2
64WN00399,64,2,7475,2,26,260,5766,1,14,31,1,3,50,110,1,3,,1,67,09,03,09,08,034,14,2,2,1,1,4,14,5477,14,520,52,29,26,1,0,,139,98,,4,3,1,1,1,2
64WN00400,64,2,7476,2,40,400,3012,1,14,24,1,8,50,110,1,3,,3,63,08,04,10,08,034,14,2,2,1,1,4,14,5871,14,464,46,30,40,1,4,,137,120,,3,5,1,1,1,2
64WN00401,64,1,7477,2,49,490,5598,1,14,31,1,4,50,110,1,7,,1,81,09,05,10,09,029,8,2,2,1,1,4,14,6235,14,624,62,21,49,1,4,6,143,124,,4,4,1,1,1,2
64WN00402,64,2,7478,2,45,450,4736,1,14,19,5,5,50,110,1,3,,1,67,08,04,09,09,034,10,2,2,1,5,4,14,6433,14,518,51,05,45,1,8,,148,100,,4,4,5,2,1,2
64WN00403,64,2,7479,2,45,450,4736,1,14,19,5,5,50,110,1,3,,3,67,08,04,09,08,033,5,2,2,1,5,4,14,6433,14,513,51,05,45,1,3,,144,106,,3,4,5,2,1,2
64WN00404,64,2,7480,2,36,360,5464,1,14,37,5,4,50,110,1,3,,1,63,08,03,11,10,041,21,2,2,1,5,4,14,5339,14,491,49,27,36,1,1,,163,90,,4,4,5,2,1,2
64WN00405,64,2,7481,2,36,360,5464,1,14,37,5,4,49,109,1,3,,1,40,11,03,10,13,034,2,2,2,1,5,4,14,5339,14,303,30,27,36,1,3,,127,70,,4,4,5,2,1,2
64WN00406,64,1,7482,2,25,250,3970,1,14,13,3,7,49,109,1,7,,2,92,15,05,08,07,030,14,2,2,1,3,4,14,6430,14,743,74,13,25,1,3,3,124,110,,5,5,3,3,1,2
64WN00407,64,2,7484,2,22,220,5290,1,14,33,5,4,49,109,1,3,,1,43,12,04,11,11,026,7,2,2,1,5,4,14,6061,14,327,32,30,22,1,7,,110,74,,4,4,5,2,1,2
64WN00408,64,2,7485,2,22,220,5290,1,14,33,5,4,49,109,1,3,,2,54,09,04,10,09,030,3,2,2,1,5,4,14,6061,14,422,42,30,22,1,2,,133,80,,5,4,5,2,1,2
64WN00409,64,1,7486,2,46,460,4200,1,14,26,5,6,49,109,1,7,,1,52,11,03,10,11,028,4,2,2,1,5,4,14,6250,14,383,38,19,46,1,3,3,126,102,,4,4,5,2,1,2
64WN00410,64,2,7487,2,46,460,4200,1,14,26,5,6,49,109,1,3,,1,57,10,03,09,09,030,5,1,2,2,5,4,14,6250,14,426,42,19,46,1,6,,132,106,,4,4,5,2,1,2
64WN00411,64,1,7490,2,54,540,3065,1,14,25,5,8,48,108,1,5,,3,62,10,04,10,11,034,4,2,2,1,5,4,14,5773,14,459,45,15,54,1,9,6,146,124,,3,5,5,2,1,2
64WN00412,64,2,7491,2,54,540,3065,1,14,25,5,8,48,108,1,1,,1,61,06,04,09,08,027,6,2,2,1,5,4,14,5773,14,474,47,15,54,1,4,,152,98,,4,5,5,2,1,2
64WN00413,64,2,7492,2,45,450,2780,1,14,10,5,9,49,109,1,3,,1,56,09,04,11,11,037,22,2,2,1,5,4,14,6433,14,422,42,00,45,1,2,,142,100,,4,5,5,2,1,2
64WN00414,64,1,7493,2,45,450,2780,1,14,10,5,9,48,108,1,7,,1,60,13,04,10,10,033,2,2,2,1,5,4,14,6433,14,483,48,00,45,1,3,6,120,78,,4,5,5,2,1,2
64WN00415,64,1,7494,2,51,510,4124,1,14,29,3,6,49,109,1,7,,2,59,09,03,09,09,032,23,2,2,1,3,4,14,6366,14,459,45,18,51,1,9,,136,90,,5,4,3,3,1,2
64WN00416,64,2,7496,2,49,490,5276,1,14,24,1,4,49,109,1,3,,1,62,12,04,09,08,033,6,2,2,1,1,4,14,6235,14,473,47,22,49,1,3,,110,104,,4,4,1,1,1,2
64WN00417,64,2,7498,2,37,370,5500,1,14,17,1,4,49,109,1,1,,1,81,08,05,09,08,040,11,2,2,1,1,4,14,6237,14,622,62,15,37,1,2,,148,132,,4,4,1,1,1,2
64WN00418,64,2,7500,2,29,290,4899,1,14,16,3,5,49,109,1,1,,1,69,08,03,08,08,033,20,2,2,1,3,4,14,5953,14,532,53,20,29,1,2,,145,110,,4,4,3,3,1,2
64WN00419,64,1,7502,2,29,290,5191,1,14,21,3,4,49,109,1,1,,2,74,08,03,08,09,036,11,2,2,1,3,4,14,5953,14,583,58,19,29,1,3,6,156,104,,5,4,3,3,1,2
64WN00420,64,2,7503,2,37,370,6510,1,14,24,1,2,49,109,1,1,,1,57,09,05,10,10,033,22,2,2,1,1,4,14,6237,14,418,41,18,37,1,8,,132,114,,4,2,1,1,1,2
64WN00421,64,2,7505,2,37,370,5825,1,14,19,1,3,48,108,1,1,,2,80,09,04,07,07,037,3,2,2,1,1,4,14,6237,14,607,60,13,37,1,7,,143,144,,5,3,1,1,1,2
64WN00422,64,1,7507,2,39,390,4063,1,14,24,4,6,48,108,1,7,,1,68,13,04,10,09,032,1,2,2,1,4,4,14,6322,14,524,52,13,39,1,4,,119,114,,4,4,3,3,1,2
64WN00423,64,1,7508,2,44,440,4776,1,14,35,1,5,47,107,1,1,,2,84,09,09,08,08,036,3,2,2,1,1,4,14,4711,14,658,65,31,44,1,8,3,136,136,,5,4,1,1,1,2
64WN00424,64,1,7509,2,46,460,4924,1,14,38,5,5,48,108,1,7,,1,47,14,05,11,11,031,10,2,2,1,5,4,14,6250,14,344,34,34,46,1,4,3,106,98,,4,4,5,2,1,2
64WN00425,64,2,7510,2,46,460,4924,1,14,38,5,5,48,108,1,3,,1,49,11,04,09,10,032,2,2,2,1,5,4,14,6250,14,357,35,34,46,1,7,,124,104,,4,4,5,2,1,2
64WN00426,64,1,7512,2,37,370,5614,1,14,26,1,4,48,108,1,2,,4,84,08,08,07,07,038,3,2,2,1,1,4,14,6237,14,643,64,11,37,1,3,6,139,146,,6,4,1,1,1,2
64WN00427,64,2,7513,2,45,450,3496,1,14,13,1,7,48,108,1,3,,1,70,09,04,09,08,039,22,2,2,1,1,4,14,6433,14,539,53,00,45,1,9,,138,118,,4,5,1,1,1,2
64WN00428,64,1,7515,2,49,490,2598,1,14,19,3,9,47,107,1,7,,1,73,10,07,09,08,032,11,2,2,1,3,4,14,6235,14,585,58,13,49,1,5,,129,104,,4,5,3,3,1,2
64WN00429,64,1,7517,2,25,250,2570,1,14,22,3,9,47,107,1,7,,1,47,10,04,12,14,027,3,2,2,1,3,4,14,6430,14,336,33,00,25,1,6,3,127,110,,4,5,3,3,1,2
64WN00430,64,1,7520,2,54,540,6285,1,14,34,3,2,46,106,1,7,,1,60,07,04,10,11,030,3,2,2,1,3,4,14,5773,14,481,48,29,54,1,1,3,159,90,,4,2,3,3,1,2
64WN00431,64,1,7521,2,53,530,4721,1,14,20,1,5,47,107,1,2,,2,61,14,04,07,08,044,7,2,2,1,1,4,14,5904,14,465,46,14,53,1,5,,107,112,,5,4,1,1,1,2
64WN00432,64,2,7522,2,36,360,2631,1,14,26,1,9,47,107,1,5,,2,64,08,03,09,09,036,11,2,2,1,1,4,14,5339,14,497,49,19,36,1,7,,147,108,,5,5,1,1,1,2
64WN00433,64,1,7523,2,22,220,6128,1,14,43,1,3,46,106,1,7,,1,61,10,04,10,10,033,5,2,2,1,1,4,14,6061,14,475,47,40,22,1,5,3,135,106,6,4,3,1,1,1,2
64WN00434,64,1,7524,2,35,350,1459,1,14,26,1,-,47,107,1,5,,1,83,12,09,10,08,032,8,2,2,1,1,4,14,6441,14,665,66,14,35,1,5,,118,118,,4,5,1,1,1,2
64WN00435,64,1,7525,2,26,260,4992,1,14,34,5,5,47,107,1,7,,6,65,10,04,10,11,029,22,1,2,2,5,4,14,5477,14,501,50,31,26,1,1,6,146,114,,7,4,5,2,1,2
64WN00436,64,2,7526,2,26,260,4992,1,14,34,5,5,47,107,1,3,,2,52,09,04,10,10,026,22,2,2,1,5,4,14,5477,14,417,41,31,26,1,7,,133,74,,5,4,5,2,1,2
64WN00437,64,1,7527,2,51,510,4822,1,14,34,5,5,46,106,1,7,,2,58,11,04,09,10,041,1,2,2,1,5,4,14,6366,14,449,44,25,51,1,9,,139,104,,5,4,5,2,1,2
64WN00438,64,2,7528,2,51,510,4822,1,14,34,5,5,46,106,1,3,,1,44,10,04,10,13,030,4,2,2,1,5,4,14,6366,14,334,33,25,51,1,4,,130,86,,4,4,5,2,1,2
64WN00439,64,2,7529,2,54,540,3816,1,14,15,1,7,47,107,1,1,,1,77,08,05,07,07,038,7,2,2,1,1,4,14,5773,14,600,60,13,54,1,0,,144,128,,4,5,1,1,1,2
64WN00440,64,2,7530,2,40,400,6009,1,14,33,1,3,46,106,1,3,,2,66,09,03,08,08,036,2,2,2,1,1,4,14,5871,14,538,53,28,40,1,8,,141,90,,5,3,1,1,1,2
64WN00441,64,2,7531,2,40,400,4182,1,14,28,3,6,47,107,1,3,,2,62,10,07,08,08,029,14,1,2,2,3,4,14,5871,14,508,50,26,40,1,8,,115,76,,5,4,3,3,1,2
64WN00442,64,1,7533,2,46,460,5338,1,14,36,5,4,47,107,1,7,,1,55,13,04,10,11,029,20,2,2,1,5,4,14,6250,14,413,41,44,46,1,3,3,123,108,,4,4,5,2,1,2
64WN00443,64,1,7534,2,46,460,5338,1,14,36,5,4,47,107,1,7,,1,62,12,04,09,10,027,6,2,2,1,5,4,14,6250,14,482,48,44,46,1,2,,130,104,,4,4,5,2,1,2
64WN00444,64,1,7535,2,40,400,5573,1,14,35,1,4,47,107,1,7,,2,75,09,04,08,08,030,22,2,2,1,1,4,14,5871,14,604,60,32,40,1,4,,142,104,,5,4,1,1,1,2
64WN00445,64,2,7536,2,54,540,5513,1,14,28,1,4,46,106,1,1,,3,69,06,04,10,08,038,6,2,2,1,1,4,14,5773,14,560,56,14,54,1,0,,153,96,,3,4,1,1,1,2
64WN00446,64,1,7537,2,53,530,4637,1,14,18,1,5,46,106,1,1,,1,61,12,05,09,09,032,22,2,2,1,1,4,14,5904,14,485,48,08,53,1,5,,108,96,,4,4,1,1,1,2
64WN00447,64,2,7538,2,35,350,4994,1,14,30,1,5,46,106,1,1,,2,73,09,10,09,07,033,6,2,2,1,1,4,14,6441,14,579,57,25,35,1,9,2,115,116,,5,4,1,1,1,2
64WN00448,64,2,7539,2,26,260,3601,1,14,49,3,7,46,106,2,3,,1,48,09,04,10,12,028,8,2,2,1,3,4,14,5477,14,381,38,28,26,1,1,,138,76,,4,5,3,3,1,2
64WN00449,64,2,7541,2,45,450,5418,1,14,14,1,4,46,106,1,3,,1,68,09,04,09,08,034,5,2,2,1,1,4,14,6433,14,538,53,08,45,1,8,2,130,110,,4,4,1,1,1,2
64WN00450,64,1,7542,2,41,410,6288,1,14,16,1,2,46,106,1,7,,1,67,09,04,10,09,030,10,2,2,1,1,4,14,6197,14,542,54,13,41,1,2,3,139,96,,4,2,1,1,1,2
64WN00451,64,1,7543,2,26,260,6457,1,14,49,1,2,45,105,1,7,,2,66,10,08,11,09,028,15,2,2,1,1,4,14,5477,14,505,50,31,26,1,5,6,129,130,,5,2,1,1,1,2
64WN00452,64,1,7544,2,25,250,4411,1,14,14,1,6,45,105,1,7,,2,92,07,04,07,08,034,6,2,3,2,1,4,14,6430,14,749,74,16,25,1,9,6,165,134,,5,4,1,1,1,2
64WN00453,64,1,7545,2,25,250,6521,1,14,22,1,2,45,105,1,7,,2,68,14,04,10,09,032,21,2,2,1,1,4,14,6430,14,550,55,10,25,1,0,3,119,102,,5,2,1,1,1,2
64WN00454,64,1,7546,2,22,220,6405,1,14,32,1,2,44,104,1,7,,1,52,15,04,12,11,025,2,2,2,1,1,4,14,6061,14,412,41,35,22,1,2,,103,92,,4,2,1,1,1,2
64WN00455,64,2,7547,2,53,530,3892,1,14,19,3,7,44,104,1,1,,1,60,11,04,07,09,039,2,2,2,1,3,4,14,5904,14,479,47,07,53,1,9,,130,102,,4,5,3,3,1,2
64WN00456,64,1,7550,2,46,460,2238,1,14,21,3,0,45,105,1,7,,1,72,12,05,10,08,031,12,2,2,1,3,4,14,6250,14,590,59,13,46,1,0,6,127,100,,4,5,3,3,1,2
64WN00457,64,2,7551,2,49,490,5692,1,14,22,1,4,44,104,1,4,,1,60,12,04,09,10,024,22,2,2,1,1,4,14,6235,14,508,50,18,49,1,8,,110,72,,4,4,1,1,1,2
64WN00458,64,2,7553,2,51,510,3346,1,14,23,1,8,44,104,1,3,,2,56,09,03,08,08,035,8,2,2,1,1,4,14,6366,14,462,46,22,51,1,2,,131,80,,5,5,1,1,1,2
64WN00459,64,2,7554,2,53,530,4449,1,14,19,1,6,43,103,1,1,,2,47,10,04,10,14,035,4,2,2,1,1,4,14,5904,14,355,35,10,53,1,5,,124,104,,5,4,1,1,1,2
64WN00460,64,1,7555,2,44,441,6205,1,14,39,1,2,43,103,1,7,,2,72,09,04,09,09,030,12,2,2,1,1,4,14,6306,14,602,60,31,44,1,2,3,154,100,,5,2,1,1,1,2
64WN00461,64,2,7556,2,51,510,2594,1,14,30,1,9,43,103,1,3,,2,55,12,04,08,09,039,13,2,2,1,1,4,14,6366,14,458,45,21,51,1,8,,119,78,,5,5,1,1,1,2
64WN00462,64,1,7557,2,40,400,6160,1,14,38,1,3,43,103,1,7,,1,56,09,04,10,12,026,6,2,2,1,1,4,14,5871,14,460,46,46,40,1,0,6,136,86,,4,3,1,1,1,2
64WN00463,64,2,7558,2,51,510,6148,1,14,28,1,3,43,103,1,3,,2,59,09,04,08,09,036,10,2,2,1,1,4,14,6366,14,480,48,20,51,1,0,,133,96,2,5,3,1,1,1,2
64WN00464,64,2,7559,2,40,400,3073,1,14,30,5,8,41,101,1,3,,1,35,11,03,11,12,030,2,2,2,1,5,4,14,5871,14,287,28,24,40,1,7,2,123,60,,4,5,5,2,1,2
64WN00465,64,2,7560,2,40,400,3073,1,14,30,5,8,42,102,1,3,,3,46,09,04,10,10,028,22,2,2,1,5,4,14,5871,14,380,38,24,40,1,0,,134,72,,3,5,5,2,1,2
64WN00466,64,1,7561,2,46,460,6534,1,14,42,1,2,42,102,1,7,,1,42,13,04,11,11,027,23,1,2,2,1,4,14,6250,14,333,33,48,46,1,3,3,110,80,,4,2,1,1,1,2
