UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT
94WN00001, 94041111,94,A1111,04,1,81,30,01,8,2,2,4.0,4,4,1,108,221,113,8,9.6,50,80,0.623,84,1,1,,,0,M,,,L8774,03,L5612,03,81,3,93,241,5,5,93,1.91,103.3,3,84,
94WN00002, 94041113,94,A1113,04,1,73,30,41,8,2,2,1.5,1,1,1,108,221,113,9,10.0,50,74,0.566,78,1,1,,,6,,,BUSHY,L9603,03,L9413,03,73,3,93,241,5,4,102,2.07,126.8,3,80,
94WN00003, 94041114,94,A1114,04,2,73,30,41,8,2,2,1.5,1,1,1,108,221,113,8,7.8,44,64,0.497,67,1,1,,,6,,-FL,3TEATS,L9603,03,L9413,03,73,1,,0,5,6,100,2.07,126.8,1,79,
94WN00004, 94041115,94,A1115,04,1,ch,30,-2,9,3,1,2.5,2,2,2,108,222,114,2,7.1,59,74,0.587,78,1,1,,,2,h,31,,L6868,03,L8202,03,88,1,,0,7,2,81,1.64,67.3,1,86,
94WN00005, 94041112,94,A1112,04,2,81,30,01,8,2,2,4.0,4,4,1,108,221,113,8,9.6,50,73,0.561,77,1,1,,,0,M,13,3TEATS,L8774,03,L5612,03,81,2,92,265,5,5,93,1.91,103.3,2,90,91
94WN00006, 94041118,94,A1118,04,1,ch,31,-0,8,2,2,5.5,5,4,1,108,221,113,13,11.5,53,73,0.544,77,1,1,5,,2,c,,5H,S1878,10,L3146,03,88,3,93,241,5,5,85,1.29,77.3,3,82,
94WN00007, 94041119,94,A1119,04,1,ch,31,-0,8,2,2,5.5,5,4,1,108,221,113,18,9.8,53,78,0.604,82,1,1,,,2,c,,,S1878,10,L3146,03,88,1,,0,5,5,88,1.29,77.3,1,88,
94WN00008, 94041117,94,A1117,04,1,ch,31,-2,8,2,2,3.0,3,3,1,108,221,113,16,11.1,56,79,0.601,83,1,1,,,2,c,,,S1497,10,L6693,03,88,1,,0,5,4,117,2.21,134.2,1,83,
94WN00009, 94041101,94,A1101,04,2,81,30,01,9,3,2,4.0,4,4,1,108,221,113,12,8.6,47,75,0.588,79,1,1,,,0,M,e.8,ENTR 1EYE,L8774,03,L5580,03,81,1,,0,8,5,114,2.28,142.4,1,87,
94WN00010, 94041100,94,A1100,04,2,81,30,01,9,3,2,4.0,4,4,1,108,221,113,20,8.5,50,57,0.429,60,1,1,,,0,M,21,LOOKS,L8774,03,L5580,03,81,2,92,265,8,5,104,2.28,142.4,2,73,74
94WN00011, 94041103,94,A1103,04,2,81,30,02,9,3,2,2.0,2,2,1,108,221,113,1,9.7,60,79,0.613,83,1,1,,,0,M,e.8,,L9337,03,L8541,03,81,1,,0,8,5,106,2.3,122.1,1,91,
94WN00012, 94041104,94,A1104,04,1,81,30,02,9,3,2,2.0,2,2,1,108,221,113,7,8.5,46,68,0.527,72,1,1,,,0,M,,,L9337,03,L8541,03,81,3,93,241,8,5,96,2.3,122.1,3,78,
94WN00013, 94041106,94,A1106,04,2,82,30,22,3,4,2,4.0,4,4,1,108,221,113,10,8.0,49,70,0.549,74,1,1,,,0,C,e.7,4TEATS,L8500,03,L5045,03,82,1,,0,8,5,108,2.53,135.9,1,71,
94WN00014, 94041102,94,A1102,04,2,81,30,01,9,3,1,4.0,4,4,1,108,221,113,6,11.8,61,86,0.657,91,1,1,,,0,M,e.7,3TEATS,L8774,03,L5580,03,81,1,,0,7,2,121,2.28,142.4,1,99,
94WN00015, 94041108,94,A1108,04,2,82,30,22,3,4,2,4.0,4,4,1,108,221,113,9,8.2,51,61,0.467,64,1,1,,,0,C,10,4TEATS,L8500,03,L5045,03,82,2,92,265,8,6,103,2.53,135.9,2,76,76
94WN00016, 94041109,94,A1109,04,2,73,30,42,8,2,1,1.5,1,1,1,108,221,113,18,7.1,54,63,0.495,66,1,1,,,6,,-FL,4TEATS,L9416,03,L9435,03,73,1,,0,3,2,91,2.07,111.0,1,80,
94WN00017, 94041107,94,A1107,04,2,82,30,22,3,4,2,4.0,4,4,1,108,221,113,19,7.9,46,64,0.496,67,1,1,,,0,C, 9,3TEATS,L8500,03,L5045,03,82,2,92,265,8,5,104,2.53,135.9,2,79,78
94WN00018, 94041131,94,A1131,04,2,ch,31,-2,3,4,2,2.5,2,2,1,108,221,113,14,6.0,45,58,0.46,61,1,1,,,2,c,J09,4TEATS,S1497,10,L8021,03,88,1,,0,8,5,80,1.78,82.5,1,76,
94WN00019, 94041130,94,A1130,04,1,ch,31,-0,3,4,2,2.5,2,2,1,108,221,113,8,7.1,44,68,0.539,72,1,1,,,2,c,,,S1878,10,L8319,03,88,3,93,241,8,5,83,1.78,80.1,3,75,
94WN00020, 94041133,94,A1133,04,2,ch,31,-2,3,4,2,2.5,2,2,1,108,221,113,15,5.4,40,60,0.483,63,1,1,,,2,c,J07,4TEATS,S1497,10,L8021,03,88,1,,0,8,5,81,1.78,82.5,1,73,
94WN00021, 94041134,94,A1134,04,2,ch,31,-2,3,4,2,2.5,2,2,1,108,221,113,15,8.2,48,66,0.512,70,1,1,,,2,c,J08,,S1497,10,L8021,03,88,1,,0,8,6,86,1.78,82.5,1,83,
94WN00022, 94041135,94,A1135,04,1,ch,31,-0,8,2,2,4.0,4,4,1,108,221,113,3,13.1,68,91,0.689,96,1,1,,,2,c,,,S1497,10,L5368,03,88,1,,0,5,3,110,1.66,105.1,1,99,
94WN00023, 94041136,94,A1136,04,2,ch,31,-0,8,2,2,4.0,4,4,1,108,221,113,11,8.9,39,56,0.417,59,1,1,,,2,c,,,S1497,10,L5368,03,88,7,97,251,5,7,90,1.66,105.1,7,0,
94WN00024, 94041138,94,A1138,04,2,73,30,44,8,2,2,1.5,1,1,1,108,221,113,20,5.1,35,49,0.388,52,1,1,,,6,,-FL,4TEATS,L9586,03,L9390,03,73,1,,0,5,5,87,2.07,118.4,1,62,
94WN00025, 94041139,94,A1139,04,1,81,30,04,9,3,2,4.0,4,4,1,108,221,113,2,8.9,38,57,0.426,60,1,1,,,0,M,,,L8722,03,L5059,03,81,3,93,241,8,5,85,2.03,111.9,3,60,
94WN00026, 94041137,94,A1137,04,2,73,30,44,8,2,2,1.5,1,1,1,108,221,113,13,5.8,33,48,0.373,51,1,1,,,6,,-FL,4TEATS,L9586,03,L9390,03,73,1,,0,5,5,87,2.07,118.4,1,57,
94WN00027, 94041141,94,A1141,04,2,73,30,43,9,3,2,1.5,1,1,1,108,221,113,6,8.9,50,78,0.612,82,1,1,,,6,,-FL,,L9649,03,L9400,03,73,1,,0,8,5,107,2.17,124.8,1,91,
94WN00028, 94041140,94,A1140,04,3,81,30,04,9,3,2,4.0,4,4,1,108,221,113,12,10.0,61,85,0.664,90,1,1,,,0,M,,PINK,L8722,03,L5059,03,81,3,93,281,8,5,105,2.03,111.9,3,103,
94WN00029, 94041145,94,A1145,04,2,81,30,01,8,2,1,2.0,2,2,1,108,221,113,14,9.8,63,81,0.63,85,1,1,,,0,M,11,,L8774,03,L9344,03,81,2,92,265,3,2,93,1.96,93.0,2,97,95
94WN00030, 94041142,94,A1142,04,2,73,30,43,9,3,2,1.5,1,1,1,108,221,113,21,8.4,37,50,0.368,53,1,1,,,6,,-FL,,L9649,03,L9400,03,73,1,,0,8,5,91,2.17,124.8,1,67,
94WN00031, 94041148,94,A1148,04,1,ch,31,-2,9,3,1,4.0,4,4,2,108,222,114,6,10.4,58,56,0.4,58,1,1,,,2,c,58,,S1497,10,L5646,03,88,1,,0,7,2,83,2.16,95.8,1,67,
94WN00032, 94041149,94,A1149,04,1,73,30,41,8,2,1,1.5,1,1,1,108,221,113,18,11.0,69,76,0.575,80,1,1,,,6,,,,L9603,03,L9471,03,73,3,93,241,3,2,96,2.07,113.8,3,90,
