UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,DNA,INBRL,STUDY,TRTPEN,IDZ65
09WN00001,2009827197,09,X7197,82,2,,00,br1,5,1,1,6.0,6,4,1,18,222,204,,16.0,108,129,0.554,82,2,1,,,0,X,BR1,,HAIRY,X0000,82,Z9747,81,00,3,93,272,1,1,,,,,134,,,0.0,,,
09WN00002,2009827202,09,X7202,82,3,,00,AI,5,1,1,2.0,2,2,1,73,222,149,,13.2,60,83,0.468,69,2,2,,,0,X,AI,,.,X0000,82,T1604,45,48,3,93,272,1,1,,,,,93,,,0.0,,,
09WN00003,2009700001,09,L0001,70,2,,PC,e1,7,2,1,2.0,2,2,1,73,222,149,,7.5,73,98,0.607,80,5,1,,,0,.,CTS,e6,WEAK. WAS X72,X5137,82,X5446,82,00,1,,,3,2,,,,,106,,,0.0,,,
09WN00004,2009827204,09,X7204,82,1,,BL,20,8,2,1,7.0,7,5,H,73,216,143,,10.5,0,103,0.647,88,9,1,,,0,.,.,,NICE LAMB,08110,00,Z7959,81,97,3,93,230,3,2,,,,,110,,,0.0,,,
09WN00005,2009827206,09,X7206,82,2,,00,AI,5,1,1,2.0,2,2,1,74,222,148,,12.5,74,97,0.571,81,1,1,,,0,X,AI,,NICE LAMB,X0000,82,T1391,45,48,3,93,272,1,1,,,,,105,,,0.0,,,
09WN00006,2009827207,09,X7207,82,2,,S3,20,8,2,1,3.0,3,3,1,74,222,148,,10.5,75,98,0.591,81,3,2,,,0,.,TxC,e12,NICE LAMB,08110,00,X3090,82,00,1,,,3,2,,,,,108,,,0.0,,,
09WN00007,2009827214,09,X7214,82,3,,00,AI,9,3,2,3.0,3,3,1,74,222,148,,11.8,54,76,0.434,64,1,1,,,0,X,AI,,.,X0000,82,T1158,45,48,3,93,272,8,4,,,,,82,,,0.0,,,
09WN00008,2009827215,09,X7215,82,3,,00,AI,9,3,2,3.0,3,3,1,74,222,148,,9.5,57,77,0.456,64,1,1,,,0,X,AI,,.,X0000,82,T1158,45,48,3,93,272,8,6,,,,,84,,,0.0,,,
09WN00009,2009644417,09,K4417,64,3,,06,8,9,3,1,6.0,6,4,1,75,222,147,,6.1,62,85,0.537,71,1,1,,,0,M,Mat,,4T LAME LR,K4046,64,K2837,64,6M,3,93,272,7,2,,,,,87,,,0.038,,,
09WN00010,2009827217,09,X7217,82,2,,00,AI,8,2,1,2.0,2,2,H,75,216,141,,11.6,75,103,0.648,89,1,1,,,0,X,AI,,4TEATS,X0000,82,H3071,05,00,3,93,272,3,2,,,,,113,,,0.0,,,
