UID,IDLAMB,YR,LBRD,ETAG,SEX,LINE,STM,PEN,TB,TR,TBRE,TBR17,AGE,ADAM,CADAM,BAND,DAYBN,WNAGE,TIM,BRWT,WNWT,ADG,F,N,T,C,L,TST,SIGR,THGR,JAW,CLR,H,IDX,MENB,MELW,CAUSE,ABN,DAYDIS,TRT,SIRE,SBRD,DAM,DBRD,TM,WT120,AADG,LNDAM,PD,CUWT,SAWT,LOT
83WN03501, 83945159,83,94,5159,2,47,55,473,2,2,5,5, 40,4,4,2,99,130,4,84,75,512, 6, 3, 9, 6, 54,  0,5,7,2,1,1,161,210,1094,92,,  0,,4260,94,7892,93,8,70,538,45,2,78,83,077
83WN03502, 83945160,83,94,5160,3,47,55,473,2,2,5,5, 40,4,4,2,99,130,20,91,74,499, 7, 3, 9, 7, 47,  0,5,6,2,1,1,154,210,1094,93,,  0,,4260,94,7892,93,8,69,482,45,3,0,0,
83WN03503, 83945162,83,94,5162,3,39,39,,1,1,1,1, 10,1,1,4,99,125,14,93,68,470, 6, 4, 8, 7, 61,  0,4,6,2,1,1,153,190,1103,93,,  0,,0000,02,2705,94,4,66,425,67,3,0,0,
83WN03504, 83945163,83,94,5163,2,46,52,461,2,1,3,2, 50,5,4,4,99,125,14,79,64,449, 4, 3, 9, 8, 82,  0,7,8,1,1,1,190,202,1096,92,,  0,,4070,94,5730,93,8,62,475,44,2,66,71,072
83WN03505, 83945164,83,94,5164,3,46,52,461,2,1,4,2, 50,5,4,9,99,125,31,75,55,380, 4, 3, 9, 8, 56,  0,7,7,1,1,2,0,202,1096,93,,  0,,4070,94,5730,93,8,53,397,44,3,0,0,
83WN03506, 83945165,83,94,5165,1,14,51,003,2,2,5,4, 80,8,5,2,99,130,10,121,83,545, 4, 3, 9, 9, 50,275,6,7,2,1,7,176,172,971,93,,  0,,2422,95,9438,18,8,78,511,18,3,90,0,
83WN03507, 83945166,83,94,5166,2,14,51,003,2,2,5,5, 80,8,5,1,99,128,4,80,70,484, 4, 3, 9, 7, 56,  0,6,7,5,1,1,167,172,971,93,,  0,,2422,95,9438,18,8,66,511,18,3,74,77,
83WN03508, 83945167,83,94,5167,1,47,55,474,3,1,7,2, 30,3,3,2,99,130,12,109,90,608, 6, 3, 8, 6, 44,278,6,7,2,1,2,161,197,1005,93,,  0,,3954,94,0177,94,8,84,539,47,3,93,0,
83WN03509, 83945168,83,94,5168,2,47,55,474,3,1,6,2, 30,3,3,9,99,125,24,90,75,528, 5, 4,10, 7, 42,  0,4,6,1,1,2,0,197,1005,93,59,  0,,3954,94,0177,94,8,72,561,47,3,83,0,
83WN03510, 83945170,83,94,5170,3,65,56,641,3,1,7,2, 80,8,5,2,99,130,17,111,81,538, 9, 3, 9, 8, 52,  0,5,7,2,1,1,159,159,997,93,,  0,,3230,94,6221,62,8,76,566,06,3,0,0,
83WN03511, 83945172,83,94,5172,2,65,56,641,3,1,6,2, 80,8,5,9,99,125,27,91,77,543, 6, 3, 9, 8, 62,  0,6,7,3,1,1,0,159,997,92,,  0,,3230,94,6221,62,8,74,595,06,2,91,92,080
83WN03512, 83945173,83,94,5173,2,67,56,674,2,2,5,5, 30,3,3,1,99,128,11,123,81,537, 6, 3, 9, 7, 68,  0,5,7,2,1,1,177,168,1069,92,,  0,,3857,94,9047,93,8,77,557,65,2,86,92,080
83WN03513, 83945174,83,94,5174,2,67,56,674,2,2,5,5, 30,3,3,2,99,130,8,111,68,438, 7, 3, 9, 8, 67,  0,5,6,4,1,1,164,168,1069,92,,  0,,3857,94,9047,93,8,64,469,65,2,73,77,082
83WN03514, 83945175,83,94,5175,3,39,39,,1,1,1,1, 10,1,1,4,99,125,17,106,64,427, 4, 3,10, 9, 45,  0,6,7,1,1,1,157,210,1127,93,,  0,,0000,02,3455,94,4,62,385,64,3,0,0,
83WN03515, 83945176,83,94,5176,2,44,52,005,1,1,1,1, 70,7,5,1,99,128,8,100,81,555, 6, 3, 9, 6, 51,  0,5,7,2,1,1,152,157,868,,,  0,,4882,95,1268,43,8,77,501,48,,87,91,
83WN03516, 83945179,83,94,5179,3,16,51,162,3,1,7,2, 50,5,4,2,99,130,6,72,72,498, 5, 3, 9, 8, 48,  0,5,7,2,1,1,166,224,1049,93,,  0,,4250,94,6171,93,8,67,508,14,3,0,0,
83WN03517, 83945181,83,94,5181,3,46,52,462,3,1,7,2, 50,5,4,2,99,130,9,79,81,562, 4, 3, 9, 8, 51,  0,7,7,1,1,1,183,213,1285,93,,  0,,4153,94,6320,93,8,75,574,46,3,0,0,
