UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,DNA,INBRL,STUDY,TRTPEN,IDZ65
11WN00077,2011829868,11,X9868,82,1,,CM,8,8,2,1,5.0,5,4,1,76,199,123,0,9.0,,92,0.675,90,1,1,,,0,.,Ter,,.,X7419,82,K3639,64,6T,1,,0,3,2,,,,,103,,,0.01,,,0
11WN00078,2011829872,11,X9872,82,1,,SC,23,8,2,1,3.0,3,3,1,75,199,124,0,9.9,,95,0.686,92,5,1,,,0,.,Ter,,4TEATS,X5140,82,K4338,64,6T,1,,0,3,2,,,,,100,,,0.0,,,0
11WN00079,2011829874,11,X9874,82,1,,S3,23,8,2,1,4.0,4,4,1,76,199,123,0,11.0,,93,0.667,91,5,1,,,0,.,TC,,4TEATS,X5140,82,X4679,82,00,1,,0,3,2,,,,,102,,,0.0,,,0
11WN00080,2011453565,11,T3565,45,2,,02,27,5,1,1,2.0,2,2,1,76,199,123,0,14.0,,88,0.602,86,1,1,,,7,.,.,e25,NICE LAMB,T2281,45,T2746,45,.,1,,0,1,1,,,,,111,,,0.032,,,0
11WN00081,2011829875,11,X9875,82,2,,CS,18,8,2,2,2.0,2,2,H,76,206,130,0,10.8,,86,0.578,80,5,1,,,0,.,.,e16,SCOURS,K4025,64,X7279,82,.,1,,0,5,5,,,,,106,,,0.0,,,0
11WN00082,2011829876,11,X9876,82,1,,CS,18,8,2,2,2.0,2,2,H,76,206,130,0,11.0,,92,0.623,86,5,1,,,0,.,.,,E2E.SCOURS,K4025,64,X7279,82,.,3,93,230,5,5,,,,,93,,,0.0,,,0
11WN00083,2011453566,11,T3566,45,2,,02,35,5,1,1,3.0,3,3,1,76,199,123,0,10.9,,81,0.57,79,1,1,,,7,.,.,e26,.,T2718,45,T2121,45,48,1,,0,1,1,,,,,101,,,0.033,,,0
11WN00084,2011829879,11,X9879,82,3,,BL,12,8,2,2,2.0,2,2,1,76,199,123,0,9.0,,59,0.407,58,9,1,,,1,.,BLK,,2ND,H5144,05,X7233,82,.,3,93,272,5,5,,,,,92,,,0.0,,,0
11WN00085,2011829880,11,X9880,82,2,,00,12,8,2,2,2.0,2,2,1,76,199,123,0,9.9,,61,0.415,60,1,1,,,1,.,BLK,,E1E.1ST.SCOUR,H5144,05,X7233,82,.,3,93,272,5,5,,,,,88,,,0.0,,,0
11WN00086,2011453567,11,T3567,45,2,,02,27,5,1,1,2.0,2,2,1,76,199,123,0,11.0,,46,0.285,45,1,1,,,7,.,.,,.,T2281,45,T2595,45,.,1,97,333,1,1,,,,7,69,,,0.027,,,0
11WN00087,2011500005,11,Y0005,50,2,,00,e27,8,2,2,1.0,1,1,1,76,199,123,0,9.7,,42,0.263,41,2,1,,,0,.,MP,,BL.SP.LHFT.H.,X0000,82,X8938,82,.,3,93,272,5,5,,,,,66,,,0.0,,,0
11WN00088,2011500006,11,Y0006,50,3,,00,e27,8,2,2,1.0,1,1,1,76,199,123,0,9.0,,57,0.39,56,8,1,,,0,.,MP,,4T.SMOKY.WH.H,X0000,82,X8938,82,.,3,93,272,5,5,,,,,84,,,0.0,,,0
11WN00089,2011829885,11,X9885,82,2,,00,12,5,1,1,3.0,3,3,1,76,199,123,0,15.2,,99,0.681,97,5,1,,,1,.,BLK,,NICE LAMB,H5144,05,X6113,82,00,3,93,272,1,1,,,,,122,,,0.0,,,0
11WN00090,2011453568,11,T3568,45,2,,02,27,5,1,1,2.0,2,2,1,76,199,123,0,11.1,,64,0.43,63,1,1,,,7,.,.,e26,4T.PINK,T2281,45,T2777,45,.,1,,0,1,1,,,,,83,,,0.045,,,0
11WN00091,2011700278,11,L0278,70,2,,PC,10,5,1,1,2.0,2,2,1,76,199,123,0,15.5,,91,0.614,89,5,1,,,0,.,.,e13,NICE LAMB SCO,X6749,82,X7992,82,.,1,,0,1,1,,,,,114,,,0.078,,,0
11WN00092,2011700279,11,L0279,70,1,,PC,16,9,3,2,3.0,3,3,1,76,199,123,0,9.3,,56,0.38,55,5,1,,,0,.,SC,,.,X7416,82,X6208,82,99,3,93,230,8,5,,,,,56,,,0.004,,,0
11WN00093,2011700280,11,L0280,70,1,,PC,16,9,3,2,3.0,3,3,1,76,199,123,0,10.0,,81,0.577,79,5,1,,,0,.,SC,,BRITCHY,X7416,82,X6208,82,99,3,93,230,8,5,,,,,99,,,0.004,,,0
11WN00094,2011700281,11,L0281,70,2,,06,20,8,2,1,2.0,2,2,1,76,199,123,0,13.0,,79,0.537,77,1,1,,,0,.,.,e15,4T.NICE.SCOUR,K4423,64,K4599,64,.,1,,0,3,2,,,,,106,,,0.039,,,0
