UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,CUDAY,SAWT,DNA,INBRL,STUDY,TRTPEN,IDZ65
14WN00001,2014058462,14,H8462,05,3,,30,e9,7,2,1,1.0,1,1,1,72,195,123,,8.9,  0,86,0.627,84,1,1,,,0,,.,,.,H7881,05,H8054,05,,3,93,260,3,2,,,,,93,246,,,0.04,,,
14WN00002,2014058467,14,H8467,05,2,,30,16,9,3,2,6.0,6,4,1,77,195,118,,7.4,  0,69,0.522,70,1,1,,,,,.,,.,H7410,00,H4017,05,84,2,92,269,8,5,,,,,82,246,,,0.0,,,13297
14WN00003,2014058468,14,H8468,05,2,,30,16,9,3,2,6.0,6,4,1,77,195,118,,7.6,  0,73,0.554,74,1,1,,,,,.,e13,.,H7410,00,H4017,05,84,1,,,8,5,,,,,82,246,,,0.0,,,
14WN00004,2014058470,14,H8470,05,1,,30,16,8,2,2,2.0,2,2,1,77,195,118,,9.4,  0,79,0.59,80,1,1,,,7,,.,,Xed; scurs,H7410,00,H7426,05,,1,93,232,5,5,,,,3,93,217,,,0.0,,,
14WN00005,2014058471,14,H8471,05,1,,30,16,8,2,2,2.0,2,2,1,77,195,118,,10.5,  0,88,0.657,89,1,1,,,7,,.,,NICE LAMB,H7410,00,H7426,05,,3,93,232,5,5,,,,,106,217,,,0.0,,,
14WN00006,2014058472,14,H8472,05,2,,30,10,5,1,1,3.0,3,3,1,77,195,118,,6.0,  0,80,0.627,81,1,1,,,0,.,.,,Conjunctiviti,H5934,05,H7405,05,,3,01,245,1,1,,,,6,,,,,0.03,,,
14WN00007,2014058473,14,H8473,05,3,,30,15,5,1,1,6.0,6,4,1,77,195,118,,6.8,  0,87,0.68,88,1,1,,,,,.,,PINK,H7508,05,H4114,05,83,3,93,260,1,1,,,,,93,246,,,0.027,,,
14WN00008,2014058477,14,H8477,05,2,,30,14,8,2,2,3.0,3,3,1,78,195,117,,10.4,  0,76,0.561,78,1,1,,,0,.,GRN,,1E,H7835,05,H6601,05,,3,93,260,5,6,,,,,90,246,,,0.035,,,
14WN00009,2014058478,14,H8478,05,2,,30,14,8,2,2,3.0,3,3,1,78,195,117,,13.0,  0,73,0.513,75,1,1,,,0,.,GRN,,.,H7835,05,H6601,05,,2,92,269,5,4,,,,,83,247,,,0.035,,,13282
14WN00010,2014058479,14,H8479,05,3,,30,e8,5,1,1,1.0,1,1,1,78,195,117,,13.9,  0,99,0.727,101,1,1,,,0,,.,,HAIRY,H7543,05,H8301,05,,3,93,260,1,1,,,,,103,246,,,0.035,,,
14WN00011,2014058480,14,H8480,05,1,,30,16,8,2,2,5.0,5,4,1,78,195,117,,11.6,  0,83,0.61,85,1,1,,,,,GRN,,H.P,H7410,00,H4591,05,,3,93,232,5,5,,,,,92,217,,,0.0,,,
14WN00012,2014058481,14,H8481,05,1,,30,16,8,2,2,5.0,5,4,1,78,195,117,,10.6,  0,84,0.627,86,1,1,,,,,GRN,,Horns,H7410,00,H4591,05,,3,93,232,5,5,,,,,98,217,,,0.0,,,
14WN00013,2014058482,14,H8482,05,1,,30,12,5,1,1,2.0,2,2,1,78,195,117,,13.9,  0,113,0.847,116,1,1,,,0,,.,,PINK,H7783,05,H7779,05,,3,01,269,1,1,,,,6,142,217,,,0.025,,,
