UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,BELLY,JAW,WNWT,F,N,T,C,L,CRIMP,SIDE,THIGH,THSCO,DENSITY,HAIR,WOOL,C53,ADG,C5758,C5960,LBRD,TBRE,CTBR,LNDAM,TM,PENIS,BAND,IDX,BRWT,ABN,DISP,CULLFOR,C79,CADAM_25
53WN00704,53,1,1468,2,37,370,7917,2,13,11,3,7,64,124,1,7,07,1,71,14,03,07,08,036,6,2,2,1,19,3,3,,490,18,04,14,3,3,,1,1,5,121,102,,6,,0,5
53WN00705,53,1,1470,2,51,510,0101,2,13,21,1,4,64,124,1,7,05,1,82,12,03,06,08,032,12,2,2,1,20,4,3,,571,18,14,14,1,1,,1,3,5,136,112,,1,,0,4
53WN00706,53,1,1471,2,47,470,1709,2,13,28,1,2,64,124,1,7,05,1,74,11,06,07,06,030,13,2,2,1,21,2,2,,531,18,19,14,1,1,,1,1,5,123,82,,3,10,0,2
53WN00707,53,1,1474,2,82,255,8622,2,13,,3,6,63,123,1,7,08,1,91,15,08,07,06,023,15,1,2,2,22,1,2,,652,19,11,14,3,3,,7,3,5,102,108,,3,10,0,4
53WN00708,53,2,1475,2,40,400,8591,2,13,10,3,6,63,123,1,3,09,1,73,08,05,10,08,027,12,2,2,1,23,2,2,,514,19,,14,3,3,,1,,5,144,98,,2,58,0,4
53WN00709,53,2,1477,2,37,370,7899,2,13,21,5,7,63,123,1,3,07,1,70,15,03,07,08,031,9,2,3,2,20,3,4,1,502,19,06,14,5,2,,1,,5,122,82,,1,,0,5
53WN00710,53,2,1478,2,37,370,7899,2,13,21,5,7,63,123,1,3,08,3,55,14,03,11,12,033,15,2,2,1,28,2,3,,364,19,06,14,5,2,,1,,5,124,102,,2,35,0,5
53WN00711,53,1,1479,2,82,254,0173,2,13,,5,4,63,123,1,7,06,1,67,09,04,09,10,030,12,2,2,1,24,3,2,,459,19,01,14,5,2,,7,1,5,143,106,,3,10,0,4
53WN00712,53,1,1480,2,82,254,0173,2,13,,5,4,63,123,1,7,06,1,75,10,04,06,09,032,13,2,2,1,20,2,2,,530,19,01,14,5,2,,7,1,5,143,98,,3,10,0,4
53WN00713,53,1,1481,2,45,450,0075,2,14,16,1,2,63,123,1,7,07,3,55,15,03,09,12,026,16,2,2,1,20,2,2,,374,19,13,14,1,1,,1,1,5,106,90,,3,40,0,2
53WN00714,53,2,1482,2,37,370,1409,2,13,14,1,3,63,123,1,3,05,1,66,13,03,08,10,041,6,2,2,1,28,4,2,1,446,19,07,14,1,1,,1,,5,130,112,,1,,0,3
53WN00715,53,1,1483,2,82,254,1636,2,13,,1,2,62,122,1,7,06,1,99,10,05,07,06,033,5,2,2,1,21,2,2,,716,20,00,14,1,1,,7,5,5,154,116,,1,,0,2
53WN00716,53,2,1484,2,29,290,9141,2,13,20,4,6,62,122,1,3,05,1,69,09,03,07,09,032,10,2,2,1,25,2,3,1,485,20,12,14,3,3,,1,,5,150,98,,1,,0,4
53WN00717,53,1,1485,2,29,290,9141,2,13,20,3,6,62,122,1,7,06,1,78,13,06,07,08,032,7,2,2,1,25,2,2,,541,20,12,14,3,3,,1,1,5,122,120,,3,10,0,4
53WN00718,53,2,1486,2,25,250,1696,2,13,27,1,2,62,122,1,4,06,1,66,09,03,07,09,037,13,2,2,1,25,2,2,1,480,20,22,14,1,1,,1,,5,153,74,,1,,0,2
53WN00719,53,2,1487,2,47,470,0919,2,13,14,5,3,61,121,1,5,05,1,66,13,03,07,07,031,8,2,2,1,19,2,2,1,473,21,10,14,5,2,,1,,5,140,88,,1,,0,3
53WN00720,53,1,1488,2,47,470,0919,2,13,14,5,3,61,121,1,7,06,1,71,12,03,07,09,036,12,2,2,1,20,2,2,,507,21,10,14,5,2,,1,1,5,140,96,,1,,0,3
53WN00721,53,1,1489,2,37,370,9412,2,13,17,1,5,60,120,1,7,06,1,80,11,03,07,09,037,8,2,2,1,22,3,3,,583,22,08,14,1,1,,1,2,5,147,100,,1,,0,4
53WN00722,53,2,1490,2,40,400,9569,2,13,32,1,5,60,120,1,5,07,1,75,09,03,09,09,026,13,2,2,1,16,2,2,1,552,22,27,14,1,1,,1,,5,151,88,,1,,0,4
53WN00723,53,2,1491,2,28,280,8278,2,13,11,1,7,60,120,1,3,06,1,65,12,03,07,09,031,8,2,2,1,24,2,2,1,452,22,08,14,1,1,,1,,5,125,108,,1,,0,5
53WN00724,53,2,1492,2,82,255,0907,2,13,,1,3,60,120,1,3,05,1,79,09,07,08,06,032,12,2,2,1,24,2,2,,563,22,00,14,1,1,,7,,5,130,114,,3,10,0,3
53WN00725,53,1,1493,2,49,491,9524,2,13,10,1,5,59,119,1,7,06,2,99,11,05,06,06,031,14,2,2,1,19,2,2,,739,23,01,14,1,1,,1,3,5,154,110,,3,40,0,4
53WN00726,53,2,1494,2,37,370,0218,2,14,28,1,2,59,119,1,3,07,1,51,12,03,09,10,029,11,2,2,1,24,2,3,1,348,23,17,14,1,1,,1,,5,122,96,,1,,0,2
