UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,EBVLWW,CLPG1,CLPG2,CLPG3,DNA,EBVSIRE,EBVDAM
99WN00001, 99090055,99,90055,09,3,00,00,L-7,5,1,1,1.0,1,1,1,121,221,100,21,12.3,55,84,0.717,98,1,1,,,7,.,LIM,,,A3234,04, 8062,00,00,3,93,270,1,1,0,1.0,98.0,3,101,0,,0,0,0,,,
99WN00002, 99090056,99,90056,09,2,00,00,L-7,8,2,1,1.0,1,1,1,121,221,100,3,8.4,44,65,0.566,76,9,1,,,1,.,BLK,e.7,BLACK ewe,A3234,04, 8142,00,00,1,,0,3,2,0,2.0,119.0,1,77,0,,0,0,0,,,
99WN00003, 99090057,99,90057,09,2,00,00,L-7,8,2,1,1.0,1,1,2,121,223,102,1,10.0,42,75,0.637,86,9,1,,,1,.,BLK,e.9,BLACK ewe,A3234,04, 8142,00,00,1,,0,5,6,0,2.0,119.0,1,86,0,,0,0,0,,,
99WN00004, 99090108,99,90108,09,3,00,91,L04,9,3,1,5.0,5,4,2,123,223,100,3,9.7,58,94,0.843,111,1,1,,,7,D,LIM,,, 0641,00,K7129,63,62,3,93,270,7,2,0,1.66,106.9,3,109,0,,0,0,0,,,
99WN00005, 99090114,99,90114,09,2,00,91,L01,9,3,1,7.0,7,5,2,124,223,99,3,7.4,45,75,0.683,89,1,1,,,7,D,LIM,L-0,SAVE DxC, 0619,00,K5891,63,60,1,,0,7,2,0,1.63,108.2,1,83,0,,0,0,0,,,
99WN00006, 99090291,99,90291,09,3,00,07,L14,5,1,1,5.0,5,4,H,128,229,101,1,16.2,75,98,0.81,113,1,1,,,7,T,LIM,,WAS BLIND,S0000,10,   84,00,00,3,93,270,1,1,108,1.2,71.6,3,105,0,,0,0,0,,,
99WN00007, 99090346,99,90346,09,3,00,07,L16,8,2,1,3.0,3,3,H,131,229,98,1,10.7,35,46,0.36,54,1,1,,,7,T,XXX,,"RUNT, BAND H",S0000,10, 6072,00,00,X,93,277,3,2,60,1.0,49.0,X,52,0,,0,0,0,,,
99WN00008, 99090399,99,90399,09,2,00,00,L-8,5,1,1,1.0,1,1,2,135,223,88,20,12.2,40,71,0.668,92,1,1,,,7,.,LIM,,,A3760,04, 8028,00,00,3,93,270,1,1,0,1.0,92.0,3,82,0,,0,0,0,,,
99WN00009, 99091108,99,91108,09,2,88,30,L42,8,2,1,5.0,5,4,H,145,229,84,1,0.0,54,72,0.857,103,1,,,,7,.,LIM,L-5,FIX BIG TAG,A4528,04,A1206,04,73,1,,0,3,2,101,1.97,102.4,1,80,0,,0,0,0,,,
99WN00010, 99046002,99,A6002,04,3,88,30,e.8,8,2,2,1.0,1,1,1,86,221,135,14,9.4,59,77,0.501,69,1,1,,,0,M,,,,A4328,04,A5354,04,81,3,93,270,5,4,102,2.22,142.7,3,96,0,,0,0,0,,,
99WN00011, 99046003,99,A6003,04,2,88,30,e.8,8,2,2,1.0,1,1,1,86,221,135,1,7.6,59,78,0.521,70,1,1,,,0,M,,  8,,A4328,04,A5354,04,81,2,92,266,5,6,103,2.22,142.7,2,93,95,,0,0,0,,,
99WN00012, 99046004,99,A6004,04,2,88,30,e.8,5,1,1,1.0,1,1,1,89,221,132,1,9.6,68,86,0.579,79,1,1,,,0,C,, 16,,A4328,04,A5083,04,82,2,92,266,1,1,102,2.12,130.7,2,90,99,,0,0,0,,,
99WN00013, 99046006,99,A6006,04,2,88,30,e.9,5,1,1,1.0,1,1,1,89,221,132,22,9.8,74,88,0.592,81,1,1,,,0,C,, 14,,A4314,04,A5620,04,82,2,92,266,1,1,103,2.12,131.1,2,106,106,,0,0,0,,,
99WN00014, 99046007,99,A6007,04,3,88,30,e.8,5,1,1,1.0,1,1,1,89,221,132,1,11.0,78,102,0.689,94,1,1,,,7,.,GXE,,T,A4328,04,A5634,04,81,T,99,365,1,1,110,2.12,133.7,T,,0,,0,0,0,,,
99WN00015, 99046008,99,A6008,04,2,88,30,e.9,8,2,2,1.0,1,1,1,90,221,131,19,11.0,64,88,0.588,82,1,1,,,0,M,,  7,,A4314,04,A5184,04,81,2,92,266,5,4,110,2.22,143.3,2,95,101,,0,0,0,,,
99WN00016, 99046009,99,A6009,04,3,88,30,e.9,8,2,2,1.0,1,1,1,90,221,131,4,9.3,43,65,0.425,60,1,1,,,0,M,,,,A4314,04,A5184,04,81,3,93,270,5,6,97,2.22,143.3,3,77,0,,0,0,0,,,
99WN00017, 99046010,99,A6010,04,3,88,30,e.8,8,2,2,1.0,1,1,1,90,221,131,22,6.5,51,62,0.424,57,1,1,,,0,C,,,RAT,A4328,04,A5463,04,82,3,93,270,5,5,94,2.22,139.1,3,83,0,,0,0,0,,,
99WN00018, 99046011,99,A6011,04,2,88,30,e.8,8,2,2,1.0,1,1,1,90,221,131,7,6.5,53,69,0.477,64,1,1,,,0,C,,,RAT,A4328,04,A5463,04,82,3,93,270,5,5,99,2.22,139.1,3,88,0,,0,0,0,,,
99WN00019, 99046014,99,A6014,04,2,88,30,e.9,8,2,1,1.0,1,1,1,91,221,130,12,7.4,59,73,0.505,68,1,1,,,0,C,, 13,,A4314,04,A5529,04,82,2,92,266,3,2,96,2.22,128.5,2,79,83,,0,0,0,,,
99WN00020, 99046018,99,A6018,04,2,88,30,e.8,5,1,1,1.0,1,1,1,91,221,130,8,10.5,70,95,0.65,89,1,1,,,7,.,GXE, 14,4TEATS,A4328,04,A5007,04,88,2,92,266,1,1,108,2.12,132.7,2,106,105,,0,0,0,,,
99WN00021, 99046019,99,A6019,04,3,88,30,e.9,8,2,1,1.0,1,1,1,91,221,130,16,7.7,60,79,0.548,74,1,1,,,0,C,,,,A4314,04,A5117,04,82,3,93,270,3,2,98,2.22,129.7,3,87,0,,0,0,0,,,
99WN00022, 99046021,99,A6021,04,3,88,30,e.9,5,1,1,1.0,1,1,1,92,221,129,12,9.6,73,93,0.647,87,1,1,,,0,C,,,T,A4314,04,A5301,04,82,T,,0,1,1,106,2.12,132.3,T,,0,,0,0,0,,,
99WN00023, 99046023,99,A6023,04,2,88,30,e.9,5,1,1,1.0,1,1,1,92,221,129,6,12.0,75,93,0.628,87,1,1,,,0,C,,,?Z6023 9/8/99,A4314,04,A5155,04,82,3,93,270,1,1,107,2.12,132.3,3,107,0,,0,0,0,,,
99WN00024, 99046025,99,A6025,04,3,88,30,e.9,8,2,1,1.0,1,1,1,93,221,128,5,9.8,66,91,0.634,86,1,1,,,0,M,,,,A4314,04,A5428,04,81,3,93,270,3,2,105,2.22,132.1,3,90,0,,0,0,0,,,
99WN00025, 99046026,99,A6026,04,2,88,30,e.8,8,2,2,1.0,1,1,1,93,221,128,7,8.5,55,77,0.535,73,1,1,,,0,M,, 11,,A4328,04,A5364,04,81,2,92,266,5,5,105,2.22,143.5,2,83,88,,0,0,0,,,
99WN00026, 99046027,99,A6027,04,2,88,30,e.8,8,2,2,1.0,1,1,1,93,221,128,1,7.8,57,74,0.517,70,1,1,,,0,M,,  9,,A4328,04,A5364,04,81,2,92,266,5,5,104,2.22,143.5,2,87,91,,0,0,0,,,
