UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,BELLY,JAW,WNWT,F,N,T,C,L,CRIMP,SIDE,THIGH,THSCO,C4951,TBRE,CTBR,CADAM_25,SIRE,SB1,C59,ADG,ADG6061,LBRD,LNDAM,TM,ADG67,BAND,IDX,BRWT,ABN,DISP,CULLFOR,C79,C80
56WN00001,56,2,1890,0,69,728,1647,0,10,,1,5,77,137,1,1,10,1,95,09,04,06,06,047,14,2,3,2,,1,1,4,7166,3,,610,61,10,68,4,0,1,157,114,,6,,0,
56WN00002,56,2,1891,0,69,328,1724,0,10,,1,2,77,137,1,1,11,1,76,10,03,12,08,039,16,2,2,1,,1,1,2,4164,1,,476,47,10,69,4,6,1,143,108,,2,17,0,
56WN00003,56,2,1892,0,69,328,1719,0,10,,1,2,76,136,1,1,11,1,86,09,03,07,07,040,12,2,2,1,,1,1,2,4164,1,,543,54,10,69,4,3,1,156,122,,2,17,0,
56WN00004,56,2,1893,0,69,398,1799,0,10,,1,7,75,135,1,3,07,1,88,10,04,07,08,039,11,2,2,1,,1,1,5,0396,2,,550,55,10,68,4,0,1,146,138,,,,0,
56WN00005,56,1,1894,0,69,408,1648,0,10,,1,5,75,135,1,7,10,1,98,10,04,07,06,046,13,2,2,1,,1,1,4,0935,2,,624,62,10,68,4,4,1,153,138,,3,17,0,
56WN00006,56,2,1895,0,69,399,1625,0,10,,1,0,75,135,1,3,10,1,78,10,04,09,08,040,14,1,2,2,,1,1,5,1714,2,,526,52,10,68,4,6,1,137,70,,,,0,
56WN00007,56,2,1896,0,69,399,1731,0,10,,1,2,74,134,1,3,09,1,73,10,04,09,07,039,14,2,2,1,,1,1,2,1714,2,,466,46,10,69,4,6,1,134,106,,,,0,
56WN00008,56,2,1897,0,69,349,1671,0,10,,5,4,74,134,1,3,11,1,73,10,03,09,09,039,16,2,2,1,,5,2,4,4218,1,,470,47,10,68,4,0,1,147,100,,2,51,0,
56WN00009,56,2,1898,0,69,349,1671,0,10,,5,4,74,134,1,3,10,1,69,09,03,08,09,036,16,2,2,1,,5,2,4,4218,1,,443,44,10,68,4,3,1,146,96,,,,0,
56WN00010,56,1,1899,0,69,701,1789,0,10,,1,2,74,134,1,4,09,1,82,12,03,08,08,039,14,2,2,1,,1,1,2,1621,2,,531,53,10,69,5,1,1,137,108,,3,17,0,
56WN00011,56,1,1900,0,69,499,1769,0,10,,2,2,74,134,1,7,09,1,63,11,03,10,11,029,14,1,2,2,,1,1,2,2103,2,,393,39,10,69,4,3,1,125,104,,3,17,0,
56WN00012,56,1,1901,0,69,479,1766,0,10,,1,2,73,133,1,7,09,1,84,12,03,08,09,036,14,2,2,1,,1,1,2,0603,2,,543,54,10,69,4,3,1,140,118,,3,17,0,
56WN00013,56,2,1902,0,69,591,1706,0,10,,1,4,73,133,1,3,10,1,80,09,04,07,07,035,14,3,4,2,,1,1,4,3868,1,,519,51,10,68,5,9,1,138,110,,,,0,
56WN00014,56,1,1903,0,69,718,1758,0,10,,5,2,73,133,1,4,10,1,70,12,03,08,07,027,16,1,2,2,,5,2,2,7657,3,,463,46,10,69,4,3,1,124,84,,3,17,0,
56WN00015,56,2,1904,0,69,718,1758,0,10,,5,2,73,133,1,4,12,1,68,10,03,08,08,032,15,1,2,2,,5,2,2,7657,3,,459,45,10,69,4,9,1,140,70,,,,0,
56WN00016,56,2,1905,0,69,681,1650,0,10,,1,4,72,132,1,1,10,1,73,09,04,14,08,043,13,2,2,1,,1,1,4,1876,2,,462,46,10,68,5,2,1,141,120,,3,57,0,
56WN00017,56,1,1906,0,69,728,1728,0,10,,3,2,72,132,4,1,10,1,82,12,04,07,08,042,12,4,5,2,,3,3,2,7166,3,,542,54,10,69,4,2,1,141,104,,3,17,0,
56WN00018,56,2,1908,0,69,728,1639,0,10,,1,7,72,132,1,3,07,1,80,09,06,06,08,042,11,2,3,2,,1,1,5,7166,3,,523,52,10,68,4,3,1,139,110,,,,0,
56WN00019,56,1,1909,0,69,398,1652,0,10,,1,4,72,132,1,7,09,1,82,09,04,08,09,039,16,2,2,1,,1,1,4,0396,2,,529,52,10,68,4,9,1,147,122,,3,17,0,
56WN00020,56,1,1910,0,69,691,1689,0,10,,1,4,72,132,1,5,09,1,100,09,04,10,07,037,14,2,2,1,,1,1,4,1854,2,,661,66,10,68,5,1,1,158,128,,3,17,0,
