UID,IDLAMB,YR,LBRD,ETAG,SEX,LINE,STM,PEN,TB,TR,TBRE,TBR17,AGE,ADAM,CADAM,BAND,DAYBN,WNAGE,TIM,BRWT,WNWT,ADG,F,N,T,C,L,TST,SIGR,THGR,JAW,CLR,H,IDX,MENB,MELW,CAUSE,ABN,DAYDIS,TRT,SIRE,SBRD,DAM,DBRD,TM,WT120,AADG,LNDAM,PD,CUWT,SAWT,LOT
85WN00001, 85027817,85,02,Y7817,1,71,30,714,2,2,5,5,2.0,2,2,1,84,140,15,64,74,483, 4, 3, 9, 7, 50,270,4,6,1,1,2,164,198,1239,93,,,0,7004,02,5098,02,6,64,509,71,3,80,86,
85WN00002, 85027818,85,02,Y7818,2,71,30,714,2,2,5,5,2.0,2,2,1,84,140,16,64,70,454, 4, 3,10, 7, 52,  0,6,7,1,1,4,166,198,1239,92,,,0,7004,02,5098,02,6,61,535,71,2,73,74,021
85WN00003, 85027819,85,02,Y7819,2,71,30,713,3,2,8,6,6.0,6,4,1,84,140,20,71,80,521, 6, 3, 8, 7, 48,  0,5,6,1,1,1,160,180,1060,92,,,0,7319,02,8765,01,6,70,573,71,2,87,95,011
85WN00004, 85027820,85,02,Y7820,2,71,30,713,3,2,8,4,6.0,6,4,1,84,140,28,88,79,501, 8, 3,10, 7, 49,  0,5,6,1,1,1,153,180,1060,92,,,0,7319,02,8765,01,6,69,543,71,2,82,84,011
85WN00005, 85027822,85,02,Y7822,2,71,30,713,2,2,5,6,3.0,3,3,1,84,140,38,82,75,477, 6, 3, 8, 7, 75,  0,6,7,2,1,1,177,197,1346,,,,0,7319,02,3163,02,6,65,545,71,1,84,93,
85WN00006, 85027823,85,02,Y7823,1,71,30,713,2,2,5,4,3.0,3,3,1,84,140,8,100,87,550, 5, 3, 9, 7, 66,  0,5,6,2,1,1,175,197,1346,04,,229,0,7319,02,3163,02,6,76,529,71,6,0,0,
85WN00007, 85027824,85,02,Y7824,2,70,30,701,3,2,8,5,3.0,3,3,1,85,139,5,63,70,458, 4, 3,10, 8, 46,  0,4,6,1,1,1,161,225,1218,92,,,0,5169,02,3190,02,2,61,512,70,2,77,87,011
85WN00008, 85027825,85,02,Y7825,1,70,30,701,3,2,8,5,3.0,3,3,1,85,139,9,63,78,516, 4, 3,10, 8, 53,266,5,6,1,1,3,170,225,1218,93,,,0,5169,02,3190,02,2,68,516,70,3,80,71,
85WN00009, 85027829,85,02,Y7829,3,30,30,007,2,1,3,2,1.0,1,1,1,86,138,5,70,81,536, 4, 3,10, 8, 47,  0,4,6,2,2,1,160,206,1182,93,,,1,0000,02,6942,02,4,71,500,70,3,91,93,
85WN00010, 85027831,85,02,Y7831,2,71,30,714,2,2,5,5,4.0,4,4,1,86,138,3,72,64,412, 5, 3,10, 8, 58,  0,5,7,1,1,1,157,224,1310,92,,,1,7004,02,1589,02,6,57,454,71,2,67,70,018
