UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,DNA,INBRL,STUDY
04WN00024,104050774,04,H0774,05,3,83,30,03P,3,4,2,6.0,6,4,1,89,216,127,17,6.0,0,79,0.575,75,1,1,,,0,W,.,,,A7199,04,A5301,04,82,3,93,275,8,4,0,2.75,150.4,3,96,,,0.05,
04WN00025,104050775,04,H0775,05,2,83,30,03P,3,4,2,6.0,6,4,1,89,216,127,24,4.9,0,67,0.489,64,1,1,,,0,W,.,,"X, HAIRY",A7199,04,A5301,04,82,3,93,275,8,6,100,2.75,150.4,3,82,,,0.05,
04WN00026,104050776,04,H0776,05,1,82,30,16P,9,3,2,5.0,5,4,1,90,216,126,9,10.0,0,81,0.563,78,1,1,,,0,C,.,,,A9442,04,90035,09,88,3,93,259,8,5,86,2.04,113.6,3,93,,,0.043,
04WN00027,104050777,04,H0777,05,2,82,30,16P,9,3,2,5.0,5,4,1,90,216,126,12,8.6,0,75,0.527,72,1,1,,,0,C,  6,,,A9442,04,90035,09,88,2,92,267,8,5,88,2.04,113.6,2,89,93,,0.043,
04WN00028,104050779,04,H0779,05,2,83,30,04P,8,2,2,6.0,6,4,1,90,216,126,21,10.1,0,91,0.642,87,1,1,,,0,W,.,,"HAIRY, X",A9232,04,A5434,04,82,Z,93,261,5,5,98,1.95,119.6,Z,109,,,0.048,
04WN00029,104050780,04,H0780,05,2,83,30,04P,8,2,2,6.0,6,4,1,90,216,126,16,9.6,0,81,0.567,78,1,1,,,0,W,.,e12,,A9232,04,A5434,04,82,1,,,5,5,94,1.95,119.6,1,99,96,,0.048,
04WN00030,104050781,04,H0781,05,1,83,30,04P,9,3,1,6.5,6,4,1,90,216,126,14,10.4,0,99,0.703,95,1,1,,,0,W,.,,,A9232,04,A4700,04,73,1,04,254,7,2,103,2.75,135.1,1,108,,,0.035,
04WN00031,104050783,04,H0783,05,2,82,30,14P,9,3,2,4.0,4,4,1,90,216,126,14,7.6,0,72,0.511,69,1,1,,,0,C,  2,,,A9963,04,A7177,04,82,2,92,267,8,5,93,2.48,128.8,2,84,87,,0.07,
04WN00032,104050784,04,H0784,05,2,82,30,14P,9,3,2,4.0,4,4,1,90,216,126,23,7.3,0,58,0.402,56,1,1,,,0,C,.,,,A9963,04,A7177,04,82,3,93,275,8,5,86,2.48,128.8,3,76,,,0.07,
04WN00033,104050787,04,H0787,05,3,83,30,02P,9,3,2,3.0,3,3,1,90,216,126,18,7.9,0,79,0.564,76,1,1,,,0,W,.,,HAIRY,A8647,04,A8695,04,84,3,93,275,8,5,0,2.31,149.1,3,93,,,0.053,
04WN00034,104050788,04,H0788,05,3,83,30,02P,9,3,2,3.0,3,3,1,90,216,126,4,7.7,0,83,0.598,79,1,1,,,0,W,.,,"X, HAIRY",A8647,04,A8695,04,84,3,93,275,8,5,0,2.31,149.1,3,93,,,0.053,
04WN00035,104050789,04,H0789,05,2,82,30,26P,8,2,2,6.0,6,4,1,90,216,126,3,5.6,0,74,0.543,71,1,1,,,0,C,  4,,,A7896,04,A5473,04,81,2,92,267,5,7,90,2.25,120.4,2,92,92,,0.035,
04WN00036,104050790,04,H0790,05,1,82,30,26P,8,2,2,6.0,6,4,1,90,216,126,9,9.7,0,91,0.645,87,1,1,,,0,C,.,,,A7896,04,A5473,04,81,3,93,259,5,3,93,2.25,120.4,3,108,,,0.035,
