UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,BELLY,JAW,WNWT,F,N,T,C,L,CRIMP,SIDE,THIGH,THSCO,DENSITY,CADAM_25,TBRE,CTBR,C53,SIRE,SB1,LBRD1,ADG,LBRD2,LBRD,LNDAM,TM,PENIS,BAND,IDX,BRWT,ABN,DISP,CULLFOR,C79,C80
55WN00837,55,2,8003,3,70,720,6579,3,17,,1,4,73,133,1,1,06,1,89,09,03,06,05,037,13,2,2,1,20,4,1,1,2,7231,3,1,580,7,17,70,2,,1,147,118,,,,0,4
55WN00838,55,1,8004,3,65,641,6955,3,17,,1,3,73,133,1,4,05,3,107,10,07,05,05,034,14,2,2,1,26,3,1,1,,0974,2,1,705,7,17,62,5,1,1,137,132,,3,17,0,
55WN00839,55,2,8005,3,65,611,7013,3,17,,5,3,73,133,1,3,07,1,69,09,03,08,10,030,14,2,2,1,27,3,5,2,2,3868,1,1,447,7,17,62,5,,1,142,96,,,,0,
55WN00840,55,2,8006,3,65,611,7013,3,17,,5,3,73,133,1,3,05,1,70,12,03,09,09,030,14,2,2,1,17,3,5,2,2,3868,1,1,448,7,17,62,5,,1,125,104,,,,0,
55WN00841,55,1,8007,3,72,860,6906,3,17,,5,3,73,133,1,4,08,1,54,12,03,13,14,024,16,2,3,2,21,3,5,2,,7212,3,1,349,7,17,71,3,1,1,114,76,,,,0,3
55WN00842,55,1,8008,3,72,860,6906,3,17,,5,3,73,133,2,4,07,1,99,12,04,07,05,032,14,2,2,1,18,3,5,2,,7212,3,1,681,7,17,71,3,4,1,136,84,,,,0,3
55WN00843,55,1,8009,3,72,950,6915,3,17,,1,3,73,133,1,7,06,1,93,12,03,06,06,043,16,2,3,2,28,3,1,1,,7473,3,1,602,7,17,71,3,5,1,137,130,,6,,0,3
55WN00844,55,1,8010,3,72,900,6984,3,17,,1,3,73,133,1,4,06,1,110,11,03,06,07,039,15,2,3,2,21,3,1,1,,7321,3,1,725,7,17,71,3,5,1,159,136,,,,0,3
55WN00845,55,2,8011,3,65,561,6716,3,17,,1,4,73,133,3,1,05,1,93,09,03,06,04,036,14,2,2,1,24,4,1,1,,3931,1,1,611,7,17,62,5,,1,147,118,,2,40,0,
55WN00846,55,2,8012,3,65,551,7349,3,17,,1,2,73,133,1,3,06,3,68,10,03,09,09,033,15,2,2,1,18,2,1,1,,3789,1,1,447,7,17,62,5,,1,134,86,,2,35,0,
55WN00847,55,1,8014,3,70,720,6607,3,17,,3,4,72,132,1,6,08,6,107,09,04,09,07,038,15,2,3,2,21,4,3,3,,7231,3,1,721,7,17,70,2,4,1,165,118,,3,34,0,4
55WN00848,55,2,8015,3,65,701,6805,3,17,,3,4,72,132,1,1,07,1,79,10,04,09,06,032,15,2,2,1,20,4,3,3,1,1167,2,1,530,7,17,62,5,,1,131,90,,,,0,
55WN00849,55,1,8017,3,70,730,7318,3,17,,1,2,72,132,1,7,09,1,95,09,03,07,05,036,14,2,3,2,21,2,1,1,,7019,3,1,633,7,17,70,2,1,1,152,114,,,,0,2
55WN00850,55,2,8018,3,70,710,6114,3,17,,3,6,72,132,1,1,05,1,94,11,04,06,04,042,10,2,3,2,18,4,3,3,2,7473,3,1,626,7,17,70,2,,1,142,114,,,,0,4
55WN00851,55,2,8020,3,72,920,7345,3,17,,1,2,72,132,1,1,07,1,82,11,03,07,06,038,14,2,3,2,19,2,1,1,,7382,3,1,538,7,17,71,3,,1,139,110,,,,0,2
55WN00852,55,1,8021,3,72,890,7515,3,17,,1,2,72,132,1,7,05,1,85,10,04,07,08,038,11,2,2,1,23,2,1,1,,7282,3,1,552,7,17,71,3,2,1,143,122,,,,0,2
55WN00853,55,2,8023,3,70,720,6262,3,17,,3,5,72,132,1,3,09,1,91,09,03,06,06,038,15,2,3,2,26,4,3,3,2,7231,3,1,618,7,17,70,2,,1,155,94,,,,0,4
55WN00854,55,2,8025,3,70,720,7469,3,17,,3,2,72,132,1,1,06,6,69,11,03,08,07,040,12,2,2,1,23,2,3,3,,7231,3,1,461,7,17,70,2,,1,133,82,,3,34,0,2
55WN00855,55,1,8026,3,70,710,6724,3,17,,5,4,72,132,1,7,06,1,62,09,03,11,13,024,13,2,2,1,25,4,5,2,,7473,3,1,406,7,17,70,2,1,1,134,84,,3,10,0,4
55WN00856,55,1,8027,3,70,710,6724,3,17,,5,4,72,132,1,4,06,1,79,09,03,09,09,025,16,2,2,1,21,4,5,2,,7473,3,1,536,7,17,70,2,4,1,141,82,,3,10,0,4
55WN00857,55,2,8028,3,70,730,6679,3,17,,5,4,72,132,1,2,07,1,93,10,03,06,06,038,17,2,2,1,23,4,5,2,1,7019,3,1,626,7,17,70,2,,1,156,104,,,,0,4
55WN00858,55,1,8029,3,70,730,6679,3,17,,5,4,72,132,1,4,07,1,68,11,03,10,11,032,16,2,2,1,20,4,5,2,,7019,3,1,436,7,17,70,2,1,1,130,104,,3,10,0,4
55WN00859,55,2,8030,3,70,720,6300,3,17,,1,5,72,132,1,4,06,1,86,08,03,07,06,036,9,2,2,1,23,4,1,1,1,7231,3,1,550,7,17,70,2,,1,151,134,,,,0,4
55WN00860,55,2,8031,3,70,720,7084,3,17,,1,3,72,132,1,4,07,1,83,09,03,06,08,037,11,2,3,2,26,3,1,1,2,7231,3,1,547,7,17,70,2,,1,149,108,,,,0,3
55WN00861,55,2,8032,3,70,710,7211,3,17,,1,2,72,132,1,1,05,1,74,13,04,09,09,037,12,2,3,2,20,2,1,1,,7473,3,1,476,7,17,70,2,,1,124,112,,2,10,0,2
55WN00862,55,1,8033,3,72,860,6940,3,17,,1,3,72,132,1,6,06,1,103,10,03,06,06,034,13,2,2,1,23,3,1,1,,7212,3,1,689,7,17,71,3,5,1,151,120,,,,0,3
55WN00863,55,2,8034,3,72,800,7163,3,17,,1,2,72,132,1,2,08,1,62,09,03,10,10,030,12,2,3,2,19,2,1,1,1,7138,3,1,382,7,17,71,3,,1,134,116,,,,0,2
55WN00864,55,2,8035,3,70,730,6820,3,17,,1,4,72,132,1,3,06,1,86,09,05,06,04,036,12,2,4,3,20,4,1,1,,7019,3,1,571,7,17,70,2,,1,133,106,,2,10,0,4
55WN00865,55,2,8036,3,72,850,6928,3,17,,1,3,72,132,1,1,09,1,92,08,04,08,06,032,15,2,2,1,23,3,1,1,1,7206,3,1,608,7,17,71,3,,1,151,118,,,,0,3
55WN00866,55,2,8037,3,72,800,7512,3,17,,1,2,72,132,1,2,05,1,61,12,04,09,11,029,16,2,3,2,25,2,1,1,,7138,3,1,377,7,17,71,3,,1,116,112,,,,0,2
55WN00867,55,1,8038,3,65,571,7180,3,17,,1,2,72,132,1,7,07,1,91,09,03,07,07,032,18,2,2,1,26,2,1,1,,3886,1,1,603,7,17,62,5,5,1,151,114,,,,0,
55WN00868,55,2,8039,3,70,720,6422,3,17,,1,5,72,132,1,1,06,1,89,09,03,07,06,037,15,2,3,2,24,4,1,1,,7231,3,1,583,7,17,70,2,,1,150,120,,2,10,0,4
55WN00869,55,2,8040,3,65,681,7299,3,17,,1,2,72,132,1,1,05,1,71,09,04,07,06,038,14,2,2,1,27,2,1,1,1,1166,2,1,461,7,17,62,5,,1,134,102,,,,0,
55WN00870,55,2,8041,3,70,730,6703,3,17,,1,4,72,132,1,4,06,1,79,10,03,06,03,042,12,2,3,2,21,4,1,1,,7019,3,1,518,7,17,70,2,,1,130,106,,2,10,0,4
55WN00871,55,1,8042,3,65,551,7286,3,17,,1,2,71,131,1,7,05,3,85,10,05,07,07,033,14,2,2,1,27,2,1,1,,3789,1,1,563,7,17,62,5,5,1,134,112,,3,17,0,
55WN00872,55,1,8044,3,72,880,6951,3,17,,1,3,71,131,1,7,06,1,88,12,04,07,07,033,15,2,3,2,22,3,1,1,,7278,3,1,600,7,17,71,3,5,1,125,94,,7,,0,3
55WN00873,55,2,8045,3,72,830,7062,3,17,,1,3,71,131,1,1,06,1,93,11,04,06,07,041,14,2,2,1,20,3,1,1,,7169,3,1,618,7,17,71,3,,1,146,120,,,,0,3
55WN00874,55,2,8046,3,72,810,7524,3,17,,1,2,71,131,1,2,06,1,77,09,03,08,09,034,15,2,3,2,28,2,1,1,1,7164,3,1,507,7,17,71,3,,1,149,106,,,,0,2
55WN00875,55,2,8047,3,70,730,5689,3,17,,1,7,71,131,1,1,06,1,88,10,03,06,06,041,12,2,2,1,17,5,1,1,1,7019,3,1,574,7,17,70,2,,1,147,128,,,,0,5
55WN00876,55,2,8048,3,70,720,5701,3,17,,1,7,71,131,1,1,06,1,85,09,03,07,06,036,16,2,2,1,19,5,1,1,1,7231,3,1,557,7,17,70,2,,1,146,120,,,,0,5
55WN00877,55,2,8049,3,70,710,6623,3,17,,1,4,71,131,1,1,06,1,78,11,03,07,06,040,16,2,2,1,25,4,1,1,1,7473,3,1,524,7,17,70,2,,1,131,94,,,,0,4
55WN00878,55,2,8050,3,72,850,7213,3,17,,1,2,71,131,1,2,06,1,74,09,03,08,07,035,11,2,3,2,21,2,1,1,,7206,3,1,478,7,17,71,3,,1,142,114,,,,0,2
55WN00879,55,1,8051,3,65,611,7437,3,17,,1,2,70,130,1,7,08,1,78,12,04,08,06,036,14,2,3,2,20,2,1,1,,3868,1,1,526,7,17,62,5,1,1,120,96,,3,17,0,
55WN00880,55,1,8052,3,70,710,6617,3,17,,5,4,70,130,1,2,06,1,44,10,03,13,13,028,15,2,3,2,20,4,5,2,,7473,3,1,262,7,17,70,2,1,1,115,100,,3,10,0,4
55WN00881,55,1,8053,3,70,710,6617,3,17,,5,4,70,130,1,7,07,1,70,11,03,09,09,032,15,2,3,2,23,4,5,2,,7473,3,1,463,7,17,70,2,1,1,128,98,,3,10,0,4
55WN00882,55,1,8054,3,72,930,7185,3,17,,1,2,70,130,1,4,06,1,80,11,05,07,06,038,14,2,3,2,27,2,1,1,,7385,3,1,540,7,17,71,3,4,1,125,98,,6,,0,2
55WN00883,55,1,8055,3,65,671,7435,3,17,,1,2,70,130,1,4,08,1,65,11,03,10,09,033,14,2,3,2,24,2,1,1,,1231,2,1,415,7,17,62,5,1,1,122,110,,3,17,0,
55WN00884,55,1,8056,3,70,710,5705,3,17,,1,7,70,130,1,4,05,6,105,12,04,06,07,042,13,2,3,2,24,5,1,1,,7473,3,1,689,7,17,70,2,4,1,149,154,,6,,0,5
55WN00885,55,1,8057,3,72,900,7343,3,17,,1,2,70,130,1,2,05,1,94,12,03,07,07,036,14,2,2,1,24,2,1,1,,7321,3,1,632,7,17,71,3,5,1,142,118,,6,,0,2
55WN00886,55,2,8058,3,70,720,6615,3,17,,3,4,70,130,1,3,05,1,90,08,03,06,05,040,15,2,3,2,21,4,3,3,2,7231,3,1,595,7,17,70,2,,1,159,126,,,,0,4
55WN00887,55,2,8059,3,70,720,6460,3,17,,1,5,70,130,1,4,05,1,85,09,03,07,05,041,14,2,2,1,24,4,1,1,1,7231,3,1,566,7,17,70,2,,1,147,114,,,,0,4
55WN00888,55,1,8061,3,72,890,7424,3,17,,5,2,69,129,1,4,07,1,73,09,03,09,11,031,10,2,3,2,22,2,5,2,,7282,3,1,481,7,17,71,3,2,1,151,110,,,,0,2
55WN00889,55,2,8062,3,70,730,7087,3,17,,5,3,69,129,1,1,07,1,72,08,03,08,07,037,12,2,3,2,25,3,5,2,,7019,3,1,473,7,17,70,2,,1,149,110,,2,10,0,3
55WN00890,55,1,8063,3,70,730,7087,3,17,,5,3,69,129,1,7,08,1,83,09,04,09,07,035,12,2,2,1,23,3,5,2,,7019,3,1,549,7,17,70,2,1,1,144,122,,3,10,0,3
55WN00891,55,1,8064,3,70,710,6934,3,17,,5,3,69,129,1,7,07,1,72,09,03,10,10,034,13,2,2,1,21,3,5,2,,7473,3,1,482,7,17,70,2,1,1,145,98,,3,10,0,3
55WN00892,55,2,8065,3,70,710,6934,3,17,,5,3,69,129,1,1,07,1,64,08,03,10,10,030,15,2,3,2,23,3,5,2,2,7473,3,1,423,7,17,70,2,,1,144,94,,,,0,3
55WN00893,55,2,8067,3,70,720,5761,3,17,,3,7,69,129,1,1,07,1,78,08,03,07,07,035,16,2,3,2,24,5,3,3,2,7231,3,1,527,7,17,70,2,,1,150,100,,,,0,5
55WN00894,55,2,8068,3,65,591,6597,3,17,,5,4,69,129,1,3,05,1,56,12,03,09,10,036,11,2,3,2,21,4,5,2,1,3989,1,1,355,7,17,62,5,,1,120,102,,,,0,
55WN00895,55,2,8069,3,65,591,6597,3,17,,5,4,69,129,1,3,05,1,59,10,03,09,08,037,14,2,3,2,23,4,5,2,1,3989,1,1,389,7,17,62,5,,1,129,88,,,,0,
55WN00896,55,1,8071,3,70,710,6652,3,17,,1,4,69,129,1,7,07,1,96,12,03,06,06,040,14,2,2,1,25,4,1,1,,7473,3,1,651,7,17,70,2,2,1,140,120,,,,0,4
55WN00897,55,1,8073,3,72,800,7059,3,17,,1,3,69,129,1,7,07,1,75,12,03,09,10,033,14,2,2,1,19,3,1,1,,7138,3,1,476,7,17,71,3,2,1,125,136,,,,0,3
55WN00898,55,1,8074,3,65,691,7245,3,17,,1,2,69,129,1,2,05,1,66,10,03,09,10,033,17,2,3,2,26,2,1,1,,1045,2,1,406,7,17,62,5,1,1,131,136,,3,17,0,
55WN00899,55,2,8075,3,70,720,7376,3,17,,1,2,69,129,1,2,06,1,78,09,03,08,07,034,16,2,3,2,23,2,1,1,1,7231,3,1,516,7,17,70,2,,1,146,114,,,,0,2
55WN00900,55,1,8077,3,65,581,7123,3,17,,3,3,69,129,1,7,10,1,94,12,04,08,08,028,13,1,2,2,20,3,3,3,,3925,1,1,634,7,17,62,5,1,1,134,122,,,,0,
55WN00901,55,1,8079,3,70,720,7227,3,17,,1,2,69,129,6,2,06,1,68,10,03,09,10,036,14,2,2,1,23,2,1,1,,7231,3,1,422,7,17,70,2,1,1,135,136,,3,49,0,2
55WN00902,55,2,8080,3,65,631,6760,3,17,,1,4,69,129,1,1,06,1,71,11,06,08,06,035,11,2,5,4,21,4,1,1,,1088,2,1,465,7,17,62,5,,1,111,110,,2,17,0,
55WN00903,55,1,8081,3,70,730,7176,3,17,,1,2,69,129,1,2,06,1,87,10,03,08,06,031,18,2,3,2,21,2,1,1,,7019,3,1,584,7,17,70,2,5,1,140,116,,,,0,2
55WN00904,55,1,8082,3,70,710,5649,3,17,,1,7,69,129,1,6,09,1,86,09,04,07,08,033,14,2,2,1,26,5,1,1,,7473,3,1,569,7,17,70,2,3,1,142,126,,,,0,5
55WN00905,55,2,8083,3,70,710,6084,3,17,,5,6,69,129,1,4,06,1,70,13,04,09,09,035,12,2,2,1,27,4,5,2,,7473,3,1,468,7,17,70,2,,1,122,96,,2,10,0,4
55WN00906,55,1,8084,3,70,710,6084,3,17,,5,6,69,129,1,7,06,1,82,13,04,08,09,035,14,2,2,1,24,4,5,2,,7473,3,1,549,7,17,70,2,1,1,129,112,,3,10,0,4
55WN00907,55,1,8085,3,70,710,6932,3,17,,5,3,69,129,1,7,05,1,64,12,03,11,10,028,13,2,2,1,20,3,5,2,,7473,3,1,423,7,17,70,2,1,1,118,94,,3,10,0,3
55WN00908,55,1,8086,3,70,710,6932,3,17,,5,3,69,129,1,7,06,1,81,12,03,08,07,033,16,2,2,1,17,3,5,2,,7473,3,1,552,7,17,70,2,2,1,130,98,,3,10,0,3
55WN00909,55,2,8087,3,65,581,6568,3,17,,1,4,69,129,1,2,06,1,78,10,04,07,06,037,12,2,3,2,22,4,1,1,1,3925,1,1,518,7,17,62,5,,1,132,112,,,,0,
55WN00910,55,1,8088,3,70,720,6634,3,17,,1,4,69,129,1,4,07,1,90,09,04,06,07,034,12,2,2,1,23,4,1,1,,7231,3,1,605,7,17,70,2,3,1,144,120,,,,0,4
55WN00911,55,2,8089,3,70,720,5995,3,17,,5,6,68,128,1,1,06,1,64,11,03,09,10,031,12,2,3,2,28,4,5,2,,7231,3,1,419,7,17,70,2,,1,130,104,,2,10,0,4
55WN00912,55,1,8090,3,70,720,5995,3,17,,5,6,68,128,1,7,07,1,71,12,03,09,10,032,16,2,3,2,22,4,5,2,,7231,3,1,475,7,17,70,2,2,1,128,102,,3,10,0,4
