UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,EBVLWW,CLPG1,CLPG2,CLPG3,DNA,EBVSIRE,EBVDAM
97WN00001, 97043981,97,A3981,04,2,88,30,e.8,8,2,2,1.0,1,1,1,90,218,128,22,7.6,55,73,0.511,69,1,1,,,0,C, 17,BRITCHY,A2059,04,A3546,04,82,2,92,261,5,5,100,2.07,128.5,2,82,,5.46,0,0,,,4.89,6.02
97WN00002, 97043980,97,A3980,04,3,88,30,e.9,8,2,1,1.0,1,1,1,89,218,129,22,8.5,71,86,0.601,81,1,1,,,0,C,,,A1985,04,A2884,04,82,3,93,273,3,2,108,2.07,126.9,3,98,,5.5,0,0,,,5.93,5.07
97WN00003, 97043983,97,A3983,04,2,88,30,e.9,8,2,2,1.0,1,1,1,90,218,128,12,6.3,54,77,0.552,73,1,1,,,0,C, 11,,A1985,04,A3547,04,82,2,92,261,5,5,101,2.07,126.5,2,84,,5.98,0,0,,,5.93,6.02
97WN00004, 97043984,97,A3984,04,3,88,30,e.9,8,2,2,1.0,1,1,1,90,218,128,3,6.5,50,57,0.395,54,1,1,,,0,C,,,A1985,04,A3547,04,82,3,93,273,5,5,93,2.07,126.5,3,73,,5.98,0,0,,,5.93,6.02
97WN00005, 97043985,97,A3985,04,2,88,30,e.9,5,1,1,1.0,1,1,1,90,218,128,22,11.8,77,99,0.681,94,1,1,,,0,M, 16,,A1985,04,A3198,04,81,2,92,261,1,1,109,1.97,119.9,2,110,,5.46,0,0,,,5.93,4.99
97WN00006, 97043986,97,A3986,04,3,88,30,e.8,8,2,2,1.0,1,1,1,90,218,128,7,5.8,58,80,0.58,75,1,1,,,0,M,PIN,,A2059,04,A3318,04,81,P,93,666,5,3,104,2.07,126.5,P,91,,4.85,0,0,,,4.89,4.81
97WN00007, 97043982,97,A3982,04,3,88,30,e.8,8,2,2,1.0,1,1,1,90,218,128,14,7.4,54,72,0.505,68,1,1,,,0,C,,,A2059,04,A3546,04,82,3,93,273,5,5,101,2.07,128.5,3,86,,5.46,0,0,,,4.89,6.02
97WN00008, 97043988,97,A3988,04,3,88,30,e.8,5,1,1,1.0,1,1,1,91,218,127,15,10.3,76,95,0.667,90,1,1,,,0,C,PIN,,A2059,04,A2919,04,82,P,93,666,1,1,108,1.97,119.1,P,102,,5.68,0,0,,,4.89,6.46
97WN00009, 97043989,97,A3989,04,2,88,30,e.9,8,2,1,1.0,1,1,1,91,218,127,10,9.6,74,98,0.696,93,1,1,,,0,M,  9,,A1985,04,A2912,04,81,2,92,261,3,2,112,2.07,126.6,2,107,,6.21,0,0,,,5.93,6.48
97WN00010, 97043987,97,A3987,04,2,88,30,e.8,8,2,2,1.0,1,1,1,90,218,128,14,3.6,42,55,0.402,52,1,1,,,0,M, 15,,A2059,04,A3318,04,81,2,92,261,5,7,89,2.07,126.5,2,69,,4.85,0,0,,,4.89,4.81
97WN00011, 97043991,97,A3991,04,2,88,30,e.8,5,1,1,1.0,1,1,1,91,218,127,6,11.8,78,98,0.679,93,1,1,,,0,C, 16,,A2059,04,A3437,04,82,2,92,261,1,1,108,1.97,119.7,2,107,,5.11,0,0,,,4.89,5.33
97WN00012, 97043990,97,A3990,04,2,88,30,e.9,8,2,2,1.0,1,1,1,91,218,127,14,8.8,62,73,0.506,69,1,1,,,0,M, 10,,A1985,04,A2912,04,81,2,92,261,5,5,99,2.07,126.6,2,89,,6.21,0,0,,,5.93,6.48
97WN00013, 97043993,97,A3993,04,2,88,30,e.8,8,2,1,1.0,1,1,1,92,218,126,21,9.1,67,84,0.594,80,1,1,,,0,M,  9,,A2059,04,A2934,04,81,2,92,261,3,2,104,2.07,125.6,2,94,,5.82,0,0,,,4.89,6.74
97WN00014, 97043994,97,A3994,04,2,88,30,e.9,8,2,2,1.0,1,1,1,92,218,126,6,5.3,53,70,0.513,67,1,1,,,0,C,,,A1985,04,A2949,04,82,7,97,218,5,5,97,2.07,125.1,7,,,4.24,0,0,,,5.93,2.55
97WN00015, 97043995,97,A3995,04,3,88,30,e.9,8,2,2,1.0,1,1,1,92,218,126,7,5.0,43,55,0.397,53,1,1,,,0,C,,,A1985,04,A2949,04,82,7,97,247,5,5,92,2.07,125.1,7,0,,4.24,0,0,,,5.93,2.55
97WN00016, 97043996,97,A3996,04,2,88,30,e.9,5,1,1,1.0,1,1,1,92,218,126,9,9.0,68,84,0.595,80,1,1,,,0,M, 16,,A1985,04,A3470,04,81,2,92,261,1,1,100,1.97,117.1,2,92,,5.18,0,0,,,5.93,4.43
97WN00017, 97043992,97,A3992,04,2,88,30,e.8,8,2,2,1.0,1,1,1,92,218,126,22,8.2,69,89,0.641,85,1,1,,,0,M, 17,BRITCHY,A2059,04,A2934,04,81,2,92,261,5,5,107,2.07,125.6,2,89,,5.82,0,0,,,4.89,6.74
97WN00018, 97043998,97,A3998,04,2,88,30,e.8,8,2,2,1.0,1,1,1,92,218,126,3,8.4,58,77,0.544,74,1,1,,,0,M, 11,CHILLED,A2059,04,A2839,04,81,2,92,261,5,4,102,2.07,128.7,2,86,,6.25,0,0,,,4.89,7.61
97WN00019, 97043999,97,A3999,04,2,88,30,e.9,8,2,1,1.0,1,1,1,92,218,126,17,9.0,55,74,0.516,71,1,1,,,0,M, 12,,A1985,04,A3000,04,81,2,92,261,3,2,94,2.07,115.3,2,83,,6.44,0,0,,,5.93,6.95
97WN00020, 97043997,97,A3997,04,2,88,30,e.8,8,2,2,1.0,1,1,1,92,218,126,22,6.9,54,67,0.477,64,1,1,,,0,M, 10,CHILLED,A2059,04,A2839,04,81,2,92,261,5,6,97,2.07,128.7,2,88,,6.25,0,0,,,4.89,7.61
97WN00021, 97043974,97,A3974,04,2,88,30,e.9,8,2,1,1.0,1,1,1,88,218,130,6,9.1,73,92,0.638,86,1,1,,,0,M,  9,,A1985,04,A3313,04,81,2,92,261,3,2,108,2.07,125.7,2,102,,6.03,0,0,,,5.93,6.12
97WN00022, 97043975,97,A3975,04,2,88,30,e.9,8,2,1,1.0,1,1,1,88,218,130,4,6.2,62,80,0.568,74,1,1,,,0,M, 11,,A1985,04,A3313,04,81,2,92,261,3,2,101,2.07,125.7,2,86,,6.03,0,0,,,5.93,6.12
97WN00023, 97043976,97,A3976,04,2,88,30,e.8,8,2,1,1.0,1,1,1,88,218,130,17,7.7,71,79,0.548,74,1,1,,,0,C, 10,4TEATS,A2059,04,A3293,04,82,2,92,261,3,2,100,2.07,123.9,2,92,,3.49,0,0,,,4.89,2.08
97WN00024, 97043978,97,A3978,04,2,88,30,e.8,5,1,1,1.0,1,1,1,89,218,129,21,11.1,73,65,0.418,61,1,1,,,0,M, 17,,A2059,04,A3343,04,81,2,92,261,1,1,88,1.97,113.3,2,84,,5.45,0,0,,,4.89,6.0
97WN00025, 97043979,97,A3979,04,3,88,30,e.9,8,2,1,1.0,1,1,1,89,218,129,22,7.0,78,103,0.744,96,1,1,,,0,C,,,A1985,04,A2884,04,82,3,93,273,3,2,116,2.07,126.9,3,114,,5.5,0,0,,,5.93,5.07
97WN00026, 97043977,97,A3977,04,2,88,30,e.8,8,2,1,1.0,1,1,1,88,218,130,14,5.5,69,86,0.619,80,1,1,,,0,C, 17,BRITCHY,A2059,04,A3293,04,82,2,92,261,3,2,103,2.07,123.9,2,93,,3.49,0,0,,,4.89,2.08
97WN00027, 97044111,97,A4111,04,2,81,30,03,8,2,2,2.0,2,2,1,104,218,114,22,9.8,54,71,0.537,74,1,1,,,0,M,e.8,,A2146,04,A2313,04,81,1,,0,5,5,104,2.03,132.8,1,83,,6.13,0,0,,,7.03,5.22
