UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,EBVLWW,CLPG1,CLPG2,CLPG3,DNA,EBVSIRE,EBVDAM,MASTITRT
00WN00001,100000001,00,00001,00,2,88,30,L-5,5,1,1,1.0,1,1,3,107,228,121,1,10.3,68,84,0.609,83,1,1,,,7,.,LIM,e.9,,A4849,04,90071,09,88,1,,0,1,1,0,2.1,131.7,1,98,111,,0,0,0,,,,
00WN00002,100000003,00,00003,00,3,88,30,L-6,8,2,2,1.0,1,1,3,109,228,119,1,10.4,42,58,0.4,58,1,1,,,7,.,LIM,,, 8036,00,90333,09,88,3,93,286,5,5,0,2.2,140.1,3,74,0,,0,0,0,,,,
00WN00003,100000004,00,00004,00,2,88,30,L-6,8,2,2,1.0,1,1,3,109,228,119,1,8.9,51,67,0.488,67,1,1,,,7,.,LIM,,, 8036,00,90333,09,88,3,93,286,5,5,0,2.2,140.1,3,77,0,,0,0,0,,,,
00WN00004,100000005,00,00005,00,3,88,30,L-6,8,2,2,1.0,1,1,3,112,228,116,1,7.8,44,60,0.45,62,1,1,,,7,.,LIM,,, 8036,00,91149,09,88,3,97,273,5,5,0,2.2,141.5,7,0,0,,0,0,0,,,,
00WN00005,100000006,00,00006,00,3,88,30,L-6,8,2,2,1.0,1,1,3,112,228,116,1,8.4,52,68,0.514,70,1,1,,,7,.,LIM,,, 8036,00,91149,09,88,3,93,286,5,5,0,2.2,141.5,3,88,0,,0,0,0,,,,
00WN00006,100000008,00,00008,00,3,18,07,L-1,8,2,1,1.0,1,1,3,112,228,116,1,9.5,50,66,0.487,68,1,1,,,7,.,LIM,,,S9166,10,90256,09,00,3,97,273,3,2,0,1.87,117.1,7,0,0,,0,0,0,,,,
00WN00007,100000010,00,00010,00,3,88,30,L-6,5,1,1,1.0,1,1,3,112,228,116,1,10.4,71,87,0.66,90,1,1,,,7,.,LIM,,, 8036,00,90035,09,88,3,93,286,1,1,0,2.1,133.1,3,99,0,,0,0,0,,,,
00WN00008,100000011,00,00011,00,3,00,92,L-0,5,1,1,1.0,1,1,3,113,228,115,1,8.3,73,89,0.702,93,1,1,,,7,D,LIM,,,T0000,44,90114,09,00,3,93,286,1,1,0,1.0,93.0,3,125,0,,0,0,0,,,,
00WN00009,100000012,00,00012,00,2,88,30,L-5,7,2,1,1.0,1,1,3,113,228,115,1,7.1,49,65,0.503,68,1,1,,,7,.,LIM,,,A4849,04,90684,09,88,3,93,286,3,2,0,2.2,128.7,3,74,0,,0,0,0,,,,
00WN00010,100000013,00,00013,00,3,88,30,L-5,5,1,1,1.0,1,1,3,113,228,115,1,9.3,46,62,0.458,64,1,1,,,7,.,LIM,,,A4849,04,90679,09,88,3,93,286,1,1,0,2.1,127.9,3,74,0,,0,0,0,,,,
