UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,EBVLWW,CLPG1,CLPG2,CLPG3,DNA,EBVSIRE,EBVDAM,MASTITRT
00WN00011,100000014,00,00014,00,3,88,30,L-5,5,1,1,1.0,1,1,3,113,228,115,1,11.0,54,70,0.513,73,1,1,,,7,.,LIM,,,A4849,04,90694,09,88,3,93,286,1,1,0,2.1,129.7,3,78,0,,0,0,0,,,,
00WN00012,100000015,00,00015,00,2,00,73,L-0,5,1,1,1.0,1,1,3,114,228,114,1,10.5,64,80,0.61,84,5,1,,,7,B,LIM,,ENTR,T0000,44,91429,09,00,3,93,286,1,1,0,1.75,96.1,3,101,0,,0,0,0,,,,
00WN00013,100000017,00,00017,00,2,88,30,L-5,8,2,1,1.0,1,1,3,114,228,114,1,6.3,49,65,0.515,68,1,1,,,7,.,LIM,,L EYE TRT,A4849,04,90745,09,88,3,93,286,3,2,0,2.2,128.7,3,77,0,,0,0,0,,,,
00WN00014,100000019,00,00019,00,2,88,30,L-6,8,2,1,1.0,1,1,3,114,228,114,1,10.8,60,76,0.572,79,1,1,,,7,.,LIM,,, 8036,00,90375,09,88,1,97,273,3,2,0,2.2,130.9,7,0,0,,0,0,0,,,,
00WN00015,100000020,00,00020,00,3,18,07,L-3,5,1,1,1.0,1,1,3,114,228,114,1,12.7,61,77,0.564,80,1,1,,,7,.,LIM,,,S9348,10,91265,09,00,3,93,286,1,1,0,1.77,119.5,3,92,0,,0,0,0,,,,
00WN00016,100000022,00,00022,00,2,00,92,L-0,8,2,1,1.0,1,1,3,115,228,113,1,8.8,60,76,0.595,80,9,1,,,1,D,BLK,e.0,BLACK EWE,T0000,44,90080,09,00,1,,0,3,2,0,2.0,80.0,1,92,97,,0,0,0,,,,
00WN00017,100000023,00,00023,00,3,88,30,L-5,5,1,1,1.0,1,1,3,115,228,113,1,11.2,64,80,0.609,84,1,1,,,7,.,LIM,,,A4849,04,90006,09,88,3,93,286,1,1,0,2.1,131.9,3,87,0,,0,0,0,,,,
00WN00018,100000025,00,00025,00,2,00,73,L-0,8,2,1,1.0,1,1,3,115,228,113,1,10.1,53,69,0.521,73,1,1,,,7,B,LIM,,,T0000,44,Z5907,81,00,3,93,286,3,2,0,1.85,93.9,3,84,0,,0,0,0,,,,
00WN00019,100000027,00,00027,00,3,00,92,L-0,8,2,1,1.0,1,1,3,115,228,113,1,7.2,58,74,0.591,78,1,1,,,7,D,LIM,,,T0000,44,90146,09,00,3,93,286,3,2,0,2.0,78.0,3,96,0,,0,0,0,,,,
00WN00020,100000029,00,00029,00,3,88,30,L-6,8,2,1,1.0,1,1,3,115,228,113,1,8.6,62,78,0.614,82,1,1,,,7,.,LIM,,, 8036,00,90589,09,88,3,93,286,3,2,0,2.2,131.5,3,84,0,,0,0,0,,,,
00WN00021,100000030,00,00030,00,2,88,30,L-6,5,1,1,1.0,1,1,3,116,228,112,1,8.9,55,71,0.554,75,1,1,,,7,.,LIM,,4TEATS, 8036,00,91268,09,88,3,93,286,1,1,0,2.1,130.1,3,90,0,,0,0,0,,,,
00WN00022,100000031,00,00031,00,3,00,92,L-0,5,1,1,1.0,1,1,3,112,228,116,1,10.5,62,78,0.582,80,9,1,,,7,D,LIM,,BLACK WETHER,T0000,44,90111,09,00,3,93,286,1,1,0,1.0,80.0,3,99,0,,0,0,0,,,,
00WN00023,100000032,00,00032,00,2,00,92,L-0,5,1,1,1.0,1,1,3,116,228,112,1,13.5,76,92,0.701,98,1,1,,,7,D,LIM,,NICE,T0000,44,90101,09,00,3,93,286,1,1,0,1.0,98.0,3,113,0,,0,0,0,,,,
00WN00024,100000033,00,00033,00,2,88,30,L-6,8,2,2,1.0,1,1,H,116,224,108,5,8.4,0,49,0.376,54,1,1,,,7,.,LIM,,, 8036,00,90044,09,88,3,93,266,5,5,91,2.2,138.5,3,57,0,,0,0,0,,,,
00WN00025,100000034,00,00034,00,2,88,30,L-6,8,2,2,1.0,1,1,H,116,224,108,5,9.5,0,58,0.449,63,1,1,,,7,.,LIM,,, 8036,00,90044,09,88,3,93,266,5,5,96,2.2,138.5,3,66,0,,0,0,0,,,,
00WN00026,100000035,00,00035,00,2,00,92,L-0,5,1,1,1.0,1,1,2,116,222,106,20,10.8,51,70,0.558,78,9,1,,,1,D,BLK,e.0,BLACK EWE,T0000,44,90065,09,00,1,,0,1,1,0,1.0,78.0,1,83,94,,0,0,0,,,,
00WN00027,100000036,00,00036,00,3,00,73,L-0,8,2,2,1.0,1,1,3,116,228,112,1,10.2,58,74,0.57,79,2,1,,,7,B,LIM,,"ENTR,SEV.",T0000,44,Z5888,81,00,3,93,286,5,5,0,1.85,109.5,3,96,0,,0,0,0,,,,
00WN00028,100000037,00,00037,00,3,00,73,L-0,8,2,2,1.0,1,1,3,116,228,112,1,10.3,52,68,0.515,72,5,1,,,7,B,LIM,,,T0000,44,Z5888,81,00,3,93,286,5,5,0,1.85,109.5,3,85,0,,0,0,0,,,,
00WN00029,100000038,00,00038,00,3,00,73,L-0,5,1,1,1.0,1,1,3,117,228,111,1,14.0,63,79,0.586,84,5,1,,,7,B,LIM,,,T0000,44,Z5923,81,00,3,93,286,1,1,0,1.75,96.1,3,101,0,,0,0,0,,,,
00WN00030,100000039,00,00039,00,2,88,30,L-6,5,1,1,1.0,1,1,3,117,228,111,1,11.6,59,75,0.571,80,1,1,,,7,.,LIM,,, 8036,00,91089,09,88,3,93,286,1,1,0,2.1,131.1,3,89,0,,0,0,0,,,,
00WN00031,100000040,00,00040,00,2,00,92,L-0,5,1,1,1.0,1,1,3,117,228,111,1,10.3,59,75,0.583,80,9,1,,,1,D,BLK,e.0,BLACK EWE,T0000,44,90127,09,00,1,,0,1,1,0,1.0,80.0,1,90,97,,0,0,0,,,,
00WN00032,100000041,00,00041,00,3,00,73,L-0,5,1,1,1.0,1,1,3,117,228,111,1,12.0,73,89,0.694,95,4,1,,,7,B,LIM,,BLK.NECK,T0000,44,Z6056,81,00,3,97,273,1,1,0,1.75,98.3,7,0,0,,0,0,0,,,,
00WN00033,100000044,00,00044,00,3,88,30,L-5,8,2,1,1.0,1,1,3,118,228,110,1,9.3,49,65,0.506,70,1,1,,,7,.,LIM,,,A4849,04,90748,09,88,3,93,286,3,2,0,2.2,129.1,3,86,0,,0,0,0,,,,
00WN00034,100000046,00,00046,00,3,18,07,L-2,5,1,1,1.0,1,1,3,118,228,110,1,10.2,53,69,0.535,74,3,1,,,7,.,LIM,,SCOURS,S9600,10,90365,09,00,3,97,273,1,1,0,1.77,118.3,7,0,0,,0,0,0,,,,
00WN00035,100000047,00,00047,00,2,88,30,L-6,8,2,1,1.0,1,1,3,118,228,110,1,6.8,52,68,0.556,74,1,1,,,7,.,LIM,e.8,, 8036,00,91084,09,88,1,,0,3,2,0,2.2,129.9,1,88,94,,0,0,0,,,,
00WN00036,100000049,00,00049,00,3,88,30,L-6,7,2,1,1.0,1,1,3,119,228,109,1,10.3,58,74,0.584,80,1,1,,,7,.,LIM,,, 8036,00,90870,09,88,3,93,286,3,2,0,2.2,131.1,3,90,0,,0,0,0,,,,
00WN00037,100000050,00,00050,00,2,88,30,L-6,5,1,1,1.0,1,1,3,119,228,109,1,9.2,61,77,0.622,84,1,1,,,7,.,LIM,e.7,PNEU, 8036,00,90626,09,88,1,,0,1,1,0,2.1,131.9,1,100,113,,0,0,0,,,,
00WN00038,100000051,00,00051,00,2,00,73,L-0,8,2,1,1.0,1,1,3,119,228,109,1,10.0,62,78,0.624,85,1,1,,,7,B,LIM,,,T0000,44,Z5947,81,00,3,93,286,3,2,0,1.85,96.3,3,105,0,,0,0,0,,,,
00WN00039,100000053,00,00053,00,2,00,92,L-0,7,2,1,1.0,1,1,3,120,228,108,1,9.8,57,73,0.585,80,9,1,,,1,D,BLK,e.0,BLACK EWE,T0000,44,90156,09,00,1,,0,3,2,0,2.0,80.0,1,84,90,,0,0,0,,,,
00WN00040,100000054,00,00054,00,3,18,07,L-2,5,1,1,1.0,1,1,3,120,228,108,1,12.2,59,75,0.581,82,1,1,,,7,.,LIM,,,S9600,10,90233,09,00,3,93,286,1,1,0,1.77,119.9,3,92,0,,0,0,0,,,,
00WN00041,100000055,00,00055,00,3,00,73,L-0,7,2,1,1.0,1,1,3,120,228,108,1,11.7,64,80,0.632,88,5,1,,,7,B,LIM,,,T0000,44,Z5982,81,00,3,93,286,3,2,0,1.85,96.9,3,102,0,,0,0,0,,,,
00WN00042,100000056,00,00056,00,3,88,30,L-5,5,1,1,1.0,1,1,3,120,228,108,1,13.1,58,74,0.564,81,1,1,,,7,.,LIM,,LEG BACK,A4849,04,90053,09,88,3,93,286,1,1,0,2.1,131.3,3,85,0,,0,0,0,,,,
00WN00043,100000057,00,00057,00,2,00,73,L-0,5,1,1,1.0,1,1,3,120,228,108,1,15.3,69,85,0.645,93,2,1,,,7,B,LIM,,,T0000,44,91420,09,00,3,93,286,1,1,0,1.75,97.9,3,108,0,,0,0,0,,,,
00WN00044,100000060,00,00060,00,3,00,73,L-0,5,1,1,1.0,1,1,3,121,228,107,1,14.6,65,81,0.621,89,5,1,,,7,B,LIM,,ENTR,T0000,44,Z5930,81,00,3,93,286,1,1,0,1.75,97.1,3,104,0,,0,0,0,,,,
00WN00045,100000061,00,00061,00,3,00,92,L-0,5,1,1,1.0,1,1,3,121,228,107,1,13.5,69,85,0.668,94,1,1,,,7,D,LIM,,STOCKY,T0000,44,90100,09,00,3,93,286,1,1,0,1.0,94.0,3,110,0,,0,0,0,,,,
00WN00046,100000063,00,00063,00,2,88,30,L-5,8,2,1,1.0,1,1,3,121,228,107,1,7.5,53,69,0.575,76,1,1,,,7,.,LIM,e.6,,A4849,04,90059,09,88,1,,0,3,2,0,2.2,130.3,1,89,92,,0,0,0,,,,
00WN00047,100000064,00,00064,00,3,00,73,L-0,5,1,1,1.0,1,1,3,121,228,107,1,14.1,68,84,0.653,92,5,1,,,7,B,LIM,,,T0000,44,Z6031,81,00,3,93,286,1,1,0,1.75,97.7,3,113,0,,0,0,0,,,,
00WN00048,100000067,00,00067,00,3,00,92,L-0,5,1,1,1.0,1,1,3,122,228,106,1,12.2,68,84,0.677,93,1,1,,,7,D,LIM,,DORPERWOOL,T0000,44,90089,09,00,3,93,286,1,1,0,1.0,93.0,3,117,0,,0,0,0,,,,
00WN00049,100000068,00,00068,00,2,88,30,L-5,8,2,1,1.0,1,1,3,123,228,105,1,7.9,44,60,0.496,67,1,1,,,7,.,LIM,,,A4849,04,90518,09,88,3,93,286,3,2,0,2.2,128.5,3,74,0,,0,0,0,,,,
00WN00050,100000070,00,00070,00,2,00,92,L-0,5,1,1,1.0,1,1,3,123,228,105,1,10.5,59,75,0.614,84,1,1,,,7,D,LIM,,,T0000,44,90945,09,00,3,97,273,1,1,0,1.0,84.0,7,0,0,,0,0,0,,,,
00WN00051,100000071,00,00071,00,1,00,73,L-0,5,1,1,1.0,1,1,3,123,228,105,1,14.2,65,89,0.712,100,2,1,,,7,B,LIM,,"X, TxSxC RAM",T0000,44,Z5849,81,00,3,93,249,1,1,0,1.75,99.3,3,94,0,,0,0,0,,,,
00WN00052,100000072,00,00072,00,3,88,30,L-6,8,2,2,1.0,1,1,3,123,228,105,1,9.7,45,61,0.489,68,1,1,,,7,.,LIM,,, 8036,00,91208,09,88,3,93,286,5,5,0,2.2,141.9,3,74,0,,0,0,0,,,,
00WN00053,100000073,00,00073,00,2,88,30,L-6,8,2,2,1.0,1,1,3,123,228,105,1,9.2,43,59,0.474,66,1,1,,,7,.,LIM,,, 8036,00,91208,09,88,3,93,286,5,5,0,2.2,141.9,3,69,0,,0,0,0,,,,
00WN00054,100000074,00,00074,00,3,00,73,L-0,5,1,1,1.0,1,1,3,123,228,105,1,13.2,65,81,0.646,91,4,1,,,7,B,LIM,,,T0000,44,Z5854,81,00,3,93,286,1,1,0,1.75,97.5,3,99,0,,0,0,0,,,,
00WN00055,100000075,00,00075,00,3,00,73,L-0,5,1,1,1.0,1,1,3,124,228,104,1,13.8,56,72,0.56,81,2,1,,,7,B,LIM,,LEGS BACK,T0000,44,Z5984,81,00,3,93,286,1,1,0,1.75,95.5,3,88,0,,0,0,0,,,,
00WN00056,100000078,00,00078,00,3,88,30,L-5,8,2,1,1.0,1,1,3,124,228,104,1,10.0,51,67,0.548,76,1,1,,,7,.,LIM,,,A4849,04,90908,09,88,3,93,286,3,2,0,2.2,130.3,3,87,0,,0,0,0,,,,
00WN00057,100000081,00,00081,00,2,88,30,L-6,8,2,1,1.0,1,1,3,124,228,104,1,8.5,43,59,0.486,67,1,1,,,7,.,LIM,,BLK.R.KNEE, 8036,00,91054,09,88,3,93,286,3,2,0,2.2,128.5,3,84,0,,0,0,0,,,,
00WN00058,100000082,00,00082,00,3,18,07,L-2,5,1,1,1.0,1,1,3,124,228,104,1,11.4,59,75,0.612,85,1,1,,,7,.,LIM,,,S9600,10,91295,09,00,3,93,286,1,1,0,1.77,120.5,3,90,0,,0,0,0,,,,
00WN00059,100000083,00,00083,00,3,18,07,L-1,8,2,2,1.0,1,1,3,124,228,104,1,9.8,36,52,0.406,58,1,1,,,7,.,LIM,,,S9166,10,90317,09,00,3,97,273,5,5,0,1.87,128.1,7,0,0,,0,0,0,,,,
00WN00060,100000084,00,00084,00,2,18,07,L-1,8,2,2,1.0,1,1,3,124,228,104,1,9.6,42,58,0.465,65,3,1,,,7,.,LIM,,"BLK.HOCK,EAR",S9166,10,90317,09,00,3,93,286,5,5,0,1.87,128.1,3,74,0,,0,0,0,,,,
00WN00061,100000085,00,00085,00,2,88,30,L-6,5,1,1,1.0,1,1,3,124,228,104,1,13.8,63,79,0.627,89,1,1,,,7,.,LIM,e.9,, 8036,00,90015,09,88,1,,0,1,1,0,2.1,132.9,1,100,105,,0,0,0,,,,
00WN00062,100000087,00,00087,00,2,00,92,L-0,5,1,1,1.0,1,1,3,124,228,104,1,10.4,39,55,0.429,62,9,1,,,1,D,BLK,e.0,BLACK EWE,T0000,44,90109,09,00,1,,0,1,1,0,1.0,62.0,1,70,78,,0,0,0,,,,
00WN00063,100000088,00,00088,00,2,88,30,L-5,5,1,1,1.0,1,1,3,124,228,104,1,11.7,57,73,0.589,82,1,1,,,7,.,LIM,e.8,,A4849,04,90953,09,88,1,,0,1,1,0,2.1,131.5,1,88,94,,0,0,0,,,,
00WN00064,100000089,00,00089,00,3,88,30,L-6,8,2,2,1.0,1,1,3,125,228,103,1,10.7,35,51,0.391,58,1,1,,,7,.,LIM,,, 8036,00,90743,09,88,3,93,286,5,5,0,2.2,138.9,3,68,0,,0,0,0,,,,
00WN00065,100000090,00,00090,00,3,88,30,L-6,8,2,2,1.0,1,1,3,125,228,103,1,10.3,38,54,0.424,61,1,1,,,7,.,LIM,,, 8036,00,90743,09,88,3,93,286,5,5,0,2.2,138.9,3,68,0,,0,0,0,,,,
00WN00066,100000091,00,00091,00,3,18,07,L-3,5,1,1,1.0,1,1,3,125,228,103,1,12.4,51,67,0.53,76,1,1,,,7,.,LIM,,,S9348,10,90337,09,00,3,93,286,1,1,0,1.77,118.7,3,79,0,,0,0,0,,,,
00WN00067,100000092,00,00092,00,2,00,92,L-0,8,2,1,1.0,1,1,3,125,228,103,1,8.6,58,74,0.635,85,8,1,,,7,D,LIM,,BLK.HEAD,T0000,44,90136,09,00,3,93,286,3,2,0,2.0,85.0,3,99,0,,0,0,0,,,,
00WN00068,100000094,00,00094,00,3,00,03,L-0,8,2,2,1.0,1,1,3,125,228,103,1,11.9,36,52,0.389,59,1,1,,,7,K,LIM,,DEAD 7/16/00,T0000,44,90061,09,68,6,01,198,5,5,0,1.84,139.5,6,0,0,,0,0,0,,,,
00WN00069,100000095,00,00095,00,3,00,03,L-0,8,2,2,1.0,1,1,3,125,228,103,1,11.5,53,69,0.558,78,1,1,,,7,K,LIM,,,T0000,44,90061,09,68,3,93,286,5,5,0,1.84,139.5,3,101,0,,0,0,0,,,,
00WN00070,100000096,00,00096,00,2,18,07,L-3,5,1,1,1.0,1,1,3,126,228,102,1,12.9,62,78,0.638,89,1,1,,,7,.,LIM,e.0,4TEATS,S9348,10,90327,09,00,1,,0,1,1,0,1.77,121.3,1,90,92,,0,0,0,,,,
00WN00071,100000097,00,00097,00,2,68,06,L-4,5,1,1,1.0,1,1,3,126,228,102,1,11.5,64,80,0.672,92,1,1,,,7,.,LIM,e.0,,K0335,64,90913,09,68,1,,0,1,1,0,1.74,130.5,1,100,107,,0,0,0,,,,
00WN00072,100000100,00,00100,00,2,88,30,L-5,8,2,1,1.0,1,1,3,126,228,102,1,9.8,49,65,0.541,75,1,1,,,7,.,LIM,e.7,,A4849,04,91090,09,88,1,,0,3,2,0,2.2,130.1,1,84,90,,0,0,0,,,,
00WN00073,100000102,00,00102,00,2,88,30,L-5,8,2,1,1.0,1,1,3,126,228,102,1,9.3,47,63,0.526,72,1,1,,,7,.,LIM,e.6,,A4849,04,90022,09,88,1,,0,3,2,0,2.2,129.5,1,82,88,,0,0,0,,,,
00WN00074,100000103,00,00103,00,2,18,07,L-3,5,1,1,1.0,1,1,3,126,228,102,1,10.7,48,64,0.523,73,1,1,,,7,.,LIM,,,S9348,10,90216,09,00,3,93,286,1,1,0,1.77,118.1,3,79,0,,0,0,0,,,,
00WN00075,100000104,00,00104,00,3,00,92,L-0,5,1,1,1.0,1,1,3,126,228,102,1,12.5,60,76,0.623,87,1,1,,,7,D,LIM,,,T0000,44,90135,09,00,3,93,286,1,1,0,1.0,87.0,3,107,0,,0,0,0,,,,
00WN00076,100000105,00,00105,00,3,00,92,L-0,5,1,1,1.0,1,1,3,126,228,102,1,13.5,52,68,0.534,78,1,1,,,7,D,LIM,,HYPOTHERMIC,T0000,44,90062,09,00,3,93,286,1,1,0,1.0,78.0,3,87,0,,0,0,0,,,,
00WN00077,100000106,00,00106,00,2,88,30,L-5,8,2,2,1.0,1,1,3,127,228,101,1,8.8,42,58,0.487,67,1,1,,,7,.,LIM,,,A4849,04,90869,09,88,3,93,286,5,5,0,2.2,140.7,3,68,0,,0,0,0,,,,
00WN00078,100000107,00,00107,00,3,88,30,L-5,8,2,2,1.0,1,1,3,127,228,101,1,9.4,37,53,0.432,61,1,1,,,7,.,LIM,,,A4849,04,90869,09,88,3,93,286,5,5,0,2.2,140.7,3,73,0,,0,0,0,,,,
00WN00079,100000109,00,00109,00,2,00,73,L-0,8,2,1,1.0,1,1,3,127,228,101,1,10.6,51,67,0.558,78,1,1,,,7,B,LIM,,,T0000,44,Z5985,81,00,3,93,286,3,2,0,1.85,94.9,3,89,0,,0,0,0,,,,
00WN00080,100000110,00,00110,00,3,00,03,L-0,8,2,1,1.0,1,1,3,127,228,101,1,11.4,50,66,0.541,76,1,1,,,7,K,LIM,,,T0000,44,90086,09,68,3,93,286,3,2,0,1.84,127.3,3,87,0,,0,0,0,,,,
00WN00081,100000113,00,00113,00,3,18,07,L-3,5,1,1,1.0,1,1,3,127,228,101,1,13.5,61,77,0.629,89,1,1,,,7,.,LIM,,,S9348,10,90278,09,00,3,93,286,1,1,0,1.77,121.3,3,89,0,,0,0,0,,,,
00WN00082,100000114,00,00114,00,2,18,07,L-2,8,2,1,1.0,1,1,3,127,228,101,1,8.6,34,50,0.41,58,3,1,,,7,.,LIM,,BLK.LF.SHOU.,S9600,10,90205,09,00,3,93,286,3,2,0,1.87,115.1,3,63,0,,0,0,0,,,,
00WN00083,100000116,00,00116,00,2,18,07,L-3,5,1,1,1.0,1,1,3,127,228,101,1,12.0,54,70,0.574,81,1,1,,,7,.,LIM,e.0,NICE,S9348,10,91072,09,00,1,,0,1,1,0,1.77,119.7,1,88,91,,0,0,0,,,,
00WN00084,100000117,00,00117,00,3,88,30,L-5,8,2,1,1.0,1,1,3,128,228,100,1,11.6,53,69,0.574,80,1,1,,,7,.,LIM,,,A4849,04,91030,09,88,3,97,273,3,2,0,2.2,131.1,7,0,0,,0,0,0,,,,
00WN00085,100000119,00,00119,00,3,00,73,L-0,5,1,1,1.0,1,1,3,128,228,100,1,13.2,58,74,0.608,86,5,1,,,7,B,LIM,,,T0000,44,91432,09,00,3,97,273,1,1,0,1.75,96.5,7,0,0,,0,0,0,,,,
00WN00086,100000120,00,00120,00,2,88,30,L-6,8,2,1,1.0,1,1,3,128,228,100,1,11.6,39,55,0.434,64,1,1,,,7,.,LIM,,, 8036,00,90800,09,88,3,93,304,3,2,0,2.2,127.9,3,64,0,,0,0,0,,,,
00WN00087,100000122,00,00122,00,2,18,07,L-1,5,1,1,1.0,1,1,3,128,228,100,1,12.8,54,70,0.572,81,1,1,,,7,.,LIM,e.0,,S9166,10,90259,09,00,1,,0,1,1,0,1.77,119.7,1,79,89,,0,0,0,,,,
00WN00088,100000124,00,00124,00,3,18,07,L-2,5,1,1,1.0,1,1,3,128,228,100,1,13.8,56,72,0.582,84,1,1,,,7,.,LIM,,BIG4HER,S9600,10,90257,09,00,3,93,286,1,1,0,1.77,120.3,3,79,0,,0,0,0,,,,
00WN00089,100000128,00,00128,00,2,88,30,L-6,8,2,1,1.0,1,1,3,129,228,99,1,11.3,50,66,0.553,78,1,1,,,7,.,LIM,e.9,, 8036,00,90687,09,88,1,,0,3,2,0,2.2,130.7,1,85,94,,0,0,0,,,,
00WN00090,100000129,00,00129,00,2,18,07,L-3,5,1,1,1.0,1,1,3,129,228,99,1,11.8,45,61,0.497,71,1,1,,,7,.,LIM,,4TEATS,S9348,10,90805,09,00,3,97,273,1,1,0,1.77,117.7,7,0,0,,0,0,0,,,,
00WN00091,100000131,00,00131,00,2,88,30,L-5,8,2,1,1.0,1,1,3,129,228,99,1,9.8,37,53,0.436,62,1,1,,,7,.,LIM,,,A4849,04,91180,09,88,3,93,286,3,2,0,2.2,127.5,3,60,0,,0,0,0,,,,
00WN00092,100000133,00,00133,00,3,88,30,L-6,8,2,1,1.0,1,1,3,129,228,99,1,12.5,53,69,0.571,81,1,1,,,7,.,LIM,,, 8036,00,90545,09,88,3,93,286,3,2,0,2.2,131.3,3,80,0,,0,0,0,,,,
00WN00093,100000134,00,00134,00,2,18,07,L-1,8,2,1,1.0,1,1,3,129,228,99,1,9.5,51,67,0.581,79,3,1,,,7,.,LIM,,BLK.ARMPIT,S9166,10,90231,09,00,3,93,286,3,2,0,1.87,119.3,3,85,0,,0,0,0,,,,
00WN00094,100000136,00,00136,00,2,18,07,L-1,5,1,1,1.0,1,1,3,129,228,99,1,14.0,53,69,0.556,81,1,1,,,7,.,LIM,e.0,,S9166,10,90370,09,00,1,,0,1,1,0,1.77,119.7,1,75,83,,0,0,0,,,,
00WN00095,100000137,00,00137,00,3,00,92,L-0,5,1,1,1.0,1,1,3,130,228,98,1,13.3,57,73,0.609,86,1,1,,,7,D,LIM,,,T0000,44,90112,09,00,3,93,286,1,1,0,1.0,86.0,3,96,0,,0,0,0,,,,
00WN00096,100000138,00,00138,00,2,88,30,L-6,8,2,2,1.0,1,1,3,130,228,98,1,9.9,42,58,0.491,69,1,1,,,7,.,LIM,,, 8036,00,90597,09,88,3,93,286,5,5,0,2.2,142.1,3,78,0,,0,0,0,,,,
00WN00097,100000139,00,00139,00,3,88,30,L-6,8,2,2,1.0,1,1,3,130,228,98,1,9.9,40,56,0.47,66,1,1,,,7,.,LIM,,, 8036,00,90597,09,88,3,93,286,5,5,0,2.2,142.1,3,76,0,,0,0,0,,,,
00WN00098,100000140,00,00140,00,2,18,07,L-2,5,1,1,1.0,1,1,3,130,228,98,1,10.3,48,64,0.548,76,1,1,,,7,.,LIM,e.0,,S9600,10,90558,09,00,1,,0,1,1,0,1.77,118.7,1,83,96,,0,0,0,,,,
00WN00099,100000142,00,00142,00,2,88,30,L-5,5,1,1,1.0,1,1,3,130,228,98,1,12.5,54,70,0.587,83,1,1,,,7,.,LIM,e.8,,A4849,04,90880,09,88,1,,0,1,1,0,2.1,131.7,1,90,101,,0,0,0,,,,
00WN00100,100000143,00,00143,00,2,88,30,L-6,8,2,1,1.0,1,1,3,131,228,97,1,9.1,37,53,0.453,63,1,1,,,7,.,LIM,,, 8036,00,90791,09,88,3,93,286,3,2,0,2.2,136.6,3,74,0,,0,0,0,,,,
