UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,BELLY,JAW,WNWT,F,N,T,C,L,CRIMP,SIDE,THIGH,THSCO,C4953,SIRE,SB1,C59,ADG,ADG6061,LBRD,LNDAM,TM,ADG67,BAND,IDX,BRWT,ABN,DISP,CADAM_25,TBRE,CTBR,C79,C80
58WN00716,58,1,4559,2,82,345,0839,2,14,,8,6,63,123,1,1,09,2,73,10,04,08,06,042,9,2,2,1,,4079,1,,530,53,14,46,7,0,5,133,78,,,4,7,3,0,
58WN00717,58,1,4560,2,82,345,0839,2,14,,9,6,63,123,1,7,09,1,79,10,04,09,08,034,14,2,3,2,,4079,1,,569,56,14,46,7,9,5,131,90,,3,4,8,2,0,
58WN00718,58,1,4562,2,25,250,1698,2,14,15,3,4,63,123,1,7,11,4,95,14,04,08,07,038,18,2,3,2,,2930,2,,702,70,14,25,1,2,5,133,86,,3,4,3,3,0,
58WN00719,58,1,4564,2,25,250,1310,2,14,23,1,5,63,123,1,7,11,2,62,14,03,12,10,033,14,2,2,1,,2930,2,,433,43,14,25,1,3,5,109,88,,3,4,1,1,0,
58WN00720,58,1,4565,2,47,471,1983,2,14,21,1,4,63,123,1,7,10,2,79,10,04,12,11,039,13,2,2,1,,2461,2,,545,54,14,47,1,5,5,148,120,4,6,4,1,1,0,
58WN00721,58,2,4566,2,25,250,1838,2,14,17,3,4,63,123,1,3,09,2,91,13,05,08,06,036,16,1,2,2,,2930,2,,672,67,14,25,1,2,5,131,84,,2,4,3,3,0,
58WN00722,58,2,4569,2,46,460,2752,2,14,36,1,3,63,123,1,3,10,1,64,11,03,11,10,036,16,2,2,1,,1575,2,,449,44,14,46,1,9,5,136,88,,2,3,1,1,0,
58WN00723,58,1,4570,2,25,250,1884,2,14,17,3,4,62,122,1,7,09,2,94,12,04,09,08,037,16,2,3,2,,2930,2,,692,69,14,25,1,2,5,152,96,4,,4,3,3,0,
58WN00724,58,1,4571,2,25,250,1884,2,14,17,4,4,62,122,1,7,08,2,76,11,03,10,10,037,12,2,3,2,,2930,2,,564,56,14,25,1,4,5,149,72,4,6,4,3,3,0,
58WN00725,58,1,4572,2,44,440,3003,2,14,32,2,2,67,127,1,4,11,1,79,10,03,10,10,033,16,2,2,1,,3220,2,,553,55,14,44,1,3,9,154,88,,,2,1,1,0,
