UID,IDLAMB,YR,SEX,ETAG,LBRD,LB1,LINE,BPEN,DAM,TESTE,TBRE,ADAM,ADAM2,WNAGE_60,WNAGE,CLR,HORN,STM,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,MENB,LB2,DBRD,SIRE,SBRD,ADG,MELW,TM,BAND,IDX,BRWT,CAUSE,CADAM,CTBR,ABN,TB,TR
79WN00153,79192297,79,2,2297,19,1,10,101,8818,,5,4,4,67,127,1,1,,1,65,08,03,11,08,033,4,2,2,163,9,18,0567,19,429,775,2,1,129,105,,4,4,,2,2
79WN00154,79192298,79,1,2298,19,1,10,104,8465,179,5,5,5,67,127,1,1,,1,66,06,03,10,09,043,1,3,4,156,9,18,0421,19,428,954,2,1,154,116,93,4,5,,2,2
79WN00155,79192299,79,2,2299,19,1,10,104,8465,,5,5,5,67,127,1,1,,2,60,05,04,10,09,035,9,1,3,156,9,18,0421,19,394,954,2,1,142,99,92,4,5,,2,2
79WN00156,79192300,79,1,2300,19,1,10,101,9148,156,3,4,4,68,128,1,1,,1,66,06,03,10,11,032,7,2,4,163,9,18,0567,19,455,619,2,2,144,77,93,4,2,,2,1
79WN00157,79192302,79,1,2302,19,1,13,131,6820,109,5,7,7,68,128,1,1,,1,56,06,03,12,10,020,16,2,3,175,9,18,1226,19,363,928,6,2,135,95,93,5,5,,2,2
79WN00158,79192303,79,2,2303,19,1,13,131,6820,,3,7,7,68,128,1,1,,1,78,06,03,09,07,035,17,2,4,175,9,18,1226,19,542,928,6,2,151,86,,5,2,,2,1
79WN00159,79192304,79,2,2304,19,1,12,810,5372,,3,8,8,62,122,1,1,,2,78,09,03,09,08,040,2,2,3,170,9,18,0721,19,559,988,3,8,145,98,,5,2,,2,1
79WN00160,79192306,79,1,2306,19,1,11,111,1026,198,3,2,2,69,129,1,2,,2,73,07,03,10,09,042,3,6,8,164,9,19,1145,19,484,734,6,3,155,106,93,2,2,,2,1
79WN00161,79192308,79,1,2308,19,1,12,870,8425,133,5,5,5,68,128,1,2,,2,73,12,03,09,09,034,7,2,3,181,9,18,0822,19,503,1132,3,2,128,86,19,4,5,,2,2
79WN00162,79192309,79,2,2309,19,1,12,870,8425,,5,5,5,68,128,1,1,,1,71,08,03,09,08,043,1,3,5,181,9,18,0822,19,490,1132,3,2,147,83,,4,5,,2,2
