UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,BELLY,JAW,WNWT,F,N,T,C,L,CRIMP,SIDE,THIGH,THSCO,DENSITY,HAIR,WOOL,C53,ADG,C5758,C5960,LBRD,TBRE,CTBR,LNDAM,TM,PENIS,BAND,IDX,BRWT,ABN,DISP,CULLFOR,C79,CADAM_25
52WN00001,52,1,3613,1,00,320,3098,1,11,,1,2,76,136,1,4,07,1,71,10,04,09,09,026,12,2,2,1,,1,2,,447,06,00,11,1,1,,0,3,1,125,102,,3,50,0,2
52WN00002,52,2,3615,1,63,600,2987,1,11,,1,3,75,135,1,3,06,1,63,13,03,09,09,030,13,2,3,2,,4,2,1,410,07,20,11,1,1,,6,,1,106,76,,1,,0,3
52WN00003,52,1,3616,1,34,340,2571,1,11,38,5,4,75,135,3,7,05,1,78,12,03,08,08,037,10,2,4,3,,4,3,,519,07,20,11,5,2,,1,3,1,144,80,,3,40,0,4
52WN00004,52,1,3617,1,34,340,2571,1,11,38,5,4,75,135,1,7,06,1,52,15,03,10,12,034,12,2,2,1,,4,2,,329,07,20,11,5,2,,1,1,1,112,76,,3,12,0,4
52WN00005,52,1,3619,1,34,340,2760,1,11,38,3,3,75,135,1,7,07,1,71,11,03,09,09,029,14,2,2,1,,3,3,,458,07,20,11,3,3,,1,1,1,134,92,,1,,0,3
52WN00006,52,1,3621,1,00,320,3215,1,11,,1,2,74,134,1,5,05,1,99,11,04,10,07,031,14,2,3,2,,1,2,,658,08,00,11,1,1,,0,5,1,148,108,,1,,0,2
52WN00007,52,2,3622,1,24,240,2878,1,11,20,1,3,74,134,1,3,07,1,73,13,03,06,06,031,8,2,3,2,,1,3,1,472,08,00,11,1,1,,1,,1,112,98,,1,,0,3
52WN00008,52,2,3623,1,63,600,2523,1,11,,1,4,74,134,1,3,06,1,66,09,04,06,07,030,9,2,2,1,,3,3,2,427,08,22,11,1,1,,6,,1,120,88,,1,,0,4
52WN00009,52,2,3624,1,21,211,2555,1,11,32,3,4,74,134,1,3,07,1,49,14,03,12,11,027,11,2,2,1,,2,2,,310,08,18,11,3,3,,1,,1,102,74,,3,50,0,4
52WN00010,52,1,3627,1,34,340,2230,1,11,39,4,5,73,133,1,7,06,1,71,14,04,08,09,030,11,2,3,2,,3,3,,463,09,30,11,3,3,,1,1,1,117,94,,3,12,0,4
52WN00011,52,2,3628,1,34,340,2230,1,11,39,3,5,73,133,1,5,06,1,69,10,04,08,08,032,12,2,3,2,,2,3,2,454,09,30,11,3,3,,1,,1,135,86,,1,,0,4
52WN00012,52,1,3629,1,00,320,3092,1,11,,1,2,73,133,1,4,06,1,71,11,03,10,09,030,12,2,2,1,,2,2,,463,09,00,11,1,1,,0,3,1,128,94,,3,56,0,2
52WN00013,52,1,3630,1,63,580,2677,1,11,,1,4,73,133,1,7,07,1,87,13,03,06,07,034,12,2,2,1,,2,2,,567,09,18,11,1,1,,6,3,1,127,116,,1,,0,4
52WN00014,52,2,3631,1,23,231,3030,1,11,21,1,3,72,132,1,5,06,1,79,10,03,08,10,033,13,2,2,1,,3,3,1,517,10,16,11,1,1,,1,,1,147,108,,1,,0,3
52WN00015,52,2,3632,1,00,320,2775,1,11,,1,3,72,132,1,1,05,1,77,09,04,06,07,034,9,2,2,1,,1,2,1,511,10,00,11,1,1,,0,,1,135,96,,1,,0,3
52WN00016,52,1,3633,1,27,270,3242,1,11,36,1,2,72,132,1,7,06,1,69,09,04,07,08,032,12,2,2,1,,1,2,,444,10,32,11,1,1,,1,5,1,138,104,,1,,0,2
52WN00017,52,2,3636,1,34,340,2687,1,11,39,1,4,72,132,1,3,08,1,57,12,03,07,10,033,9,2,2,1,,3,3,1,353,10,22,11,1,1,,1,,1,118,104,,1,,0,4
52WN00018,52,1,3637,1,23,231,2277,1,11,20,1,5,71,131,1,7,07,1,54,15,03,11,11,027,16,2,2,1,,2,2,,351,11,14,11,1,1,,1,1,1,95,80,,3,12,0,4
52WN00019,52,1,3638,1,32,320,2253,1,11,00,1,5,71,131,1,6,05,1,88,13,03,08,08,033,10,2,3,2,,2,2,,571,11,10,11,1,1,,1,2,1,131,132,,1,,0,4
52WN00020,52,1,3639,1,27,270,2714,1,11,22,3,4,71,131,1,7,07,1,58,12,03,09,09,029,14,2,2,1,,2,2,,380,11,20,11,3,3,,1,1,1,115,82,,1,,0,4
52WN00021,52,1,3641,1,63,590,2470,1,11,,5,5,71,131,1,7,06,1,70,11,03,09,09,032,10,2,2,1,,4,3,,446,11,23,11,5,2,,6,1,1,135,116,,3,10,0,4
52WN00022,52,2,3642,1,63,590,2470,1,11,,5,5,71,131,1,3,07,1,64,09,03,09,08,037,12,2,3,2,,4,3,1,408,11,23,11,5,2,,6,,1,141,106,,1,,0,4
52WN00023,52,1,3643,1,27,270,2726,1,11,24,5,4,71,131,1,7,06,1,77,11,03,07,09,035,12,2,3,2,,3,2,,510,11,24,11,5,2,,1,1,1,148,102,,1,,0,4
52WN00024,52,2,3644,1,27,270,2726,1,11,24,5,4,71,131,1,3,05,1,61,11,03,07,09,038,13,2,3,2,,3,3,2,398,11,24,11,5,2,,1,,1,135,88,,1,,0,4
52WN00025,52,1,3645,1,27,270,3204,1,11,39,1,2,71,131,1,7,08,1,81,13,04,07,05,029,12,2,2,1,,1,2,,530,11,27,11,1,1,,1,3,1,121,116,,1,,0,2
52WN00026,52,1,3648,1,21,210,2398,1,11,24,3,5,71,131,1,7,08,1,55,13,03,10,11,031,11,2,3,2,,2,2,,350,11,11,11,3,3,,1,1,1,115,92,,1,,0,4
52WN00027,52,1,3651,1,63,580,3103,1,11,,1,2,71,131,1,7,05,1,55,14,03,08,10,034,11,2,3,2,,5,3,,347,11,24,11,1,1,,6,1,1,104,96,,3,10,0,2
52WN00028,52,2,3653,1,23,231,2115,1,11,16,3,6,70,130,1,2,09,1,69,15,03,08,09,029,11,2,2,1,,2,2,,463,12,13,11,3,3,,1,,1,112,88,,3,12,0,4
52WN00029,52,1,3654,1,23,231,2115,1,11,16,4,6,70,130,1,7,06,1,70,16,03,09,10,032,9,2,2,1,,2,2,,458,12,13,11,3,3,,1,2,1,111,104,,3,12,0,4
52WN00030,52,2,3655,1,32,320,3253,1,11,25,1,2,70,130,1,1,06,1,59,08,03,09,12,029,14,2,2,1,,2,2,1,368,12,00,11,1,1,,1,,1,146,112,,1,,0,2
52WN00031,52,2,3656,1,63,600,3134,1,11,,1,2,70,130,1,3,05,1,58,11,03,07,09,032,12,2,3,2,,4,2,1,377,12,27,11,1,1,,6,,1,119,90,,1,,0,2
52WN00032,52,2,3657,1,27,270,2939,1,11,38,1,3,70,130,1,3,05,1,70,09,03,08,08,032,13,2,3,2,,3,3,1,454,12,36,11,1,1,,1,,1,141,110,,1,,0,3
52WN00033,52,2,3659,1,63,570,2770,1,11,,1,3,70,130,1,3,05,1,75,09,03,07,08,037,11,2,3,2,,2,3,1,495,12,18,11,1,1,,6,,1,142,106,,1,,0,3
52WN00034,52,2,3660,1,63,550,2728,1,11,,1,4,70,130,1,3,05,1,82,10,03,06,05,035,9,2,2,1,,4,3,1,537,12,23,11,1,1,,6,,1,135,122,,1,,0,4
52WN00035,52,1,3661,1,24,240,2836,1,11,22,1,3,70,130,1,7,06,1,87,15,03,06,07,045,11,3,4,2,,2,2,,575,12,00,11,1,1,,1,2,1,130,122,,1,,0,3
52WN00036,52,2,3662,1,63,590,1972,1,11,,5,6,70,130,1,3,06,2,58,09,03,10,11,031,14,2,4,3,,4,2,1,391,12,15,11,5,2,,6,,1,139,72,,1,,0,4
52WN00037,52,1,3663,1,63,590,1972,1,11,,5,6,70,130,1,7,06,6,66,10,03,09,12,025,14,2,2,1,,3,2,,446,12, 4,11,5,2,,6,1,1,139,80,,3,34,0,4
52WN00038,52,2,3664,1,32,320,2859,1,11,25,1,3,70,130,1,1,06,1,81,09,03,09,06,035,10,2,3,2,,3,3,,529,12,00,11,1,1,,1,,1,146,122,,3,57,0,3
52WN00039,52,2,3665,1,32,320,3235,1,11,25,1,2,70,130,1,1,07,1,67,09,03,08,09,032,10,2,2,1,,1,2,2,435,12,00,11,1,1,,1,,1,143,104,,1,,0,2
52WN00040,52,2,3666,1,32,320,3037,1,11,25,1,3,69,129,1,1,06,1,66,11,03,08,08,031,12,2,3,2,,2,2,1,433,13,00,11,1,1,,1,,1,124,102,,1,,0,3
52WN00041,52,2,3668,1,24,240,2869,1,11,20,1,3,69,129,1,5,05,1,81,15,04,08,07,029,14,2,3,2,,3,3,1,549,13,00,11,1,1,,1,,1,111,102,,1,,0,3
52WN00042,52,1,3669,1,23,230,1876,1,11,36,1,7,69,129,1,7,06,1,66,16,03,09,10,034,11,2,3,2,,2,2,,440,13,10,11,1,1,,1,1,1,108,92,,3,12,0,5
52WN00043,52,2,3670,1,20,200,2538,1,11,27,1,4,69,129,1,3,05,1,58,11,03,08,09,033,8,2,2,1,,3,2,2,394,13,17,11,1,1,,1,,1,121,72,,1,,0,4
52WN00044,52,2,3672,1,34,340,2572,1,11,38,7,4,69,129,1,5,08,1,65,11,03,07,09,034,13,2,3,2,,2,3,2,448,13,20,11,7,3,,1,,1,136,72,,1,,0,4
52WN00045,52,1,3673,1,63,600,2824,1,11,,1,3,69,129,1,7,08,1,74,13,04,08,08,028,12,2,2,1,,2,3,,481,13,24,11,1,1,,6,1,1,111,120,,1,,0,3
