UID,IDLAMB,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DBRD,DB1,LINBR,TBRE,ADAM,WNAGE_60,WNAGE,CLR,HORN,STM,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,THSCO,CAUSE,DB2,LBRD,SIRE,SBRD,ADG,ADG6061,DINBR,LNDAM,TM,ADG67,BAND,IDX,BRWT,C75,DISP,CADAM,CTBR,ABN
75WN00001,75188805,75,2,8805,1,70,700,2665,18,1,,1,8,80,140,1,1,,1,97,09,03,07,07,046,25,5,6,2,,8,18,7717,18,607,60,,70,2,7,1,156,120,,,5,1,
75WN00002,75188806,75,2,8806,1,76,761,7166,18,1,,5,3,79,139,1,1,,2,75,05,03,11,08,036,17,3,4,2,,8,18,8578,18,458,45,,76,6,8,1,162,114,,,3,2,
75WN00003,75188807,75,2,8807,1,76,761,7166,18,1,,5,3,79,139,1,1,,2,66,12,03,11,10,033,28,3,4,2,,8,18,8578,18,409,40,,76,6,9,1,122,92,,,3,2,
75WN00004,75188809,75,1,8809,1,73,731,7264,18,1,,3,2,79,139,1,1,,2,91,12,03,08,08,045,12,5,7,3,,8,18,8124,18,593,59,,73,6,3,1,134,86,,,2,3,
75WN00005,75188810,75,1,8810,1,72,960,6134,18,1,,1,4,78,138,1,4,,2,71,10,04,11,08,039,6,3,4,2,,8,18,7863,18,446,44,,72,3,6,1,110,94,,,4,1,
75WN00006,75188815,75,1,8815,1,74,741,6494,18,1,,1,3,78,138,1,5,,2,98,11,04,10,07,036,21,2,3,2,,8,18,8267,18,636,63,,74,6,6,1,136,102,,3,3,1,
75WN00007,75188817,75,1,8817,1,70,700,3037,18,1,,5,7,78,138,1,5,,2,78,08,03,11,11,038,25,2,3,2,01,8,18,7717,18,477,47,,70,2,7,1,156,122,,6,5,2,
75WN00008,75188818,75,2,8818,1,70,700,3037,18,1,,5,7,78,138,1,1,,1,74,08,03,09,08,045,20,5,6,2,,8,18,7717,18,465,46,,70,2,5,1,149,98,,,5,2,
75WN00009,75188820,75,2,8820,1,00,000,0000,00,0,,1,6,78,138,1,1,,5,80,07,03,09,08,051,17,4,4,1,,0,18,0000,00,496,49,,,0,6,1,143,116,,2,4,1,
75WN00010,75188822,75,2,8822,1,76,761,7420,18,1,,1,2,77,137,1,1,,1,89,08,03,09,08,047,25,3,3,1,,8,18,8578,18,569,56,,76,6,9,1,158,110,,,2,1,
75WN00011,75188823,75,1,8823,1,76,761,7818,18,1,,1,2,77,137,1,1,,2,100,14,03,12,08,037,7,4,5,2,,8,18,8578,18,632,63,,76,6,2,1,126,134,,3,2,1,
75WN00012,75188825,75,1,8825,1,76,762,7510,18,1,,1,2,77,137,1,6,,1,92,09,03,09,07,041,28,3,4,2,,8,18,8765,18,588,58,,76,6,8,1,144,114,,,2,1,
75WN00013,75188826,75,2,8826,1,73,731,7516,18,1,,1,2,77,137,1,3,,2,86,11,03,09,07,040,9,5,7,3,,8,18,8124,18,550,55,,73,6,0,1,131,106,,,2,1,
75WN00014,75188829,75,2,8829,1,73,732,3565,18,1,,1,6,77,137,1,1,,1,73,10,03,09,07,043,16,4,5,2,,8,18,8412,18,467,46,,73,6,7,1,122,90,,,4,1,
75WN00015,75188835,75,2,8835,1,74,741,4131,18,1,,3,5,77,137,1,1,,2,84,09,03,10,08,040,10,4,6,3,,8,18,8267,18,537,53,,74,6,7,1,141,104,,,4,3,
75WN00016,75188836,75,2,8836,1,70,702,3673,18,1,,3,6,77,137,1,1,,2,89,06,03,09,08,041,16,7,8,2,,8,18,7406,18,594,59,,70,2,4,1,162,76,,,4,3,
75WN00017,75188837,75,2,8837,1,70,700,5356,18,1,,1,4,77,137,1,1,,1,81,09,03,09,07,049,1,4,5,2,,8,18,7717,18,512,51,,70,2,2,1,138,108,,,4,1,
75WN00018,75188839,75,2,8839,1,70,701,5355,18,1,,3,4,77,137,1,1,,1,76,09,03,10,09,038,24,3,4,2,,8,18,7999,18,491,49,,70,2,1,1,136,88,,,4,3,
75WN00019,75188840,75,2,8840,1,72,940,5809,18,1,,1,4,76,136,1,1,,1,81,10,03,09,09,042,1,4,5,2,,8,18,7513,18,521,52,,72,3,1,1,134,102,,,4,1,
75WN00020,75188841,75,1,8841,1,72,900,5561,18,1,,5,4,76,136,1,5,,2,84,11,03,10,07,044,20,4,5,2,,8,18,7579,18,544,54,,72,3,4,1,138,100,,,4,2,
75WN00021,75188842,75,1,8842,1,72,900,5561,18,1,,5,4,76,136,1,6,,1,78,10,03,09,08,036,10,4,5,2,,8,18,7579,18,497,49,,72,3,7,1,132,104,,,4,2,
75WN00022,75188844,75,1,8844,1,73,732,4263,18,1,,1,5,76,136,1,6,,2,112,11,03,08,06,044,17,2,3,2,,8,18,8412,18,726,72,,73,6,6,1,150,132,,3,4,1,
75WN00023,75188845,75,2,8845,1,73,731,4259,18,1,,5,5,76,136,1,1,,2,77,09,03,10,08,039,15,6,7,2,,8,18,8124,18,475,47,,73,6,5,1,140,124,,,4,2,
75WN00024,75188846,75,2,8846,1,73,731,4259,18,1,,5,5,76,136,1,1,,2,83,13,06,10,07,036,6,3,5,3,,8,18,8124,18,515,51,,73,6,5,1,110,130,,,4,2,
75WN00025,75188849,75,1,8849,1,74,741,5377,18,1,,3,4,76,136,1,4,,2,100,10,04,09,07,041,9,4,6,3,,8,18,8267,18,656,65,,74,6,6,1,142,108,,,4,3,
75WN00026,75188851,75,2,8851,1,75,751,6820,18,1,,3,3,78,138,1,1,,1,83,06,03,10,08,035,25,2,5,4,,8,18,8275,18,551,55,,75,6,1,2,156,70,,,3,3,
