UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,EBVLWW,TAIL1,TAIL2,DNA,INBRL,ADGBV,ADGACC,MADGBV,MADGACC,FLBVB,FLBVR,SAGE,STUDY
03WN02135,103819306,03,Z9306,81,2,00,31,-3-,8,2,2,2.0,2,2,2,99,225,126,4,11.0,59,81,0.556,78,1,1,,,0,X,.,e.2,,A7198,04,R2763,11,12,1,,,5,6,103,1.86,129.5,1,84,,,0,0,,0.0,,,,,,,,JxR
03WN02136,103819307,03,Z9307,81,3,00,32,-2-,8,2,2,3.0,3,3,2,99,225,126,12,11.4,61,85,0.584,81,1,1,,,0,X,.,,,T7305,44,01328,00,88,3,93,260,5,5,0,2.16,127.0,3,95,,,19,26,,0.001,,,,,,,,W.
03WN02137,103819308,03,Z9308,81,2,00,32,-2-,8,2,2,3.0,3,3,2,99,225,126,3,10.3,63,88,0.617,84,1,1,,,0,X,.,nd-,,T8203,44,01328,00,88,1,,,5,5,108,2.16,127.0,1,87,,,18,27,,0.001,,,,,,,,JxP
03WN02138,103819309,03,Z9309,81,3,00,01,-1-,8,2,2,2.0,2,2,2,99,225,126,7,9.3,42,62,0.418,59,1,1,,,0,X,.,,,T7925,44,R2535,11,12,3,93,260,5,5,0,1.84,118.7,3,63,,,17,25,,0.0,,,,,,,,W.
03WN02139,103819310,03,Z9310,81,3,00,01,-1-,8,2,2,2.0,2,2,2,99,225,126,1,10.3,64,85,0.593,81,1,1,,,0,X,.,,,T7925,44,R2535,11,12,3,93,260,5,5,0,1.84,118.7,3,88,,,17,28,,0.0,,,,,,,,W.
03WN02140,103819313,03,Z9313,81,3,00,31,-3-,8,2,1,6.0,6,4,2,99,225,126,6,11.6,66,85,0.583,82,1,1,,,0,X,.,,,A7198,04,S8121,10,13,3,93,260,3,2,0,1.95,111.9,3,86,,,17,27,,0.0,,,,,,,,W.
03WN02141,103819315,03,Z9315,81,2,97,97,972,8,2,2,2.0,2,2,B,99,219,120,2,10.2,0,97,0.723,97,6,1,,,0,.,.,974,ENTR,Z6098,81,Z7098,81,97,1,,,5,5,101,1.89,130.4,1,110,,,16,25,,0.057,,,,,,,,Suff
03WN02142,103819316,03,Z9316,81,2,97,97,972,8,2,2,2.0,2,2,B,99,219,120,1,10.4,0,96,0.713,96,6,1,,,0,.,.,,ENTR*2,Z6098,81,Z7098,81,97,3,93,260,5,5,100,1.89,130.4,3,110,,,18,28,,0.057,,,,,,,,Suff
03WN02143,103819318,03,Z9318,81,3,00,30,-3-,8,2,2,2.0,2,2,2,99,225,126,12,7.9,43,67,0.469,64,1,1,,,0,X,.,,"BLK.DOT,NECK",A0000,04,A8399,04,84,3,93,260,5,6,0,1.94,115.0,3,69,,,15,28,,0.0,,,,,,,,W.
03WN02144,103819319,03,Z9319,81,2,00,30,-3-,8,2,2,2.0,2,2,2,99,225,126,2,9.3,49,72,0.498,69,1,1,,,0,X, 20,,,A0000,04,A8399,04,84,2,92,261,5,4,91,1.94,115.0,2,76,79,,17,28,,0.0,,,,,,,,JxP
03WN02145,103819321,03,Z9321,81,3,00,31,-3-,3,4,2,7.0,7,5,2,99,225,126,1,8.3,54,73,0.513,70,1,1,,,2,X,.,,PNEU.,A7198,04,S6749,10,18,3,93,260,8,5,0,2.35,131.3,3,84,,,0,0,,0.0,,,,,,,,W.
