UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,EBVLWW
95WN02407, 95445001,95,T5001,44,2,41,02,414,8,2,2,4.0,4,4,2,111,221,110,17,10.2,42,68,0.525,73,1,1,,,2,M, 30,,T4091,44,T1772,44,41,2,92,264,5,5,98,1.53,86.2,2,91,,12.507
95WN02408, 95445002,95,T5002,44,2,ch,01,  2,8,2,2,5.0,5,4,H,111,226,115,1,10.3,48,75,0.563,78,1,1,,,2,h,j.7,"4TEAT,TOE ABS",S1908,10,T1136,44,48,1,,0,5,6,90,1.56,86.7,1,80,,0.0
95WN02409, 95445003,95,T5003,44,1,ch,01,  2,8,2,2,5.0,5,4,H,111,226,115,2,13.7,46,70,0.49,72,1,1,,,2,h,JIM,,S1908,10,T1136,44,48,1,,0,5,4,83,1.56,86.7,1,,,0.0
95WN02410, 95445005,95,T5005,44,2,ch,01,  2,8,2,1,7.0,7,5,H,111,226,115,3,10.8,64,92,0.706,96,1,2,,,2,c,j.5,4TEATS,S1497,10,T9584,43,48,1,,0,3,2,103,1.41,89.8,1,96,,0.0
95WN02411, 95445006,95,T5006,44,2,41,02,414,8,2,1,6.0,6,4,2,111,221,110,4,12.4,47,67,0.496,72,1,1,,,2,M, 32,,T4091,44,T0423,44,41,2,92,264,3,2,110,1.57,108.1,2,81,,19.173
95WN02412, 95445008,95,T5008,44,2,41,02,411,5,1,1,4.0,4,4,2,111,221,110,17,13.3,63,81,0.615,87,1,1,,,2,M,XXX,BAD EYE X,T3957,44,T2042,44,41,2,93,268,1,1,112,1.41,93.9,2,97,,14.058
95WN02413, 95445009,95,T5009,44,2,ch,01,  2,8,2,2,2.0,2,2,H,111,226,115,4,10.5,51,75,0.561,78,1,1,,,2,h,JIM,,S1908,10,T3739,44,48,7,97,256,5,5,92,1.4,89.5,7,0,,0.0
95WN02414, 95445010,95,T5010,44,2,ch,01,  2,8,2,2,2.0,2,2,H,111,226,115,1,11.1,40,63,0.451,65,1,1,,,2,h,j.8,4TEATS,S1908,10,T3739,44,48,1,,0,5,5,84,1.4,89.5,1,68,,0.0
95WN02415, 95445011,95,T5011,44,2,41,02,414,8,2,2,4.0,4,4,2,111,221,110,16,11.3,50,76,0.588,82,1,1,,,2,M, 30,,T4091,44,T2218,44,41,2,92,264,5,5,114,1.41,103.9,2,94,,15.924
95WN02416, 95445012,95,T5012,44,1,41,02,414,8,2,2,4.0,4,4,2,111,221,110,17,12.7,59,84,0.648,90,1,1,,,2,M,CLO,,T4091,44,T2218,44,41,3,93,240,5,5,110,1.41,103.9,3,96,,15.924
95WN02417, 95445013,95,T5013,44,1,ch,01,  2,9,3,1,5.0,5,4,H,111,226,115,6,12.5,56,81,0.596,84,1,1,,,2,c,JIM,,S1878,10,T1284,44,48,1,,0,7,2,102,1.67,112.8,1,,,0.0
95WN02418, 95445015,95,T5015,44,1,ch,01,  2,9,3,2,5.0,5,4,H,111,226,115,3,10.5,53,76,0.57,79,1,1,,,2,c,JIM,,S1878,10,T1284,44,48,1,,0,8,4,99,1.67,112.8,1,,,0.0
95WN02419, 95445016,95,T5016,44,2,41,02,413,8,2,2,5.0,5,4,2,111,221,110,14,12.1,54,80,0.617,86,1,1,,,2,M,e.6,,T3916,44,T1524,44,41,1,,0,5,5,123,1.45,115.2,1,95,,19.402
95WN02420, 95445017,95,T5017,44,1,41,02,413,8,2,2,5.0,5,4,2,111,221,110,8,13.6,62,91,0.704,98,1,1,,,2,M,CLO,,T3916,44,T1524,44,41,1,,0,5,5,121,1.45,115.2,1,98,,19.402
95WN02421, 95445018,95,T5018,44,2,ch,01,  2,5,1,1,4.0,4,4,H,111,226,115,1,14.6,60,92,0.673,95,1,1,,,2,c,j.6,,S1497,10,T2001,44,48,1,,0,1,1,103,1.28,91.2,1,96,,0.0
95WN02422, 95445019,95,T5019,44,2,42,02,832,8,2,2,6.0,6,4,2,112,221,109,17,8.5,38,50,0.381,54,1,1,,,2,C,CLO,,T4098,44,T0811,44,42,7,97,256,5,5,83,1.37,83.1,7,0,,1.51
95WN02423, 95445020,95,T5020,44,2,42,02,832,8,2,2,6.0,6,4,2,112,221,109,8,8.2,40,59,0.466,64,1,2,,,2,C,e.5,4TEATS,T4098,44,T0811,44,42,1,,0,5,5,90,1.37,83.1,1,69,,1.51
95WN02424, 95445021,95,T5021,44,2,41,02,411,5,1,2,3.0,3,3,H,112,226,114,4,8.0,37,58,0.439,61,1,1,,,2,M,JIM,withJIM graft,T3957,44,T2928,44,41,3,93,268,3,6,85,1.27,77.3,3,62,,12.207
95WN02425, 95445024,95,T5024,44,1,41,02,414,5,1,1,6.0,6,4,2,112,221,109,14,16.5,67,91,0.683,99,1,1,,,2,M,CLO,,T4091,44,T0408,44,41,3,93,240,1,1,104,1.17,83.3,3,98,,10.912
95WN02426, 95445025,95,T5025,44,1,ch,01,  0,5,1,1,2.0,2,2,H,112,226,114,2,13.9,68,90,0.668,94,2,1,,,2,c,JIM,WEAKPASTERNS,S1878,10,T3842,44,41,1,,0,1,1,93,1.24,78.2,1,,,0.0
95WN02427, 95445026,95,T5026,44,1,41,02,411,8,2,2,2.0,2,2,2,112,221,109,7,10.6,38,58,0.435,63,1,1,,,2,M,CLO,,T3957,44,T4013,44,41,3,93,240,5,5,84,1.57,86.8,3,64,,17.958
95WN02428, 95445027,95,T5027,44,2,41,02,411,8,2,2,2.0,2,2,2,112,221,109,16,10.3,42,63,0.483,68,1,1,,,2,M, 33,,T3957,44,T4013,44,41,2,92,264,5,5,95,1.57,86.8,2,79,,17.958
95WN02429, 95445028,95,T5028,44,2,ch,01,  2,5,1,1,6.0,6,4,H,112,226,114,3,15.4,67,94,0.689,98,1,1,,,2,c,j.3,,S1878,10,T0821,44,48,1,,0,1,1,108,1.27,96.9,1,97,,0.0
95WN02430, 95445029,95,T5029,44,1,41,02,411,8,2,2,3.0,3,3,2,112,221,109,19,11.5,57,79,0.619,86,1,1,,4-,2,M,CLO,4-FACEneedEBV,T3957,44,T3020,44,41,1,,0,5,5,105,1.41,99.7,1,87,,22.186
95WN02431, 95445030,95,T5030,44,3,41,02,411,8,2,2,3.0,3,3,2,112,221,109,15,10.0,46,68,0.532,74,1,1,,,2,M,CLO,"ENTR,LID INF.",T3957,44,T3020,44,41,3,93,268,5,5,103,1.41,99.7,3,86,,22.186
95WN02432, 95445031,95,T5031,44,2,ch,00,J03,5,1,1,1.0,1,1,H,112,226,114,3,11.8,43,72,0.528,75,1,1,,,2,c,j.5,,T4367,44,T4364,44,ch,1,,0,1,1,90,1.41,90.4,1,77,,0.0
95WN02433, 95445033,95,T5033,44,2,ch,01,  2,8,2,1,6.0,6,4,H,112,226,114,2,10.5,52,83,0.636,87,1,1,,,2,h,j.8,ENTR*2,S2079,10,T0618,44,48,1,,0,3,2,93,1.07,80.5,1,90,,0.0
95WN02434, 95445034,95,T5034,44,2,ch,32,  2,5,1,1,5.0,5,4,H,113,226,113,5,13.9,61,85,0.629,89,1,1,,,2,h,j.9,4TEATS,L6868,03,T1199,44,48,1,,0,1,1,112,1.45,118.2,1,90,,0.0
95WN02435, 95445035,95,T5035,44,2,ch,32,  0,5,1,1,7.0,7,5,H,113,226,113,5,13.7,64,90,0.675,95,1,1,,,2,h,j.3,,L6868,03,T9672,43,48,1,,0,1,1,102,1.14,88.9,1,95,,0.0
95WN02436, 95445036,95,T5036,44,2,ch,01,  0,8,2,2,4.0,4,4,H,113,226,113,4,12.2,51,72,0.529,76,1,1,,,2,c,j.7,,S1878,10,T1965,44,48,1,,0,5,4,89,1.28,87.3,1,77,,0.0
95WN02437, 95445037,95,T5037,44,1,ch,01,  0,8,2,2,4.0,4,4,H,113,226,113,5,10.1,47,58,0.424,61,1,1,,,2,c,JIM,CR.FR.TENDONS,S1878,10,T1965,44,48,1,,0,5,6,77,1.28,87.3,1,,,0.0
95WN02438, 95445038,95,T5038,44,1,42,02,902,5,1,1,2.0,2,2,2,113,221,108,1,11.7,55,81,0.642,89,1,1,,,2,C,CLO,"DEAD,PILEUP",T3946,44,T3752,44,42,6,46,212,1,1,95,1.24,77.0,6,,,5.609
95WN02439, 95445039,95,T5039,44,1,42,02,802,5,1,1,2.0,2,2,2,113,221,108,6,13.0,57,81,0.63,89,1,1,,,2,C,CLO,GOOD WOOL,T4049,44,T3923,44,42,1,,0,1,1,95,1.24,77.0,1,84,,2.073
95WN02440, 95445040,95,T5040,44,1,41,02,414,5,1,1,2.0,2,2,2,113,221,108,13,13.0,64,90,0.713,99,1,1,,,2,M,CLO,,T4091,44,T4074,44,41,3,93,240,1,1,102,1.24,79.4,3,98,,17.658
95WN02441, 95445043,95,T5043,44,1,41,02,414,9,3,1,5.0,5,4,2,113,221,108,10,10.0,45,76,0.611,83,1,1,,,2,M,CLO,CONJUNCTIVITI,T4091,44,T1441,44,41,3,93,240,7,2,92,1.56,78.0,3,85,,14.438
95WN02442, 95445044,95,T5044,44,2,ch,32,  2,8,2,2,4.0,4,4,H,113,226,113,5,11.6,44,68,0.499,71,1,1,,,2,h,j.5,,L6868,03,T1949,44,48,1,,0,5,4,83,1.28,79.8,1,70,,0.0
95WN02443, 95445045,95,T5045,44,2,ch,32,  2,8,2,2,4.0,4,4,H,113,226,113,5,8.6,50,70,0.543,74,1,1,,,2,h,j.8,,L6868,03,T1949,44,48,1,,0,5,6,85,1.28,79.8,1,72,,0.0
95WN02444, 95445046,95,T5046,44,2,42,02,822,5,1,1,4.0,4,4,2,113,221,108,5,10.7,55,77,0.614,84,1,1,,,2,C,e.6,4TEATS,T3807,44,T2444,44,42,1,,0,1,1,101,1.16,78.9,1,86,,3.642
95WN02445, 95445047,95,T5047,44,3,41,02,414,8,2,2,3.0,3,3,2,113,221,108,17,12.4,54,77,0.598,84,1,1,,,2,M,CLO,,T4091,44,T2564,44,41,Z,93,258,5,5,97,1.41,79.0,Z,91,,16.238
95WN02446, 95445048,95,T5048,44,3,41,02,414,8,2,2,3.0,3,3,2,113,221,108,13,11.7,53,77,0.605,84,1,1,,,2,M,CLO,,T4091,44,T2564,44,41,Z,93,258,5,5,97,1.41,79.0,Z,92,,16.238
95WN02447, 95445049,95,T5049,44,1,42,02,852,8,2,2,4.0,4,4,2,113,221,108,14,10.8,46,63,0.483,69,1,2,,,2,C,CLO,,T3900,44,T2258,44,42,3,93,240,5,5,95,1.53,99.9,3,73,,4.82
95WN02448, 95445050,95,T5050,44,2,42,02,852,8,2,2,4.0,4,4,2,113,221,108,12,11.2,43,70,0.544,77,1,2,,,2,C, 31,,T3900,44,T2258,44,42,2,92,264,5,5,108,1.53,99.9,2,87,,4.82
95WN02449, 95445052,95,T5052,44,2,42,02,842,8,2,1,5.0,5,4,2,113,221,108,19,8.0,48,65,0.528,71,1,1,,,2,C,e.5,,T3898,44,T1428,44,42,1,,0,3,2,88,1.45,71.0,1,85,,2.315
95WN02450, 95445053,95,T5053,44,3,42,02,902,5,1,1,2.0,2,2,2,113,221,108,5,9.9,45,63,0.492,69,1,1,,,2,C,CLO,,T3946,44,T4044,44,42,3,93,268,1,1,84,1.24,72.4,3,73,,3.86
95WN02451, 95445054,95,T5054,44,2,48,02,e.6,5,1,1,1.0,1,1,2,114,221,107,2,11.5,50,75,0.593,83,1,1,,,2,C, 31,4TEATS,T3941,44,T4258,44,42,2,92,264,1,1,108,1.41,92.0,2,86,,11.938
95WN02452, 95445055,95,T5055,44,1,48,02,e.5,5,1,1,1.0,1,1,2,114,221,107,5,13.3,60,90,0.717,99,1,1,,,2,M,,,T4006,44,T4186,44,41,3,93,240,1,1,110,1.41,95.2,3,99,,18.546
95WN02453, 95445056,95,T5056,44,1,ch,01,  2,5,1,1,2.0,2,2,H,114,226,112,4,14.1,44,72,0.517,76,1,1,,,2,h,JIM,,S2079,10,T3650,44,48,1,,0,1,1,80,1.4,74.0,1,,,0.0
