UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,EBVLWW
95WN00001, 95041762,95,A1762,04,2,88,30,e.8,5,1,1,1.0,1,1,1,87,219,132,13,9.5,84,108,0.746,99,1,1,,,0,M, 12,,L9716,03,A0858,04,81,2,92,264,1,1,110,2.05,119.5,2,119,,18.348
95WN00002, 95041764,95,A1764,04,3,88,30,e.8,8,2,1,1.0,1,1,1,90,219,129,2,9.0,72,82,0.566,77,1,2,,,0,C,,,L9716,03,A1085,04,82,3,93,268,3,2,101,2.15,124.9,3,94,,18.494
95WN00003, 95041766,95,A1766,04,3,88,30,e.8,5,1,1,1.0,1,1,1,90,219,129,5,8.0,59,90,0.636,84,1,1,,,0,C,,,L9716,03,A0774,04,82,3,93,268,1,1,106,2.05,126.3,3,101,,23.193
95WN00004, 95041769,95,A1769,04,2,00,33, 17,6,2,1,2.0,2,2,1,91,219,128,11,7.8,65,85,0.603,80,1,2,,,2,H,,WEAK,K7245,63,L9807,03,TT,3,93,248,3,2,0,2.34,113.8,3,,,0.0
95WN00005, 95041770,95,A1770,04,2,73,30,742,5,1,1,1.5,1,1,1,91,219,128,1,9.2,66,84,0.584,79,1,1,,,6,,-fl,,A0560,04,A0445,04,73,1,,0,1,1,102,2.05,125.3,1,98,,0.0
95WN00006, 95041771,95,A1771,04,2,00,80,971,8,2,2,7.5,7,5,2,93,221,128,7,12.2,75,97,0.663,92,5,1,,,1,,BLK,,09217,00,L1622,03,00,3,93,268,5,5,0,1.6,94.3,3,109,,0.0
95WN00007, 95041772,95,A1772,04,2,00,80,971,8,2,2,7.5,7,5,2,93,221,128,16,11.0,69,87,0.594,82,5,1,,,1,,BLK,,09217,00,L1622,03,00,3,93,268,5,5,0,1.6,94.3,3,99,,0.0
95WN00008, 95041777,95,A1777,04,2,73,30,741,8,2,1,1.5,1,1,1,93,219,126,11,6.4,51,74,0.537,71,1,1,,,6,,-fl,4TEATS,A0485,04,A0252,04,73,1,,0,3,2,97,2.15,123.7,1,88,,0.0
95WN00009, 95041778,95,A1778,04,2,82,30, 31,9,3,2,5.0,5,4,2,93,221,128,18,7.8,61,78,0.548,74,1,1,,,0,C,  5,,L9883,03,L4699,03,82,2,92,264,8,6,101,2.12,128.3,2,92,,17.993
95WN00010, 95041779,95,A1779,04,2,82,30, 31,9,3,2,5.0,5,4,2,93,221,128,9,9.3,70,95,0.67,90,1,1,,,0,C,e.7,,L9883,03,L4699,03,82,1,,0,8,4,109,2.12,128.3,1,105,,17.993
95WN00011, 95041780,95,A1780,04,1,82,30, 27,8,2,2,3.0,3,3,2,93,221,128,8,10.9,72,95,0.657,90,1,1,,,0,C,,,A0099,04,L8869,03,82,1,,0,5,5,98,1.97,117.2,1,100,,9.003
95WN00012, 95041781,95,A1781,04,2,82,30, 27,8,2,2,3.0,3,3,2,93,221,128,5,10.1,66,90,0.624,85,1,1,,,0,C,,COARSE,A0099,04,L8869,03,82,3,93,268,5,5,101,1.97,117.2,3,104,,9.003
95WN00013, 95041782,95,A1782,04,2,00,80,972,9,3,2,7.5,7,5,2,93,221,128,18,9.0,66,85,0.594,80,5,1,,,1,,BLK,,Z0468,81,L1641,03,00,3,93,268,8,6,0,1.9,105.6,3,102,,0.0
95WN00014, 95041783,95,A1783,04,3,00,80,972,9,3,2,7.5,7,5,2,93,221,128,16,12.1,79,105,0.726,99,5,1,,,1,,BLK,,Z0468,81,L1641,03,00,3,93,268,8,4,0,1.9,105.6,3,121,,0.0
95WN00015, 95041785,95,A1785,04,2,81,30, 03,8,2,1,4.0,4,4,2,93,221,128,16,6.5,58,78,0.559,74,1,1,,,0,M,e.7,,A0038,04,L6655,03,81,1,,0,3,2,103,2.17,134.0,1,92,,23.993
95WN00016, 95041787,95,A1787,04,2,82,30, 20,8,2,2,6.0,6,4,2,94,221,127,14,6.8,33,49,0.332,47,1,1,,,0,C,,,A0118,04,L3674,03,82,3,93,268,5,5,87,2.2,130.9,3,59,,17.398
95WN00017, 95041788,95,A1788,04,1,82,30, 20,8,2,2,6.0,6,4,2,94,221,127,4,7.9,36,58,0.394,55,1,1,,,0,C,,,A0118,04,L3674,03,82,3,93,240,5,5,88,2.2,130.9,3,61,,17.398
95WN00018, 95041789,95,A1789,04,2,73,30,744,5,1,1,1.5,1,1,H,94,226,132,5,10.0,69,84,0.561,77,1,1,,,6,,-fl,,A0478,04,A0480,04,73,1,,0,1,1,101,2.05,124.9,1,87,,0.0
95WN00019, 95041790,95,A1790,04,1,82,30, 31,8,2,1,2.0,2,2,2,94,221,127,3,9.4,79,109,0.784,104,1,1,,,0,C,,,L9883,03,L9749,03,82,3,93,240,3,2,109,2.17,126.5,3,118,,21.907
95WN00020, 95041793,95,A1793,04,2,82,30, 28,9,3,2,4.0,4,4,2,94,221,127,9,8.0,63,79,0.559,75,1,1,,,0,C,e.8,4TEATS,A0161,04,L6769,03,82,1,,0,8,5,94,2.29,112.6,1,87,,21.173
95WN00021, 95041794,95,A1794,04,1,82,30, 28,9,3,2,4.0,4,4,2,94,221,127,1,7.7,59,85,0.609,81,1,1,,,0,C,,"DEAD,PILEUP",A0161,04,L6769,03,82,6,46,212,8,5,91,2.29,112.6,6,,,21.173
95WN00022, 95041795,95,A1795,04,2,81,30, 04,5,1,1,4.0,4,4,2,94,221,127,8,12.2,72,98,0.676,93,1,1,,,0,M,e.8,,L9892,03,L6689,03,81,1,,0,1,1,107,1.92,119.6,1,111,,19.19
95WN00023, 95041796,95,A1796,04,2,82,30, 20,5,1,2,4.0,4,4,2,94,221,127,3,11.6,62,83,0.562,79,1,1,,,0,C,e.7,4TEATS,A0118,04,L7452,03,82,1,,0,3,3,92,1.67,105.0,1,95,,16.676
95WN00024, 95041797,95,A1797,04,2,81,30, 02,8,2,2,7.0,7,5,2,95,221,126,17,7.2,52,69,0.49,66,1,1,,,0,M, 10,,L9898,03,L2319,03,81,2,92,264,5,5,92,1.89,119.3,2,88,,21.233
95WN00025, 95041798,95,A1798,04,1,81,30, 02,8,2,2,7.0,7,5,2,95,221,126,11,8.2,59,80,0.57,77,1,3,,,0,M,,,L9898,03,L2319,03,81,3,93,240,5,5,93,1.89,119.3,3,90,,21.233
95WN00026, 95041799,95,A1799,04,1,82,30, 28,5,1,1,2.0,2,2,2,95,221,126,4,12.1,80,106,0.745,102,1,1,,,0,C,,LF DIGIT ABS,A0161,04,A0120,04,82,3,93,240,1,1,105,1.83,120.0,3,110,,19.904
95WN00027, 95041800,95,A1800,04,1,82,30, 27,8,2,1,2.0,2,2,2,95,221,126,14,10.2,67,90,0.633,86,1,1,,,0,C,,,A0099,04,L9714,03,82,1,,0,3,2,95,2.17,114.5,1,101,,15.692
95WN00028, 95041803,95,A1803,04,2,73,30,742,8,2,1,1.5,1,1,2,95,221,126,9,7.4,56,88,0.64,84,1,1,,,6,,-fl,,A0560,04,A0355,04,73,1,,0,3,2,105,2.15,126.9,1,100,,0.0
95WN00029, 95041805,95,A1805,04,2,73,30,742,8,2,1,1.5,1,1,H,95,226,131,2,6.0,55,77,0.542,71,1,1,,,6,,-fl,,A0560,04,A0255,04,73,1,,0,3,2,97,2.15,123.7,1,80,,0.0
95WN00030, 95041806,95,A1806,04,2,88,30,e.8,8,2,1,1.0,1,1,2,95,221,126,1,6.9,53,76,0.548,73,1,1,,,0,M,,"DEAD,PILEUP",L9716,03,A0786,04,81,6,46,212,3,2,98,2.15,124.1,6,,,22.0
95WN00031, 95041808,95,A1808,04,2,82,30, 22,9,3,2,5.0,5,4,2,95,221,126,4,8.7,61,77,0.542,74,1,1,,,0,C,  5,,L9786,03,L4851,03,82,2,92,264,8,3,96,2.23,117.9,2,88,,17.673
95WN00032, 95041809,95,A1809,04,2,82,30, 22,9,3,2,5.0,5,4,2,95,221,126,12,6.1,54,79,0.579,76,1,1,,,0,C,e.8,,L9786,03,L4851,03,82,1,,0,8,7,97,2.23,117.9,1,94,,17.673
95WN00033, 95041810,95,A1810,04,2,73,30,742,8,2,2,1.5,1,1,H,95,226,131,3,8.3,53,75,0.509,69,1,1,,,6,,-fl,,A0560,04,A0541,04,73,1,,0,5,5,103,2.15,139.7,1,80,,0.0
95WN00034, 95041811,95,A1811,04,3,73,30,742,8,2,2,1.5,1,1,H,95,226,131,2,8.4,56,89,0.615,82,1,1,,,6,,-FL,,A0560,04,A0541,04,73,3,93,268,5,5,111,2.15,139.7,3,90,,0.0
95WN00035, 95041812,95,A1812,04,3,81,30, 01,9,3,2,4.0,4,4,2,95,221,126,11,9.5,57,82,0.575,79,1,1,,,0,M,,,L9832,03,L7155,03,81,3,93,268,8,5,94,2.04,108.0,3,95,,14.846
95WN00036, 95041813,95,A1813,04,2,81,30, 01,9,3,2,4.0,4,4,2,95,221,126,16,8.3,52,75,0.529,72,1,1,,,0,M,,BRITCHY,L9832,03,L7155,03,81,3,93,268,8,5,90,2.04,108.0,3,88,,14.846
95WN00037, 95041814,95,A1814,04,2,73,30,744,5,1,1,1.5,1,1,H,95,226,131,2,9.5,62,83,0.561,77,1,3,,,6,,-fl,,A0478,04,A0550,04,73,1,,0,1,1,101,2.05,124.9,1,87,,0.0
95WN00038, 95041815,95,A1815,04,2,00,33, 17,8,2,2,2.0,2,2,2,95,221,126,3,8.9,64,90,0.644,86,1,1,,,2,H,TOB,ENTR,K7245,63,L9757,03,TT,T,95,320,5,5,0,2.17,144.9,T,108,,0.0
95WN00039, 95041816,95,A1816,04,1,00,33, 17,8,2,2,2.0,2,2,2,95,221,126,6,9.3,60,85,0.601,81,1,3,,,2,H,,,K7245,63,L9757,03,TT,3,93,248,5,5,0,2.17,144.9,3,,,0.0
95WN00040, 95041817,95,A1817,04,2,82,30, 26,8,2,2,2.0,2,2,2,95,221,126,8,9.3,49,68,0.466,65,1,1,,,0,C,XXX,"BALD,UGLY X",A0054,04,L9984,03,82,2,93,268,5,5,97,2.0,130.6,2,77,,14.177
95WN00041, 95041818,95,A1818,04,2,82,30, 26,8,2,2,2.0,2,2,2,95,221,126,11,8.0,61,79,0.563,76,1,1,,,0,C,e.7,,A0054,04,L9984,03,82,1,,0,5,5,103,2.0,130.6,1,94,,14.177
95WN00042, 95041819,95,A1819,04,1,81,30, 02,9,3,2,5.0,5,4,2,95,221,126,9,7.6,62,85,0.614,81,1,1,,,0,M,,,L9898,03,L5059,03,81,1,,0,8,5,100,2.12,129.8,1,93,,23.466
95WN00043, 95041820,95,A1820,04,1,81,30, 02,9,3,2,5.0,5,4,2,95,221,126,7,8.1,69,96,0.698,92,1,1,,,0,M,,,L9898,03,L5059,03,81,1,,0,8,5,105,2.12,129.8,1,105,,23.466
95WN00044, 95041821,95,A1821,04,1,81,30, 02,9,3,1,5.0,5,4,2,95,221,126,14,9.0,62,94,0.675,90,1,1,,,0,M,,,L9898,03,L5059,03,81,1,,0,7,2,104,2.12,129.8,1,104,,23.466
95WN00045, 95041822,95,A1822,04,1,81,30, 03,5,1,1,2.0,2,2,2,95,221,126,14,11.8,81,107,0.756,102,1,1,,,0,M,,NICE single,A0038,04,L9743,03,81,3,93,240,1,1,105,2.0,120.5,3,117,,22.521
95WN00046, 95041823,95,A1823,04,2,82,30, 29,8,2,2,4.0,4,4,2,95,221,126,4,9.4,56,75,0.521,72,1,1,,,0,C, 10,,L9819,03,L7260,03,82,2,92,264,5,5,101,1.92,131.0,2,86,,19.891
95WN00047, 95041824,95,A1824,04,1,82,30, 29,8,2,2,4.0,4,4,2,95,221,126,14,10.1,74,100,0.713,96,1,1,3,,0,C,,H3,L9819,03,L7260,03,82,3,93,240,5,5,107,1.92,131.0,3,108,,19.891
95WN00048, 95041825,95,A1825,04,2,82,30, 24,8,2,1,5.0,5,4,2,95,221,126,5,9.6,59,94,0.67,90,1,1,,,0,C,  7,,A0043,04,L5467,03,82,2,92,264,3,2,104,2.12,117.3,2,101,,15.348
95WN00049, 95041828,95,A1828,04,2,82,30, 29,8,2,1,2.0,2,2,2,95,221,126,6,7.4,61,82,0.592,78,1,1,,,0,C,e.8,,L9819,03,L9738,03,82,1,,0,3,2,99,2.17,120.2,1,92,,15.45
95WN00050, 95041829,95,A1829,04,1,81,30, 04,8,2,2,5.0,5,4,2,95,221,126,3,8.0,61,87,0.627,83,1,1,5,,0,M,,H5 X,L9892,03,L5598,03,81,3,93,240,5,5,100,2.01,128.8,3,93,,20.475
95WN00051, 95041830,95,A1830,04,1,81,30, 04,8,2,2,5.0,5,4,2,95,221,126,17,7.3,46,62,0.434,59,1,1,,,0,M,,,L9892,03,L5598,03,81,3,93,240,5,5,88,2.01,128.8,3,75,,20.475
95WN00052, 95041831,95,A1831,04,2,73,30,742,8,2,2,1.5,1,1,H,96,226,130,5,8.7,60,80,0.548,75,1,3,,,6,,-fl,,A0560,04,A0332,04,73,1,,0,5,5,106,2.15,138.3,1,83,,0.0
95WN00053, 95041832,95,A1832,04,2,73,30,742,8,2,2,1.5,1,1,H,96,226,130,5,8.0,51,74,0.508,69,1,1,,,6,,-fl,,A0560,04,A0332,04,73,1,,0,5,5,103,2.15,138.3,1,75,,0.0
95WN00054, 95041833,95,A1833,04,2,82,30, 25,8,2,2,2.0,2,2,2,96,221,125,7,9.8,60,85,0.602,82,1,2,,,0,C,e.7,,L9734,03,L9968,03,82,1,,0,5,5,98,2.0,113.1,1,100,,18.546
95WN00055, 95041834,95,A1834,04,2,82,30, 25,8,2,2,2.0,2,2,2,96,221,125,18,9.0,56,76,0.536,73,1,1,,,0,C, 10,,L9734,03,L9968,03,82,2,92,264,5,5,93,2.0,113.1,2,92,,18.546
95WN00056, 95041835,95,A1835,04,3,88,30,e.8,5,1,1,1.0,1,1,2,96,221,125,12,7.2,62,73,0.526,70,1,3,,,0,C,,"FEVER,URI",L9716,03,A1026,04,82,3,93,268,1,1,97,2.05,123.5,3,87,,16.605
95WN00057, 95041836,95,A1836,04,1,81,30, 02,8,2,2,2.0,2,2,2,96,221,125,3,10.3,56,80,0.558,77,1,1,,,0,M,,,L9898,03,L9914,03,81,3,93,240,5,5,99,2.0,132.7,3,88,,19.89
95WN00058, 95041837,95,A1837,04,1,81,30, 02,8,2,2,2.0,2,2,2,96,221,125,6,9.3,57,85,0.606,82,1,3,,,0,M,,BUSHY,L9898,03,L9914,03,81,3,93,240,5,5,101,2.0,132.7,3,89,,19.89
95WN00059, 95041839,95,A1839,04,2,73,30,741,8,2,2,1.5,1,1,H,96,226,130,1,11.2,47,68,0.437,64,1,1,,,6,,-fl,,A0485,04,A0366,04,73,1,,0,5,3,98,2.15,133.9,1,74,,0.0
95WN00060, 95041840,95,A1840,04,2,73,30,741,8,2,2,1.5,1,1,H,96,226,130,3,8.2,42,62,0.414,58,1,3,,,6,,-fl,URI,A0485,04,A0366,04,73,1,,0,5,7,95,2.15,133.9,1,65,,0.0
95WN00061, 95041841,95,A1841,04,3,88,30,e.8,8,2,1,1.0,1,1,2,96,221,125,8,7.8,64,90,0.658,87,1,1,,,0,M,,,L9716,03,A0929,04,81,3,93,268,3,2,108,2.15,126.9,3,100,,20.351
95WN00062, 95041842,95,A1842,04,3,81,30, 02,8,2,2,7.0,7,5,1,96,219,123,11,10.6,63,84,0.597,82,1,1,,,0,M,,,L9898,03,L2159,03,81,3,93,268,5,5,107,1.98,131.3,3,101,,23.431
95WN00063, 95041843,95,A1843,04,2,81,30, 02,8,2,2,7.0,7,5,1,96,219,123,11,9.7,59,78,0.555,76,1,1,,,0,M,,BRITCHY,L9898,03,L2159,03,81,3,93,268,5,5,103,1.98,131.3,3,93,,23.431
95WN00064, 95041844,95,A1844,04,2,88,30,e.8,8,2,2,1.0,1,1,2,96,221,125,13,6.3,53,73,0.534,70,1,3,,,0,M,  8,HAIRY chk,L9716,03,A0695,04,81,2,92,264,5,5,102,2.15,136.3,2,85,,18.335
95WN00065, 95041845,95,A1845,04,3,88,30,e.8,8,2,2,1.0,1,1,2,96,221,125,1,7.3,41,66,0.47,64,1,1,,,0,M,,"DEAD,PNEU",L9716,03,A0695,04,81,6,19,188,5,5,100,2.15,136.3,6,,,18.335
95WN00066, 95041846,95,A1846,04,2,82,30, 20,9,3,1,7.0,7,5,2,96,221,125,11,6.4,58,89,0.661,86,1,3,,,0,C, 14,,A0118,04,L2306,03,82,2,92,264,7,2,109,2.17,133.0,2,95,,23.449
95WN00067, 95041848,95,A1848,04,1,82,30, 20,9,3,2,7.0,7,5,1,96,219,123,20,10.0,52,73,0.512,71,1,1,,,0,C,,,A0118,04,L2306,03,82,3,93,240,8,6,96,2.17,133.0,3,82,,23.449
95WN00068, 95041849,95,A1849,04,1,ch,00,J05,5,1,1,1.0,1,1,H,96,226,130,4,9.2,72,91,0.629,85,1,1,,,2,h,JIM,,A1264,04,A1236,04,ch,1,,0,1,1,109,2.05,126.5,1,,,0.0
95WN00069, 95041850,95,A1850,04,2,73,30,741,8,2,2,1.5,1,1,H,96,226,130,1,7.6,50,70,0.48,65,1,1,,,6,,-fl,,A0485,04,A0354,04,72,1,,0,5,5,100,2.15,137.1,1,71,,0.0
95WN00070, 95041851,95,A1851,04,3,73,30,741,8,2,2,1.5,1,1,H,96,226,130,6,8.3,50,78,0.536,73,1,1,,,6,,-FL,,A0485,04,A0354,04,72,3,93,268,5,5,105,2.15,137.1,3,80,,0.0
95WN00071, 95041852,95,A1852,04,2,88,30,e.8,5,1,1,1.0,1,1,2,96,221,125,17,8.2,64,80,0.574,77,1,1,,,0,C, 12,,L9716,03,A1408,04,82,2,92,264,1,1,101,2.05,124.9,2,94,,18.475
95WN00072, 95041853,95,A1853,04,1,81,30, 01,8,2,2,5.0,5,4,2,96,221,125,13,8.1,56,75,0.535,72,1,1,,,0,M,,,L9832,03,L5301,03,81,3,93,240,5,5,97,1.9,134.5,3,84,,16.321
95WN00073, 95041854,95,A1854,04,1,81,30, 01,8,2,2,5.0,5,4,2,96,221,125,11,9.1,53,74,0.519,71,1,1,2,,0,M,,H2,L9832,03,L5301,03,81,3,93,240,5,5,97,1.9,134.5,3,84,,16.321
95WN00074, 95041855,95,A1855,04,2,81,30, 02,8,2,2,2.0,2,2,2,96,221,125,15,6.6,54,75,0.547,72,1,1,,,0,M,e.7,,L9898,03,A0166,04,81,1,,0,5,7,97,2.0,123.7,1,86,,22.491
95WN00075, 95041856,95,A1856,04,3,81,30, 02,8,2,2,2.0,2,2,2,96,221,125,3,10.2,63,89,0.63,86,1,1,,,0,M,,,L9898,03,A0166,04,81,3,93,268,5,3,105,2.0,123.7,3,101,,22.491
95WN00076, 95041857,95,A1857,04,1,81,30, 03,8,2,2,2.0,2,2,2,96,221,125,7,9.8,64,90,0.642,87,1,1,,,0,M,,,A0038,04,L9897,03,81,1,,0,5,4,105,2.0,135.5,1,101,,25.408
95WN00077, 95041858,95,A1858,04,1,81,30, 03,8,2,2,2.0,2,2,2,96,221,125,14,8.2,53,77,0.55,74,1,3,,,0,M,,,A0038,04,L9897,03,81,3,93,240,5,6,99,2.0,135.5,3,85,,25.408
95WN00078, 95041859,95,A1859,04,2,73,30,741,8,2,2,1.5,1,1,H,96,226,130,3,8.7,50,68,0.456,63,1,1,,,6,,-fl,,A0485,04,A0551,04,73,1,,0,5,5,97,2.15,132.9,1,73,,0.0
95WN00079, 95041860,95,A1860,04,3,73,30,741,8,2,2,1.5,1,1,H,96,226,130,3,7.6,38,58,0.388,54,1,1,,,6,,-FL,,A0485,04,A0551,04,73,3,93,268,5,5,93,2.15,132.9,3,62,,0.0
95WN00080, 95041861,95,A1861,04,2,82,30, 24,3,4,2,6.0,6,4,1,97,219,122,20,8.0,54,69,0.5,68,1,1,,,0,C,e.8,,A0043,04,L3960,03,82,1,,0,8,3,99,2.4,132.0,1,86,,18.629
95WN00081, 95041862,95,A1862,04,1,82,30, 24,3,4,2,6.0,6,4,1,97,219,122,6,5.8,49,69,0.518,68,1,1,,,0,C,,,A0043,04,L3960,03,82,3,93,240,8,7,94,2.4,132.0,3,79,,18.629
95WN00082, 95041866,95,A1866,04,2,82,30, 23,9,3,2,4.0,4,4,1,97,219,122,12,8.3,62,82,0.604,81,1,1,,,0,C,e.7,,L9720,03,L7038,03,82,1,,0,8,5,106,2.29,132.5,1,95,,21.59
95WN00083, 95041867,95,A1867,04,2,82,30, 23,9,3,2,4.0,4,4,1,97,219,122,18,7.6,50,70,0.511,69,1,1,,,0,C,  5,,L9720,03,L7038,03,82,2,92,264,8,5,100,2.29,132.5,2,93,,21.59
95WN00084, 95041871,95,A1871,04,2,82,30, 23,5,1,1,3.0,3,3,1,97,219,122,2,13.9,70,89,0.616,88,1,1,,,0,C,e.8,,L9720,03,L8760,03,82,1,,0,1,1,97,1.97,105.5,1,102,,13.583
95WN00085, 95041872,95,A1872,04,2,ch,00,J09,5,1,1,1.0,1,1,2,97,221,124,1,10.0,49,72,0.5,70,1,1,,,2,c,JIM,"DEAD,ABS NECK",T4244,44,A1096,04,ch,6,66,181,1,1,103,2.05,123.5,6,,,0.0
95WN00086, 95041873,95,A1873,04,3,88,30,e.8,5,1,1,1.0,1,1,1,97,219,122,12,11.4,60,80,0.562,79,1,1,,,0,M,,,L9716,03,A0709,04,81,3,93,268,1,1,102,2.05,125.3,3,98,,20.234
95WN00087, 95041874,95,A1874,04,2,73,30,743,8,2,2,1.5,1,1,H,97,226,129,2,7.0,27,41,0.264,39,1,1,,,6,,-FL,,A0386,04,A0520,04,73,3,93,268,5,5,82,2.15,128.7,3,44,,0.0
95WN00088, 95041875,95,A1875,04,2,73,30,743,8,2,2,1.5,1,1,H,97,226,129,2,7.2,42,61,0.417,57,1,1,,,6,,-fl,HAIRY,A0386,04,A0520,04,73,1,,0,5,5,92,2.15,128.7,1,65,,0.0
95WN00089, 95041876,95,A1876,04,2,82,30, 25,8,2,2,4.0,4,4,1,97,219,122,4,8.4,58,79,0.579,78,1,1,,,0,C,e.7,,L9734,03,L7232,03,82,1,,0,5,6,114,2.29,152.6,1,83,,25.466
95WN00090, 95041877,95,A1877,04,1,82,30, 25,8,2,2,4.0,4,4,1,97,219,122,17,11.2,77,85,0.605,84,1,2,,,0,C,,,L9734,03,L7232,03,82,3,93,240,5,4,112,2.29,152.6,3,101,,25.466
95WN00091, 95041878,95,A1878,04,1,ch,00,J06,8,2,1,1.0,1,1,H,97,226,129,4,7.8,70,98,0.699,92,1,1,5,,2,h,JIM,H5 MSG 12/06,A1297,04,A1232,04,ch,1,01,336,3,2,114,2.15,127.9,1,,,0.0
95WN00092, 95041880,95,A1880,04,2,82,30, 21,8,2,2,3.0,3,3,1,97,219,122,18,8.1,60,82,0.606,81,1,1,,,0,C,  7,4TEATS,L9859,03,L8725,03,82,2,92,264,5,6,106,2.25,131.9,2,98,,23.196
95WN00093, 95041881,95,A1881,04,3,82,30, 21,8,2,2,3.0,3,3,1,97,219,122,17,10.3,64,81,0.58,80,1,1,,,0,C,,4TEATS,L9859,03,L8725,03,82,3,93,268,5,4,106,2.25,131.9,3,97,,23.196
95WN00094, 95041882,95,A1882,04,3,73,30,741,5,1,1,1.5,1,1,H,97,226,129,5,10.0,61,84,0.574,79,1,1,,,6,,-FL,,A0485,04,A0320,04,73,3,93,268,1,1,102,2.05,125.3,3,84,,0.0
95WN00095, 95041883,95,A1883,04,2,88,30,e.8,5,1,1,1.0,1,1,1,97,219,122,3,7.8,48,71,0.518,70,1,1,,,0,M, 13,,L9716,03,A0819,04,81,2,92,264,1,1,96,2.05,123.5,2,84,,21.214
95WN00096, 95041884,95,A1884,04,1,81,30, 01,8,2,2,3.0,3,3,1,98,219,121,11,10.4,63,90,0.658,89,1,1,,,0,M,,,L9832,03,L8517,03,81,3,93,240,5,5,105,2.11,133.9,3,102,,19.235
95WN00097, 95041885,95,A1885,04,1,81,30, 01,8,2,2,3.0,3,3,1,98,219,121,8,11.3,71,92,0.667,91,1,1,,,0,M,,,L9832,03,L8517,03,81,3,93,240,5,5,106,2.11,133.9,3,104,,19.235
95WN00098, 95041886,95,A1886,04,3,82,30, 28,5,1,1,2.0,2,2,1,98,219,121,8,12.5,82,108,0.789,107,1,1,,,0,C,,,A0161,04,L9721,03,82,3,93,268,1,1,117,2.0,124.4,3,121,,18.834
95WN00099, 95041887,95,A1887,04,3,81,30, 01,8,2,2,4.0,4,4,1,98,219,121,12,10.3,57,75,0.535,74,1,1,,,0,M,,,L9832,03,L6862,03,81,3,93,268,5,5,95,1.92,116.3,3,89,,15.149
95WN00100, 95041888,95,A1888,04,3,81,30, 01,8,2,2,4.0,4,4,1,98,219,121,16,9.2,65,82,0.602,81,1,1,,,0,M,,,L9832,03,L6862,03,81,3,93,268,5,5,99,1.92,116.3,3,92,,15.149
95WN00101, 95041889,95,A1889,04,1,82,30, 28,8,2,2,6.0,6,4,1,98,219,121,15,11.4,60,81,0.575,80,1,1,,,0,C,,,A0161,04,L4364,03,82,1,,0,5,5,104,2.0,139.5,1,91,,21.326
95WN00102, 95041890,95,A1890,04,2,82,30, 28,8,2,2,6.0,6,4,1,98,219,121,13,10.3,60,78,0.56,77,1,1,,,0,C,XXX,X SOREMOUTH,A0161,04,L4364,03,82,2,93,268,5,5,108,2.0,139.5,2,81,,21.326
95WN00103, 95041891,95,A1891,04,1,81,30, 02,8,2,1,7.0,7,5,1,98,219,121,6,11.0,76,99,0.727,98,1,1,,,0,M,,,L9898,03,L1945,03,81,3,93,240,3,2,102,2.44,117.0,3,108,,20.33
95WN00104, 95041893,95,A1893,04,2,73,30,741,8,2,1,1.5,1,1,H,98,226,128,4,9.3,67,86,0.599,81,1,1,,,6,,-fl,,A0485,04,A0433,04,73,1,,0,3,2,103,2.15,125.7,1,75,,0.0
95WN00105, 95041898,95,A1898,04,2,73,30,741,8,2,2,1.5,1,1,H,98,226,128,1,8.1,51,68,0.468,64,1,1,,,6,,-fl,,A0485,04,A0509,04,73,1,,0,5,5,98,2.15,134.3,1,72,,0.0
95WN00106, 95041899,95,A1899,04,2,73,30,741,8,2,2,1.5,1,1,H,98,226,128,2,7.8,41,63,0.431,60,1,1,,,6,,-fl,HAIRY,A0485,04,A0509,04,73,1,,0,5,5,96,2.15,134.3,1,67,,0.0
95WN00107, 95041900,95,A1900,04,1,ch,00,J07,5,1,1,1.0,1,1,H,98,226,128,5,11.3,58,91,0.623,86,1,1,,,2,c,JIM,,T4353,44,A0990,04,ch,1,,0,1,1,110,2.05,126.7,1,,,0.0
95WN00108, 95041901,95,A1901,04,1,82,30, 30,8,2,1,4.0,4,4,1,98,219,121,14,8.4,75,98,0.74,97,1,1,,,0,C,,,A0057,04,L7288,03,82,1,,0,3,2,106,2.17,127.5,1,107,,11.936
95WN00109, 95041903,95,A1903,04,2,81,30, 02,8,2,2,6.0,6,4,1,98,219,121,18,12.5,66,87,0.616,86,1,1,,,0,M,e.8,,L9898,03,L3804,03,81,1,,0,5,4,115,2.0,144.5,1,108,,19.949
95WN00110, 95041904,95,A1904,04,1,81,30, 02,8,2,2,6.0,6,4,1,98,219,121,17,9.7,69,94,0.697,93,1,1,,,0,M,,,L9898,03,L3804,03,81,3,93,240,5,6,112,2.0,144.5,3,106,,19.949
95WN00111, 95041905,95,A1905,04,3,81,30, 03,8,2,2,2.0,2,2,1,98,219,121,11,9.1,62,84,0.619,83,1,1,,,0,M,,,A0038,04,A0210,04,81,3,93,268,5,5,100,2.0,116.3,3,93,,19.387
