UID,IDLAMB,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DBRD,DB1,LINBR,TBRE,ADAM,WNAGE_60,WNAGE,CLR,HORN,STM,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,THSCO,CAUSE,DB2,LBRD,SIRE,SBRD,ADG,ADG6061,DINBR,LNDAM,TM,ADG67,BAND,IDX,BRWT,C75,DISP,CADAM,CTBR,ABN
71WN00001,71116495,71,2,6495,1,24,240,6105,11,1,40,1,7,77,137,1,1,,1,68,08,03,09,08,047,3,2,2,1,,1,11,6408,11,431,43,29,24,1,1,6,134,90,,,5,1,
71WN00002,71116496,71,2,6496,1,32,320,6434,11,1,38,1,2,76,136,1,1,,1,71,08,03,09,08,036,3,2,2,1,,1,11,6452,11,453,45,29,32,1,3,6,132,94,,,2,1,
71WN00003,71116497,71,1,6497,1,24,240,6314,11,1,37,1,4,72,132,1,1,,2,96,10,07,06,07,038,20,2,3,2,,1,11,6408,11,635,63,41,24,1,5,1,124,122,,3,4,1,
71WN00004,71116498,71,1,6498,1,24,240,6100,11,1,39,1,7,75,135,1,2,,2,57,12,03,10,08,036,3,2,2,1,,1,11,6408,11,350,35,30,24,1,0,6,94,98,,6,5,1,
71WN00005,71116499,71,2,6499,1,32,320,6386,11,1,40,1,3,75,135,2,1,,1,58,08,03,10,09,031,3,2,2,1,,1,11,6452,11,361,36,30,32,1,1,6,123,92,,,3,1,
71WN00006,71116501,71,2,6501,1,24,240,6411,11,1,46,1,2,73,133,1,1,,1,73,08,03,07,07,048,3,2,2,1,,1,11,6408,11,475,47,39,24,1,5,6,144,98,,,2,1,
71WN00007,71116502,71,2,6502,1,24,240,5766,11,1,38,1,9,72,132,1,1,,1,59,10,03,11,09,038,2,2,2,1,,1,11,6408,11,370,37,32,24,1,0,6,115,102,,,5,1,
71WN00008,71116503,71,1,6503,1,24,240,6024,11,1,40,3,7,68,128,1,4,,2,80,09,03,07,08,037,25,2,2,1,,1,11,6408,11,561,56,32,24,1,1,1,132,82,,3,5,3,
71WN00009,71116504,71,2,6504,1,24,240,6024,11,1,40,3,7,68,128,1,1,,1,58,09,03,10,09,038,7,2,2,1,,1,11,6408,11,402,40,32,24,1,2,1,116,66,,,5,3,
71WN00010,71116506,71,1,6506,1,32,320,5741,11,1,28,5,9,71,131,1,4,,1,54,10,03,12,10,030,1,2,2,1,,1,11,6452,11,336,33,22,32,1,6,6,115,100,,3,5,2,
71WN00011,71116507,71,1,6507,1,32,320,5741,11,1,28,5,9,71,131,1,4,,1,65,09,03,12,09,032,2,2,2,1,,1,11,6452,11,429,42,22,32,1,9,6,130,88,,,5,2,
71WN00012,71116508,71,2,6508,1,32,320,5970,11,1,30,1,8,71,131,1,1,,1,64,08,03,10,08,045,3,2,2,1,,1,11,6452,11,412,41,35,32,1,2,6,131,100,,,5,1,
71WN00013,71116509,71,2,6509,1,24,240,6432,11,1,43,1,2,66,126,1,1,,2,58,09,03,08,08,037,11,2,2,1,,1,11,6408,11,389,38,33,24,1,9,1,117,90,,,2,1,
71WN00014,71116510,71,2,6510,1,24,240,6425,11,1,43,1,2,66,126,1,1,,2,55,08,03,12,10,032,28,2,2,1,,1,11,6408,11,381,38,34,24,1,1,1,119,70,,,2,1,
71WN00015,71116511,71,2,6511,1,24,240,6427,11,1,48,1,2,68,128,1,1,,1,57,10,03,10,09,045,1,3,3,1,,1,11,6408,11,375,37,43,24,1,5,6,125,90,,,2,1,
71WN00016,71116513,71,2,6513,1,32,320,5562,11,1,31,3,-,66,126,1,1,,2,65,08,03,10,08,036,27,2,2,1,,1,11,6452,11,467,46,29,32,1,7,2,123,62,,,5,3,
71WN00017,71116514,71,2,6514,1,32,320,6273,11,1,32,1,5,68,128,1,1,,3,66,09,03,13,09,032,3,2,2,1,,1,11,6452,11,453,45,36,32,1,3,6,125,80,,,4,1,
71WN00018,71116515,71,1,6515,1,24,240,6440,11,1,45,1,2,68,128,1,4,,1,93,08,03,06,05,044,2,3,4,2,,1,11,6408,11,625,62,37,24,1,5,6,156,130,,,2,1,
