UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,CUDAY,SAWT,DNA,INBRL,STUDY,TRTPEN,IDZ65
12WN00001,2012057412,12,H7412,05,1,,30,40,5,1,1,4.0,4,4,1,81,198,117,,11.9,,92,0.685,94,1,1,,,0,,.,,.,H6281,05,H4017,05,84,1,,,1,1,,,,,104,220,,,0.049,,,
12WN00002,2012057414,12,H7414,05,1,,30,45,8,2,2,3.0,3,3,1,81,198,117,,8.2,,79,0.605,81,1,1,,,0,,.,,Wolf kill,H5779,05,H5141,05,,6,13,210,5,6,,,,,0,0,,,0.064,,,
12WN00003,2012057415,12,H7415,05,1,,30,45,8,2,2,3.0,3,3,1,81,198,117,,10.6,,79,0.585,81,1,1,,,0,,.,,Hairy,H5779,05,H5141,05,,3,93,233,5,4,,,,,91,220,,,0.064,,,
12WN00004,2012057416,12,H7416,05,2,,30,40,8,2,2,4.0,4,4,1,81,198,117,,10.6,,69,0.499,70,1,1,,,0,,.,e20,.,H6281,05,H3898,05,82,1,,,5,5,,,,,92,248,,,0.055,,,
12WN00005,2012057417,12,H7417,05,1,,30,40,8,2,2,4.0,4,4,1,81,198,117,,12.4,,76,0.544,78,1,1,,,0,,.,,.,H6281,05,H3898,05,82,3,93,233,5,5,,,,,87,220,,,0.055,,,
12WN00006,2012057418,12,H7418,05,2,,30,40,5,1,1,2.0,2,2,1,82,198,116,,11.0,,79,0.586,81,1,1,,,0,,.,e19,4TEATS,H6281,05,H5634,05,,1,,,1,1,,,,,99,249,,,0.02,,,
12WN00007,2012057419,12,H7419,05,2,,30,38,8,2,2,4.0,4,4,1,82,198,116,,8.0,,60,0.448,62,1,1,,,0,,.,e21,Hairy,H5687,05,H3905,05,88,1,,,5,5,,,,,82,249,,,0.026,,,
12WN00008,2012057420,12,H7420,05,2,,30,38,8,2,2,4.0,4,4,1,82,198,116,,7.4,,58,0.436,60,1,1,,,0,,.,e20,Hairy,H5687,05,H3905,05,88,1,,,5,5,,,,,77,249,,,0.026,,,
12WN00009,2012057421,12,H7421,05,3,,30,45,5,1,1,2.0,2,2,1,82,198,116,,6.8,,69,0.536,71,1,1,,,0,,.,,4T.PINK,H5779,05,H5866,05,,3,93,264,1,1,,,,,86,248,,,0.058,,,
12WN00010,2012057422,12,H7422,05,2,,30,e8,5,1,1,1.0,1,1,1,82,198,116,,9.1,,79,0.603,81,1,1,,,0,,.,,4T.PNK.UGLY.S,H5860,05,H6576,05,,3,93,264,1,1,,,,,97,248,,,0.05,,,
