UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,DNA,INBRL,STUDY,TRTPEN,IDZ65
10WN00001,2010055556,10,H5556,05,2,,30,e18,7,2,1,1.0,1,1,1,75,221,146,,7.8,71,91,0.573,77,1,1,,,0,.,,,WnwtProbMissd,H4211,05,H4961,05,88,3,93,258,3,2,,,,,104,,,0.046,,,
10WN00002,2010055585,10,H5585,05,3,,30,e19,8,2,1,1.0,1,1,2,86,222,136,,7.4,57,84,0.563,75,1,2,,,0,.,,,4 P UGLY,H4337,05,H4660,05,88,3,97,243,3,2,,,,7,0,,,0.071,,,
10WN00003,2010055623,10,H5623,05,1,,30,50,8,2,2,4.0,4,4,2,86,222,136,,9.5,69,106,0.71,95,1,1,,,0,.,,,.,  101,00,H2258,05,88,3,97,236,5,4,,,,7,0,,,0.0,,,
10WN00004,2010055666,10,H5666,05,2,,30,81,9,3,2,3.0,3,3,1,90,221,131,,6.1,41,61,0.419,56,1,1,,,0,.,,,.,H4186,05,H3604,05,88,3,97,242,8,5,,,,7,0,,,0.047,,,
10WN00005,2010055779,10,H5779,05,1,,30,78,8,2,2,3.0,3,3,2,92,222,130,,9.0,44,93,0.646,87,1,1,,,0,.,,,.,H3779,05,H3395,05,88,3,,,5,5,,,,1,0,,,0.057,,,
10WN00006,2010055877,10,H5877,05,2,,30,47,9,3,2,7.0,7,5,2,94,222,128,,9.9,58,80,0.547,76,1,1,,,0,.,,,WnwtProbMissd,  172,00,H0671,05,88,3,93,258,8,4,,,,,92,,,0.0,,,
10WN00007,2010055911,10,H5911,05,2,,30,77,9,3,2,2.0,2,2,2,94,222,128,,8.4,53,85,0.598,80,1,1,,,0,.,,,4TEATS,H4155,05,H4490,05,88,3,97,243,8,5,,,,7,0,,,0.049,,,
10WN00008,2010055931,10,H5931,05,2,,30,83,9,3,2,4.0,4,4,2,95,222,127,,9.1,41,63,0.422,60,1,1,,,0,.,,,WnwtProbMissd,H4164,05,H2790,05,88,3,93,258,8,6,,,,,72,,,0.045,,,
10WN00009,2010056036,10,H6036,05,1,,30,83,8,2,2,2.0,2,2,2,96,222,126,,9.9,45,92,0.652,88,1,1,,,0,.,,,.,H4164,05,H3812,05,88,3,97,236,5,5,,,,7,0,,,0.057,,,
10WN00010,2010056038,10,H6038,05,1,,30,81,8,2,2,3.0,3,3,2,96,222,126,,9.1,61,95,0.682,91,1,1,,,0,.,,,.,H4186,05,H3483,05,88,3,97,236,5,6,,,,7,0,,,0.051,,,
10WN00011,2010056041,10,H6041,05,2,,30,68,8,2,2,3.0,3,3,2,96,222,126,,12.2,60,75,0.499,72,1,1,,,0,.,,,WnwtProbMissd,  712,00,H3621,05,88,3,93,258,5,3,,,,,86,,,0.0,,,
10WN00012,2010056245,10,H6245,05,2,,30,48,8,2,2,3.0,3,3,1,100,221,121,,11.3,55,75,0.529,75,1,1,,,0,.,,,WnwtProbMissd,  706,00,H3194,05,88,3,93,258,5,6,,,,,87,,,0.0,,,
10WN00013,2010056337,10,H6337,05,2,,30,79,9,3,2,2.0,2,2,2,101,222,121,,8.9,46,60,0.42,59,1,1,,,0,.,,,WnwtProbMissd,H3858,05,H4302,05,83,3,93,258,8,5,,,,,69,,,0.05,,,
