UID,IDLAMB,YR,LBRD,ETAG,SEX,LINE,STM,PEN,TB,TR,TBRE,TBR17,AGE,ADAM,CADAM,BAND,DAYBN,WNAGE,TIM,BRWT,WNWT,ADG,F,N,T,C,L,TST,SIGR,THGR,JAW,CLR,H,IDX,MENB,MELW,CAUSE,ABN,SEQ,SIRE,SBRD,DAM,DBRD,TM,WT120,AADG,LNDAM,PD,CUWT,SAWT,LOT
82WN00001, 82022989,82,02,2989,2,70,30,702,3,1,6,2, 60,6,4,9,80,141,1,42,67,445, 0, 0, 0, 0,  0,  0,,,,1,,0,211,1109,92,,3,0354,02,4627,01,2,58,415,70,2,86,84,023
82WN00002, 82022990,82,02,2990,1,70,30,702,3,1,6,2, 60,6,4,9,80,151,1,38,61,379, 0, 0, 0, 0,  0,  0,,,,1,,0,211,1109,93,,4,0354,02,4627,01,2,49,386,70,3,65,0,
82WN00003, 82022996,82,02,2996,1,71,30,712,1,1,1,1, 20,2,2,1,83,145,22,85,76,466,11, 3,10, 9, 35,200,4,6,1,1,4,112,182,1099,93,,6,1430,02,0228,02,6,64,425,71,3,86,0,
82WN00004, 82022997,82,02,2997,2,71,30,712,2,1,3,2, 60,6,4,8,83,91,1,93,73,700, 9, 3, 9, 8, 39,  0,6,7,1,1,3,159,201,1161,92,,7,1430,02,4555,01,6,93,697,71,2,104,99,034
82WN00005, 82022998,82,02,2998,2,71,30,712,2,1,4,2, 60,6,4,9,83,138,1,91,101,666, 0, 0, 0, 0,  0,  0,,,,1,,0,201,1161,92,,8,1430,02,4555,01,6,89,629,71,2,123,122,022
82WN00006, 82023000,82,02,3000,1,70,30,702,2,2,5,4, 50,5,4,1,84,144,17,107,93,572, 6, 3, 7, 6, 52,279,4,7,2,1,2,170,208,1103,19,,9,0354,02,5764,01,2,79,613,70,6,102,0,
82WN00007, 82023001,82,02,3001,2,70,30,702,2,2,5,6, 50,5,4,1,84,144,1,89,85,528, 5, 3, 8, 6, 47,  0,4,7,1,1,1,165,208,1103,,,10,0354,02,5764,01,2,72,608,70,1,92,0,
82WN00008, 82023002,82,02,3002,1,71,30,711,2,1,4,2, 30,3,3,9,84,137,1,62,99,677, 0, 0, 0, 0,  0,  0,,,,1,,0,169,973,93,,11,1407,02,8472,01,6,87,638,71,3,0,0,
82WN00009, 82023003,82,02,3003,1,71,30,711,2,1,3,2, 30,3,3,1,84,144,2,73,90,574, 5, 3, 8, 5, 55,308,7,8,4,1,2,166,169,973,,,12,1407,02,8472,01,6,76,567,71,1,99,0,
82WN00010, 82023004,82,02,3004,1,71,30,715,2,1,3,2, 80,8,5,1,85,143,2,87,97,617, 6, 3, 9, 7, 45,320,6,7,2,1,1,170,253,1285,,,13,4274,01,2974,01,6,83,615,71,1,103,0,
82WN00011, 82023005,82,02,3005,2,71,30,715,2,1,4,2, 80,8,5,9,85,136,1,76,82,547, 0, 0, 0, 0,  0,,,,,1,,0,253,1285,92,,14,4274,01,2974,01,6,73,506,71,2,105,96,033
82WN00012, 82023006,82,02,3006,2,70,30,704,2,2,5,6, 30,3,3,1,85,143,4,89,88,553, 5, 3, 8, 6, 54,  0,6,8,2,1,1,176,198,1180,,,15,0123,02,8627,01,2,75,651,70,1,97,0,
82WN00013, 82023007,82,02,3007,2,70,30,704,2,2,5,4, 30,3,3,1,85,143,7,113,92,564, 6, 3, 8, 6, 49,  0,6,7,2,1,1,160,198,1180,,,16,0123,02,8627,01,2,79,621,70,1,96,0,
82WN00014, 82023008,82,02,3008,2,70,30,702,1,1,1,1, 30,3,3,1,85,143,16,108,103,645, 5, 3, 7, 5, 56,  0,6,7,1,1,1,177,183,1101,,,17,0354,02,8535,01,2,88,665,70,1,111,0,
82WN00015, 82023009,82,02,3009,1,71,30,714,2,1,3,2, 30,3,3,1,85,143,1,74,95,613, 6, 3, 6, 6, 53,299,3,7,2,1,2,167,198,1082,,,18,1554,02,8738,01,6,81,603,71,1,100,0,
82WN00016, 82023011,82,02,3011,1,70,30,704,1,2,3,4, 30,3,3,1,85,143,13,124,91,550, 7, 3, 9, 7, 42,291,4,6,2,1,2,160,183,1238,,,19,0123,02,8748,01,2,78,602,70,1,100,0,
82WN00017, 82023012,82,02,3012,1,71,30,713,2,1,3,2, 40,4,4,1,85,143,10,79,80,504, 7, 3,10, 7, 61,261,6,8,2,1,5,156,199,1057,93,,20,1643,02,7076,01,6,68,488,71,3,74,0,
82WN00018, 82023013,82,02,3013,1,71,30,713,2,1,3,2, 40,4,4,1,85,143,3,71,78,496, 5, 3, 9, 8, 37,254,4,7,2,1,2,148,199,1057,93,,21,1643,02,7076,01,6,67,472,71,3,83,0,
82WN00019, 82023014,82,02,3014,2,71,30,714,1,1,1,1, 60,6,4,1,85,143,14,114,92,564, 8, 3, 8, 5, 64,  0,5,6,2,1,1,155,191,1096,,,22,1554,02,4975,01,6,79,566,71,1,101,0,
82WN00020, 82023016,82,02,3016,2,71,30,713,2,1,3,2, 50,5,4,1,85,143,17,77,74,464, 6, 3, 8, 6, 63,  0,5,7,1,1,1,156,197,1031,,,23,1643,02,5656,01,6,63,511,71,1,82,0,
82WN00021, 82023017,82,02,3017,1,70,30,703,2,2,5,5, 40,4,4,1,85,143,9,99,84,518, 8, 3, 8, 6, 48, 90,5,7,1,1,4,147,186,1266,93,91,24,0371,02,7210,01,2,72,541,70,3,91,0,
82WN00022, 82023018,82,02,3018,1,70,30,703,2,2,5,5, 40,4,4,1,85,143,13,107,77,464, 7, 3, 8, 7, 44,267,5,7,1,1,1,145,186,1266,93,,25,0371,02,7210,01,2,66,492,70,3,87,0,
82WN00023, 82023019,82,02,3019,1,71,30,714,2,2,5,5, 50,5,4,1,86,142,15,90,86,542, 9, 3, 8, 6, 51,257,6,7,2,1,5,148,208,1161,93,,26,1554,02,5598,01,6,74,570,71,3,94,0,
82WN00024, 82023020,82,02,3020,2,71,30,714,2,2,5,5, 50,5,4,1,86,142,5,83,80,505, 5, 3, 8, 7, 72,  0,6,7,2,1,1,177,208,1161,,,27,1554,02,5598,01,6,69,565,71,1,86,0,
82WN00025, 82023021,82,02,3021,2,70,30,704,1,1,1,1, 40,4,4,1,86,142,13,100,75,458, 4, 3, 8, 7, 58,  0,6,7,1,1,1,159,174,1037,92,,28,0123,02,7159,01,2,65,457,70,2,84,81,024
82WN00026, 82023022,82,02,3022,1,71,30,714,2,2,5,5, 50,5,4,1,86,142,1,99,99,627, 6, 3, 6, 6, 46,279,4,7,1,1,2,169,197,1208,,,29,1554,02,5734,01,6,85,640,71,1,104,0,
82WN00027, 82023023,82,02,3023,2,71,30,714,2,2,5,5, 50,5,4,1,86,142,10,111,92,570, 5, 3, 8, 6, 52,  0,5,7,1,1,1,173,197,1208,,,30,1554,02,5734,01,6,79,635,71,1,101,0,
82WN00028, 82023025,82,02,3025,2,70,30,702,2,2,5,6, 20,2,2,1,86,142,9,94,62,370, 6, 3,10, 8, 45,  0,4,6,2,1,1,150,199,848,92,,31,0354,02,0120,02,2,54,477,70,2,68,74,030
82WN00029, 82023027,82,02,3027,2,71,30,714,2,2,5,5, 20,2,2,1,86,142,18,82,79,499, 6, 3, 9, 7, 44,  0,5,7,2,1,1,161,199,1261,,,32,1554,02,0444,02,6,68,594,71,1,84,0,
