UID,YR,LBRD,LAMB,SBRD,SIRE,DBRD,DAM,STM,LAMBID,SIREID,DAMID
12PE00001,12,05,H7412,05,H6281,05,H4017,30,2012057412,2010056281,2008054017
12PE00002,12,05,H7413,05,H5687,05,H2210,30,2012057413,2010055687,2006052210
12PE00003,12,05,H7414,05,H5779,05,H5141,30,2012057414,2010055779,2009055141
12PE00004,12,05,H7415,05,H5779,05,H5141,30,2012057415,2010055779,2009055141
12PE00005,12,05,H7416,05,H6281,05,H3898,30,2012057416,2010056281,2008053898
12PE00006,12,05,H7417,05,H6281,05,H3898,30,2012057417,2010056281,2008053898
12PE00007,12,05,H7418,05,H6281,05,H5634,30,2012057418,2010056281,2010055634
12PE00008,12,05,H7419,05,H5687,05,H3905,30,2012057419,2010055687,2008053905
12PE00009,12,05,H7420,05,H5687,05,H3905,30,2012057420,2010055687,2008053905
12PE00010,12,05,H7421,05,H5779,05,H5866,30,2012057421,2010055779,2010055866
12PE03293,12,83,Z1440,82,X0000,05,H6231,00,2012831440,         0,2010056231
12PE03294,12,83,Z1441,82,X0000,83,Z0514,00,2012831441,         0,2011830514
12PE03295,12,83,Z1442,70,L0139,70,L0549,PC,2012831442,2010700139,2011700549
12PE03296,12,83,Z1443,11,R6633,45,T2419,00,2012831443,2007116633,2009452419
12PE03297,12,83,Z1444,11,R6633,45,T2419,00,2012831444,2007116633,2009452419
12PE03298,12,83,Z1445,11,R6633,82,X4867,00,2012831445,2007116633,2007824867
12PE03299,12,83,Z1446,11,R6633,82,X4867,00,2012831446,2007116633,2007824867
12PE03300,12,83,Z1447,82,X0000,11,R7591,00,2012831447,         0,2009117591
12PE03301,12,83,Z1448,82,X8686,83,Z0246,CM,2012831448,2010828686,2011830246
12PE03302,12,50,Y1044,82,X0000,05,H6216,00,2012501044,         0,2010056216
