UID,LAMBID,SIREID,DAMID,YR,LBRD,LAMB,SBRD,SIRE,DBRD,DAM,STM
02PE00001,102040000,100047302, 99046906,02,04,A0000,04,A7302,04,A6906,30
02PE00002,102048894, 99046563,101048230,02,04,A8894,04,A6563,04,A8230,73
02PE00003,102048895, 99046563,101048230,02,04,A8895,04,A6563,04,A8230,73
02PE00004,102048896, 99046761,101048169,02,04,A8896,04,A6761,04,A8169,73
02PE00005,102048897, 99046761,101048169,02,04,A8897,04,A6761,04,A8169,73
02PE00006,102048898, 99046642,101048310,02,04,A8898,04,A6642,04,A8310,30
02PE00007,102048899, 97044203,101048296,02,04,A8899,04,A4203,04,A8296,72
02PE00008,102048900, 99046642,101048486,02,04,A8900,04,A6642,04,A8486,30
02PE00009,102048901, 99046642,101048486,02,04,A8901,04,A6642,04,A8486,30
02PE00010,102048902, 97044203,101048279,02,04,A8902,04,A4203,04,A8279,72
02PE04680,102818536,100110000, 97814286,02,81,Z8536,11,R0000,81,Z4286,15
02PE04681,102818537,100810000, 99815692,02,81,Z8537,81,Z0000,81,Z5692,00
02PE04682,102818538,100110000, 96043372,02,81,Z8538,11,R0000,04,A3372,00
02PE04683,102818539,100110000, 96043372,02,81,Z8539,11,R0000,04,A3372,00
02PE04684,102818540,100110000, 97107869,02,81,Z8540,11,R0000,10,S7869,07
02PE04685,102818541,100110000, 97107869,02,81,Z8541,11,R0000,10,S7869,07
02PE04686,102818542,100110000, 96006236,02,81,Z8542,11,R0000,00, 6236,00
02PE04687,102818543,100110000, 96006236,02,81,Z8543,11,R0000,00, 6236,00
02PE04688,102818544,100810000, 98446855,02,81,Z8544,81,Z0000,44,T6855,20
02PE04689,102818545,100810000, 96006178,02,81,Z8545,81,Z0000,00, 6178,00
