UID,YR,LBRD,LAMB,SBRD,SIRE,DBRD,DAM,STM,LAMBID,SIREID,DAMID
05PE00001,05,05,H1390,04,A9073,05,H0977,30,105051390,102049073,104050977
05PE00002,05,05,H1391,04,A9073,05,H1153,30,105051391,102049073,104051153
05PE00003,05,05,H1392,05,P0098,05,H0864,30,105051392,102050098,104050864
05PE00004,05,05,H1393,04,A9073,05,H1123,30,105051393,102049073,104051123
05PE00005,05,05,H1394,04,A9073,05,H0987,30,105051394,102049073,104050987
05PE00006,05,05,H1395,04,A9073,05,H0987,30,105051395,102049073,104050987
05PE00007,05,05,H1396,04,A9073,05,H1376,30,105051396,102049073,104051376
05PE00008,05,05,H1397,04,A9073,05,H1376,30,105051397,102049073,104051376
05PE00009,05,05,H1398,05,P0098,05,H0824,30,105051398,102050098,104050824
05PE00010,05,05,H1399,05,P0098,05,H0824,30,105051399,102050098,104050824
05PE03341,05,82,X2972,81,Z0000,00,00677,10,105822972,103810000,100000677
05PE03342,05,82,X2973,81,Z0000,09,90259,10,105822973,103810000, 99090259
05PE03343,05,82,X2974,81,Z0000,09,90259,10,105822974,103810000, 99090259
05PE03344,05,82,X2975,81,Z0000,04,A5729,80,105822975,103810000, 98045729
05PE03345,05,82,X2976,81,Z0000,04,A5729,80,105822976,103810000, 98045729
05PE03346,05,82,X2977,81,Z0000,11,R3845,10,105822977,103810000,102113845
05PE03347,05,82,X2978,81,Z0000,11,R3845,10,105822978,103810000,102113845
05PE03348,05,82,X2979,81,Z0000,04,A6628,80,105822979,103810000, 99046628
05PE03349,05,82,X2980,81,Z0000,11,R2714,10,105822980,103810000,101112714
05PE03350,05,82,X2981,81,Z0000,11,R3513,10,105822981,103810000,102113513
