UID,LAMB,SIRE,DAM
50PE00001,50130882,48000000,43135552
50PE00002,50130760,48000000,43135905
50PE00003,50131037,48000000,44136319
50PE00004,50130914,48000000,44136713
50PE00005,50130773,48000000,44136718
50PE00006,50131015,48000000,45137725
50PE00007,50131125,48000000,46137874
50PE00008,50130808,48000000,46138106
50PE00009,50130844,48000000,46138230
50PE00010,50131044,48000000,46138278
50PE02612,50671614,49607390,48681006
50PE02613,50671615,49607390,48681006
50PE02614,50671597,49607390,42690361
50PE02615,50671632,49607390,42690391
50PE02616,50671633,49607390,42690391
50PE02617,50671626,49607390,45690395
50PE02618,50671627,49607390,45690395
50PE02619,50607918,48606942,48606877
50PE02620,50607919,48606925,48606960
50PE02621,50176495,48170000,46175301
