UID,LAMB,SIRE,DAM
72PE00001,72001867,70000000,71426393
72PE00002,72116543,70116457,64115979
72PE00003,72116544,70116457,64115979
72PE00004,72116545,70116472,70116480
72PE00005,72116546,70116472,63115970
72PE00006,72116547,70116472,62115741
72PE00007,72116548,70116472,62115741
72PE00008,72116549,70116472,68116401
72PE00009,72116550,70116472,66116247
72PE00010,72116551,70116457,70116484
72PE04400,72011985,70010000,71010991
72PE04401,72011986,70010000,71010621
72PE04402,72011987,70010000,71010503
72PE04403,72011988,70010000,70.10343
72PE04404,72011989,70010000,69.80014
72PE04405,72011990,70950000,65814342
72PE04406,72011991,70950000,65814342
72PE04407,72011992,70010000,69.10042
72PE04408,72011993,70010000,69.40008
72PE04409,72011994,70950000,65813871
