UID,LAMB,SIRE,DAM
71PE00001,71116495,69116408,64116105
71PE00002,71116496,69116452,69116434
71PE00003,71116497,69116408,67116314
71PE00004,71116498,69116408,64116100
71PE00005,71116499,69116452,68116386
71PE00006,71116500,69116452,67116305
71PE00007,71116501,69116408,69116411
71PE00008,71116502,69116408,62115766
71PE00009,71116503,69116408,64116024
71PE00010,71116504,69116408,64116024
71PE04354,71011254,69010000,68103297
71PE04355,71011255,69010000,70.80180
71PE04356,71011256,69950000,65813673
71PE04357,71011257,69950000,65813673
71PE04358,71011258,69010000,69.10137
71PE04359,71011259,69950000,65814003
71PE04360,71011260,69010000,65814285
71PE04361,71011261,69010000,65814285
71PE04362,71011262,69010000,63813644
71PE04363,71011191,69010000,68103700
