UID,LAMB,SIRE,DAM
51PE00001,51113587,49000000,49112985
51PE00002,51140306,49000000,49130213
51PE00003,51406282,49000000,48404346
51PE00004,51406144,49000000,48404352
51PE00005,51406145,49000000,48404352
51PE00006,51406124,49000000,48404419
51PE00007,51406125,49000000,48404419
51PE00008,51406506,49000000,49404492
51PE00009,51406513,49000000,49404770
51PE00010,51406569,49000000,49404845
51PE03118,51608701,50607765,47606266
51PE03119,51608502,50607765,47606396
51PE03120,51608503,50607765,47606396
51PE03121,51608327,50607765,47606457
51PE03122,51608546,50607765,47606592
51PE03123,51608712,50607765,48606649
51PE03124,51608406,50607765,48606738
51PE03125,51608331,50607765,49607302
51PE03126,51608565,50607765,49607416
51PE03127,51608313,50607765,45671350
