UID,LAMB,SIRE,DAM
87PE00001,87030501,86029534,85027864
87PE00002,87030502,86029534,85027864
87PE00003,87030503,86029602,84027241
87PE00004,87030504,86029516,84027044
87PE00005,87030505,86029516,84027044
87PE00006,87030506,85028207,84027280
87PE00007,87030507,85028207,84027280
87PE00008,87030508,85027923,83025071
87PE00009,87030509,86029492,84027005
87PE00010,87030510,86029492,84027005
87PE06077,87198643,86197129,82194590
87PE06078,87198644,85196828,80192858
87PE06079,87198645,86197129,79192297
87PE06080,87198646,86197129,79192297
87PE06081,87198647,85196828,80193163
87PE06082,87198648,85196828,80193163
87PE06083,87198649,86197129,79192096
87PE06084,87198650,86197129,79192096
87PE06085,87198651,86197129,82194329
87PE06086,87198652,86197129,82194329
