UID,ETAG,BRD,YR,SEA,LINE,STM,PEN,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,ADJ_SL,FLGR,FLWT,ADJ_FLWT,MICRON,SD,CV,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,DAM,DBRD,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,M_IDX,F_IDX,BOVIS,LIB,LIBING,FERT,LOT,NAX,LIM,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC
99RA00001, 8036,00,98,1,00,30,L-7,,2,1,2.5,Y,134,95,110,0.864,152,152,72,0.213,3.1,3.9,62,6.8,8.2,22.45,4.43,19.7,62,2,,2,2.24,104.5,A3467,04,A3735,04,182,194,0.276,1.0,,1,LIM,87,119,-,S4,AAA,,L-6,,L-6,,65,3,,0,E,,,,2,4,1,1999
99RA00002, 8222,00,98,1,00,06,L-5,,2,2,6.0,Y,132,88,112,0.786,170,170,72,0.307,2.8,3.5,60,7.4,8.9,23.18,4.83,20.8,62,1,,3-,1.49,110.9,K8958,63,K6672,63,202,194,0.362,1.0,"?,EPI,L.TSTS.",3,LIM,103,95,,,,,,,,,,,,,,,,,6,8,8,1999
99RA00003, 8225,00,98,1,00,06,L-3,,1,1,7.0,Y,132,115,112,1.027,182,182,72,0.251,3.6,4.5,58,7.8,9.3,25.77,4.84,18.8,58,2,,3+,1.63,101.9,K8744,63,K6038,63,217,194,0.324,1.0,?MSG 12/4/99,1,LIM,105,103,-,D3,DUD,,,,MSG,,65,3,,0,E,,,,6,11,8,1999
99RA00004, 8243,00,98,1,00,30,L-8,,3,2,2.5,Y,133,77,111,0.694,138,138,72,0.228,3.0,3.7,62,5.0,6.0,22.67,3.94,17.4,62,1,,3,2.41,117.5,A3480,04,A3932,04,169,194,0.292,1.0,,1,LIM,105,100,-,S1,A,,,,L-6a,,65,3,,0,E,,,,2,5,2,1999
99RA00005, 8280,00,98,1,00,07,L12,,2,2,3.0,Y,134,80,110,0.727,142,142,72,0.232,2.2,2.8,64,4.0,4.8,19.73,3.8,19.3,70,2,,3,1.98,97.6,S6748,10,S6749,10,170,194,0.286,1.0,FLWT:4.8,3,LIM,85,76,,S1,A,,,,,,,,,,,,,,3,6,3,1999
99RA00006, 8283,00,98,1,00,07,L13,,2,2,6.0,X,134,82,110,0.745,141,141,72,0.221,2.6,3.3,62,5.4,6.5,18.12,3.3,18.2,80,5,,5,1.47,87.0,S7359,10,S4011,10,0,0,0.0,1.0,"X, H5, UGLY",3,LIM,,,,,,,,,,,,,,,,,,,4,7,5,1999
99RA00007, 8319,00,98,1,00,06,L-5,,1,1,3.0,Y,135,103,109,0.945,185,185,72,0.307,3.2,4.0,58,8.6,10.4,23.71,4.7,19.8,60,1,,3-,1.53,91.2,K8958,63,K9019,63,225,194,0.387,1.0,NICE LIB S5,1,LIM,114,107,-,S5,AAA,,,,L-4a,,40,2,,10,Q,,,,3,4,2,1999
99RA00008, 8324,00,98,1,00,30,L-8,,2,2,2.5,Y,135,80,109,0.734,136,136,72,0.21,2.3,2.9,62,3.3,4.0,22.45,4.76,21.2,62,2,,2-,2.24,118.2,A3480,04,A3835,04,155,194,0.238,1.0,FLWT:4.0,3,LIM,96,78,,S1,A,,,,,,,,,,,,,,2,4,2,1999
99RA00009, 8353,00,98,1,00,43,L11,,1,1,6.0,Y,135,107,109,0.982,151,151,72,0.165,2.4,3.0,62,7.4,8.9,22.37,4.29,19.2,62,3,1,4+,1.57,95.5,S7529,10, 5099,,168,194,0.194,1.0,"H3,PIZZLE Rx",2,LIM,86,99,-,S2,AA,,218,,,,,,,,,,,_____,5,8,6,1999
99RA00010, 8357,00,98,1,00,07,L12,,2,1,6.5,Y,136,91,108,0.843,136,136,72,0.169,2.4,3.0,62,5.2,6.3,21.82,6.06,27.8,62,2,,3,1.57,92.9,S6748,10,S3397,10,161,194,0.222,1.0,NICE,3,LIM,74,84,,S3,AA,,,,,,,,,,,,,,5,8,5,1999
99RA00659,Z5198,81,98,1,00,10,AI,h,2,2,4.0,Y,122,72,97,0.616,149,149,0,0.264,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,1,,1.5,82.5,Z0000,97,T5088,44,188,194,0.341,1.0,ENTR,1,LIB,,,,,,,,Y,,,,,,,,,,,4,6,4,1999
99RA00660,Z5211,81,98,1,00,81,AI,h,3,1,3.0,Y,123,95,96,0.848,157,157,0,0.212,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,1,,2.0,100.0,Z0000,97,S6474,10,182,194,0.256,1.0,,1,LIB,,,,,,,,Y,,,,,,,,,,,2,6,4,1999
99RA00661,Z5219,81,98,1,00,82,AI,h,2,2,3.0,Y,123,75,96,0.668,167,167,0,0.315,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,1,,1.67,136.7,Z0000,97,T4996,44,197,194,0.359,1.0,,1,LIB,,,,,,,,,,,,,,,,,,,3,5,5,1999
99RA00662,Z5228,81,98,1,00,81,AI,h,1,1,3.0,Y,124,78,95,0.641,163,163,0,0.291,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,1,,1.67,121.7,Z0000,97,A3316,04,186,194,0.318,1.0,MR.BIG,1,LIB,,,,,,,,,,,,,,,,,,,3,5,5,1999
99RA00663,Z5234,81,98,1,00,81,AI,h,2,2,3.0,Y,124,82,95,0.705,147,147,0,0.223,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,1,,2.0,165.2,Z0000,97,A3445,04,185,194,0.303,1.0,,1,LIB,,,,,,,,Y,,,,,,,,,,,3,6,6,1999
99RA00664,Z5235,81,98,1,00,81,AI,h,2,2,3.0,Y,124,88,95,0.794,160,160,0,0.247,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,1,,2.0,165.2,Z0000,97,A3445,04,196,194,0.318,1.0,,1,LIB,,,,,,,,,,,,,,,,,,,3,6,6,1999
99RA00665,Z5236,81,98,1,00,81,AI,h,2,1,3.0,Y,124,85,95,0.752,179,179,0,0.322,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,1,,1.67,103.0,Z0000,97,S7714,10,218,194,0.391,1.0,ENTR,1,LIB,,,,,,,,,,,,,,,,,,,3,5,4,1999
99RA00666,Z5245,81,98,1,00,00,AI,h,2,2,2.0,Y,125,68,94,0.598,163,163,0,0.325,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,1,,1.5,131.0,Z0000,97,Z3942,81,197,194,0.379,1.0,,1,LIB,,,,,,,,,,,,,,,,,,,2,3,3,1999
99RA00667,Z5266,81,98,1,00,81,AI,h,2,2,2.0,Y,127,80,92,0.707,187,187,0,0.366,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,1,,1.5,132.5,Z0000,97,T5639,44,216,194,0.4,1.0,,1,LIB,,,,,,,,,,,,,,,,,,,2,3,3,1999
99RA00668,A4660,04,97,1,81,30,03,M,2,2,6.0,M,119,81,100,0.69,186,157,72,0.26,3.1,3.1,62,8.8,8.8,27.85,4.97,17.8,54,2,1,1-,1.92,134.5,A2146,04,L7459,03,0,0,0.288,2.0,DEAD 7/15,6,LBW,101,100,,S1,A,,,,,,,,,,,,,,6,11,10,1999
