UID,ETAG,BRD,YR,SEA,LINE,STM,PEN,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,FLGR,FLWT,YLD,CLFL,MICRON,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,EBVLWW_SIR,EBVSIR95,DAM,DBRD,EBVLWW_DAM,EBVDAM95,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,EBVLWW,EBVLWW95,M_IDX,F_IDX,WRK,LIB,LIBING,FERT,LOT,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,DEC6,YRREC
95RA00001, 1574,,92,1,TX,07,,C,,,0.0,,0,0,0,0.0,218,0,80,0.0,3.0,62,13.0,53.0,6.9,24.0,60,2,,3-,0.0,0.0,,,0.0,0.0,,,0.0,0.0,236,191,0.0,3.0,TEXAS RAM,2,CTL,0.0,0.0,,,W,S0,B,,137,,,,,,,YES,N,,,1995
95RA00002, 1957,,92,1,TX,07,,F,,,0.0,,0,0,0,0.0,187,0,80,0.0,3.3,64,11.5,55.5,6.4,18.18,80,7,,3,0.0,0.0,,,0.0,0.0,,,0.0,0.0,214,191,0.0,3.0,TEXAS RAM,2,FW,0.0,0.0,,,W,S2,AA,,139,,,,,,,YES,N,,,1995
95RA00003, 1958,,92,1,TX,07,,F,,,0.0,,0,0,0,0.0,212,0,80,0.0,3.7,60,12.3,55.3,6.8,22.27,62,7,,3,0.0,0.0,,,0.0,0.0,,,0.0,0.0,240,191,0.0,3.0,TEXAS RAM,2,FW,0.0,0.0,,,W,S3,AA,,138,,,,,,,YES,N,,,1995
95RA00004, 6139,,91,1,TX,07,,C,,,0.0,,0,0,0,0.0,226,0,80,0.0,3.1,60,13.2,45.5,6.0,24.85,60,7,,3+,0.0,0.0,,,0.0,0.0,,,0.0,0.0,247,191,0.0,4.0,TEXAS RAM,2,CTL,0.0,0.0,,,W,S3,AA,,140,,,,,,,YES,N,,,1995
95RA00005, 9217,,92,1,97,97,,,,,0.0,,0,0,0,0.0,256,0,,0.0,0.0,0,0.0,,,0.0,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,276,191,0.0,3.0,X AB JAW THIN,3,BF,0.0,0.0,,,W,S3,AA,,,,,,,,,,,,,1995
95RA00006,A0019,04,93,1,82,30,60,C,2,2,7.0,1,120,75,95,0.676,175,142,80,0.233,2.8,60,7.9,62.2,4.9,23.64,60,2,3,1-,1.89,122.5,L7239,03,23.59,18.46,L0517,03,15.11,13.98,205,191,0.257,2.0,,2,CTL,19.35,16.22,100,101,W,SP,B,,106,,,,,,,YES,R,,,1995
95RA00007,A0038,04,93,1,80,30,P04,M,3,2,4.0,2,121,74,96,0.69,170,128,80,0.189,3.1,56,8.2,54.3,4.5,27.0,54,2,3,2-,2.01,144.4,L6849,03,21.96,16.55,L5077,03,19.34,21.21,193,191,0.241,2.0,,2,LBW,20.65,18.88,108,97,W,S4,AAA,, 91,,,,,,,YES,C,,,1995
95RA00008,A0043,04,93,1,82,30,65,C,2,2,3.0,2,121,72,96,0.644,164,128,80,0.196,2.9,58,9.0,59.5,5.4,26.52,56,2,1,2+,2.17,115.2,L6872,03,21.27,18.48,L7254,03,14.57,10.07,191,191,0.235,2.0,,3,CTL,17.92,14.28,95,105,W,D3,DUD,,,,,,,,,,,,,1995
95RA00009,A0054,04,93,1,82,30,67,C,2,2,3.0,2,121,72,96,0.643,169,118,80,0.161,2.5,60,7.3,54.3,4.0,27.18,56,2,1,2-,2.17,127.5,L7042,03,14.61,5.67,L7288,03,16.32,15.94,191,191,0.218,2.0,"SM,SOFT TSTS",3,CTL,15.47,10.8,97,86,W,S3,AA,,,,,,,,,,,,,1995
95RA00010,A0057,04,93,1,82,30,67,C,2,2,3.0,2,122,66,95,0.6,184,127,80,0.214,2.7,60,6.6,63.9,4.2,25.84,58,2,2,2+,1.92,125.7,L7042,03,14.61,5.67,L7769,03,17.32,10.19,193,191,0.25,2.0,,2,CTL,15.97,7.93,99,91,W,SP,B,,101,,,,,,,YES,R,,,1995
