UID,ID10,ID,ETAG,BRD,YR,SEA,LINE,STM,PEN,GRP,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,ADJ_SL,FLGR,FLWT,ADJ_FLWT,FLRATIO,MICRON,SD,CV,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,DAM,DBRD,SAWT,SADAY,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,DNA,M_IDX,F_IDX,BOVIS,CODON171,LIB,LIBING,LIBBRDG,FERT,LOT,OLD_LOT,STUDY,STUDY2,ORIENT,RANK,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC,DISP,DAYDIS,IDZ65,ALTID,INBRL
06RA00323,, 5925,05925,,05,1,00,97,,,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,,,1.0,,1,,,,,,RR,S+,A+,STUD,100.0,19,,Term,,,1,W,60,,10,0,S,,,546025,,,,2006,,,0,IDX450-0035,0.0
06RA00324,, 5988,05988,,05,1,00,06,,,C,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281,,,,,1.0,NICE,1,,,,,,QR,S+,A+,STUD,90.0,08,,Term,,,1,W,60,,0,0,S,,,?,,,,2006,,,0,MT0218-0686,0.0
06RA00325,,03069,03069,,05,1,m3,m3,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,,,,,1.0,,1,,,,,,QR,S+,A+,STUD,100.0, 1,,Term,,,1,W,70,,0,0,S,,,,,,,2006,,,0,NE23-503069,0.0
06RA00326,,03192,03192,,05,1,m3,m3,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,,,,,1.0,,1,,,,,,RR,S+,A+,STUD,94.0, 2,,Term,,,1,W,70,,0,0,S,,,,,,,2006,,,0,NE23-503192,0.0
06RA00327,,03224,03224,,05,1,m3,m3,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,,,,,1.0,,6,,,,,,QR,S+,A+,STUD,88.0, 3,,Term,,,1,W,70,,15,0,S,,,,,,,2006,,,0,NE23-503224,0.0
06RA00328,,03293,03293,,05,1,m3,m3,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,,,,,1.0,,1,,,,,,QR,S+,A+,STUD,88.0, 4,,Term,,,1,W,65,,15,0,S,,,,,,,2006,,,0,NE23-503293,0.0
06RA00329,,03330,03330,,05,1,m3,m3,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,,,,,1.0,,1,,,,,,QR,S+,A+,STUD,100.0, 5,,Term,,,1,W,65,,0,0,S,,,,,,,2006,,,0,NE23-503330,0.0
06RA00330,,03436,03436,,05,1,m3,m3,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1.0,,3,,,,,,QR,D3,,,,XXX,,Term,,,,W,70,,0,0,S,,,,,,,2006,93,1009,0,NE23-503436,0.0
06RA00331,,03540,03540,,05,1,m3,m3,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,,,,,1.0,,1,,,,,,QR,,,,,alt,,Term,,,1,W,10,,20,0,U,,,,,,,2006,,,0,NE23-503540,0.0
06RA00332,,03636,03636,,05,1,m3,m3,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,,,,,1.0,,1,,,,,,QR,S+,A+,STUD,88.0, 6,,Term,,,1,W,65,,0,0,S,,,,,,,2006,,,0,NE23-503636,0.0
