UID,ETAG,BRD,YR,SEA,LINE,STM,PEN,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,FLGR,FLWT,YLD,CLFL,MICRON,STD,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,EBVLWW_SIR,EBVSIR95,DAM,DBRD,EBVLWW_DAM,EBVDAM95,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,EBVLWW,EBVLWW95,M_IDX,F_IDX,WRK,LIB,LIBING,FERT,LOT,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC
96RA00001,I4052,00,94,1,ID,02,,,2,2,5.0,M,0,0,0,0.0,196,0,74,0.0,3.2,62,10.6,,,21.55,3.59,64,1,1,2-,1.6,118.8,,,0.0,0.0,,,0.0,0.0,230,191,0.0,2.0,Isaacs Ram,1,IDA,0.0,0.0,,,,S1,A,94.0,415,W,50,3,10,0,S,,,,,,0,1996
96RA00002,A1031,04,94,1,82,30,26,C,2,2,4.0,M,107,87,114,0.675,174,143,74,0.196,4.1,60,8.0,,,25.47,4.14,58,2,1,2+,1.93,123.2,L8638,03,18.04,18.04,L7821,03,22.79,22.79,198,191,0.257,2.0,,2,CTL,20.42,0.0,95,106,,S2,AA,100.0,113,,,,,,,yes,R,,4,7,5,1996
96RA00003,A1030,04,94,1,82,30,26,C,2,2,4.0,M,107,76,114,0.58,187,141,74,0.227,3.9,60,8.8,,,26.33,4.44,58,2,3,1-,1.93,123.2,L8638,03,18.04,18.04,L7821,03,22.79,22.79,207,191,0.29,2.0,,2,CTL,20.42,0.0,98,108,,S5,AAA,100.0,112,,,,,,,yes,R,,4,7,5,1996
96RA00004,A1040,04,94,1,81,30,02,M,3,3,3.0,M,107,72,115,0.565,176,126,74,0.189,3.3,62,6.4,,,27.04,4.5,56,3,1,1-,2.21,147.2,L9337,03,17.69,17.69,L6831,03,28.9,28.9,209,191,0.278,2.0,JAW6 SCUR3,3,LBW,23.3,0.0,106,87,,S2,AA,93.0,03,,,,,,,,,,3,7,7,1996
96RA00005,A1063,04,94,1,82,30,29,C,2,2,3.0,M,108,83,113,0.632,196,151,74,0.238,3.3,60,9.2,,,27.29,5.4,56,1,1,2+,1.97,87.1,L8982,03,15.6,15.6,L8880,03,11.38,11.38,222,191,0.299,2.0,,3,CTL,13.49,0.0,84,104,,S3,AA,89.0,28,,,,,,,,,,3,5,2,1996
96RA00006,A1070,04,94,1,82,30,25,C,2,2,3.0,M,108,83,113,0.648,190,143,74,0.21,3.6,58,8.6,,,26.07,4.36,58,2,1,2,2.09,125.8,L8625,03,13.74,13.74,L8786,03,28.43,28.43,215,191,0.275,2.0,,2,CTL,21.09,0.0,104,104,,S4,AAA,100.0,116,,,,,,,yes,R,,3,6,5,1996
96RA00007,A1399,04,94,1,82,30,28,C,2,2,4.0,M,113,81,109,0.634,171,142,74,0.214,3.9,60,8.4,,,27.8,6.34,56,1,1,1-,2.37,131.7,L8913,03,12.68,12.68,L6643,03,19.02,19.02,186,191,0.263,2.0,,2,CTL,15.85,0.0,102,103,,S2,AA,90.0,115,,,,,,,yes,R,,4,10,6,1996
96RA00008,A1423,04,94,1,81,30,01,M,3,2,4.0,M,113,77,109,0.628,179,135,74,0.204,3.9,62,10.8,,,27.8,5.06,56,1,1,1-,2.04,143.3,L8774,03,9.82,9.82,L6679,03,29.98,29.98,213,191,0.269,2.0,,2,LBW,19.9,0.0,115,118,,S2,AA,86.0,110,,,,,,,yes,R,,4,8,7,1996
96RA00009,A1547,04,94,2,73,30,  9,L,2,1,7.0,*,232,72,107,0.568,0,0,73,0.0,0.0,60,5.2,,,0.0,0.0,60,1,1,,1.57,99.1,L9432,03,0.0,0.0,L2602,03,0.0,0.0,,,0.0,1.5,,2,-FL,0.0,0.0,119,,,S5,AAA,0.0,123,,,,,,,yes,R,,5,11,10,1996
96RA00010,A1558,04,94,2,73,30,  2,H,3,3,4.0,*,232,74,107,0.605,0,0,73,0.0,0.0,60,5.6,,,0.0,0.0,,,1,,0.75,37.5,L9477,03,0.0,0.0,L8218,03,0.0,0.0,,,0.0,1.5,TR=3!,3,-FL,0.0,0.0,66,,,S4,AAA,0.0,UTE,,,,,,,,,,1,3,3,1996
96RA00579,Z2857,81,94,1,97,97,971,,2,2,3.0,M,87,102,130,0.677,213,179,,0.266,0.0,0,0.0,,,0.0,0.0,,,2,,2.5,155.1,09217,SY,0.0,0.0,Z1466,81,0.0,0.0,253,191,0.336,2.0,,1,BF,0.0,0.0,,,,S3,AA,100.0,,C,60,3,25,0,S,,,,,,0,1996
96RA00580,Z2860,81,94,1,97,97,972,,2,1,2.0,M,87,126,130,0.888,193,157,,0.107,0.0,0,0.0,,,0.0,0.0,,,1,,1.5,78.0,Z0468,81,0.0,0.0,Z1288,81,0.0,0.0,222,191,0.168,2.0,,1,BF,0.0,0.0,,,,S2,AA,0.0,,C,60,3,25,0,S,,,,,,0,1996
96RA00581,Z2891,81,94,1,97,97,972,,2,2,6.0,M,90,114,127,0.797,205,143,,0.1,0.0,0,0.0,,,0.0,0.0,,,1,,1.5,136.2,Z0468,81,0.0,0.0,X7919,80,0.0,0.0,237,191,0.195,2.0,,1,BF,0.0,0.0,,,,S3,AA,0.0,,M,75,3,25,0,E,,,,,,0,1996
96RA00582,Z2872,81,94,1,97,97,971,,2,2,5.0,M,90,112,127,0.772,215,170,,0.2,0.0,0,0.0,,,0.0,0.0,,,1,,1.83,143.3,09217,SY,0.0,0.0,X9752,80,0.0,0.0,239,191,0.263,2.0,HI.EWE RECORD,1,BF,0.0,0.0,,,,S2,AA,0.0,,C,75,3,10,0,E,,,,,,0,1996
96RA00583,Z2879,81,94,1,97,97,971,,2,2,6.0,M,90,112,127,0.772,200,178,,0.228,0.0,0,0.0,,,0.0,0.0,,,2,,1.83,123.2,09217,SY,0.0,0.0,X8181,80,0.0,0.0,225,191,0.301,2.0,,1,BF,0.0,0.0,,,,S1,A,0.0,,M,70,4,10,0,E,,,,,,0,1996
96RA00584,Z2902,81,94,1,97,97,971,,2,2,6.0,M,93,101,124,0.718,210,148,,0.162,0.0,0,0.0,,,0.0,0.0,,,1,,2.0,177.6,09217,SY,0.0,0.0,X8284,80,0.0,0.0,246,191,0.292,2.0,HI.EWE RECORD,1,BF,0.0,0.0,,,,S2,AA,89.0,,C,70,4,10,0,E,,,,,,0,1996
96RA00585,Z2908,81,94,1,97,97,972,,2,2,3.0,M,94,111,123,0.798,221,153,,0.145,0.0,0,0.0,,,0.0,0.0,,,1,,1.5,116.0,Z0468,81,0.0,0.0,Z1324,81,0.0,0.0,249,191,0.248,2.0,,1,BF,0.0,0.0,,,,S4,AAA,97.0,,M,55,3,25,0,S,,,,,,0,1996
96RA00586,Z2936,81,94,1,97,97,972,,3,2,4.0,M,97,99,120,0.738,210,144,,0.155,0.0,0,0.0,,,0.0,0.0,,,1,,2.0,158.0,Z0468,81,0.0,0.0,Z0683,81,0.0,0.0,235,191,0.254,2.0,HI.EWE RECORD,1,BF,0.0,0.0,,,,S1,A,0.0,,C,75,4,10,0,E,,,,,,0,1996
96RA00587,Z2921,81,94,1,97,97,971,,3,1,5.0,M,95,120,122,0.884,210,166,,0.159,0.0,0,0.0,,,0.0,0.0,,,1,,2.33,117.3,09217,SY,0.0,0.0,X9773,80,0.0,0.0,245,191,0.233,2.0,,1,BF,0.0,0.0,,,,S3,AA,0.0,,C,50,3,10,9,S,,,,,,0,1996
96RA00588,Z2708,81,93,1,97,97,973,,1,1,3.0,M,125,74,85,0.732,218,150,,0.26,0.0,0,0.0,,,0.0,0.0,,,1,,1.5,148.8,X9670,80,0.0,0.0,Z1594,81,0.0,0.0,246,191,0.285,3.0,,1,BF,0.0,0.0,,,,S4,AAA,89.0,,W,70,3,25,0,S,,,,,,0,1996
