UID,ETAG,BRD,YR,SEA,LINE,STM,PEN,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,ADJ_SL,FLGR,FLWT,ADJ_FLWT,FLWT_RATIO,MICRON,SD,CV,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,DAM,DBRD,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,M_IDX,F_IDX,BOVIS,LIB,LIBING,FERT,LOT,NAX,LIM,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC
00RA00605,Z5729,81,99,1,ch,01,-0-,h,2,2,4.0,Y,105,69,118,0.481,135,135,69,0.232,0.0,0.0,60,6.2,6.9,0.0,0.0,0.0,0.0,0,,1,,2.0,158.3,T0000,44,S6468,10,157,193,0.263,1.0,ENTR,1,,,,-,S0,B,0.0,,Nax,,NT,,,,0,,,0,,4,8,8,2000
00RA00606,Z5745,81,99,1,ch,00,-0-,h,2,2,2.0,Y,106,83,117,0.625,130,130,69,0.165,0.0,0.0,62,5.4,6.0,0.0,0.0,0.0,0.0,0,,1,,1.5,118.0,T0000,44,Z4132,81,149,193,0.197,1.0,FIX BIG TAG**,1,,,,-,D1,B,0.0,,Nax,,NT,,,,0,,,0,,2,3,3,2000
00RA00607,Z5762,81,99,1,ch,32,-0-,h,2,2,5.0,Y,106,86,117,0.622,143,143,69,0.2,0.0,0.0,58,7.2,8.0,0.0,0.0,0.0,0.0,0,,1,,1.6,107.6,T0000,44,T4282,44,169,193,0.248,1.0,,1,,,,-,S1,A,0.0,,Nax,,NT,,,,0,,,0,,4,8,7,2000
00RA00608,Z5777,81,99,1,97,97,971,.,1,1,2.0,Y,107,104,122,0.737,206,206,0,0.366,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1,,1.48,94.3,Z3677,81,Z3998,81,247,193,0.435,1.0,alt for 972,1,BF,116,,-,S3,AA,0.0,e.0,,,CR,40,3,,0,S,,0,,1,1,1,2000
00RA00609,Z5818,81,99,1,ch,02,-0-,h,2,2,4.0,Y,109,71,112,0.534,146,146,69,0.261,0.0,0.0,62,6.0,6.7,0.0,0.0,0.0,0.0,0,,1,,1.5,119.3,T0000,44,T5010,44,174,193,0.306,1.0,,1,,,,-,D1,B,0.0,,Nax,,NT,,,,0,,,0,,3,6,6,2000
00RA00610,Z5819,81,99,1,ch,02,-0-,h,2,2,4.0,Y,109,71,112,0.515,146,146,69,0.261,0.0,0.0,60,5.4,6.1,0.0,0.0,0.0,0.0,0,,1,,1.5,119.3,T0000,44,T5010,44,180,193,0.323,1.0,,1,,,,-,D1,B,0.0,,Nax,,NT,,,,0,,,0,,3,6,6,2000
00RA00611,I9221,00,99,1,ID,02,,I,2,,0.0,Y,,,,,220,,,,,,62,,,,22.78,,,62,1,1,3,,, 7070,00, 7238,00,253,261,,1.0,Montana State,1,MSU,,,-,S4,AAA,0.0,41T,,,CR,60,3,,0,E,,1,,,,,2000
00RA00612,Z4799,81,98,1,00,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Z0000,97,A1240,04,,,,2.0,,1,LIB,,,-,S5,AAA,0.0,e.8,,,CR,50,3,,,E,,,,,,,2000
00RA00613,Z4800,81,98,1,00,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Z0000,97,A1240,04,,,,2.0,,1,LIB,,,-,S2,AA,0.0,ealt,,,CR,40,3,,5,S,,,,,,,2000
00RA00614,Z5042,81,98,1,00,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Z0000,97,A2283,04,,,,2.0,,1,LIB,,,-,S5,AAA,0.0,e.9,,,CR,65,3,,5,E,,,,,,,2000
