UID,YR,ETAG,LINE,STM,PEN,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,AADG,YRWT,DAYSH,YADG,SL,FLGR,YLD,FLWT,CLFL,MICRON,DIGR,H,J,F,NOBN,LBWN,SIRE,DAM,JUWT,JDAY,JADG,RMK,PD,INDEX,WRK,BRAND,LIB,LIBING,YRREC
92RA00001,90, 0A10,97,97,,3,2,0,M,22,0,0,0.0,237,135,0.0,0.0,48,0.0,9.2,0.0,0.0,,,,,0.0,0.0,,,269,194,0.0,CAESAR,1,0,W,red 1,S1,A,1992
92RA00002,89,K3884,60,06,601,2,2,7,M,91,101,129,0.723,238,135,0.283,10.0,56,45.1,20.6,9.3,28.9,54,1,3,3+,1.83,141.1,285463,979862,275,194,0.375,HI IDX,2,111,W,,S1,A,1992
92RA00003,89,K3925,63,06,631,2,1,2,M,93,118,126,0.725,240,135,0.215,11.7,58,49.3,17.4,8.6,28.9,54,1,3,2-,1.79,118.0,267563,246463,242,194,0.337,,2,100,W,,S4,AAA,1992
92RA00004,89,K3994,68,06,602,2,2,4,M,95,120,124,0.798,244,135,0.229,8.0,60,42.2,19.4,8.2,25.7,58,3,3,3+,1.55,116.6,273563,163663,253,194,0.301,SCUR3,2,89,W,,S4,AAA,1992
92RA00005,90,K4422,68,06,614,2,1,3,M,99,108,122,0.699,192,135,0.136,8.2,58,40.4,15.5,6.3,27.6,56,1,1,3,1.46,96.9,347263,271463,220,194,0.247,RCVR,2,89,W,,S1,A,1992
92RA00006,90,K4429,68,06,603,1,1,3,M,100,114,121,0.68,180,135,0.119,8.9,56,42.0,17.9,7.5,31.3,48,1,1,2-,1.79,124.3,313363,289463,222,194,0.229,,2,82,W,,S4,AAA,1992
92RA00007,90,K4449,68,06,616,2,2,3,M,101,102,120,0.735,212,135,0.196,7.5,58,37.8,19.3,7.3,25.5,58,2,1,3+,1.29,90.6,362563,289163,259,194,0.32,SIRES SHORTYS,3,115,W,,S1,A,1992
92RA00008,90,K4483,68,06,616,2,2,3,M,102,91,117,0.702,182,135,0.139,8.7,50,33.8,17.7,6.0,28.8,54,2,1,3+,1.6,124.9,362563,245963,211,194,0.255,,2,92,W,,D3,DUD,1992
92RA00009,90,K4525,68,06,612,1,1,3,M,103,95,116,0.604,200,135,0.188,8.1,58,38.0,16.8,6.4,24.5,60,1,1,3,1.66,106.1,314263,263963,233,194,0.285,,2,102,W,,S1,A,1992
92RA00010,90,K4533,68,06,604,2,2,5,M,103,87,116,0.661,188,135,0.167,8.2,56,46.9,15.8,7.4,26.5,56,1,1,3+,1.64,104.2,338663,145663,225,194,0.282,,2,101,W,,S1,A,1992
92RA00601,91,Z0664,97,97,297,2,1,3,M,97,125,115,0.793,148,135,0.08,0.0,48,0.0,6.4,,0.0,,,,,1.33,72.3,422480,562580,190,194,0.187,,1,75,W,,D1,B,1992
92RA00602,91,Z0692,97,97,197,2,2,4,X,101,97,111,0.765,137,135,0.139,0.0,48,0.0,6.6,,0.0,,,,,1.75,111.3,398880,401280,0,,0.0,DEAD 6-17-92,X,,,,,,1992
92RA00603,91,Z0801,97,97,397,2,2,2,M,109,92,103,0.827,139,135,0.163,0.0,48,0.0,6.5,,0.0,,,,,1.5,147.0,656980,824080,189,194,0.279,,1,122,W,red 3a,D1,B,1992
92RA00604,91,Z0829,97,97,597,1,1,1,M,110,96,102,0.835,127,135,0.108,0.0,48,0.0,7.5,,0.0,,,,,1.0,122.0,829280,012381,174,194,0.224,,1,99,W,,D1,B,1992
92RA00605,91,Z0858,97,97,397,3,2,5,M,111,89,101,0.746,133,135,0.153,0.0,48,0.0,4.6,,0.0,,,,,2.2,118.8,656980,145280,172,194,0.239,,1,103,W,,S1,A,1992
92RA00606,91,Z0859,97,97,397,3,2,5,M,111,91,101,0.723,136,135,0.156,0.0,48,0.0,6.0,,0.0,,,,,2.2,118.8,656980,145280,182,194,0.261,,1,109,W,red 4,S1,A,1992
92RA00607,91,Z0882,97,97,197,1,1,5,M,113,87,99,0.595,135,135,0.167,0.0,48,0.0,5.4,,0.0,,,,,1.8,133.6,398880,123380,165,194,0.224,,1,102,W,,D1,B,1992
92RA00608,91,Z0906,97,97,197,2,1,2,M,114,112,98,0.835,154,135,0.146,0.0,48,0.0,4.8,,0.0,,,,,1.0,61.0,398880,818180,211,194,0.284,,1,102,W,,S1,A,1992
92RA00609,91,Z0914,97,97,397,2,2,4,M,114,97,98,0.886,153,135,0.194,0.0,48,0.0,6.9,,0.0,,,,,1.0,98.3,656980,401380,206,194,0.313,,1,120,W,red 0a,D1,B,1992
92RA00610,91,Z0915,97,97,397,2,2,4,L,114,99,98,0.889,164,135,0.226,0.0,48,0.0,5.3,,0.0,,,,,1.0,98.3,656980,401380,199,194,0.287,RCVR,1,112,W,X,D1,B,1992
