UID,YR,BPEN,SIRE,BGRP,Y1,Y2,Y3,FERT,PROL
15FE00001,15,5,L0650,1,16,13,25,0.81,1.92
15FE00002,15,e17,R9554,4,28,17,21,0.61,1.24
15FE00003,15,24,R9757,1,29,27,50,0.93,1.85
15FE00004,15,e14,H8327,4,21,20,34,0.95,1.7
15FE00005,15,6,L0762,1,16,15,26,0.94,1.73
15FE00006,15,e15,R9194,4,27,22,30,0.81,1.36
15FE00007,15,BL,H8093,1,18,17,29,0.94,1.71
15FE00008,15,10,Z1488,1,18,18,34,1.0,1.89
15FE00009,15,7,L1175,1,15,11,17,0.73,1.55
15FE00010,15,13,H7424,1,26,26,60,1.0,2.31
15FE00011,15,21,R9425,1,31,30,57,0.97,1.9
15FE00012,15,11,Z1765,1,16,12,25,0.75,2.08
15FE00013,15,e10,Z1114,4,8,7,8,0.88,1.14
15FE00014,15,18,H8376,1,28,27,64,0.96,2.37
15FE00015,15,14,H7479,1,29,27,58,0.93,2.15
15FE00016,15,9,L1441,1,16,16,26,1.0,1.63
15FE00017,15,17,H8210,1,28,26,70,0.93,2.69
15FE00018,15,12,Z1788,1,18,18,36,1.0,2.0
15FE00019,15,16,H8061,1,28,28,69,1.0,2.46
15FE00020,15,e13,H8137,4,19,16,24,0.84,1.5
15FE00021,15,19,R8760,1,30,26,52,0.87,2.0
15FE00022,15,e23,T5017,4,22,12,14,0.55,1.17
15FE00023,15,33,T4891,2,28,15,30,0.54,2.0
15FE00024,15,29,T4387,2,29,27,47,0.93,1.74
15FE00025,15,26,R9841,1,33,32,63,0.97,1.97
15FE00026,15,4,Z1823,1,11,9,13,0.82,1.44
15FE00027,15,15,H7809,1,29,28,65,0.97,2.32
15FE00028,15,8,L1368,1,15,15,23,1.0,1.53
15FE00029,15,3,Z1702,1,11,9,19,0.82,2.11
15FE00030,15,20,R9327,1,31,29,55,0.94,1.9
15FE00031,15,22,R9596,1,29,28,48,0.97,1.71
15FE00032,15,25,R9829,1,29,27,54,0.93,2.0
15FE00033,15,e18,R9647,4,27,18,24,0.67,1.33
15FE00034,15,2,Z1598,1,11,10,17,0.91,1.7
15FE00035,15,1,Z1226,1,13,10,20,0.77,2.0
15FE00036,15,e12,H7543,4,20,19,33,0.95,1.74
15FE00037,15,23,R9597,1,26,26,46,1.0,1.77
15FE00038,15,28,T4366,2,30,29,49,0.97,1.69
15FE00039,15,30,T4825,2,29,29,57,1.0,1.97
15FE00040,15,31,T4776,2,30,28,52,0.93,1.86
15FE00041,15,e20,T4411,4,21,13,16,0.62,1.23
15FE00042,15,e19,T4336,4,19,14,18,0.74,1.29
15FE00043,15,e11,Z1184,4,8,7,9,0.88,1.29
15FE00044,15,e22,T4656,4,22,13,15,0.59,1.15
15FE00045,15,36,T5269,2,29,26,51,0.9,1.96
15FE00046,15,e16,R9928,4,29,18,22,0.62,1.22
15FE00047,15,32,T4854,2,28,27,54,0.96,2.0
15FE00048,15,35,T4950,2,30,28,53,0.93,1.89
15FE00049,15,27,T3862,2,29,28,51,0.97,1.82
15FE00050,15,34,T4948,2,29,28,56,0.97,2.0
15FE00051,15,e21,T4414,4,22,12,13,0.55,1.08
15FE00052,15,V1,Z0785,5,11,11,20,1.0,1.82
15FE00053,15,V2,Z2066,5,13,11,16,0.85,1.45
