UID,YR,BPEN,SIRE,BGRP,Y1,Y2,Y3,FERT,PROL
22FE00001,22,38,A0792,1,20,19,40,0.95,2.11
22FE00002,22,72,Y0154,5,34,31,59,0.91,1.9
22FE00003,22,30,L2491,1,20,18,32,0.9,1.78
22FE00004,22,56,S3226,2,23,21,43,0.91,2.05
22FE00005,22,61,S2766,2,22,20,36,0.91,1.8
22FE00006,22,23,L2221,1,15,12,19,0.8,1.58
22FE00007,22,26,L2438,1,18,15,28,0.83,1.87
22FE00008,22,10,Z7480,1,13,12,21,0.92,1.75
22FE00009,22,41,A1026,1,20,20,47,1.0,2.35
22FE00010,22,6,Z6433,1,12,10,15,0.83,1.5
22FE00011,22,9,Z6727,1,14,12,23,0.86,1.92
22FE00012,22,40,A0947,1,20,19,46,0.95,2.42
22FE00013,22,32,L2655,1,19,18,36,0.95,2.0
22FE00014,22,24,L2276,1,19,18,35,0.95,1.94
22FE00015,22,29,L2480,1,20,20,31,1.0,1.55
22FE00016,22,25,L2280,1,19,16,30,0.84,1.88
22FE00017,22,36,A0678,1,20,17,40,0.85,2.35
22FE00018,22,4,K5269,1,11,8,13,0.73,1.63
22FE00019,22,28,L2463,1,19,16,27,0.84,1.69
22FE00020,22,35,A0459,1,20,18,40,0.9,2.22
22FE00021,22,8,Z6572,1,12,10,17,0.83,1.7
22FE00022,22,11,Z7557,1,12,12,19,1.0,1.58
22FE00023,22,12,Z7671,1,13,12,17,0.92,1.42
22FE00024,22,1,K5336,1,13,13,25,1.0,1.92
22FE00025,22,22,L2208,1,17,15,25,0.88,1.67
22FE00026,22,33,L2672,1,20,19,35,0.95,1.84
22FE00027,22,21,Z6650,1,20,18,34,0.9,1.89
22FE00028,22,31,L2596,1,20,20,35,1.0,1.75
22FE00029,22,73,Y0155,5,35,32,72,0.91,2.25
22FE00030,22,13,Z7702,1,13,11,18,0.85,1.64
22FE00031,22,14,Z7780,1,13,11,19,0.85,1.73
22FE00032,22,39,A0851,1,19,16,42,0.84,2.63
22FE00033,22,17,Z9747,1,12,12,19,1.0,1.58
22FE00034,22,16,Z7916,1,11,10,17,0.91,1.7
22FE00035,22,7,Z6434,1,11,11,21,1.0,1.91
22FE00036,22,19,Z7663,1,13,13,24,1.0,1.85
22FE00037,22,2,K5356,1,20,19,40,0.95,2.11
22FE00038,22,18,Z7652,1,13,13,22,1.0,1.69
22FE00039,22,5,Z7693,1,10,9,14,0.9,1.56
22FE00040,22,20,Z7868,1,14,14,24,1.0,1.71
22FE00041,22,3,Z7944,1,7,7,12,1.0,1.71
22FE00042,22,BL,A0901,1,19,18,40,0.95,2.22
22FE00043,22,58,S2717,2,23,18,40,0.78,2.22
22FE00044,22,65,S3035,2,23,22,46,0.96,2.09
22FE00045,22,46,T7329,2,13,11,21,0.85,1.91
22FE00046,22,27,L2447,1,19,15,25,0.79,1.67
22FE00047,22,15,Z7825,1,13,12,25,0.92,2.08
22FE00048,22,71,S3138,2,24,23,51,0.96,2.22
22FE00049,22,53,T7689,2,15,11,23,0.73,2.09
22FE00050,22,70,S3136,2,24,20,45,0.83,2.25
22FE00051,22,63,S2793,2,22,21,42,0.95,2.0
22FE00052,22,43,T7228,2,14,13,24,0.93,1.85
22FE00053,22,69,S3096,2,24,22,46,0.92,2.09
22FE00054,22,60,S2756,2,22,21,41,0.95,1.95
22FE00055,22,57,S2555,2,23,22,39,0.96,1.77
22FE00056,22,52,T7636,2,15,14,27,0.93,1.93
22FE00057,22,54,T7690,2,15,15,34,1.0,2.27
22FE00058,22,47,T7474,2,14,12,24,0.86,2.0
22FE00059,22,66,S3036,2,24,24,46,1.0,1.92
22FE00060,22,42,T7226,2,14,8,17,0.57,2.13
22FE00061,22,59,S2730,2,23,20,44,0.87,2.2
22FE00062,22,64,S3022,2,23,22,50,0.96,2.27
22FE00063,22,50,T7605,2,14,11,26,0.79,2.36
22FE00064,22,48,T7503,2,14,12,22,0.86,1.83
22FE00065,22,68,S3083,2,24,22,44,0.92,2.0
22FE00066,22,55,S1967,2,22,19,41,0.86,2.16
22FE00067,22,49,T7543,2,14,14,25,1.0,1.79
22FE00068,22,62,S2784,2,23,18,39,0.78,2.17
22FE00069,22,45,T7280,2,14,14,29,1.0,2.07
22FE00070,22,34,A0397,1,21,11,22,0.52,2.0
22FE00071,22,67,S3077,2,23,21,42,0.91,2.0
22FE00072,22,44,T7258,2,13,10,18,0.77,1.8
22FE00073,22,51,T7618,2,14,13,27,0.93,2.08
