UID,YR,BPEN,SIRE,BGRP,Y1,Y2,Y3,FERT,PROL
17FE00001,17,e1,Z2458,4,31,20,25,0.65,1.25
17FE00002,17,e5,H8787,4,27,23,35,0.85,1.52
17FE00003,17,18,Z2945,1,11,8,12,0.73,1.5
17FE00004,17,43,H9233,1,26,25,59,0.96,2.36
17FE00005,17,34,Z4106,1,9,8,18,0.89,2.25
17FE00006,17,24,Z4100,1,23,20,37,0.87,1.85
17FE00007,17,7,L1549,1,20,18,31,0.9,1.72
17FE00008,17,38,H8715,1,26,22,51,0.85,2.32
17FE00009,17,14,L1721,1,19,19,39,1.0,2.05
17FE00010,17,16,Z2797,1,12,9,14,0.75,1.56
17FE00011,17,40,H8894,1,25,22,49,0.88,2.23
17FE00012,17,e4,H8507,4,27,21,34,0.78,1.62
17FE00013,17,41,H9065,1,26,26,61,1.0,2.35
17FE00014,17,e2,Z3203,4,30,19,21,0.63,1.11
17FE00015,17,39,H8840,1,26,23,56,0.88,2.43
17FE00016,17,23,Z4086,1,10,10,20,1.0,2.0
17FE00017,17,42,H9130,1,28,23,48,0.82,2.09
17FE00018,17,12,L1690,1,20,17,27,0.85,1.59
17FE00019,17,31,Z4103,1,8,8,16,1.0,2.0
17FE00020,17,21,Z3211,1,14,11,22,0.79,2.0
17FE00021,17,3,Z4109,1,8,6,10,0.75,1.67
17FE00022,17,20,Z2306,1,11,6,9,0.55,1.5
17FE00023,17,BL,Z3688,1,16,16,36,1.0,2.25
17FE00024,17,6,L1441,1,18,16,35,0.89,2.19
17FE00025,17,22,Z4085,1,10,9,15,0.9,1.67
17FE00026,17,5,L1339,1,19,17,36,0.89,2.12
17FE00027,17,e3,H8210,4,26,23,37,0.88,1.61
17FE00028,17,33,Z4105,1,10,9,18,0.9,2.0
17FE00029,17,10,L1665,1,19,19,40,1.0,2.11
17FE00030,17,29,Z3212,1,11,8,14,0.73,1.75
17FE00031,17,35,Z4108,1,10,9,18,0.9,2.0
17FE00032,17,2,Z2695,1,4,4,6,1.0,1.5
17FE00033,17,19,Z3202,1,10,10,22,1.0,2.2
17FE00034,17,4,Z4110,1,7,7,16,1.0,2.29
17FE00035,17,26,Z4102,1,13,12,22,0.92,1.83
17FE00036,17,47,T5932,2,19,16,33,0.84,2.06
17FE00037,17,13,L1701,1,19,19,37,1.0,1.95
17FE00038,17,11,L1676,1,19,17,31,0.89,1.82
17FE00039,17,15,Z2748,1,11,6,12,0.55,2.0
17FE00040,17,25,Z4101,1,12,8,15,0.67,1.88
17FE00041,17,17,Z2941,1,13,9,16,0.69,1.78
17FE00042,17,32,Z4104,1,9,6,10,0.67,1.67
17FE00043,17,36,K4942,1,18,16,31,0.89,1.94
17FE00044,17,30,Z4099,1,9,9,18,1.0,2.0
17FE00045,17,60,S0611,2,23,22,43,0.96,1.95
17FE00046,17,56,T6583,2,16,15,29,0.94,1.93
17FE00047,17,67,S0739,2,11,11,22,1.0,2.0
17FE00048,17,1,Z1559,1,3,3,6,1.0,2.0
17FE00049,17,28,Z3204,1,9,7,12,0.78,1.71
17FE00050,17,62,S0733,2,13,13,23,1.0,1.77
17FE00051,17,37,K4960,1,19,17,33,0.89,1.94
17FE00052,17,50,T6302,2,16,15,32,0.94,2.13
17FE00053,17,58,S0548,2,25,22,40,0.88,1.82
17FE00054,17,59,S0570,2,23,21,40,0.91,1.9
17FE00055,17,57,S0404,2,25,23,47,0.92,2.04
17FE00056,17,71,S1124,2,11,11,25,1.0,2.27
17FE00057,17,51,T6578,2,20,18,34,0.9,1.89
17FE00058,17,46,T5918,2,20,20,37,1.0,1.85
17FE00059,17,68,S0741,2,9,9,17,1.0,1.89
17FE00060,17,45,T5845,2,20,17,32,0.85,1.88
17FE00061,17,55,T6582,2,17,17,30,1.0,1.76
17FE00062,17,53,T6580,2,18,17,30,0.94,1.76
17FE00063,17,72,S1125,2,9,9,19,1.0,2.11
17FE00064,17,54,T6581,2,16,16,27,1.0,1.69
17FE00065,17,44,T5331,2,16,15,31,0.94,2.07
17FE00066,17,49,T6301,2,19,16,29,0.84,1.81
17FE00067,17,66,S0737,2,13,13,25,1.0,1.92
17FE00068,17,48,T6126,2,18,18,32,1.0,1.78
17FE00069,17,64,S0735,2,11,11,19,1.0,1.73
17FE00070,17,52,T6579,2,17,11,21,0.65,1.91
17FE00071,17,73,S1126,2,10,10,20,1.0,2.0
17FE00072,17,70,Z3206,2,14,13,25,0.93,1.92
17FE00073,17,65,S0736,2,10,10,20,1.0,2.0
17FE00074,17,63,S0734,2,12,12,23,1.0,1.92
17FE00075,17,69,S0742,2,11,10,20,0.91,2.0
17FE00076,17,61,S0668,2,23,16,35,0.7,2.19
17FE00077,17,27,Z4107,1,14,6,15,0.43,2.5
