UID,YR,BPEN,SIRE,BGRP,Y1,Y2,Y3,FERT,PROL
21FE00001,21,48,S1361,2,24,24,41,1.0,1.71
21FE00002,21,7,L2256,1,17,16,28,0.94,1.75
21FE00003,21,Kt1,Y0041,5,17,17,32,1.0,1.88
21FE00004,21,34,Z6473,1,28,25,43,0.89,1.72
21FE00005,21,11,L2335,1,17,15,24,0.88,1.6
21FE00006,21,18,Z6709,1,23,17,23,0.74,1.35
21FE00007,21,51,S1748,2,24,22,45,0.92,2.05
21FE00008,21,62,S2555,2,23,19,33,0.83,1.74
21FE00009,21,20,Z6841,1,23,22,37,0.96,1.68
21FE00010,21,27,A0459,1,26,23,49,0.88,2.13
21FE00011,21,58,S2175,2,25,25,42,1.0,1.68
21FE00012,21,24,A0013,1,27,26,60,0.96,2.31
21FE00013,21,19,Z6727,1,23,18,26,0.78,1.44
21FE00014,21,4,L2019,1,15,12,22,0.8,1.83
21FE00015,21,26,A0397,1,27,25,56,0.93,2.24
21FE00016,21,17,Z6434,1,20,17,30,0.85,1.76
21FE00017,21,21,Z6969,1,24,22,34,0.92,1.55
21FE00018,21,15,Z5423,1,20,19,33,0.95,1.74
21FE00019,21,14,Z7471,1,29,25,43,0.86,1.72
21FE00020,21,28,A0645,1,27,26,64,0.96,2.46
21FE00021,21,29,A0678,1,27,21,48,0.78,2.29
21FE00022,21,2,Z6515,1,17,17,27,1.0,1.59
21FE00023,21,32,K5269,1,26,24,48,0.92,2.0
21FE00024,21,16,Z6433,1,21,20,33,0.95,1.65
21FE00025,21,63,S2558,2,25,21,39,0.84,1.86
21FE00026,21,43,T7258,2,25,19,35,0.76,1.84
21FE00027,21,1,Z6695,1,7,6,11,0.86,1.83
21FE00028,21,13,L2356,1,18,18,32,1.0,1.78
21FE00029,21,9,L2280,1,18,15,28,0.83,1.87
21FE00030,21,30,A0699,1,27,24,57,0.89,2.38
21FE00031,21,6,L2232,1,18,17,31,0.94,1.82
21FE00032,21,3,Z6915,1,17,17,38,1.0,2.24
21FE00033,21,8,L2268,1,18,16,26,0.89,1.63
21FE00034,21,5,L2095,1,18,18,35,1.0,1.94
21FE00035,21,35,Z6513,1,28,26,50,0.93,1.92
21FE00036,21,25,A0390,1,25,23,55,0.92,2.39
21FE00037,21,31,M0050,1,28,24,56,0.86,2.33
21FE00038,21,BL,Z6945,1,21,19,34,0.9,1.79
21FE00039,21,38,T6983,2,24,22,41,0.92,1.86
21FE00040,21,10,L2286,1,19,18,30,0.95,1.67
21FE00041,21,12,L2341,1,19,18,34,0.95,1.89
21FE00042,21,56,S1967,2,25,22,44,0.88,2.0
21FE00043,21,53,S1808,2,24,23,43,0.96,1.87
21FE00044,21,23,K5320,1,23,20,40,0.87,2.0
21FE00045,21,54,S1872,2,25,21,39,0.84,1.86
21FE00046,21,52,S1751,2,25,24,50,0.96,2.08
21FE00047,21,47,T7690,2,26,23,44,0.88,1.91
21FE00048,21,42,T7235,2,25,21,37,0.84,1.76
21FE00049,21,39,T6996,2,24,21,37,0.88,1.76
21FE00050,21,46,T7689,2,25,22,42,0.88,1.91
21FE00051,21,33,K5299,1,27,11,22,0.41,2.0
21FE00052,21,57,S2055,2,24,23,46,0.96,2.0
21FE00053,21,49,S1612,2,25,20,36,0.8,1.8
21FE00054,21,50,S1673,2,24,23,45,0.96,1.96
21FE00055,21,40,T7226,2,22,20,34,0.91,1.7
21FE00056,21,41,T7228,2,24,21,40,0.88,1.9
21FE00057,21,59,S2179,2,25,22,39,0.88,1.77
21FE00058,21,55,S1878,2,24,22,42,0.92,1.91
21FE00059,21,44,T7280,2,23,22,42,0.96,1.91
21FE00060,21,45,T7329,2,24,22,41,0.92,1.86
21FE00061,21,37,L2276,5,26,25,51,0.96,2.04
21FE00062,21,61,S2385,2,25,20,36,0.8,1.8
21FE00063,21,36,L2211,5,25,25,51,1.0,2.04
21FE00064,21,60,S2209,2,24,22,40,0.92,1.82
21FE00065,21,Kt2,Y0040,5,20,19,36,0.95,1.89
21FE00066,21,22,K5268,1,21,1,3,0.05,3.0
