UID,YR,BPEN,SIRE,BGRP,Y1,Y2,Y3,FERT,PROL
20FE00001,20,15,Z5442,1,23,16,29,0.7,1.81
20FE00002,20,17,Z5635,1,21,18,33,0.86,1.83
20FE00003,20,2,L1934,1,17,15,31,0.88,2.07
20FE00004,20,23,A0714,1,19,19,42,1.0,2.21
20FE00005,20,24,A0715,1,17,16,40,0.94,2.5
20FE00006,20,11,Z7471,1,22,21,34,0.95,1.62
20FE00007,20,12,Z5264,1,21,19,39,0.9,2.05
20FE00008,20,28,M0031,1,19,16,40,0.84,2.5
20FE00009,20,5,L2041,1,17,16,31,0.94,1.94
20FE00010,20,6,L2046,1,18,15,32,0.83,2.13
20FE00011,20,13,Z5314,1,23,21,37,0.91,1.76
20FE00012,20,25,H9421,1,18,17,41,0.94,2.41
20FE00013,20,7,L2070,1,18,15,29,0.83,1.93
20FE00014,20,10,Z5261,1,20,20,40,1.0,2.0
20FE00015,20,21,A0209,1,20,19,45,0.95,2.37
20FE00016,20,16,Z5593,1,20,18,31,0.9,1.72
20FE00017,20,22,A0273,1,17,17,41,1.0,2.41
20FE00018,20,9,Z4867,1,19,19,37,1.0,1.95
20FE00019,20,27,H9784,1,18,17,36,0.94,2.12
20FE00020,20,26,H9684,1,19,19,45,1.0,2.37
20FE00021,20,BL,Z5202,1,19,18,41,0.95,2.28
20FE00022,20,1,L1902,1,17,16,34,0.94,2.13
20FE00023,20,8,L2095,1,16,15,30,0.94,2.0
20FE00024,20,20,A0013,1,18,15,35,0.83,2.33
20FE00025,20,29,K5180,1,28,26,52,0.93,2.0
20FE00026,20,19,K5242,1,25,23,40,0.92,1.74
20FE00027,20,30,K5193,1,28,26,50,0.93,1.92
20FE00028,20,4,L2036,1,15,12,22,0.8,1.83
20FE00029,20,3,L2029,1,15,13,24,0.87,1.85
20FE00030,20,14,Z5423,1,20,18,37,0.9,2.06
20FE00031,20,18,K5155,1,22,22,41,1.0,1.86
20FE00032,20,56,S1931,2,15,13,25,0.87,1.92
20FE00033,20,48,S1632,2,26,23,49,0.88,2.13
20FE00034,20,46,S1499,2,16,13,26,0.81,2.0
20FE00035,20,52,S1751,2,15,15,29,1.0,1.93
20FE00036,20,42,S1159,2,24,23,52,0.96,2.26
20FE00037,20,37,T7066,2,17,16,30,0.94,1.88
20FE00038,20,39,T7091,2,16,16,30,1.0,1.88
20FE00039,20,32,T6943,2,16,15,27,0.94,1.8
20FE00040,20,47,S1583,2,15,14,24,0.93,1.71
20FE00041,20,40,T7105,2,17,16,30,0.94,1.88
20FE00042,20,55,S1878,2,13,13,23,1.0,1.77
20FE00043,20,64,S1949,2,17,15,28,0.88,1.87
20FE00044,20,61,S1944,2,14,14,27,1.0,1.93
20FE00045,20,49,S1671,2,26,23,49,0.88,2.13
20FE00046,20,41,S1013,2,15,12,22,0.8,1.83
20FE00047,20,53,S1808,2,26,25,53,0.96,2.12
20FE00048,20,31,T6753,2,15,10,18,0.67,1.8
20FE00049,20,51,S1748,2,26,23,47,0.88,2.04
20FE00050,20,43,S1271,2,23,23,46,1.0,2.0
20FE00051,20,62,S1945,2,16,16,34,1.0,2.13
20FE00052,20,59,S1940,2,15,14,21,0.93,1.5
20FE00053,20,57,S1932,2,16,15,31,0.94,2.07
20FE00054,20,35,T6996,2,16,16,31,1.0,1.94
20FE00055,20,60,S1943,2,16,16,31,1.0,1.94
20FE00056,20,45,S1406,2,16,15,32,0.94,2.13
20FE00057,20,33,T6977,2,15,12,25,0.8,2.08
20FE00058,20,58,S1937,2,15,15,29,1.0,1.93
20FE00059,20,63,S1947,2,16,14,27,0.88,1.93
20FE00060,20,44,S1387,2,24,21,42,0.88,2.0
20FE00061,20,38,T7077,2,17,14,26,0.82,1.86
20FE00062,20,36,T7022,2,16,14,24,0.88,1.71
20FE00063,20,50,S1673,2,15,12,24,0.8,2.0
20FE00064,20,54,S1872,2,15,14,27,0.93,1.93
20FE00065,20,34,T6983,2,16,15,26,0.94,1.73
