UID,YR,BPEN,SIRE,BGRP,Y1,Y2,Y3,FERT,PROL
09FE00001,09,13,00001,1,20,19,32,0.95,1.68
09FE00002,09,40,00026,2,21,20,37,0.95,1.85
09FE00003,09,e20,00027,4,47,36,48,0.77,1.33
09FE00004,09,5,00027,1,15,15,25,1.0,1.67
09FE00005,09,12,00029,1,17,16,28,0.94,1.75
09FE00006,09,11,00057,1,17,16,28,0.94,1.75
09FE00007,09,29,00075,2,21,20,46,0.95,2.3
09FE00008,09,6,00091,1,13,11,19,0.85,1.73
09FE00009,09,38,00114,2,20,20,43,1.0,2.15
09FE00010,09,14,00249,1,23,19,37,0.83,1.95
09FE00011,09,36,00265,2,20,20,40,1.0,2.0
09FE00012,09,e21,00426,4,47,37,46,0.79,1.24
09FE00013,09,e11,00451,4,17,8,12,0.47,1.5
09FE00014,09,e6,00518,4,14,11,12,0.79,1.09
09FE00015,09,10,00535,1,21,19,36,0.9,1.89
09FE00016,09,17,00625,1,21,21,37,1.0,1.76
09FE00017,09,28,00632,2,21,21,49,1.0,2.33
09FE00018,09,30,00647,2,19,19,50,1.0,2.63
09FE00019,09,33,00712,2,19,17,40,0.89,2.35
09FE00020,09,34,00740,2,21,21,46,1.0,2.19
09FE00021,09,35,05359,2,22,20,41,0.91,2.05
09FE00022,09,e3,05988,4,24,14,16,0.58,1.14
09FE00023,09,e7,06137,4,13,8,9,0.62,1.13
09FE00024,09,37,07022,2,11,9,14,0.82,1.56
09FE00025,09,18,07027,1,21,20,35,0.95,1.75
09FE00026,09,31,07142,2,21,21,50,1.0,2.38
09FE00027,09,39,07234,2,17,17,37,1.0,2.18
09FE00028,09,32,07322,2,20,20,46,1.0,2.3
09FE00029,09,1,07621,1,6,6,10,1.0,1.67
09FE00030,09,2,07622,1,8,8,12,1.0,1.5
09FE00031,09,20,08110,1,26,25,44,0.96,1.76
09FE00032,09,42,20121,2,18,15,30,0.83,2.0
09FE00033,09,43,20123,2,19,18,35,0.95,1.94
09FE00034,09,44,20190,2,18,17,31,0.94,1.82
09FE00035,09,45,20224,2,21,20,39,0.95,1.95
09FE00036,09,46,20627,2,21,21,41,1.0,1.95
09FE00037,09,47,20676,2,19,18,34,0.95,1.89
09FE00038,09,48,20774,2,19,18,38,0.95,2.11
09FE00039,09,49,H2171,2,38,36,83,0.95,2.31
09FE00040,09,e17,H2270,4,26,23,32,0.88,1.39
09FE00041,09,e24,H2304,4,25,21,28,0.84,1.33
09FE00042,09,e23,H2490,4,29,23,36,0.79,1.57
09FE00043,09,50,H2789,2,40,37,78,0.93,2.11
09FE00044,09,e19,H3039,4,27,15,21,0.56,1.4
09FE00045,09,e22,H3126,4,24,18,25,0.75,1.39
09FE00046,09,61,H3144,2,36,35,67,0.97,1.91
09FE00047,09,51,H3215,2,38,35,76,0.92,2.17
09FE00048,09,52,H3271,2,35,32,74,0.91,2.31
09FE00049,09,53,H3424,2,30,29,66,0.97,2.28
09FE00050,09,e18,H3545,4,30,17,28,0.57,1.65
09FE00051,09,62,H3669,2,39,38,73,0.97,1.92
09FE00052,09,54,H3693,2,31,31,80,1.0,2.58
09FE00053,09,41,R5720,2,17,17,37,1.0,2.18
09FE00054,09,e15,R6183,4,20,14,18,0.7,1.29
09FE00055,09,55,R6372,2,31,31,67,1.0,2.16
09FE00056,09,56,R6519,2,29,28,55,0.97,1.96
09FE00057,09,57,R6538,2,28,27,52,0.96,1.93
09FE00058,09,58,R6683,2,30,28,58,0.93,2.07
09FE00059,09,e14,R6768,4,33,24,31,0.73,1.29
09FE00060,09,59,R6883,2,16,14,25,0.88,1.79
09FE00061,09,e16,R6942,4,32,20,21,0.63,1.05
09FE00062,09,60,R6996,2,35,33,68,0.94,2.06
09FE00063,09,22,T0931,1,31,29,50,0.94,1.72
09FE00064,09,23,T1203,1,37,35,65,0.95,1.86
09FE00065,09,24,T1319,1,20,17,22,0.85,1.29
09FE00066,09,25,T1609,1,31,30,54,0.97,1.8
09FE00067,09,26,T1620,1,30,29,52,0.97,1.79
09FE00068,09,27,T1765,1,35,34,63,0.97,1.85
09FE00069,09,4,K3673,1,14,14,26,1.0,1.86
09FE00070,09,9,K3878,1,18,17,31,0.94,1.82
09FE00071,09,7,K3919,1,16,13,19,0.81,1.46
09FE00072,09,e5,K3987,4,14,4,4,0.29,1.0
09FE00073,09,8,K4046,1,18,17,32,0.94,1.88
09FE00074,09,e12,K4048,4,18,11,11,0.61,1.0
09FE00075,09,e13,K4090,4,24,7,8,0.29,1.14
09FE00076,09,15,X3004,1,23,23,37,1.0,1.61
09FE00077,09,19,X3137,1,28,26,45,0.93,1.73
09FE00078,09,br1,X3980,1,7,6,12,0.86,2.0
09FE00079,09,e4,X4445,4,20,16,21,0.8,1.31
09FE00080,09,e10,X4731,4,18,9,11,0.5,1.22
09FE00081,09,16,X4987,1,22,22,39,1.0,1.77
09FE00082,09,e1,X5137,4,7,5,10,0.71,2.0
09FE00083,09,e9,X5140,4,16,10,13,0.63,1.3
09FE00084,09,3,X5177,1,8,8,16,1.0,2.0
09FE00085,09,21,X5886,1,20,17,29,0.85,1.71
09FE00086,09,e8,X6623,4,12,10,13,0.83,1.3
09FE00087,09,e2,X6825,4,14,10,14,0.71,1.4
