UID,YR,BPEN,SIRE,BGRP,Y1,Y2,Y3,FERT,PROL
11FE00001,11,34,T2648,1,34,30,50,0.88,1.67
11FE00002,11,33,T2482,1,33,29,49,0.88,1.69
11FE00003,11,14,X7402,1,24,24,41,1.0,1.71
11FE00004,11,35,T2718,1,33,28,43,0.85,1.54
11FE00005,11,29,T1926,1,35,32,55,0.91,1.72
11FE00006,11,26,T1609,1,26,25,44,0.96,1.76
11FE00007,11,e4,X5886,4,11,8,8,0.73,1.0
11FE00008,11,e20,H5183,4,23,17,22,0.74,1.29
11FE00009,11,e13,L0011,4,25,17,21,0.68,1.24
11FE00010,11,11,X7343,1,16,16,26,1.0,1.63
11FE00011,11,15,X7276,1,25,24,44,0.96,1.83
11FE00012,11,28,T1661,1,28,23,42,0.82,1.83
11FE00013,11,20,K4423,1,28,22,41,0.79,1.86
11FE00014,11,10,X6749,1,17,15,24,0.88,1.6
11FE00015,11,27,T2281,1,33,31,57,0.94,1.84
11FE00016,11,22,X7352,1,27,23,39,0.85,1.7
11FE00017,11,17,K4737,1,26,19,33,0.73,1.74
11FE00018,11,36,T2734,1,32,29,55,0.91,1.9
11FE00019,11,9,X7737,1,14,14,23,1.0,1.64
11FE00020,11,4,X6640,1,10,9,14,0.9,1.56
11FE00021,11,e18,K4044,4,22,10,11,0.45,1.1
11FE00022,11,6,X6217,1,16,14,25,0.88,1.79
11FE00023,11,e1,X7224,4,9,5,6,0.56,1.2
11FE00024,11,31,T2451,1,33,26,39,0.79,1.5
11FE00025,11,18,K4025,1,27,26,38,0.96,1.46
11FE00026,11,e9,X7287,4,16,9,9,0.56,1.0
11FE00027,11,23,X5140,1,33,30,52,0.91,1.73
11FE00028,11,12,H5144,1,19,18,30,0.95,1.67
11FE00029,11,13,X7353,1,19,16,29,0.84,1.81
11FE00030,11,e2,X7605,4,9,9,10,1.0,1.11
11FE00031,11,16,X7416,1,27,26,47,0.96,1.81
11FE00032,11,24,X7364,1,32,26,47,0.81,1.81
11FE00033,11,3,X7894,1,11,11,18,1.0,1.64
11FE00034,11,e7,X7702,4,13,7,8,0.54,1.14
11FE00035,11,e22,H5434,4,24,19,23,0.79,1.21
11FE00036,11,e11,X7303,4,18,12,14,0.67,1.17
11FE00037,11,25,X7440,1,33,30,51,0.91,1.7
11FE00038,11,21,T2424,1,30,24,42,0.8,1.75
11FE00039,11,30,T2224,1,35,28,51,0.8,1.82
11FE00040,11,61,R7690,2,30,27,48,0.9,1.78
11FE00041,11,5,K4312,1,16,14,28,0.88,2.0
11FE00042,11,e10,X7709,4,16,13,13,0.81,1.0
11FE00043,11,37,T2612,1,36,33,58,0.92,1.76
11FE00044,11,e14,L0022,4,25,15,19,0.6,1.27
11FE00045,11,e16,R7521,4,21,3,3,0.14,1.0
11FE00046,11,19,K4233,1,25,19,33,0.76,1.74
11FE00047,11,e12,L0018,4,22,12,14,0.55,1.17
11FE00048,11,1,X7326,1,10,10,16,1.0,1.6
11FE00049,11,e23,H4871,4,25,20,26,0.8,1.3
11FE00050,11,e5,X8575,4,10,4,4,0.4,1.0
11FE00051,11,7,X7321,1,18,15,28,0.83,1.87
11FE00052,11,e21,H5285,4,22,20,26,0.91,1.3
11FE00053,11,8,X7419,1,18,17,33,0.94,1.94
11FE00054,11,e15,R7507,4,20,8,9,0.4,1.13
11FE00055,11,66,H5142,2,36,33,80,0.92,2.42
11FE00056,11,64,H4663,2,34,31,69,0.91,2.23
11FE00057,11,2,X7486,1,9,9,14,1.0,1.56
11FE00058,11,52,H6528,2,23,22,49,0.96,2.23
11FE00059,11,32,T2566,1,34,31,55,0.91,1.77
11FE00060,11,e17,R7651,4,21,5,5,0.24,1.0
