UID,ID10,SEX,SHDAY,DAYSH,BGRP,BRD,ETAG,GRFL,GRADE,FLGR1,RMK,STM,AGE,SPWT,WTDAY,BAND,L,YEAR
02SH00052,1997446050,2,2002-03-04,63,O,44,T6050,7.6,60,4,,02,5.0,139,2002-05-30,5,0,02
02SH00053,1998446610,2,2002-03-04,63,O,44,T6610,12.0,58,5,,02,4.0,218,2002-05-30,5,0,02
02SH00054,1999046126,2,2002-03-04,63,O,04,A6126,8.2,60,4,,30,3.0,188,2002-05-30,5,0,02
02SH00055,1998045878,2,2002-03-04,63,O,04,A5878,6.0,56,6,,30,3.5,177,2002-05-30,5,0,02
02SH00056,1994104817,2,2002-03-04,63,O,10,S4817,8.6,62,3,,42,8.0,181,2002-05-30,5,0,02
02SH00057,1999046348,2,2002-03-04,63,O,04,A6348,9.4,56,6,,30,3.0,189,2002-05-30,5,0,02
02SH00058,1999091075,2,2002-03-04,63,O,09,91075,10.2,58,5,,07,3.0,152,2002-05-30,5,0,02
02SH00059,1994000250,2,2002-03-04,63,O,00, 5148,9.4,58,5,,00,8.0,204,2002-05-30,5,0,02
02SH00060,1995050480,2,2002-03-04,63,O,05,50480,10.2,62,3,,00,7.0,186,2002-06-05,5,0,02
02SH00061,1998045152,2,2002-03-04,63,O,04,A5152,6.6,62,3,,30,4.0,190,2002-05-30,5,0,02
02SH00062,1999046401,2,2002-03-04,63,O,04,A6401,5.4,58,5,,30,3.0,178,2002-05-30,5,0,02
02SH00063,1998045484,2,2002-03-04,63,O,04,A5484,9.2,58,5,,30,4.0,171,2002-05-30,5,0,02
02SH00064,1998109522,2,2002-03-04,63,O,10,S9522,11.8,62,3,,07,4.0,203,2002-06-27,5,0,02
02SH00065,1996639194,2,2002-03-04,63,O,63,K9194,9.0,58,5,,05,6.0,220,2002-06-27,5,0,02
02SH00066,1996638983,2,2002-03-04,63,O,63,K8983,7.6,58,5,,05,6.0,207,2002-05-30,5,0,02
02SH00067,1995444661,2,2002-03-04,63,O,44,T4661,6.0,60,4,,02,7.0,136,2002-06-27,5,0,02
02SH00068,1995638454,2,2002-03-04,63,O,63,K8454,11.6,58,5,,06,7.0,190,2002-05-30,5,0,02
02SH00069,1995444754,2,2002-03-04,63,O,44,T4754,9.4,58,5,,02,7.0,167,2002-05-30,5,0,02
02SH00070,1997814226,2,2002-03-04,63,O,81,Z4226,9.0,62,3,,00,5.0,195,2002-05-30,5,0,02
02SH00071,1997639743,2,2002-03-04,63,O,63,K9743,10.2,56,6,,06,5.0,221,2002-05-30,5,0,02
02SH00072,1999046554,2,2002-03-04,63,O,04,A6554,9.6,58,5,,30,3.0,218,2002-05-30,5,0,02
02SH00073,1998446835,2,2002-03-04,63,O,44,T6835,8.4,60,4,,02,4.0,148,2002-05-30,5,0,02
02SH00074,1995106110,2,2002-03-04,63,1,10,S6110,8.0,60,4,,07,7.0,165,2002-05-07,3,0,02
02SH00075,1995105552,2,2002-03-04,63,1,10,S5552,8.4,64,2,,07,7.0,178,2002-05-30,5,0,02
02SH00076,1998640432,2,2002-03-04,63,1,64,K0432,9.8,60,4,,06,4.0,196,2002-04-25,1,0,02
02SH00077,2000112078,2,2002-03-04,63,1,11,R2078,9.6,62,3,,07,2.0,133,2002-05-09,1,85,02
02SH00078,1997107873,2,2002-03-04,63,1,10,S7873,11.2,62,3,,43,5.0,151,2002-05-01,1,0,02
02SH00079,2000111707,2,2002-03-04,63,1,11,R1707,9.6,60,4,,07,2.0,186,2002-05-23,H,76,02
02SH00080,2000641089,2,2002-03-04,63,1,64,K1089,8.0,56,6,,06,2.0,147,2002-04-25,1,0,02
02SH00081,1996107026,2,2002-03-04,63,1,10,S7026,10.2,60,4,,43,6.0,148,2002-05-01,1,0,02
02SH00082,1998640384,2,2002-03-04,63,1,64,K0384,8.8,56,6,,06,4.0,183,2002-05-01,1,0,02
02SH00083,1997446257,2,2002-03-04,63,1,44,T6257,9.4,60,4,,02,5.0,161,2002-05-01,2,0,02
02SH00084,1996107511,2,2002-03-04,63,1,10,S7511,9.2,62,3,,07,6.0,195,2002-04-25,1,0,02
02SH00085,1995106040,2,2002-03-04,63,1,10,S6040,8.6,62,3,,07,7.0,160,2002-04-25,1,0,02
02SH00086,1996107245,2,2002-03-04,63,1,10,S7245,8.6,60,4,,07,6.0,180,2002-05-13,2,0,02
02SH00087,1998109423,2,2002-03-04,63,1,10,S9423,9.6,62,3,,07,4.0,157,2002-05-01,2,0,02
02SH00088,2000447743,2,2002-03-04,63,1,44,T7743,8.2,62,3,,02,2.0,157,2002-05-09,1,73,02
02SH00089,1996043516,2,2002-03-04,63,1,04,A3516,6.4,60,4,,31,6.0,141,2002-05-01,2,0,02
02SH00090,1999447045,2,2002-03-04,63,1,44,T7045,7.8,60,4,,02,3.0,164,2002-05-01,2,0,02
02SH00091,2000111255,2,2002-03-04,63,1,11,R1255,7.2,62,3,,07,2.0,160,2002-05-23,H,81,02
02SH00092,1999110514,2,2002-03-04,63,1,11,R0514,8.0,62,3,,07,3.0,141,2002-04-25,1,0,02
02SH00093,1998109202,2,2002-03-04,63,1,10,S9202,9.8,60,4,,07,4.0,150,2002-05-09,1,0,02
02SH00094,1997108035,2,2002-03-04,63,1,10,S8035,9.4,60,4,,43,5.0,155,2002-04-25,1,0,02
02SH00095,1995105532,2,2002-03-04,63,1,10,S5532,7.8,60,4,,07,7.0,170,2002-05-01,1,0,02
02SH00096,1999110679,2,2002-03-04,63,1,11,R0679,12.0,60,4,,07,3.0,162,2002-04-25,1,0,02
02SH00097,1995105827,2,2002-03-04,63,1,10,S5827,9.0,62,3,,07,7.0,148,2002-04-25,2,0,02
02SH00098,1996638601,2,2002-03-04,63,1,63,K8601,9.6,58,5,,06,6.0,167,2002-04-25,1,0,02
02SH00099,1996445506,2,2002-03-04,63,1,44,T5506,9.4,60,4,,02,6.0,165,2002-04-25,2,0,02
02SH00100,1999110340,2,2002-03-04,63,1,11,R0340,10.6,62,3,,43,3.0,133,2002-05-01,1,0,02
02SH00101,1998640545,2,2002-03-04,63,1,64,K0545,10.4,56,6,,06,4.0,154,2002-05-07,3,0,02
02SH00102,2000641074,2,2002-03-04,63,1,64,K1074,7.8,60,4,,06,2.0,156,2002-04-25,1,0,02
02SH00103,1998109294,2,2002-03-04,63,1,10,S9294,8.6,58,5,,07,4.0,137,2002-05-07,3,0,02
02SH00104,1997446220,2,2002-03-04,63,1,44,T6220,7.4,64,2,,02,5.0,147,2002-04-25,2,0,02
02SH00105,2000111483,2,2002-03-04,63,1,11,R1483,8.4,62,3,,07,2.0,123,2002-05-07,3,72,02
