UID,ID,DATE,DAY,KG,LBS,BCS,FLWT,GRFL
22SH00104,A0950,2022-02-10,41,80.0,176,4.5,70,7.0
22SH00105,A0954,2022-02-10,41,87.0,191,4.0,70,7.0
22SH00106,A0970,2022-02-10,41,81.5,179,4.5,80,8.0
22SH00107,A0974,2022-02-10,41,97.5,215,4.0,80,8.0
22SH00108,A0979,2022-02-10,41,77.5,171,4.5,60,6.0
22SH00109,A0980,2022-02-11,42,73.5,162,3.5,100,10.0
22SH00110,A0996,2022-02-10,41,78.5,173,4.5,80,8.0
22SH00111,A0997,2022-02-10,41,86.5,190,4.5,70,7.0
22SH00112,A0998,2022-02-10,41,79.5,175,4.5,70,7.0
22SH00113,A1002,2022-02-10,41,103.5,228,5.0,80,8.0
22SH00114,A1004,2022-02-11,42,99.0,218,4.0,110,11.0
22SH00115,A1005,2022-02-10,41,96.5,212,4.5,90,9.0
22SH00116,A1008,2022-02-10,41,93.0,205,4.0,70,7.0
22SH00117,A1016,2022-02-11,42,97.0,213,4.5,100,10.0
22SH00118,A1022,2022-02-10,41,85.5,188,4.0,90,9.0
22SH00119,A1025,2022-02-11,42,99.5,219,3.5,80,8.0
