UID,ETAG,DATE,KG,LBS,FLWT,GRFL,GRADE
21SH00452,L1791,2021-02-12,110,242,60,6.0,BF
21SH00453,L1800,2021-02-12,112,245,100,10.0,BF
21SH00454,L1801,2021-02-12,123,271,120,12.0,BF
21SH00455,L1802,2021-02-12,99,218,80,8.0,BF
21SH00456,L1815,2021-02-12,111,243,100,10.0,BF
21SH00457,L1822,2021-02-12,110,241,90,9.0,BF
21SH00458,L1823,2021-02-12,112,246,110,11.0,BF
21SH00459,L1835,2021-02-12,95,209,90,9.0,BF
21SH00460,L1845,2021-02-12,113,249,80,8.0,BF
21SH00461,L1846,2021-02-12,112,245,110,11.0,BF
21SH00462,L1848,2021-02-12,88,193,90,9.0,BF
21SH00463,L1857,2021-02-10,114,251,110,11.0,A4
21SH00464,L1884,2021-02-10,96,210,60,6.0,A4
21SH00465,L1889,2021-02-12,105,231,120,12.0,BF
21SH00466,L1895,2021-02-12,101,221,130,13.0,BF
21SH00467,L1903,2021-02-12,112,246,70,7.0,BF
21SH00468,L1907,2021-02-12,125,275,80,8.0,BF
21SH00469,L1912,2021-02-12,87,190,80,8.0,BF
21SH00470,L1920,2021-02-12,105,230,90,9.0,BF
21SH00471,L1936,2021-02-12,111,243,90,9.0,BF
21SH00472,L1937,2021-02-12,104,229,120,12.0,BF
21SH00473,L1939,2021-02-12,107,234,80,8.0,BF
21SH00474,L1947,2021-02-12,99,218,110,11.0,BF
21SH00475,L1949,2021-02-12,104,229,100,10.0,BF
21SH00476,L1954,2021-02-12,108,238,70,7.0,BF
21SH00477,L1957,2021-02-10,99,217,80,8.0,A4
21SH00478,L1964,2021-02-12,124,272,120,12.0,BF
21SH00479,L1974,2021-02-12,82,180,60,6.0,BF
21SH00480,L1975,2021-02-12,136,298,80,8.0,BF
21SH00481,L1982,2021-02-12,116,255,100,10.0,BF
21SH00482,L1983,2021-02-12,87,190,100,10.0,BF
21SH00483,L1987,2021-02-12,121,266,90,9.0,BF
21SH00484,L1989,2021-02-12,88,194,70,7.0,BF
21SH00485,L1991,2021-02-12,119,262,130,13.0,BF
21SH00486,L2013,2021-02-10,106,233,80,8.0,A4
21SH00487,L2019,2021-02-12,118,259,90,9.0,BF
21SH00488,L2025,2021-02-12,100,220,80,8.0,BF
21SH00489,L2027,2021-02-12,88,193,80,8.0,BF
21SH00490,L2028,2021-02-12,98,215,60,6.0,BF
21SH00491,L2030,2021-02-12,94,206,100,10.0,BF
21SH00492,L2033,2021-02-12,99,218,70,7.0,BF
21SH00493,L2034,2021-02-12,103,227,80,8.0,BF
21SH00494,L2044,2021-02-10,98,215,100,10.0,A4
21SH00495,L2046,2021-02-12,103,227,100,10.0,BF
21SH00496,L2047,2021-02-12,101,222,100,10.0,BF
21SH00497,L2048,2021-02-12,110,241,110,11.0,BF
21SH00498,L2049,2021-02-12,108,238,100,10.0,BF
21SH00499,L2051,2021-02-12,102,224,60,6.0,BF
21SH00500,L2056,2021-02-12,98,216,90,9.0,BF
21SH00501,L2060,2021-02-12,101,222,70,7.0,BF
21SH00502,L2062,2021-02-12,105,231,100,10.0,BF
21SH00503,L2063,2021-02-12,89,196,90,9.0,BF
21SH00504,L2066,2021-02-12,99,217,80,8.0,BF
21SH00505,L2067,2021-02-12,104,228,90,9.0,BF
21SH00506,L2074,2021-02-12,86,188,70,7.0,BF
21SH00507,L2078,2021-02-12,118,260,80,8.0,BF
21SH00508,L2080,2021-02-12,76,167,90,9.0,BF
21SH00509,L2083,2021-02-12,99,217,100,10.0,BF
21SH00510,L2084,2021-02-12,101,221,60,6.0,BF
21SH00511,L2087,2021-02-12,95,209,80,8.0,BF
21SH00512,L2089,2021-02-12,101,221,80,8.0,BF
21SH00513,L2094,2021-02-12,97,212,100,10.0,BF
21SH00514,L2095,2021-02-12,124,273,70,7.0,BF
21SH00515,L2099,2021-02-12,85,187,90,9.0,BF
21SH00516,L2104,2021-02-12,90,197,60,6.0,BF
21SH00517,L2106,2021-02-12,101,221,100,10.0,BF
21SH00518,L2116,2021-02-12,84,185,80,8.0,BF
21SH00519,L2121,2021-02-12,105,231,80,8.0,BF
21SH00520,L2122,2021-02-12,95,209,100,10.0,BF
21SH00521,L2123,2021-02-10,105,231,80,8.0,A4
21SH00522,L2125,2021-02-12,106,233,110,11.0,BF
21SH00523,L2130,2021-02-12,108,238,100,10.0,BF
21SH00524,L2131,2021-02-12,108,237,100,10.0,BF
21SH00525,L2132,2021-02-12,88,193,100,10.0,BF
21SH00526,L2137,2021-02-12,103,226,90,9.0,BF
21SH00527,L2138,2021-02-12,106,233,90,9.0,BF
21SH00528,L2142,2021-02-12,112,246,80,8.0,BF
21SH00529,L2144,2021-02-12,111,243,120,12.0,BF
21SH00530,L2147,2021-02-12,97,212,100,10.0,BF
21SH00531,L2161,2021-02-12,104,228,80,8.0,BF
21SH00532,L2166,2021-02-10,90,198,60,6.0,A2
21SH00533,L2176,2021-02-12,103,226,60,6.0,BF
21SH00534,L2184,2021-02-12,102,224,70,7.0,BF
21SH00535,L2186,2021-02-12,98,215,70,7.0,BF
21SH00536,L2188,2021-02-12,114,251,130,13.0,BF
21SH00537,L2189,2021-02-12,91,199,40,4.0,BL
21SH00538,L2190,2021-02-12,102,224,90,9.0,BF
21SH00539,L2191,2021-02-12,86,189,100,10.0,BF
21SH00540,L2203,2021-02-12,76,166,60,6.0,BF
21SH00541,L2207,2021-02-12,95,208,100,10.0,BF
21SH00542,L2208,2021-02-12,92,201,90,9.0,BF
21SH00543,L2209,2021-02-12,97,212,80,8.0,BF
21SH00544,L2210,2021-02-12,84,184,100,10.0,BF
21SH00545,L2211,2021-02-12,96,211,100,10.0,BF
21SH00546,L2212,2021-02-12,89,196,90,9.0,BF
21SH00547,L2213,2021-02-12,80,176,90,9.0,BF
21SH00548,L2216,2021-02-12,100,220,90,9.0,BF
21SH00549,L2220,2021-02-12,104,229,100,10.0,BF
21SH00550,L2221,2021-02-12,106,232,70,7.0,BF
21SH00551,L2222,2021-02-12,84,184,80,8.0,BF
21SH00552,L2225,2021-02-10,85,186,90,9.0,A4
21SH00553,L2226,2021-02-12,85,187,100,10.0,BF
21SH00554,L2228,2021-02-12,82,179,60,6.0,BF
21SH00555,L2231,2021-02-12,107,235,120,12.0,BF
21SH00556,L2232,2021-02-12,100,220,90,9.0,BF
21SH00557,L2233,2021-02-12,95,209,110,11.0,BF
21SH00558,L2234,2021-02-12,96,211,110,11.0,BF
21SH00559,L2236,2021-02-12,85,187,60,6.0,BF
21SH00560,L2240,2021-02-12,101,222,80,8.0,BF
21SH00561,L2241,2021-02-12,84,185,70,7.0,BF
21SH00562,L2242,2021-02-12,102,224,120,12.0,BF
21SH00563,L2244,2021-02-12,92,201,110,11.0,BF
21SH00564,L2247,2021-02-12,76,167,80,8.0,BF
21SH00565,L2248,2021-02-11,107,234,100,10.0,A
21SH00566,L2250,2021-02-12,105,230,100,10.0,BF
21SH00567,L2252,2021-02-12,103,226,50,5.0,BF
21SH00568,L2253,2021-02-12,90,197,70,7.0,BF
21SH00569,L2256,2021-02-12,105,230,70,7.0,BF
21SH00570,L2259,2021-02-12,108,238,120,12.0,BF
21SH00571,L2262,2021-02-12,98,216,120,12.0,BF
21SH00572,L2268,2021-02-12,111,244,130,13.0,BF
21SH00573,L2270,2021-02-12,94,207,100,10.0,BF
21SH00574,L2272,2021-02-12,83,182,100,10.0,BF
21SH00575,L2273,2021-02-12,94,207,90,9.0,BF
21SH00576,L2274,2021-02-12,111,244,80,8.0,BF
21SH00577,L2275,2021-02-10,89,195,100,10.0,A4
21SH00578,L2276,2021-02-12,113,248,130,13.0,BF
21SH00579,L2278,2021-02-10,95,209,90,9.0,A4
21SH00580,L2280,2021-02-12,107,235,150,15.0,BF
21SH00581,L2283,2021-02-12,91,199,90,9.0,BF
21SH00582,L2284,2021-02-12,93,205,110,11.0,BF
21SH00583,L2286,2021-02-12,101,222,130,13.0,BF
21SH00584,L2287,2021-02-11,112,246,120,12.0,A
21SH00585,L2291,2021-02-12,79,174,70,7.0,BF
21SH00586,L2293,2021-02-12,87,191,80,8.0,BF
21SH00587,L2297,2021-02-12,102,223,100,10.0,BF
21SH00588,L2298,2021-02-12,91,200,70,7.0,BF
21SH00589,L2300,2021-02-12,100,219,110,11.0,BF
21SH00590,L2301,2021-02-12,100,220,100,10.0,BF
21SH00591,L2302,2021-02-12,84,184,90,9.0,BF
21SH00592,L2304,2021-02-12,103,226,100,10.0,BF
21SH00593,L2305,2021-02-12,79,174,70,7.0,BF
21SH00594,L2306,2021-02-12,78,172,90,9.0,BF
21SH00595,L2307,2021-02-12,99,218,110,11.0,BF
21SH00596,L2310,2021-02-12,96,211,120,12.0,BF
21SH00597,L2311,2021-02-12,83,183,90,9.0,BF
21SH00598,L2312,2021-02-12,101,221,110,11.0,BF
21SH00599,L2315,2021-02-12,97,213,100,10.0,BF
21SH00600,L2318,2021-02-12,83,183,70,7.0,BF
21SH00601,L2321,2021-02-10,97,212,90,9.0,A4
21SH00602,L2323,2021-02-12,97,212,70,7.0,BF
21SH00603,L2324,2021-02-12,87,191,100,10.0,BF
21SH00604,L2327,2021-02-10,82,179,50,5.0,A4
21SH00605,L2328,2021-02-12,95,208,110,11.0,BF
21SH00606,L2330,2021-02-12,77,169,90,9.0,BF
21SH00607,L2334,2021-02-10,80,175,50,5.0,A2
21SH00608,L2335,2021-02-12,110,242,120,12.0,BF
21SH00609,L2337,2021-02-12,93,205,100,10.0,BF
21SH00610,L2338,2021-02-12,96,211,80,8.0,BF
21SH00611,L2340,2021-02-12,108,237,90,9.0,BF
21SH00612,L2341,2021-02-12,99,217,110,11.0,BF
21SH00613,L2343,2021-02-12,104,228,80,8.0,BF
21SH00614,L2345,2021-02-10,87,191,70,7.0,A2
21SH00615,L2349,2021-02-12,109,240,130,13.0,BF
21SH00616,L2354,2021-02-12,105,230,100,10.0,BF
21SH00617,L2356,2021-02-12,101,222,120,12.0,BF
21SH00618,L2358,2021-02-12,77,168,90,9.0,BF
21SH00619,L2364,2021-02-12,86,189,80,8.0,BF
21SH00620,L2367,2021-02-12,98,216,110,11.0,BF
21SH00621,L2368,2021-02-12,99,218,90,9.0,BF
21SH00622,L2369,2021-02-12,106,233,70,7.0,BF
21SH00623,L2370,2021-02-12,96,210,80,8.0,BF
21SH00624,L2371,2021-02-12,89,195,80,8.0,BF
21SH00625,L2372,2021-02-12,94,206,70,7.0,BF
21SH00626,L2374,2021-02-10,90,198,80,8.0,A2
21SH00627,L2376,2021-02-12,107,234,60,6.0,BF
21SH00628,L2384,2021-02-12,99,218,80,8.0,BF
21SH00629,L2389,2021-02-12,96,210,80,8.0,BF
21SH00630,L2390,2021-02-12,103,227,140,14.0,BF
21SH00631,L2391,2021-02-12,86,189,80,8.0,BF
21SH00632,L2398,2021-02-12,104,229,60,6.0,BF
21SH00633,L2401,2021-02-12,78,171,80,8.0,BF
21SH00634,L2402,2021-02-12,84,184,100,10.0,BF
21SH00635,L2408,2021-02-11,90,197,70,7.0,A
21SH00636,L2409,2021-02-12,92,202,80,8.0,BF
21SH00637,L2412,2021-02-12,86,189,80,8.0,BF
21SH00638,L2413,2021-02-12,103,226,80,8.0,BF
21SH00639,L2418,2021-02-12,103,227,90,9.0,BF
21SH00640,L2419,2021-02-10,100,220,80,8.0,A4
21SH00641,L2424,2021-02-12,75,165,70,7.0,BF
21SH00642,L2425,2021-02-12,64,141,80,8.0,BF
21SH00643,L2427,2021-02-12,78,171,80,8.0,BF
21SH00644,L2429,2021-02-12,70,153,80,8.0,BF
21SH00645,L2430,2021-02-11,65,142,50,5.0,YA
21SH00646,L2433,2021-02-12,86,188,80,8.0,BF
21SH00647,L2436,2021-02-12,71,156,70,7.0,BF
21SH00648,L2437,2021-02-12,86,188,50,5.0,BF
21SH00649,L2438,2021-02-12,85,186,70,7.0,BF
21SH00650,L2440,2021-02-12,70,153,70,7.0,BF
21SH00651,L2441,2021-02-12,79,173,80,8.0,BF
21SH00652,L2442,2021-02-12,73,161,80,8.0,BF
21SH00653,L2443,2021-02-12,59,130,80,8.0,BF
21SH00654,L2446,2021-02-12,80,176,70,7.0,BF
21SH00655,L2447,2021-02-12,80,176,80,8.0,BF
21SH00656,L2448,2021-02-12,60,132,80,8.0,BF
21SH00657,L2449,2021-02-12,70,154,70,7.0,BF
21SH00658,L2450,2021-02-12,68,150,90,9.0,BF
21SH00659,L2452,2021-02-12,66,145,60,6.0,BF
21SH00660,L2453,2021-02-12,83,182,80,8.0,BF
21SH00661,L2454,2021-02-12,60,131,80,8.0,BF
21SH00662,L2455,2021-02-12,67,147,80,8.0,BF
21SH00663,L2456,2021-02-12,63,138,60,6.0,BF
21SH00664,L2460,2021-02-12,70,154,50,5.0,BF
21SH00665,L2461,2021-02-12,79,173,90,9.0,BF
21SH00666,L2462,2021-02-12,72,157,80,8.0,BF
21SH00667,L2463,2021-02-12,80,176,70,7.0,BF
21SH00668,L2464,2021-02-12,87,191,80,8.0,BF
21SH00669,L2467,2021-02-12,82,179,80,8.0,BF
21SH00670,L2469,2021-02-12,59,130,80,8.0,BF
21SH00671,L2470,2021-02-12,64,141,80,8.0,BF
21SH00672,L2474,2021-02-12,72,157,80,8.0,BF
21SH00673,L2476,2021-02-12,89,196,60,6.0,BF
21SH00674,L2477,2021-02-12,80,176,80,8.0,BF
21SH00675,L2480,2021-02-12,82,180,90,9.0,BF
21SH00676,L2481,2021-02-12,80,175,80,8.0,BF
21SH00677,L2484,2021-02-12,68,150,80,8.0,BF
21SH00678,L2486,2021-02-12,78,171,70,7.0,BF
21SH00679,L2488,2021-02-12,68,150,80,8.0,BF
21SH00680,L2489,2021-02-12,71,155,80,8.0,BF
21SH00681,L2490,2021-02-12,76,167,60,6.0,BF
21SH00682,L2491,2021-02-12,85,187,50,5.0,BF
21SH00683,L2492,2021-02-12,81,178,70,7.0,BF
21SH00684,L2493,2021-02-12,63,139,60,6.0,BF
21SH00685,L2494,2021-02-12,84,184,80,8.0,BF
21SH00686,L2495,2021-02-12,77,168,80,8.0,BF
21SH00687,L2496,2021-02-12,63,139,70,7.0,BF
21SH00688,L2497,2021-02-12,63,139,70,7.0,BF
21SH00689,L2498,2021-02-12,66,144,50,5.0,BF
21SH00690,L2500,2021-02-12,73,160,60,6.0,BF
21SH00691,L2504,2021-02-12,79,173,70,7.0,BF
21SH00692,L2506,2021-02-12,76,167,80,8.0,BF
21SH00693,L2507,2021-02-12,66,145,80,8.0,BF
21SH00694,L2508,2021-02-12,76,166,90,9.0,BF
21SH00695,L2509,2021-02-12,77,169,60,6.0,BF
21SH00696,L2511,2021-02-12,75,164,100,10.0,BF
21SH00697,L2512,2021-02-11,83,182,70,7.0,YA
21SH00698,L2515,2021-02-12,76,167,80,8.0,BF
21SH00699,L2516,2021-02-12,80,176,80,8.0,BF
21SH00700,L2518,2021-02-12,79,173,80,8.0,BF
21SH00701,L2519,2021-02-11,67,146,80,8.0,YA
21SH00702,L2521,2021-02-12,66,144,70,7.0,BF
21SH00703,L2523,2021-02-12,72,158,70,7.0,BF
21SH00704,L2526,2021-02-12,77,169,120,12.0,BF
21SH00705,L2530,2021-02-12,74,163,70,7.0,BF
21SH00706,L2532,2021-02-12,56,122,50,5.0,BF
21SH00707,L2533,2021-02-12,64,140,50,5.0,BF
21SH00708,L2534,2021-02-12,81,178,80,8.0,BF
21SH00709,L2539,2021-02-12,67,147,60,6.0,BF
21SH00710,L2540,2021-02-12,67,147,60,6.0,BF
21SH00711,L2541,2021-02-12,74,162,70,7.0,BF
21SH00712,L2542,2021-02-12,73,160,80,8.0,BF
21SH00713,L2546,2021-02-12,64,140,70,7.0,BF
21SH00714,L2547,2021-02-12,70,154,60,6.0,BF
21SH00715,L2548,2021-02-12,72,158,50,5.0,BF
21SH00716,L2549,2021-02-12,67,147,50,5.0,BF
21SH00717,L2551,2021-02-12,79,173,70,7.0,BF
21SH00718,L2553,2021-02-12,78,172,70,7.0,BF
21SH00719,L2557,2021-02-12,59,130,60,6.0,BF
21SH00720,L2558,2021-02-12,64,140,80,8.0,BF
21SH00721,L2559,2021-02-12,64,141,60,6.0,BF
21SH00722,L2563,2021-02-12,87,191,90,9.0,BF
21SH00723,L2564,2021-02-12,74,163,70,7.0,BF
21SH00724,L2565,2021-02-12,74,162,70,7.0,BF
21SH00725,L2566,2021-02-12,66,144,70,7.0,BF
21SH00726,L2570,2021-02-12,63,138,60,6.0,BF
21SH00727,L2571,2021-02-12,70,154,70,7.0,BF
21SH00728,L2572,2021-02-12,76,167,70,7.0,BF
21SH00729,L2574,2021-02-12,66,145,60,6.0,BF
21SH00730,L2576,2021-02-12,59,130,70,7.0,BF
21SH00731,L2579,2021-02-12,91,200,90,9.0,BF
21SH00732,L2582,2021-02-12,61,134,60,6.0,BF
21SH00733,L2584,2021-02-12,64,140,70,7.0,BF
21SH00734,L2586,2021-02-12,69,152,70,7.0,BF
21SH00735,L2587,2021-02-12,74,163,70,7.0,BF
21SH00736,L2588,2021-02-12,65,143,70,7.0,BF
21SH00737,L2596,2021-02-12,70,153,70,7.0,BF
21SH00738,L2598,2021-02-12,66,144,60,6.0,BF
21SH00739,L2601,2021-02-12,61,134,80,8.0,BF
21SH00740,L2602,2021-02-12,58,128,80,8.0,BF
21SH00741,L2603,2021-02-12,67,147,80,8.0,BF
21SH00742,L2604,2021-02-12,84,184,80,8.0,BF
21SH00743,L2605,2021-02-12,69,152,40,4.0,BF
21SH00744,L2606,2021-02-11,73,160,60,6.0,YA
21SH00745,L2607,2021-02-12,70,153,80,8.0,BF
21SH00746,L2609,2021-02-12,69,151,80,8.0,BF
21SH00747,L2611,2021-02-12,64,140,90,9.0,BF
21SH00748,L2613,2021-02-12,71,155,70,7.0,BF
21SH00749,L2615,2021-02-12,85,186,70,7.0,BF
21SH00750,L2616,2021-02-12,69,152,90,9.0,BF
21SH00751,L2618,2021-02-12,68,150,50,5.0,BF
21SH00752,L2620,2021-02-12,62,135,60,6.0,BF
21SH00753,L2621,2021-02-12,69,152,70,7.0,BF
21SH00754,L2623,2021-02-12,57,125,80,8.0,BF
21SH00755,L2626,2021-02-12,57,125,50,5.0,BF
21SH00756,L2627,2021-02-12,70,153,80,8.0,BF
21SH00757,L2629,2021-02-12,76,167,70,7.0,BF
21SH00758,L2630,2021-02-12,70,153,70,7.0,BF
21SH00759,L2633,2021-02-12,56,123,70,7.0,BF
21SH00760,L2635,2021-02-12,70,154,60,6.0,BF
21SH00761,L2636,2021-02-12,63,138,60,6.0,BF
21SH00762,L2638,2021-02-12,70,153,70,7.0,BF
21SH00763,L2640,2021-02-12,72,157,60,6.0,BF
21SH00764,L2644,2021-02-12,73,160,80,8.0,BF
21SH00765,L2648,2021-02-12,87,191,80,8.0,BF
21SH00766,L2649,2021-02-12,57,125,90,9.0,BF
21SH00767,L2653,2021-02-12,59,129,60,6.0,BF
21SH00768,L2654,2021-02-12,75,164,100,10.0,BF
21SH00769,L2655,2021-02-12,73,160,80,8.0,BF
21SH00770,L2657,2021-02-12,61,133,60,6.0,BF
21SH00771,L2659,2021-02-12,65,142,80,8.0,BF
21SH00772,L2660,2021-02-12,58,128,80,8.0,BF
21SH00773,L2661,2021-02-12,63,138,60,6.0,BF
21SH00774,L2662,2021-02-12,56,122,50,5.0,BF
21SH00775,L2667,2021-02-12,74,162,60,6.0,BF
21SH00776,L2668,2021-02-12,62,136,80,8.0,BF
21SH00777,L2669,2021-02-12,74,162,70,7.0,BF
21SH00778,L2671,2021-02-11,70,154,60,6.0,YA
21SH00779,L2672,2021-02-12,75,164,60,6.0,BF
21SH00780,L2673,2021-02-11,76,166,70,7.0,YA
21SH00781,L2678,2021-02-12,62,136,60,6.0,BF
21SH00782,L2680,2021-02-12,71,156,40,4.0,BF
21SH00783,L2682,2021-02-12,72,157,60,6.0,BF
21SH00784,L2683,2021-02-12,80,176,60,6.0,BF
21SH00785,L2684,2021-02-12,73,160,60,6.0,BF
21SH00786,L2688,2021-02-12,62,135,60,6.0,BF
21SH00787,L2689,2021-02-12,59,130,60,6.0,BF
21SH00788,L2690,2021-02-12,83,183,80,8.0,BF
21SH00789,L2695,2021-02-12,66,145,60,6.0,BF
21SH00790,L2696,2021-02-12,52,114,60,6.0,BF
21SH00791,L2698,2021-02-12,73,160,60,6.0,BF
21SH00792,L2701,2021-02-12,57,125,60,6.0,BF
21SH00793,L2703,2021-02-12,66,145,60,6.0,BF
21SH00794,L2704,2021-02-12,67,146,90,9.0,BF
21SH00795,L2708,2021-02-12,56,123,50,5.0,BF
21SH00796,L2710,2021-02-12,62,136,60,6.0,BF
21SH00797,L2713,2021-02-12,72,158,60,6.0,BF
21SH00798,L2714,2021-02-12,62,135,70,7.0,BF
21SH00799,L2715,2021-02-12,58,128,60,6.0,BF
21SH00800,L2717,2021-02-12,80,176,90,9.0,BF
21SH00801,L2718,2021-02-12,62,136,70,7.0,BF
21SH00802,L2721,2021-02-12,75,165,80,8.0,BF
21SH00803,L2723,2021-02-12,69,151,70,7.0,BF
21SH00804,L2724,2021-02-12,62,135,60,6.0,BF
21SH00805,L2735,2021-02-12,70,154,80,8.0,BF
21SH00806,L2740,2021-02-12,72,157,80,8.0,BF
21SH00807,L2742,2021-02-12,67,146,60,6.0,BF
21SH00808,L2744,2021-02-12,74,163,60,6.0,BF
21SH00809,L2745,2021-02-12,66,144,50,5.0,BF
21SH00810,L2746,2021-02-12,65,142,50,5.0,BF
21SH00811,L2748,2021-02-12,58,128,60,6.0,BF
21SH00812,M0013,2021-02-10,100,219,130,13.0,A
21SH00813,M0014,2021-02-10,83,182,140,14.0,AA
21SH00814,M0019,2021-02-10,88,193,130,13.0,A
21SH00815,M0024,2021-02-10,87,190,50,5.0,A4
21SH00816,M0033,2021-02-10,89,196,90,9.0,A
21SH00817,M0036,2021-02-10,105,230,100,10.0,A
21SH00818,M0050,2021-02-11,113,248,180,18.0,AA
21SH00819,M0053,2021-02-12,92,201,80,8.0,BF
21SH00820,M0059,2021-02-12,99,217,140,14.0,BF
21SH00821,M0062,2021-02-12,104,228,90,9.0,BF
21SH00822,M0068,2021-02-10,90,197,100,10.0,A
21SH00823,M0075,2021-02-10,92,202,70,7.0,A2
21SH00824,M0081,2021-02-12,92,201,80,8.0,BF
21SH00825,M0084,2021-02-12,93,204,100,10.0,BF
21SH00826,M0087,2021-02-10,88,194,80,8.0,A4
21SH00827,M0089,2021-02-10,93,205,100,10.0,A4
21SH00828,M0097,2021-02-11,99,218,110,11.0,A
21SH00829,M0098,2021-02-10,91,200,110,11.0,A
21SH00830,M0100,2021-02-10,89,195,80,8.0,A2
21SH00831,M0113,2021-02-10,104,229,90,9.0,A2
21SH00832,M0125,2021-02-10,96,211,110,11.0,A2
21SH00833,M0128,2021-02-10,101,222,100,10.0,A4
21SH00834,M0132,2021-02-12,98,216,100,10.0,BF
21SH00835,M0144,2021-02-12,81,178,80,8.0,BF
21SH00836,M0149,2021-02-12,104,229,90,9.0,BF
21SH00837,M0154,2021-02-12,87,191,70,7.0,BF
21SH00838,M0158,2021-02-12,74,163,60,6.0,BF
21SH00839,M0159,2021-02-12,90,197,80,8.0,BF
21SH00840,M0162,2021-02-10,92,202,80,8.0,A2
21SH00841,M0163,2021-02-10,83,183,80,8.0,BF
21SH00842,M0166,2021-02-12,81,178,70,7.0,BF
21SH00843,M0168,2021-02-12,89,195,60,6.0,BF
21SH00844,M0172,2021-02-10,95,209,100,10.0,A4
21SH00845,M0174,2021-02-12,93,204,60,6.0,BF
21SH00846,M0180,2021-02-12,109,240,60,6.0,BF
21SH00847,M0182,2021-02-10,67,147,70,7.0,A4
21SH00848,M0183,2021-02-10,88,193,80,8.0,A
21SH00849,M0185,2021-02-12,98,216,100,10.0,BF
21SH00850,M0187,2021-02-10,97,212,80,8.0,A
21SH00851,M0191,2021-02-10,71,156,70,7.0,A
21SH00852,M0194,2021-02-12,85,186,70,7.0,BF
21SH00853,M0197,2021-02-12,85,186,90,9.0,BF
21SH00854,M0201,2021-02-10,70,153,70,7.0,A4
21SH00855,M0211,2021-02-12,90,198,70,7.0,BF
21SH00856,M0217,2021-02-10,78,172,80,8.0,A4
21SH00857,M0223,2021-02-10,83,183,70,7.0,A4
21SH00858,M0224,2021-02-10,76,166,60,6.0,A2
21SH00859,M0232,2021-02-12,82,179,70,7.0,BF
21SH00860,M0233,2021-02-12,79,173,90,9.0,BF
21SH00861,M0234,2021-02-10,87,190,80,8.0,A4
21SH00862,M0236,2021-02-12,92,202,70,7.0,BF
21SH00863,M0237,2021-02-10,99,218,80,8.0,A4
21SH00864,M0238,2021-02-12,80,175,70,7.0,BF
21SH00865,M0239,2021-02-12,88,193,100,10.0,BF
21SH00866,M0245,2021-02-10,77,168,70,7.0,A4
21SH00867,M0249,2021-02-10,78,172,90,9.0,A4
21SH00868,M0259,2021-02-12,83,183,70,7.0,BF
21SH00869,M0263,2021-02-12,98,215,80,8.0,BF
21SH00870,M0268,2021-02-12,99,217,100,10.0,BF
21SH00871,M0271,2021-02-10,76,167,60,6.0,A2
21SH00872,M0274,2021-02-12,78,171,80,8.0,BF
21SH00873,M0282,2021-02-10,75,164,90,9.0,A2
21SH00874,M0301,2021-02-10,69,152,70,7.0,A4
21SH00875,M0314,2021-02-12,90,197,60,6.0,BF
21SH00876,M0319,2021-02-10,78,172,70,7.0,A4
21SH00877,M0320,2021-02-10,82,179,80,8.0,A2
21SH00878,M0322,2021-02-12,89,196,90,9.0,BF
21SH00879,M0325,2021-02-10,88,194,60,6.0,A2
21SH00880,M0331,2021-02-10,73,161,70,7.0,A
21SH00881,M0349,2021-02-10,85,187,60,6.0,A4
21SH00882,M0350,2021-02-10,94,206,120,12.0,A4
21SH00883,M0353,2021-02-10,82,179,70,7.0,A2
21SH00884,M0356,2021-02-12,76,166,70,7.0,BF
21SH00885,M0357,2021-02-11,74,163,80,8.0,YA
21SH00886,M0366,2021-02-11,64,141,50,5.0,YA
21SH00887,M0370,2021-02-11,60,131,60,6.0,YA
21SH00888,M0372,2021-02-11,76,167,60,6.0,YAA
21SH00889,M0373,2021-02-11,69,151,50,5.0,YA
21SH00890,M0379,2021-02-11,78,172,70,7.0,YA
21SH00891,M0381,2021-02-11,60,131,50,5.0,YA
21SH00892,M0384,2021-02-12,61,133,60,6.0,BF
21SH00893,M0385,2021-02-11,75,164,60,6.0,YA
21SH00894,M0395,2021-02-12,63,139,50,5.0,BF
21SH00895,M0400,2021-02-11,80,175,60,6.0,YA
21SH00896,M0403,2021-02-11,73,161,60,6.0,YA
21SH00897,M0407,2021-02-11,58,127,50,5.0,YA
21SH00898,M0408,2021-02-11,59,129,60,6.0,YAA
21SH00899,M0412,2021-02-11,68,150,50,5.0,YA
21SH00900,M0419,2021-02-11,63,138,60,6.0,YA
21SH00901,M0434,2021-02-11,60,132,50,5.0,YA
21SH00902,M0445,2021-02-11,57,124,50,5.0,YA
21SH00903,M0452,2021-02-12,65,143,60,6.0,BF
21SH00904,M0469,2021-02-11,61,133,50,5.0,YA
21SH00905,M0470,2021-02-11,69,152,60,6.0,YA
21SH00906,M0474,2021-02-12,72,157,60,6.0,BF
21SH00907,M0490,2021-02-11,70,154,50,5.0,YA
21SH00908,M0503,2021-02-12,61,134,80,8.0,BF
21SH00909,M0513,2021-02-11,65,142,60,6.0,YA
21SH00910,M0517,2021-02-11,63,138,50,5.0,YA
21SH00911,M0533,2021-02-12,70,153,50,5.0,BF
21SH00912,M0554,2021-02-11,63,138,80,8.0,BF
21SH00913,M0562,2021-02-12,57,124,60,6.0,BF
21SH00914,M0563,2021-02-12,64,141,70,7.0,BF
21SH00915,R9998,2021-02-10,90,197,110,11.0,A
21SH00916,S0007,2021-02-10,96,211,110,11.0,A
21SH00917,S0009,2021-02-10,105,231,130,13.0,A
