UID,ETAG,DATE,KG,LBS,FLWT,GRFL,GRADE
21SH00050,A0311,2021-02-10,98,216,100,10.0,A4
21SH00051,A0313,2021-02-10,92,201,90,9.0,A4
21SH00052,A0322,2021-02-10,96,211,60,6.0,A2
21SH00053,A0327,2021-02-10,102,224,110,11.0,A4
21SH00054,A0350,2021-02-11,102,223,60,6.0,A
21SH00055,A0354,2021-02-11,90,197,100,10.0,A
21SH00056,A0356,2021-02-11,89,195,100,10.0,A4
21SH00057,A0363,2021-02-11,71,156,60,6.0,A
21SH00058,A0370,2021-02-11,73,161,70,7.0,AA
21SH00059,A0373,2021-02-11,80,176,90,9.0,A4
21SH00060,A0376,2021-02-11,91,199,90,9.0,A4
21SH00061,A0377,2021-02-11,67,146,80,8.0,A2
21SH00062,A0378,2021-02-11,104,229,100,10.0,A4
21SH00063,A0379,2021-02-11,116,255,100,10.0,AA
21SH00064,A0380,2021-02-11,83,183,100,10.0,A4
21SH00065,A0388,2021-02-11,87,190,90,9.0,A
21SH00066,A0389,2021-02-11,77,169,80,8.0,A
21SH00067,A0390,2021-02-11,98,216,90,9.0,A
21SH00068,A0393,2021-02-11,99,218,100,10.0,A4
21SH00069,A0395,2021-02-11,82,180,100,10.0,A4
21SH00070,A0397,2021-02-11,84,184,80,8.0,A
21SH00071,A0404,2021-02-11,79,173,80,8.0,A
21SH00072,A0407,2021-02-11,103,226,110,11.0,A
21SH00073,A0408,2021-02-11,91,199,120,12.0,A
21SH00074,A0416,2021-02-11,96,211,100,10.0,A
21SH00075,A0432,2021-02-11,84,185,120,12.0,A
21SH00076,A0433,2021-02-11,96,210,90,9.0,A
21SH00077,A0434,2021-02-11,65,142,90,9.0,A
21SH00078,A0435,2021-02-11,80,175,110,11.0,A
21SH00079,A0437,2021-02-11,78,171,90,9.0,A
21SH00080,A0443,2021-02-11,88,193,80,8.0,A
21SH00081,A0444,2021-02-11,91,199,70,7.0,A
21SH00082,A0446,2021-02-11,75,165,120,12.0,A
21SH00083,A0456,2021-02-11,82,179,100,10.0,A2
21SH00084,A0459,2021-02-11,103,227,90,9.0,A
21SH00085,A0460,2021-02-11,86,189,100,10.0,A4
21SH00086,A0471,2021-02-11,88,193,100,10.0,A4
21SH00087,A0473,2021-02-11,90,197,70,7.0,A
21SH00088,A0479,2021-02-11,81,178,90,9.0,A4
21SH00089,A0484,2021-02-11,87,191,110,11.0,A
21SH00090,A0498,2021-02-11,88,193,70,7.0,A
21SH00091,A0499,2021-02-11,88,194,100,10.0,A
21SH00092,A0506,2021-02-11,80,175,90,9.0,A4
