UID,ETAG,SEX,GRFL,FLWT,SHEAR_DATE
08SH00001,00029,1,7.8,78,2/20/08
08SH00002,00046,,0.0,0,
08SH00003,00057,1,12.0,120,2/20/08
08SH00004,00061,,4.0,40,2/20/08
08SH00005,00116,2,10.6,106,2/20/08
08SH00006,00148,2,9.4,94,2/20/08
08SH00007,00149,,0.0,0,
08SH00008,00197,2,8.8,88,2/18/08
08SH00009,00249,1,4.8,48,2/20/08
08SH00010,00426,1,6.4,64,2/20/08
08SH00011,00451,1,0.0,0,
08SH00012,00477,1,12.4,124,2/20/08
08SH00013,00483,2,7.8,78,2/20/08
08SH00014,00514,,12.8,128,2/20/08
08SH00015,00518,1,8.0,80,2/20/08
08SH00016,00535,1,12.8,128,2/20/08
08SH00017,00545,2,0.0,0,
08SH00018,00571,2,9.2,92,2/20/08
08SH00019,00584,1,0.0,0,
08SH00020,00589,2,7.6,76,2/20/08
08SH00021,00595,1,11.8,118,2/20/08
08SH00022,00625,1,0.0,0,
08SH00023,00629,,7.0,70,2/20/08
08SH00024,00633,,7.2,72,2/20/08
08SH00025,00639,1,4.2,42,2/20/08
08SH00026,00657,2,8.6,86,2/20/08
08SH00027,00661,1,0.0,0,
08SH00028,00677,2,12.0,120,2/18/08
08SH00029,00678,2,9.8,98,2/20/08
08SH00030,00690,,0.0,0,
08SH00031,00728,2,8.2,82,2/20/08
08SH00032,00816,2,11.6,116,2/20/08
08SH00033,00876,2,9.4,94,2/20/08
08SH00034,00901,1,9.4,94,2/20/08
08SH00035,00904,2,7.8,78,2/18/08
08SH00036,00976,2,12.0,120,2/18/08
08SH00037,01103,2,10.0,100,2/18/08
08SH00038,01161,2,9.0,90,2/18/08
08SH00039,01178,2,8.4,84,2/20/08
08SH00040,01257,2,12.2,122,2/20/08
08SH00041,01287,2,9.0,90,2/20/08
08SH00042,01417,2,10.2,102,2/20/08
08SH00043,01430,2,6.2,62,2/18/08
08SH00044,01470,2,7.8,78,2/19/08
08SH00045,01486,2,8.2,82,2/20/08
08SH00046,01499,2,11.8,118,2/20/08
08SH00047,02017,,0.0,0,
08SH00048,03006,2,0.0,0,
08SH00049,03011,,0.0,0,
08SH00050,03021,2,0.0,0,
08SH00051,03022,2,8.6,86,2/18/08
08SH00052,03034,2,0.0,0,
08SH00053,03036,2,7.8,78,2/18/08
08SH00054,03039,2,7.4,74,2/18/08
08SH00055,03045,2,0.0,0,
08SH00056,03058,2,6.8,68,2/18/08
08SH00057,03060,2,9.6,96,2/18/08
08SH00058,03066,2,9.0,90,2/20/08
08SH00059,03068,2,0.0,0,
08SH00060,03069,1,0.0,0,
08SH00061,03071,2,0.0,0,
08SH00062,03072,2,0.0,0,
08SH00063,03077,,0.0,0,
08SH00064,03078,2,0.0,0,
08SH00065,03083,2,5.8,58,2/18/08
08SH00066,03085,2,7.8,78,2/18/08
08SH00067,03098,2,0.0,0,
08SH00068,03100,2,0.0,0,
08SH00069,03101,2,0.0,0,
08SH00070,03101,2,8.4,84,2/20/08
08SH00071,03107,2,0.0,0,
08SH00072,03116,2,0.0,0,
08SH00073,03123,2,0.0,0,
08SH00074,03127,2,0.0,0,
08SH00075,03133,2,0.0,0,
08SH00076,03138,2,0.0,0,
08SH00077,03151,2,0.0,0,
08SH00078,03160,2,9.4,94,2/18/08
08SH00079,03172,2,0.0,0,
08SH00080,03178,2,0.0,0,
08SH00081,03180,2,0.0,0,
08SH00082,03191,2,0.0,0,
08SH00083,03192,1,0.0,0,
08SH00084,03193,2,0.0,0,
08SH00085,03194,2,0.0,0,
08SH00086,03205,2,0.0,0,
08SH00087,03207,2,0.0,0,
08SH00088,03221,2,0.0,0,
08SH00089,03234,2,0.0,0,
08SH00090,03235,2,0.0,0,
08SH00091,03250,2,0.0,0,
08SH00092,03275,2,0.0,0,
08SH00093,03288,2,0.0,0,
08SH00094,03293,1,0.0,0,
08SH00095,03300,2,0.0,0,
08SH00096,03312,2,0.0,0,
08SH00097,03332,2,0.0,0,
08SH00098,03345,,9.0,90,2/20/08
08SH00099,03363,,0.0,0,
08SH00100,03372,2,0.0,0,
08SH00101,03376,,0.0,0,
08SH00102,03389,2,0.0,0,
08SH00103,03396,2,0.0,0,
08SH00104,03404,,0.0,0,
08SH00105,03498,,0.0,0,
08SH00106,03593,,0.0,0,
08SH00107,04047,1,12.2,122,2/20/08
08SH00108,04249,1,10.6,106,2/20/08
08SH00109,05020,1,7.4,74,2/20/08
08SH00110,05028,1,4.8,48,2/20/08
08SH00111,05360,1,6.8,68,2/20/08
08SH00112,05434,1,12.6,126,2/20/08
08SH00113,05925,1,0.0,0,
08SH00114,05988,1,8.2,82,2/20/08
08SH00115,06137,1,8.8,88,2/20/08
08SH00116,07027,1,5.2,52,2/20/08
08SH00117,07621,1,0.0,0,
08SH00118,07622,1,0.0,0,
08SH00119,90053,2,6.0,60,2/20/08
08SH00120,90276,2,7.8,78,2/20/08
08SH00121,90638,2,12.8,128,2/18/08
08SH00122,90710,2,0.0,0,
08SH00123,90956,2,10.8,108,2/18/08
08SH00124,91009,2,8.8,88,2/20/08
08SH00125,91084,2,6.4,64,2/20/08
08SH00126,A5853,2,5.2,52,2/20/08
08SH00127,A5878,2,5.2,52,2/20/08
08SH00128,A5949,2,6.6,66,2/20/08
08SH00129,A6126,2,7.8,78,2/20/08
08SH00130,A6473,2,6.4,64,2/20/08
08SH00131,A6554,2,9.2,92,2/20/08
08SH00132,A6567,2,9.2,92,2/20/08
08SH00133,A6723,2,7.4,74,2/20/08
08SH00134,A6922,2,0.0,0,
08SH00135,A7069,2,5.0,50,2/18/08
08SH00136,A7395,2,7.8,78,2/20/08
08SH00137,A8198,2,6.6,66,2/19/08
08SH00138,A8219,2,7.2,72,2/19/08
08SH00139,A8223,2,6.6,66,2/18/08
08SH00140,A8226,2,0.0,0,
08SH00141,A8236,2,6.2,62,2/19/08
08SH00142,A8274,2,7.8,78,2/19/08
08SH00143,A8283,2,8.8,88,2/19/08
08SH00144,A8294,2,4.6,46,2/19/08
08SH00145,A8295,2,6.4,64,2/19/08
08SH00146,A8310,2,7.8,78,2/19/08
08SH00147,A8373,2,7.0,70,2/20/08
08SH00148,A8380,2,5.0,50,2/19/08
08SH00149,A8386,2,8.6,86,2/19/08
08SH00150,A8394,2,4.8,48,2/19/08
08SH00151,A8399,2,6.8,68,2/20/08
08SH00152,A8404,2,6.0,60,2/19/08
08SH00153,A8405,2,5.0,50,2/19/08
08SH00154,A8413,2,8.2,82,2/20/08
08SH00155,A8414,2,7.4,74,2/19/08
08SH00156,A8443,2,6.4,64,2/19/08
08SH00157,A8460,2,0.0,0,
08SH00158,A8498,2,6.2,62,2/19/08
08SH00159,A8505,2,7.6,76,2/19/08
08SH00160,A8616,2,6.2,62,2/19/08
08SH00161,A8643,2,5.8,58,2/20/08
08SH00162,A8662,2,5.6,56,2/19/08
08SH00163,A8668,2,9.4,94,2/20/08
08SH00164,A8670,2,4.4,44,2/19/08
08SH00165,A8671,2,6.6,66,2/20/08
08SH00166,A8678,2,9.8,98,2/20/08
08SH00167,A8682,2,4.0,40,2/20/08
08SH00168,A8767,2,6.2,62,2/19/08
08SH00169,A8770,2,0.0,0,
08SH00170,A8780,2,6.8,68,2/20/08
08SH00171,A8790,2,6.0,60,2/19/08
08SH00172,A8801,2,7.8,78,2/20/08
08SH00173,A8804,2,7.2,72,2/20/08
08SH00174,A8812,2,6.6,66,2/20/08
08SH00175,A8863,2,0.0,0,
08SH00176,A8916,2,6.2,62,2/19/08
08SH00177,A9034,2,5.8,58,2/19/08
08SH00178,A9062,2,7.8,78,2/19/08
08SH00179,A9091,2,7.2,72,2/20/08
08SH00180,A9119,2,7.6,76,2/19/08
08SH00181,A9134,2,5.4,54,2/19/08
08SH00182,A9235,2,8.2,82,2/20/08
08SH00183,A9293,2,8.4,84,2/20/08
08SH00184,A9348,2,7.4,74,2/20/08
08SH00185,A9359,2,4.4,44,2/19/08
08SH00186,A9410,2,5.2,52,2/19/08
08SH00187,A9432,2,7.6,76,2/20/08
08SH00188,A9458,2,5.4,54,2/19/08
08SH00189,A9471,2,6.6,66,2/19/08
08SH00190,A9511,2,6.6,66,2/19/08
08SH00191,A9545,2,5.2,52,2/19/08
08SH00192,A9599,2,8.0,80,2/19/08
08SH00193,A9608,2,5.8,58,2/19/08
08SH00194,A9641,2,0.0,0,
08SH00195,A9667,2,7.8,78,2/19/08
08SH00196,A9715,2,8.0,80,2/19/08
08SH00197,A9761,2,5.0,50,2/19/08
08SH00198,A9841,2,8.2,82,2/19/08
08SH00199,A9876,2,4.2,42,2/19/08
08SH00200,A9891,2,6.6,66,2/20/08
08SH00201,H0407,2,7.8,78,2/20/08
08SH00202,H0419,2,5.4,54,2/19/08
08SH00203,H0432,2,6.0,60,2/19/08
08SH00204,H0439,2,8.0,80,2/19/08
08SH00205,H0478,2,9.0,90,2/19/08
08SH00206,H0484,2,7.6,76,2/19/08
08SH00207,H0495,2,7.2,72,2/19/08
08SH00208,H0564,2,7.4,74,2/19/08
08SH00209,H0570,2,7.2,72,2/19/08
08SH00210,H0591,2,7.8,78,2/18/08
08SH00211,H0601,2,8.8,88,2/19/08
08SH00212,H0614,2,0.0,0,
08SH00213,H0629,2,5.2,52,2/19/08
08SH00214,H0639,2,5.8,58,2/19/08
08SH00215,H0640,2,7.6,76,2/19/08
08SH00216,H0643,2,5.6,56,2/19/08
08SH00217,H0652,2,7.0,70,2/18/08
08SH00218,H0653,2,7.4,74,2/19/08
08SH00219,H0671,2,7.8,78,2/19/08
08SH00220,H0675,2,9.2,92,2/20/08
08SH00221,H0684,2,6.6,66,2/19/08
08SH00222,H0702,2,6.4,64,2/19/08
08SH00223,H0747,2,0.0,0,
08SH00224,H0755,2,5.0,50,2/19/08
08SH00225,H0762,2,8.8,88,2/19/08
08SH00226,H0780,2,6.8,68,2/19/08
08SH00227,H0793,2,9.2,92,2/20/08
08SH00228,H0824,2,5.6,56,2/19/08
08SH00229,H0825,2,4.0,40,2/19/08
08SH00230,H0833,2,3.8,38,2/19/08
08SH00231,H0834,2,8.0,80,2/19/08
08SH00232,H0850,2,7.6,76,2/19/08
08SH00233,H0853,2,0.0,0,
08SH00234,H0867,2,7.8,78,2/20/08
08SH00235,H0871,2,5.4,54,2/19/08
08SH00236,H0873,2,4.8,48,2/19/08
08SH00237,H0876,2,4.8,48,2/19/08
08SH00238,H0883,2,7.8,78,2/20/08
08SH00239,H0884,2,4.2,42,2/19/08
08SH00240,H0888,2,4.8,48,2/19/08
08SH00241,H0891,2,6.4,64,2/19/08
08SH00242,H0892,2,5.2,52,2/19/08
08SH00243,H0896,2,5.4,54,2/19/08
08SH00244,H0906,2,7.4,74,2/19/08
08SH00245,H0912,2,6.6,66,2/19/08
08SH00246,H0951,2,5.0,50,2/19/08
08SH00247,H0954,2,6.2,62,2/19/08
08SH00248,H0960,2,8.8,88,2/19/08
08SH00249,H0977,2,6.6,66,2/19/08
08SH00250,H0987,2,8.2,82,2/19/08
08SH00251,H0988,2,4.8,48,2/19/08
08SH00252,H0990,2,8.8,88,2/19/08
08SH00253,H1006,2,3.8,38,2/19/08
