UID,LAMB,SEX,BRWT,GRFL,FLWT,BAND,WDAY,LOT,RMK,ADG,DISP
13SH00001,H3194,2,0,7.6,76,,51,30,Band 2 Ewe,0,6
13SH00002,H4680,2,0,0.0,0,,,30,Band 2 Ewe,0,6
13SH00003,H6510,2,0,3.4,34,,50,30,Band 2 Ewe,0,0
13SH00004,H7208,2,0,3.0,30,,50,30,Band 2 Ewe,0,0
13SH00005,K4230,2,0,0.0,0,,,06,Dead?,0,6
13SH00006,K4776,2,0,7.8,78,,51,06,Band 1 Ewe,0,0
13SH00007,L0264,2,0,6.2,62,,52,PC,Band 1 Ewe,0,0
13SH00008,L0535,2,0,0.0,0,,,PC,Band 1 Ewe,0,6
13SH00009,L0600,1,0,5.2,52,,51,PC,Yrlng Ram,0,0
13SH00010,L0767,2,0,5.6,56,,52,PC,Open EL,0,0
13SH00011,L0794,2,0,0.0,0,,,PC,Open EL,0,6
13SH00012,L0832,2,0,3.8,38,,52,PC,Pregnant EL,0,0
13SH00013,R5660,2,0,0.0,0,,,07,Band 2 Ewe,0,6
13SH00014,R8670,2,0,0.0,0,,,07,Dead?,0,6
13SH00015,R9300,1,0,0.0,0,,,07,Yrlng Ram,0,7
13SH00016,T3248,2,0,7.7,77,,50,02,Band 1 Ewe,0,0
13SH00017,T3568,2,0,7.8,78,,50,02,Band 1 Ewe,0,0
13SH00018,T3664,2,0,8.8,88,,50,02,Band 1 Ewe,0,0
13SH00019,T3666,2,0,0.0,0,,,02,Band 1 Ewe,0,0
13SH00020,T3810,2,0,0.0,0,,,02,Band 1 Ewe,0,0
13SH00021,T4221,1,0,0.0,0,,,02,Yrlng Ram,0,7
13SH00022,T4241,1,0,0.0,0,,,02,Yrlng Ram,0,0
13SH00023,T4624,1,0,0.0,0,,,02,Yrlng Ram,0,0
13SH00024,X7283,2,0,0.0,0,,,CS,CS Band 1 Ewe,0,6
13SH00025,X8885,2,0,5.8,58,,50,C3,C3 Band 1 Ewe,0,0
13SH00026,Z0969,2,0,4.4,44,,52,S3,S3 Pregnant EL,0,0
13SH00027,Z0984,2,0,5.0,50,,52,S3,S3 Pregnant EL,0,0
13SH00028,K4782,2,0,8.2,82,,50,06,Band 1 Ewe,0,0
13SH00029,T2873,2,0,7.0,70,,50,02,Band 1 Ewe,0,0
13SH00030,T1522,2,0,7.8,78,,50,02,Band 1 Ewe,0,0
13SH00031,T3604,2,0,6.8,68,,50,02,Band 1 Ewe,0,0
13SH00032,T3897,2,0,6.6,66,,50,02,Band 1 Ewe,0,0
13SH00033,K4832,2,0,3.8,38,,50,06,Band 1 Ewe,0,0
13SH00034,T2610,2,0,8.8,88,,50,02,Band 1 Ewe,0,0
13SH00035,K4029,2,0,7.0,70,,50,06,Band 1 Ewe,0,0
13SH00036,K4802,2,0,6.7,67,,50,06,Band 1 Ewe,0,0
13SH00037,T1091,2,0,7.0,70,,50,02,Band 1 Ewe,0,0
13SH00038,T2694,2,0,9.7,97,,50,02,Band 1 Ewe,0,0
13SH00039,T3231,2,0,6.7,67,,50,02,Band 1 Ewe,0,0
13SH00040,T3620,2,0,9.2,92,,50,02,Band 1 Ewe,0,0
13SH00041,K4341,2,0,8.7,87,,50,06,Band 1 Ewe,0,0
