UID,ID,SEX,FLWT,GRFL,DAY,STM,RMK
19SH00001,A0002,2,48,4.8,45,30,.
19SH00002,A0003,2,78,7.8,45,30,.
19SH00003,A0005,2,70,7.0,45,30,.
19SH00004,A0006,2,60,6.0,45,30,.
19SH00005,A0007,2,62,6.2,45,30,.
19SH00006,A0009,2,72,7.2,45,30,.
19SH00007,A0012,1,72,7.2,49,30,Scurs
19SH00008,A0013,1,82,8.2,49,30,Nice!
19SH00009,A0016,2,66,6.6,45,30,.
19SH00010,A0017,2,62,6.2,45,30,.
19SH00011,A0023,2,58,5.8,45,30,.
19SH00012,A0024,2,56,5.6,45,30,.
19SH00013,A0025,2,58,5.8,45,30,HAIRY
19SH00014,A0026,2,62,6.2,45,30,PINK
19SH00015,A0030,2,52,5.2,45,30,.
19SH00016,A0032,2,60,6.0,45,30,PINK
19SH00017,A0035,2,50,5.0,45,30,.
19SH00018,A0036,1,46,4.6,49,30,Scurs
19SH00019,A0038,1,44,4.4,49,30,Scurs
19SH00020,A0039,1,74,7.4,49,30,Scurs
19SH00021,A0049,2,68,6.8,45,30,PINK
19SH00022,A0051,1,68,6.8,49,30,Scurs
19SH00023,A0052,2,52,5.2,45,30,PINK
19SH00024,A0056,2,56,5.6,45,30,2ND
19SH00025,A0059,2,67,6.7,45,30,.
19SH00026,A0060,2,58,5.8,45,30,.
19SH00027,A0061,2,58,5.8,45,30,PINK
19SH00028,A0064,1,70,7.0,49,30,Scurs
19SH00029,A0066,2,64,6.4,45,30,.
19SH00030,A0069,2,60,6.0,45,30,.
19SH00031,A0070,2,58,5.8,45,30,.
19SH00032,A0072,2,72,7.2,45,30,PINK.UGLY
19SH00033,A0073,2,82,8.2,45,30,.
19SH00034,A0074,2,58,5.8,45,30,.
19SH00035,A0076,2,60,6.0,45,30,.
19SH00036,A0077,2,56,5.6,45,30,.
19SH00037,A0078,2,60,6.0,45,30,.
19SH00038,A0081,2,60,6.0,45,30,.
19SH00039,A0089,2,66,6.6,45,30,.
19SH00040,A0093,1,64,6.4,49,30,.
19SH00041,A0094,2,70,7.0,45,30,.
19SH00042,A0100,1,58,5.8,49,30,Scurs
19SH00043,A0103,2,56,5.6,45,30,ScoursTx
19SH00044,A0106,2,52,5.2,45,30,RespTx
19SH00045,A0107,1,66,6.6,49,30,Scurs
19SH00046,A0110,2,64,6.4,45,30,.
19SH00047,A0112,1,66,6.6,49,30,Scurs
19SH00048,A0113,2,62,6.2,45,30,.
19SH00049,A0118,1,68,6.8,49,30,Scurs
19SH00050,A0120,2,44,4.4,45,30,.
19SH00051,A0121,2,50,5.0,45,30,.
19SH00052,A0124,2,86,8.6,45,30,.
19SH00053,A0128,2,58,5.8,45,30,ScoursTx
19SH00054,A0132,2,60,6.0,45,30,2ND.UGLY
19SH00055,A0134,2,74,7.4,45,30,PINK.EARS
19SH00056,A0136,2,68,6.8,45,30,.
19SH00057,A0137,2,56,5.6,45,30,.
19SH00058,A0142,2,52,5.2,45,30,.
19SH00059,A0144,2,56,5.6,45,30,NWBLameRF
19SH00060,A0148,2,56,5.6,45,30,.
19SH00061,A0149,2,74,7.4,45,30,IncRR&TempTx
19SH00062,A0152,1,78,7.8,49,30,.
19SH00063,A0155,2,56,5.6,45,30,UGLY
19SH00064,A0156,1,74,7.4,49,30,ScursPinkEyes
19SH00065,A0158,2,46,4.6,45,30,PINK  ScoursT
19SH00066,A0159,2,94,9.4,45,30,.
19SH00067,A0163,2,54,5.4,45,30,PINK
19SH00068,A0164,2,60,6.0,45,30,.
19SH00069,A0167,2,54,5.4,45,30,HAIRY
19SH00070,A0168,2,80,8.0,45,30,.
19SH00071,A0170,2,58,5.8,45,30,PINK
19SH00072,A0173,2,72,7.2,45,30,ScoursTx
19SH00073,A0175,2,88,8.8,45,30,.
19SH00074,A0177,1,80,8.0,49,30,Horns
19SH00075,A0179,2,44,4.4,45,30,HAIRY
19SH00076,A0184,2,64,6.4,45,30,.
19SH00077,A0186,2,66,6.6,45,30,PINK
19SH00078,A0187,2,66,6.6,45,30,.
19SH00079,A0188,2,60,6.0,45,30,HAIRY
19SH00080,A0189,2,86,8.6,45,30,.
19SH00081,A0192,2,30,3.0,45,30,.
19SH00082,A0193,2,78,7.8,45,30,.
19SH00083,A0196,2,64,6.4,45,30,.
19SH00084,A0197,1,66,6.6,49,30,Nice!
19SH00085,A0198,2,54,5.4,45,30,UGLY
19SH00086,A0199,2,66,6.6,45,30,.
19SH00087,A0202,2,48,4.8,45,30,.
19SH00088,A0203,2,82,8.2,45,30,.
19SH00089,A0207,2,60,6.0,45,30,.
19SH00090,A0209,1,56,5.6,49,30,.
19SH00091,A0210,2,66,6.6,45,30,.
19SH00092,A0211,1,56,5.6,49,30,Scurs
19SH00093,A0214,2,68,6.8,45,30,.
19SH00094,A0216,2,52,5.2,45,30,.
19SH00095,A0217,1,62,6.2,49,30,Scurs
19SH00096,A0221,2,58,5.8,45,30,.
19SH00097,A0223,2,62,6.2,45,30,.
19SH00098,A0224,2,78,7.8,45,30,.
19SH00099,A0226,2,72,7.2,45,30,.
19SH00100,A0227,2,76,7.6,45,30,.
19SH00101,A0230,1,64,6.4,49,30,.
19SH00102,A0231,1,50,5.0,49,30,Scurs
19SH00103,A0232,2,84,8.4,45,30,.
19SH00104,A0234,2,60,6.0,45,30,PINK
19SH00105,A0235,2,84,8.4,45,30,.
19SH00106,A0236,2,64,6.4,45,30,.
19SH00107,A0239,2,58,5.8,45,30,.
19SH00108,A0240,2,52,5.2,45,30,.
19SH00109,A0244,2,80,8.0,45,30,.
19SH00110,A0246,2,56,5.6,45,30,.
19SH00111,A0251,2,84,8.4,45,30,.
19SH00112,A0252,1,64,6.4,49,30,Scurs
19SH00113,A0253,2,46,4.6,45,30,.
