UID,ID10,BRD,ETAG,GRFL,GRADE,FLGR1,SEX,SHDAY,DAYSH,GROUP,BGRP,RMK
05SH00021,2000111231,11,R1231,11.4,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00022,2003050692,05,H0692,10.2,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00023,2003050557,05,H0557,12.2,54,7,1,2005-03-15,74,MATURE RAM,M,
05SH00024,2002113029,11,R3029,12.8,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00025,2002449140,44,T9140,14.6,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00026,2002113837,11,R3837,13.4,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00027,2002642595,64,K2595,13.6,58,5,1,2005-03-15,74,MATURE RAM,M,
05SH00028,2003114081,11,R4081,13.0,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00029,2003449722,44,T9722,11.8,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00030,2001448296,44,T8296,9.8,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00031,2003642897,64,K2897,13.8,56,6,1,2005-03-15,74,MATURE RAM,M,
05SH00032,2003449657,44,T9657,17.2,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00033,2002113401,11,R3401,15.4,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00034,2003050615,05,H0615,12.4,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00035,2003114174,11,R4174,10.6,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00036,2003449569,44,T9569,13.2,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00037,2003114206,11,R4206,11.2,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00038,2000641196,64,K1196,15.8,58,5,1,2005-03-15,74,MATURE RAM,M,
05SH00039,2001641553,64,K1553,12.8,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00040,2002113416,11,R3416,11.6,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00041,2001448402,44,T8402,16.2,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00042,2002049232,04,A9232,7.2,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00043,2002049088,04,A9088,10.8,58,5,1,2005-03-15,74,MATURE RAM,M,?A9080=A9088
05SH00044,2002049897,04,A9897,11.6,58,5,1,2005-03-15,74,MATURE RAM,M,
05SH00045,2003449685,44,T9685,13.4,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00046,2003642927,64,K2927,11.6,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00047,2003642948,64,K2948,12.4,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00048,2000047896,04,A7896,6.6,58,5,1,2005-03-15,74,MATURE RAM,M,
05SH00049,2003449608,44,T9608,14.0,64,2,1,2005-03-15,74,MATURE RAM,M,
05SH00050,2003642824,64,K2824,15.0,58,5,1,2005-03-15,74,MATURE RAM,M,
05SH00051,2003114133,11,R4133,12.6,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00052,2002113786,11,R3786,14.2,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00053,2002049073,04,A9073,11.4,58,5,1,2005-03-15,74,MATURE RAM,M,
05SH00054,2001448315,44,T8315,15.8,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00055,2002449399,44,T9399,14.6,58,5,1,2005-03-15,74,MATURE RAM,M,
05SH00056,2002049434,04,A9434,10.4,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00057,2002642368,64,K2368,15.4,58,5,1,2005-03-15,74,MATURE RAM,M,
05SH00058,2003114061,11,R4061,14.0,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00059,2001641683,64,K1683,13.8,58,5,1,2005-03-15,74,MATURE RAM,M,
05SH00060,2001048766,04,A8766,8.2,58,5,1,2005-03-15,74,MATURE RAM,M,GASH ON HEAD
05SH00061,2003114067,11,R4067,12.8,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00062,2002049588,04,A9588,10.2,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00063,2000047284,04,A7284,8.4,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00064,2003642842,64,K2842,13.0,58,5,1,2005-03-15,74,MATURE RAM,M,
05SH00065,2003050612,05,H0612,9.8,58,5,1,2005-03-15,74,MATURE RAM,M,
05SH00066,2003114156,11,R4156,13.6,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00067,2003050656,05,H0656,9.8,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00068,2003642787,64,K2787,17.4,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00069,2002449154,44,T9154,10.8,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00070,2002050098,05,P0098,9.2,58,5,1,2005-03-15,74,MATURE RAM,M,
05SH00071,2003050571,05,H0571,9.6,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00072,2003449473,44,T9473,11.2,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00073,2003642945,64,K2945,13.8,58,5,1,2005-03-15,74,MATURE RAM,M,
05SH00074,2003050503,05,H0503,9.4,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00075,2003050596,05,H0596,10.2,58,5,1,2005-03-15,74,MATURE RAM,M,
05SH00076,2002449243,44,T9243,13.2,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00077,2003050630,05,H0630,8.4,58,5,1,2005-03-15,74,MATURE RAM,M,
05SH00078,2002113553,11,R3553,15.2,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00079,2003642909,64,K2909,12.6,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00080,2004114453,11,R4453,8.2,62,3,1,2005-03-15,74,YRLG RAM,Y,
05SH00081,2002049442,04,A9442,11.0,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00082,2002049890,04,A9890,10.2,58,5,1,2005-03-15,74,MATURE RAM,M,
05SH00083,2003050733,05,H0733,9.4,58,5,1,2005-03-15,74,MATURE RAM,M,
05SH00084,2003449456,44,T9456,14.4,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00085,2003114110,11,R4110,10.8,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00086,2003449593,44,T9593,15.2,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00087,2001641857,64,K1857,17.6,58,5,1,2005-03-15,74,MATURE RAM,M,
05SH00088,2003642917,64,K2917,9.8,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00089,2003449578,44,T9578,11.8,60,4,1,2005-03-15,74,MATURE RAM,M,
05SH00090,2003449743,44,T9743,10.2,62,3,1,2005-03-15,74,MATURE RAM,M,
05SH00091,2001112554,11,R2554,15.0,58,5,1,2005-03-15,74,MATURE RAM,M,
05SH00092,2003050540,05,H0540,11.8,58,5,1,2005-03-15,74,MATURE RAM,M,
