UID,ID10,BRD,ETAG,SEX,LINE,GRFL,GRADE,FLGR1,SHDAY,DAYSH,BGRP,RMK,STM,AGE,SPWT,WTDAY,BAND,L,YEAR
98SH02468,1997044270,04,A4270,2,00,6.4,58,5,1998-03-12,71,5,,71,1.0,0,1998-06-01,X,,98
98SH02469,1996042889,04,A2889,2,ch,6.0,64,2,1998-03-12,71,5,Open  AI,31,2.0,142,1998-06-18,5,,98
98SH02470,1997108938,10,S8938,2,10,6.8,60,4,1998-03-12,71,5,,07,1.0,134,1998-06-18,5,,98
98SH02471,1997446094,44,T6094,2,42,6.2,60,4,1998-03-12,71,5,,02,1.0,129,1998-06-18,5,,98
98SH02472,1997108643,10,S8643,2,12,7.4,60,4,1998-03-12,71,5,,43,1.0,128,1998-06-18,5,,98
98SH02473,1997108250,10,S8250,2,10,7.6,60,4,1998-03-12,71,5,,07,1.0,150,1998-06-18,5,,98
98SH02474,1997107922,10,S7922,2,12,7.4,60,4,1998-03-12,71,5,,42,1.0,124,1998-06-18,5,,98
98SH02475,1997446395,44,T6395,2,42,5.0,62,3,1998-03-12,71,5,,02,1.0,125,1998-06-18,5,,98
98SH02476,1997108755,10,S8755,2,13,7.2,60,4,1998-03-12,71,5,,43,1.0,122,1998-06-18,5,,98
98SH02477,1997639285,63,K9285,2,68,10.2,60,4,1998-03-12,71,5,,06,1.0,187,1998-06-18,5,,98
98SH02478,1997814224,81,Z4224,2,ch,5.8,60,4,1998-03-12,71,5,,00,1.0,151,1998-06-18,5,,98
98SH02479,1997446137,44,T6137,2,42,5.6,64,2,1998-03-12,71,5,,02,1.0,127,1998-06-18,5,,98
98SH02480,1997108570,10,S8570,2,13,6.2,62,3,1998-03-12,71,5,,43,1.0,151,1998-06-18,5,,98
98SH02481,1996043089,04,A3089,2,ch,9.6,58,5,1998-03-12,71,5,Open  AI,32,2.0,154,1998-06-18,5,,98
98SH02482,1997446392,44,T6392,2,42,4.4,60,4,1998-03-12,71,5,,02,1.0,111,1998-06-18,5,,98
98SH02483,1997108896,10,S8896,2,10,6.8,60,4,1998-03-12,71,5,,07,1.0,145,1998-06-18,5,,98
98SH02484,1997108832,10,S8832,2,10,7.4,60,4,1998-03-12,71,5,,07,1.0,151,1998-06-18,5,,98
98SH02485,1997108600,10,S8600,2,13,8.0,62,3,1998-03-12,71,5,,42,1.0,133,1998-06-18,5,,98
98SH02486,1995042250,04,A2250,2,ch,7.4,60,4,1998-03-12,71,5,Open  AI,31,3.0,167,1998-06-18,5,,98
98SH02487,1997107869,10,S7869,2,13,8.8,60,4,1998-03-12,71,5,,43,1.0,167,1998-06-18,5,,98
98SH02488,1997639642,63,K9642,2,00,6.6,58,5,1998-03-12,71,5,,05,1.0,118,1998-06-18,5,,98
98SH02489,1997446218,44,T6218,2,ID,6.4,62,3,1998-03-12,71,5,,02,1.0,149,1998-06-18,5,,98
98SH02490,1997044522,04,A4522,2,81,5.4,58,5,1998-03-12,71,5,,30,1.0,137,1998-06-18,5,,98
98SH02491,1997445967,44,T5967,2,42,6.6,60,4,1998-03-12,71,5,,02,1.0,114,1998-06-18,5,,98
98SH02492,1997108803,10,S8803,2,10,8.2,60,4,1998-03-12,71,5,,07,1.0,144,1998-06-18,5,,98
98SH02493,1997639287,63,K9287,2,00,7.8,60,4,1998-03-12,71,5,,05,1.0,136,1998-06-18,5,,98
98SH02494,1997108829,10,S8829,2,10,6.4,62,3,1998-03-12,71,5,,07,1.0,124,1998-06-18,5,,98
98SH02495,1996043229,04,A3229,2,ch,8.2,62,3,1998-03-12,71,5,Open  AI,31,2.0,177,1998-06-18,5,,98
98SH02496,1997639824,63,K9824,2,00,5.2,60,4,1998-03-12,71,5,,05,1.0,130,1998-06-18,5,,98
98SH02497,1997814127,81,Z4127,2,ch,5.4,62,3,1998-03-12,71,5,,31,1.0,104,1998-06-18,5,,98
98SH02498,1997108847,10,S8847,2,13,8.2,62,3,1998-03-12,71,5,,43,1.0,149,1998-06-18,5,,98
98SH02499,1997108651,10,S8651,2,12,4.4,62,3,1998-03-12,71,5,,07,1.0,115,1998-06-18,5,,98
98SH02500,1997445937,44,T5937,2,42,6.8,60,4,1998-03-12,71,5,,02,1.0,132,1998-06-18,5,,98
98SH02501,1997446412,44,T6412,2,41,6.4,60,4,1998-03-12,71,5,,02,1.0,124,1998-06-18,5,,98
98SH02502,1997107985,10,S7985,2,13,6.6,60,4,1998-03-12,71,5,,43,1.0,144,1998-06-18,5,,98
98SH02503,1997108016,10,S8016,2,11,6.2,62,3,1998-03-12,71,5,,07,1.0,121,1998-06-18,5,,98
98SH02504,1997813949,81,Z3949,2,ch,6.2,58,5,1998-03-12,71,5,,31,1.0,118,1998-06-18,5,,98
98SH02505,1997446017,44,T6017,2,41,7.2,60,4,1998-03-12,71,5,,02,1.0,147,1998-06-18,5,,98
98SH02506,1997108481,10,S8481,2,12,6.8,58,5,1998-03-12,71,5,,42,1.0,115,1998-06-18,5,,98
98SH02507,1997639300,63,K9300,2,00,5.8,58,5,1998-03-12,71,5,,05,1.0,139,1998-06-18,5,,98
98SH02508,1997108487,10,S8487,2,12,6.4,60,4,1998-03-12,71,5,,42,1.0,128,1998-06-18,5,,98
98SH02509,1997108560,10,S8560,2,12,6.2,64,2,1998-03-12,71,5,,43,1.0,115,1998-06-18,5,,98
98SH02510,1997446263,44,T6263,2,42,4.4,62,3,1998-03-12,71,5,,02,1.0,121,1998-06-18,5,,98
98SH02511,1997108771,10,S8771,2,13,7.4,60,4,1998-03-12,71,5,,43,1.0,132,1998-06-18,5,,98
98SH02512,1997446190,44,T6190,2,42,5.6,62,3,1998-03-12,71,5,,02,1.0,125,1998-06-18,5,,98
98SH02513,1997639833,63,K9833,2,00,6.4,62,3,1998-03-12,71,5,,05,1.0,142,1998-06-18,5,,98
98SH02514,1997639291,63,K9291,2,68,9.6,58,5,1998-03-12,71,5,,06,1.0,158,1998-06-18,5,,98
98SH02515,1997445960,44,T5960,2,42,6.8,62,3,1998-03-12,71,5,,02,1.0,111,1998-06-18,5,,98
98SH02516,1997814016,81,Z4016,2,ch,4.8,64,2,1998-03-12,71,5,,31,1.0,150,1998-06-18,5,,98
98SH02517,1997446058,44,T6058,2,ID,7.4,60,4,1998-03-12,71,5,,02,1.0,150,1998-06-18,5,,98
98SH02518,1997108548,10,S8548,2,12,5.8,62,3,1998-03-12,71,5,,07,1.0,138,1998-06-18,5,,98
98SH02519,1997639451,63,K9451,2,00,7.4,60,4,1998-03-12,71,5,,05,1.0,146,1998-06-18,5,,98
98SH02520,1997446233,44,T6233,2,42,5.2,60,4,1998-03-12,71,5,,02,1.0,109,1998-06-18,5,,98
98SH02521,1997814187,81,Z4187,2,ch,6.4,62,3,1998-03-12,71,5,,00,1.0,153,1998-06-18,5,,98
98SH02522,1997107897,10,S7897,2,12,8.0,60,4,1998-03-12,71,5,,07,1.0,114,1998-06-18,5,,98
98SH02523,1997108088,10,S8088,2,10,6.2,60,4,1998-03-12,71,5,,07,1.0,132,1998-06-18,5,,98
98SH02524,1997107987,10,S7987,2,11,7.0,60,4,1998-03-12,71,5,,07,1.0,145,1998-06-18,5,,98
98SH02525,1997639679,63,K9679,2,68,6.8,60,4,1998-03-12,71,5,,06,1.0,156,1998-06-18,5,,98
98SH02526,1997107746,10,S7746,2,12,8.0,62,3,1998-03-12,71,5,,07,1.0,124,1998-06-18,5,,98
98SH02527,1997814236,81,Z4236,2,ch,5.6,60,4,1998-03-12,71,5,,34,1.0,122,1998-06-18,5,,98
98SH02528,1997639356,63,K9356,2,68,9.8,56,6,1998-03-12,71,5,,06,1.0,170,1998-06-18,5,,98
98SH02529,1997108141,10,S8141,2,13,5.6,60,4,1998-03-12,71,5,,07,1.0,146,1998-06-18,5,,98
98SH02530,1997108090,10,S8090,2,13,6.2,60,4,1998-03-12,71,5,,07,1.0,138,1998-06-18,5,,98
98SH02531,1997814126,81,Z4126,2,ch,5.0,60,4,1998-03-12,71,5,,00,1.0,122,1998-06-18,5,,98
98SH02532,1994041161,04,A1161,2,ch,11.4,60,4,1998-03-12,71,5,Open  AI,31,4.0,184,1998-06-18,5,,98
98SH02533,1997639438,63,K9438,2,68,7.8,60,4,1998-03-12,71,5,,06,1.0,143,1998-06-18,5,,98
98SH02534,1997446131,44,T6131,2,42,5.2,60,4,1998-03-12,71,5,,02,1.0,108,1998-06-18,5,,98
98SH02535,1997639683,63,K9683,2,68,8.2,58,5,1998-03-12,71,5,,06,1.0,164,1998-06-18,5,,98
98SH02536,1997108091,10,S8091,2,13,6.6,62,3,1998-03-12,71,5,,07,1.0,144,1998-06-18,5,,98
98SH02537,1997446064,44,T6064,2,42,5.2,60,4,1998-03-12,71,5,,02,1.0,109,1998-06-18,5,,98
98SH02538,1997108223,10,S8223,2,11,6.6,62,3,1998-03-12,71,5,,07,1.0,130,1998-06-18,5,,98
98SH02539,1995042551,04,A2551,2,ch,5.4,60,4,1998-03-12,71,5,Open  AI,00,3.0,147,1998-06-18,5,,98
98SH02540,1997108400,10,S8400,2,12,8.0,62,3,1998-03-12,71,5,,42,1.0,125,1998-06-18,5,,98
98SH02541,1997446221,44,T6221,2,ID,7.4,60,4,1998-03-12,71,5,,02,1.0,145,1998-06-18,5,,98
98SH02542,1997814333,81,Z4333,2,ch,6.2,58,5,1998-03-12,71,5,,01,1.0,136,1998-06-18,5,,98
98SH02543,1997814074,81,Z4074,2,ch,5.8,60,4,1998-03-12,71,5,,00,1.0,127,1998-06-18,5,,98
98SH02544,1997445957,44,T5957,2,42,7.0,60,4,1998-03-12,71,5,,02,1.0,120,1998-06-18,5,,98
98SH02545,1994041000,04,A1000,2,ch,6.0,64,2,1998-03-12,71,5,Open  AI,31,4.0,184,1998-06-18,5,,98
98SH02546,1997108356,10,S8356,2,11,5.0,60,4,1998-03-12,71,5,,07,1.0,116,1998-06-18,5,,98
98SH02547,1997639769,63,K9769,2,68,8.6,58,5,1998-03-12,71,5,,06,1.0,157,1998-06-18,5,,98
98SH02548,1997446168,44,T6168,2,41,6.0,60,4,1998-03-12,71,5,,02,1.0,129,1998-06-18,5,,98
98SH02549,1997446082,44,T6082,2,42,4.6,62,3,1998-03-12,71,5,,02,1.0,107,1998-06-18,5,,98
98SH02550,1997108039,10,S8039,2,10,7.6,58,5,1998-03-12,71,5,,07,1.0,144,1998-06-18,5,,98
98SH02551,1995444969,44,T4969,2,ch,10.2,58,5,1998-03-12,71,5,Open  AI,32,3.0,184,1998-06-18,5,,98
98SH02552,1997639410,63,K9410,2,00,4.0,58,5,1998-03-16,75,3,,91,1.0,118,1998-04-29,3,,98
98SH02553,1997639557,63,K9557,2,00,4.8,58,5,1998-03-16,75,3,,91,1.0,119,1998-04-29,3,,98
98SH02554,1997639508,63,K9508,2,00,4.4,58,5,1998-03-16,75,3,,91,1.0,145,1998-04-29,3,,98
98SH02555,1997639408,63,K9408,2,00,4.0,60,4,1998-03-16,75,3,,91,1.0,155,1998-04-29,3,,98
98SH02556,1997639409,63,K9409,2,00,5.8,60,4,1998-03-16,75,3,,91,1.0,131,1998-04-29,3,,98
98SH02557,1997639453,63,K9453,2,00,4.6,60,4,1998-03-16,75,3,,91,1.0,142,1998-04-29,3,,98
98SH02558,1997639396,63,K9396,2,00,5.0,60,4,1998-03-16,75,3,,91,1.0,138,1998-04-29,3,,98
98SH02559,1997639404,63,K9404,2,00,5.0,60,4,1998-03-16,75,3,,91,1.0,124,1998-04-29,3,,98
98SH02560,1997639420,63,K9420,2,00,4.4,60,4,1998-03-16,75,3,,91,1.0,120,1998-04-29,3,,98
98SH02561,1997639415,63,K9415,2,00,4.8,58,5,1998-03-16,75,3,,91,1.0,142,1998-04-29,3,,98
98SH02562,1997639305,63,K9305,2,00,4.8,58,5,1998-03-16,75,3,,91,1.0,121,1998-04-29,3,,98
98SH02563,1997639467,63,K9467,2,00,4.6,58,5,1998-03-16,75,3,,91,1.0,125,1998-04-29,3,,98
98SH02564,1997639462,63,K9462,2,00,4.2,58,5,1998-03-16,75,3,,91,1.0,137,1998-04-29,3,,98
98SH02565,1997639542,63,K9542,2,00,3.8,56,6,1998-03-16,75,3,,91,1.0,113,1998-04-29,3,,98
98SH02566,1997639407,63,K9407,2,00,4.2,58,5,1998-03-16,75,3,,91,1.0,130,1998-04-29,3,,98
98SH02567,1997639311,63,K9311,2,00,5.2,60,4,1998-03-16,75,3,,91,1.0,155,1998-04-29,3,,98
98SH02568,1997639341,63,K9341,2,00,4.0,60,4,1998-03-16,75,3,,91,1.0,125,1998-04-29,3,,98
98SH02569,1997639312,63,K9312,2,00,4.8,60,4,1998-03-16,75,3,,91,1.0,119,1998-04-29,3,,98
98SH02570,1997639442,63,K9442,2,00,3.0,58,5,1998-03-16,75,3,,91,1.0,138,1998-04-29,3,,98
98SH02571,1997639412,63,K9412,2,00,5.0,56,6,1998-03-16,75,3,,91,1.0,135,1998-04-29,3,,98
98SH02572,1997814310,81,Z4310,2,00,6.0,58,5,1998-03-16,75,3,,30,1.0,146,1998-04-29,3,,98
98SH02573,1997814311,81,Z4311,2,00,6.4,58,5,1998-03-16,75,3,,30,1.0,128,1998-04-29,3,,98
98SH02574,1997814597,81,Z4597,2,00,6.0,58,5,1998-03-16,75,3,,30,1.0,126,1998-04-29,3,,98
98SH02575,1997814321,81,Z4321,2,00,4.8,58,5,1998-03-16,75,3,,30,1.0,144,1998-04-29,3,,98
98SH02576,1997814320,81,Z4320,2,00,4.4,58,5,1998-03-16,75,3,,30,1.0,121,1998-04-29,3,,98
98SH02577,1997814604,81,Z4604,2,00,7.4,58,5,1998-03-16,75,3,,30,1.0,155,1998-04-29,3,,98
98SH02578,1997814335,81,Z4335,2,00,5.0,60,4,1998-03-16,75,3,,30,1.0,134,1998-04-29,3,,98
98SH02579,1997814345,81,Z4345,2,00,7.6,58,5,1998-03-16,75,3,,30,1.0,154,1998-04-29,3,,98
98SH02580,1997639968,63,K9968,2,00,6.8,58,5,1998-03-12,71,5,,05,1.0,142,1998-06-18,5,,98
98SH02581,1997639847,63,K9847,2,68,7.8,58,5,1998-03-12,71,5,,06,1.0,140,1998-06-18,5,,98
98SH02582,1997044396,04,A4396,2,81,5.6,56,6,1998-03-12,71,5,,30,1.0,139,1998-06-18,5,,98
98SH02583,1997107986,10,S7986,2,11,6.8,62,3,1998-03-12,71,5,,07,1.0,140,1998-06-18,5,,98
98SH02584,1997813962,81,Z3962,2,ch,3.4,64,2,1998-03-12,71,5,,00,1.0,114,1998-06-18,5,,98
98SH02585,1997108856,10,S8856,2,13,6.6,62,3,1998-03-12,71,5,,42,1.0,145,1998-06-18,5,,98
98SH02586,1997639773,63,K9773,2,68,8.2,58,5,1998-03-12,71,5,,06,1.0,148,1998-06-18,5,,98
98SH02587,1997108461,10,S8461,2,13,7.8,60,4,1998-03-12,71,5,,43,1.0,138,1998-06-18,5,,98
98SH02588,1997108140,10,S8140,2,12,8.2,62,3,1998-03-12,71,5,,43,1.0,146,1998-06-18,5,,98
98SH02589,1997814374,81,Z4374,2,ch,5.8,62,3,1998-03-12,71,5,,34,1.0,143,1998-06-18,5,,98
98SH02590,1997445872,44,T5872,2,41,8.2,58,5,1998-03-12,71,5,,02,1.0,139,1998-06-18,5,,98
98SH02591,1997445975,44,T5975,2,41,5.2,60,4,1998-03-12,71,5,,02,1.0,120,1998-06-18,5,,98
98SH02592,1997446388,44,T6388,2,42,4.2,60,4,1998-03-12,71,5,,02,1.0,97,1998-06-18,5,,98
98SH02593,1997446257,44,T6257,2,ID,5.8,60,4,1998-03-12,71,5,,02,1.0,123,1998-06-18,5,,98
98SH02594,1997108910,10,S8910,2,10,7.4,62,3,1998-03-12,71,5,,07,1.0,135,1998-06-18,5,,98
98SH02595,1997108133,10,S8133,2,10,7.8,60,4,1998-03-12,71,5,,43,1.0,132,1998-06-18,5,,98
98SH02596,1997446249,44,T6249,2,ID,5.8,60,4,1998-03-12,71,5,,02,1.0,130,1998-06-18,5,,98
98SH02597,1997446115,44,T6115,2,ID,6.4,60,4,1998-03-12,71,5,,02,1.0,140,1998-06-18,5,,98
98SH02598,1997446332,44,T6332,2,ID,6.2,60,4,1998-03-12,71,5,,02,1.0,144,1998-06-18,5,,98
98SH02599,1997446410,44,T6410,2,42,4.8,60,4,1998-03-12,71,5,,02,1.0,112,1998-06-18,5,,98
98SH02600,1997446350,44,T6350,2,41,5.8,62,3,1998-03-12,71,5,,02,1.0,124,1998-06-18,5,,98
98SH02601,1997639561,63,K9561,2,68,9.4,62,3,1998-03-12,71,5,,06,1.0,175,1998-06-18,5,,98
98SH02602,1997445997,44,T5997,2,42,5.8,60,4,1998-03-12,71,5,,02,1.0,105,1998-06-18,5,,98
98SH02603,1997044134,04,A4134,2,81,5.4,60,4,1998-03-12,71,5,,30,1.0,121,1998-05-12,2,,98
98SH02604,1997446046,44,T6046,2,42,6.4,64,2,1998-03-12,71,5,,02,1.0,112,1998-06-18,5,,98
98SH02605,1997108201,10,S8201,2,12,6.0,64,2,1998-03-12,71,5,,43,1.0,102,1998-05-12,2,,98
98SH02606,1997445927,44,T5927,2,ID,5.8,64,2,1998-03-12,71,5,,02,1.0,121,1998-06-18,5,,98
98SH02607,1997639605,63,K9605,2,68,7.4,64,2,1998-03-12,71,5,,06,1.0,173,1998-06-18,5,,98
98SH02608,1997108017,10,S8017,2,11,5.6,64,2,1998-03-12,71,5,,07,1.0,139,1998-06-18,5,,98
98SH02609,1997639834,63,K9834,2,00,5.8,60,4,1998-03-12,71,5,,05,1.0,132,1998-06-18,5,,98
98SH02610,1997639864,63,K9864,2,68,8.0,60,4,1998-03-12,71,5,,06,1.0,155,1998-06-18,5,,98
98SH02611,1997446323,44,T6323,2,42,5.2,60,4,1998-03-12,71,5,,02,1.0,113,1998-06-18,5,,98
98SH02612,1997107773,10,S7773,2,12,9.0,60,4,1998-03-12,71,5,,42,1.0,135,1998-06-18,5,,98
98SH02613,1997639503,63,K9503,2,00,6.2,60,4,1998-03-12,71,5,,05,1.0,154,1998-06-18,5,,98
98SH02614,1997639703,63,K9703,2,68,9.2,58,5,1998-03-12,71,5,,06,1.0,146,1998-06-18,5,,98
98SH02615,1997445984,44,T5984,2,41,6.3,60,4,1998-03-12,71,5,,02,1.0,144,1998-06-18,5,,98
